Composition,
Date Added,1988-02-12
Formula,
Grain Size Description,<75.0um
Grain Size,"(45.0, 75.0)"
Locality,Unknown 
Minimum Wavelength,510
Sample Name,Hematite for photometric study 45-75 um
Maximum Wavelength,1490
Database of Origin,RELAB
Other Information,Hematite
References,
Resolution,20.0
Material class,Mineral
Sample Description,
Sample ID,RLFE04
Original Sample ID,FE-CMP-004
Viewing Geometry,45.0° / 15.0°
Wavelength,Response
510.0,0.0671
530.0,0.0651
550.0,0.0659
570.0,0.077
590.0,0.105
610.0,0.133
630.0,0.1469
650.0,0.1586
670.0,0.1695
690.0,0.1852
710.0,0.2024
730.0,0.2211
750.0,0.2363
770.0,0.2391
790.0,0.2431
810.0,0.2381
830.0,0.2349
850.0,0.2308
870.0,0.2301
890.0,0.2367
910.0,0.2446
930.0,0.2635
950.0,0.2849
970.0,0.3136
990.0,0.347
1010.0,0.3864
1030.0,0.4221
1050.0,0.457
1070.0,0.4875
1090.0,0.5197
1110.0,0.5435
1130.0,0.5713
1150.0,0.5934
1170.0,0.6113
1190.0,0.6282
1210.0,0.6379
1230.0,0.6506
1250.0,0.6549
1270.0,0.6589
1290.0,0.6648
1310.0,0.6677
1330.0,0.6673
1350.0,0.6676
1370.0,0.6671
1390.0,0.6627
1410.0,0.6653
1430.0,0.6668
1450.0,0.6676
1470.0,0.6706
1490.0,0.6717
