Composition,
Date Added,1997-04-20
Formula,
Grain Size Description,<0.0um
Grain Size,Unknown
Locality,
Minimum Wavelength,1800
Sample Name,Nicolet diffuse gold
Maximum Wavelength,25920
Database of Origin,RELAB
Other Information,Diffuse Gold
References,
Resolution,9.0
Material class,Reference
Sample Description,Used as a standard for Nicolet FT-IR measurements   
Sample ID,0497M012SA
Original Sample ID,GD-CMP-003
Viewing Geometry,unknown
Wavelength,Response
1800.0,0.85419
1800.7,0.85306
1801.3,0.85098
1801.9,0.85242
1802.6,0.85507
1803.2,0.85699
1803.8,0.85989
1804.4,0.86224
1805.1,0.8642
1805.7,0.86288
1806.3,0.85913
1806.9,0.86118
1807.6,0.86548
1808.2,0.86731
1808.8,0.87012
1809.5,0.87048
1810.1,0.87231
1810.7,0.86804
1811.4,0.86502
1812.0,0.86987
1812.6,0.87054
1813.3,0.86819
1813.9,0.87634
1814.5,0.8815
1815.2,0.87671
1815.8,0.8642
1816.4,0.8681
1817.1,0.8775
1817.7,0.88251
1818.4,0.88345
1819.0,0.88141
1819.6,0.88449
1820.3,0.86768
1820.9,0.84698
1821.6,0.86084
1822.2,0.86755
1822.8,0.87607
1823.5,0.89215
1824.1,0.89911
1824.8,0.9006
1825.4,0.89941
1826.0,0.87476
1826.7,0.84137
1827.3,0.87109
1828.0,0.89987
1828.6,0.88892
1829.3,0.8829
1829.9,0.88763
1830.6,0.88528
1831.2,0.87109
1831.8,0.87338
1832.5,0.89438
1833.1,0.89752
1833.8,0.90781
1834.4,0.91068
1835.1,0.88879
1835.7,0.87698
1836.4,0.86353
1837.0,0.86343
1837.7,0.87082
1838.3,0.86462
1839.0,0.90298
1839.7,0.89841
1840.3,0.86508
1841.0,0.88788
1841.6,0.89072
1842.3,0.85172
1842.9,0.87906
1843.6,0.91986
1844.2,0.92902
1844.9,0.93332
1845.5,0.93729
1846.2,0.93161
1846.9,0.89264
1847.5,0.84836
1848.2,0.85904
1848.8,0.87561
1849.5,0.91458
1850.2,0.93469
1850.8,0.93198
1851.5,0.9368
1852.1,0.94641
1852.8,0.93347
1853.5,0.90762
1854.1,0.88107
1854.8,0.89917
1855.5,0.94388
1856.1,0.94547
1856.8,0.91162
1857.4,0.90601
1858.1,0.94156
1858.8,0.95654
1859.4,0.93445
1860.1,0.8887
1860.8,0.90314
1861.4,0.94122
1862.1,0.96335
1862.8,0.96564
1863.5,0.96292
1864.1,0.95316
1864.8,0.94568
1865.5,0.95758
1866.1,0.97086
1866.8,0.97125
1867.5,0.9436
1868.2,0.89706
1868.8,0.91522
1869.5,0.94696
1870.2,0.94083
1870.9,0.90665
1871.5,0.875
1872.2,0.92941
1872.9,0.93112
1873.6,0.88202
1874.2,0.91278
1874.9,0.95993
1875.6,0.96002
1876.3,0.96442
1876.9,0.95108
1877.6,0.93478
1878.3,0.9725
1879.0,0.99268
1879.7,0.99533
1880.4,0.99515
1881.0,0.99026
1881.7,0.98889
1882.4,0.99734
1883.1,1.00095
1883.8,0.98773
1884.5,0.96298
1885.1,0.98126
1885.8,1.0022
1886.5,1.00116
1887.2,0.99713
1887.9,1.00339
1888.6,1.01221
1889.3,1.01254
1890.0,0.99258
1890.6,0.9671
1891.3,0.99213
1892.0,1.00452
1892.7,0.996
1893.4,1.00546
1894.1,1.00528
1894.8,1.0126
1895.5,1.02335
1896.2,1.02591
1896.9,1.0264
1897.6,1.01761
1898.3,1.00504
1899.0,1.00403
1899.6,0.97253
1900.3,0.95303
1901.0,0.98669
1901.7,1.02042
1902.4,1.02417
1903.1,0.98816
1903.8,0.99362
1904.5,1.02591
1905.2,0.99661
1905.9,0.96576
1906.6,0.98285
1907.3,0.99042
1908.0,1.02332
1908.7,1.04333
1909.4,1.04132
1910.1,1.04407
1910.8,1.03589
1911.6,1.02359
1912.3,1.02441
1913.0,1.03555
1913.7,1.00638
1914.4,0.99539
1915.1,1.03366
1915.8,1.04788
1916.5,1.03976
1917.2,1.04306
1917.9,1.05792
1918.6,1.06326
1919.3,1.0546
1920.0,1.02032
1920.8,0.98514
1921.5,0.99786
1922.2,1.05176
1922.9,1.07074
1923.6,1.06586
1924.3,1.04654
1925.0,1.05182
1925.8,1.07056
1926.5,1.07336
1927.2,1.06677
1927.9,1.06534
1928.6,1.05652
1929.3,1.05368
1930.1,1.07104
1930.8,1.07419
1931.5,1.07648
1932.2,1.07932
1932.9,1.08267
1933.7,1.0813
1934.4,1.07715
1935.1,1.0845
1935.8,1.091
1936.5,1.08157
1937.3,1.0788
1938.0,1.0871
1938.7,1.08795
1939.4,1.08411
1940.2,1.08563
1940.9,1.09473
1941.6,1.09625
1942.4,1.09915
1943.1,1.10431
1943.8,1.10495
1944.5,1.10199
1945.3,1.09946
1946.0,1.10587
1946.7,1.1105
