Composition,
Date Added,2014-06-18
Formula,
Grain Size Description,<150.0um
Grain Size,0.0 - 150.0
Locality,
Minimum Wavelength,833
Sample Name,"67511,24 <150 um"
Maximum Wavelength,99719
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Sediment
Sample Description,
Sample ID,BIR1LS128
Original Sample ID,LS-GJT-128
Viewing Geometry,
Wavelength,Response
833.3,257.47
833.5,256.38
833.6,256.5
833.7,256.36
833.9,255.37
834.0,254.95
834.1,255.81
834.3,256.96
834.4,257.29
834.5,256.27
834.7,255.7
834.8,255.8
835.0,256.92
835.1,257.38
835.2,255.51
835.3,255.98
835.5,257.01
835.6,257.0
835.8,256.85
835.9,255.57
836.0,254.7
836.2,255.23
836.3,255.98
836.4,255.32
836.6,255.54
836.7,255.62
836.8,254.55
837.0,253.85
837.1,255.08
837.2,255.91
837.4,254.97
837.5,255.83
837.6,256.92
837.8,255.95
837.9,255.25
838.0,255.18
838.2,254.23
838.3,254.1
838.5,253.94
838.6,254.26
838.7,255.23
838.9,255.26
839.0,255.42
839.1,254.86
839.3,253.54
839.4,253.78
839.5,254.3
839.7,253.85
839.8,254.07
840.0,254.59
840.1,254.8
840.2,255.21
840.4,254.47
840.5,253.06
840.6,252.69
840.8,253.68
840.9,254.0
841.0,254.14
841.2,254.64
841.3,254.95
841.5,254.29
841.6,254.87
841.7,255.45
841.9,255.33
842.0,254.88
842.1,253.76
842.3,253.39
842.4,254.16
842.5,253.41
842.7,251.98
842.8,252.37
843.0,253.85
843.1,253.67
843.2,253.25
843.4,253.58
843.5,253.98
843.6,254.23
843.8,254.08
843.9,253.9
844.0,253.69
844.2,253.06
844.3,252.34
844.5,252.09
844.6,252.12
844.7,252.13
844.9,252.31
845.0,253.26
845.2,252.87
845.3,252.53
845.4,252.81
845.6,254.6
845.7,253.9
845.8,252.49
846.0,252.51
846.1,252.35
846.3,251.83
846.4,251.93
846.5,252.43
846.7,252.29
846.8,252.49
847.0,253.74
847.1,253.86
847.2,253.3
847.4,252.94
847.5,252.64
847.6,252.77
847.8,253.26
847.9,252.92
848.1,252.53
848.2,252.04
848.3,251.51
848.5,252.26
848.6,253.16
848.8,251.68
848.9,250.49
849.0,251.14
849.2,251.3
849.3,250.97
849.5,250.9
849.6,251.37
849.7,251.94
849.9,252.42
850.0,252.59
850.1,251.72
850.3,251.07
850.4,251.13
850.6,251.45
850.7,250.65
850.8,250.52
851.0,250.03
