Composition,
Date Added,2010-01-12
Formula,
Grain Size Description,<10.0um
Grain Size,(0.0 - 10.0)
Locality,Synthetic
Minimum Wavelength,1428
Sample Name,K-2294 glass #3 micronized <10 um
Maximum Wavelength,25050
Database of Origin,RELAB
Other Information,Synthetic
References,
Resolution,7.0
Material class,Synthetic
Sample Description,Lunar analog (LSI)
Sample ID,BMR1GS037B
Original Sample ID,GS-MDD-037-B
Viewing Geometry,Unknown
Wavelength,Response
1428.4,0.11895
1428.8,0.11908
1429.2,0.11915
1429.6,0.11907
1430.0,0.11889
1430.4,0.11848
1430.8,0.11861
1431.2,0.11884
1431.6,0.11874
1432.0,0.11873
1432.4,0.1189
1432.8,0.11883
1433.2,0.11906
1433.6,0.11866
1433.9,0.11811
1434.3,0.11826
1434.8,0.1183
1435.1,0.11858
1435.5,0.11889
1435.9,0.11851
1436.3,0.11834
1436.7,0.11848
1437.1,0.11864
1437.5,0.11865
1437.9,0.1184
1438.3,0.11856
1438.7,0.11851
1439.1,0.1185
1439.5,0.11874
1439.9,0.11869
1440.3,0.11852
1440.7,0.11816
1441.1,0.118
1441.5,0.11826
1441.9,0.11835
1442.3,0.1186
1442.7,0.11884
1443.1,0.11891
1443.5,0.11893
1443.9,0.11876
1444.3,0.11858
1444.7,0.11841
1445.1,0.11843
1445.6,0.11893
1445.9,0.11919
1446.3,0.11916
1446.8,0.11927
1447.2,0.11908
1447.6,0.11875
1448.0,0.11879
1448.4,0.11926
1448.8,0.11924
1449.2,0.11876
1449.6,0.11848
1450.0,0.11862
1450.4,0.11854
1450.8,0.11888
1451.2,0.11926
1451.6,0.11885
1452.0,0.11873
1452.4,0.11884
1452.8,0.11896
1453.3,0.11895
1453.7,0.11861
1454.1,0.11869
1454.5,0.11876
1454.9,0.11897
1455.3,0.11906
1455.7,0.11901
1456.1,0.1189
1456.5,0.11868
1456.9,0.11868
1457.3,0.11904
1457.7,0.11929
1458.2,0.11905
1458.6,0.11874
1459.0,0.11874
1459.4,0.11878
1459.8,0.11888
1460.2,0.11896
1460.6,0.11885
1461.0,0.11904
1461.4,0.11938
1461.8,0.11911
1462.3,0.11899
1462.7,0.11936
1463.1,0.11952
1463.5,0.11906
1463.9,0.11885
1464.3,0.11906
1464.7,0.11935
1465.2,0.11915
1465.6,0.11915
1466.0,0.11917
1466.4,0.11921
1466.8,0.1193
1467.2,0.11902
1467.6,0.11899
1468.1,0.1192
1468.5,0.11906
1468.9,0.11922
1469.3,0.11956
1469.7,0.11957
1470.1,0.11932
1470.6,0.11927
1471.0,0.11948
1471.4,0.11965
1471.8,0.11955
1472.2,0.1196
1472.7,0.11951
1473.1,0.11915
1473.5,0.11907
1473.9,0.11927
1474.3,0.11921
1474.7,0.11934
1475.2,0.11958
1475.6,0.11966
1476.0,0.11963
1476.4,0.11933
1476.8,0.11913
1477.3,0.11934
1477.7,0.11938
1478.1,0.11919
1478.5,0.11919
1478.9,0.11918
1479.4,0.11944
1479.8,0.11993
1480.2,0.11961
1480.6,0.11929
1481.1,0.11926
1481.5,0.11946
1481.9,0.11978
1482.3,0.11999
1482.8,0.11972
1483.2,0.11964
1483.6,0.11972
1484.0,0.1198
1484.4,0.11988
1484.9,0.11986
1485.3,0.11954
1485.7,0.11931
1486.2,0.1194
1486.6,0.11943
1487.0,0.11936
1487.4,0.11955
1487.9,0.11971
1488.3,0.11959
1488.7,0.11949
1489.1,0.11943
1489.6,0.11948
1490.0,0.1196
1490.4,0.11975
1490.8,0.11971
1491.3,0.11955
1491.7,0.11964
1492.1,0.11988
1492.6,0.12001
1493.0,0.12001
1493.4,0.12047
1493.9,0.12042
1494.3,0.11972
1494.7,0.11944
1495.2,0.11959
1495.6,0.11972
1496.0,0.11978
1496.4,0.12006
1496.9,0.12011
1497.3,0.1199
1497.8,0.12006
1498.2,0.12034
1498.6,0.1202
1499.0,0.12008
1499.5,0.12005
1499.9,0.12008
1500.3,0.12002
1500.8,0.1199
1501.2,0.12
1501.7,0.11993
1502.1,0.12001
1502.5,0.12028
1502.9,0.12035
1503.4,0.11992
1503.8,0.11998
1504.3,0.12011
1504.7,0.12009
1505.1,0.12014
1505.6,0.12031
1506.0,0.12041
1506.4,0.12022
1506.9,0.12006
1507.3,0.12007
1507.8,0.12006
1508.2,0.1201
1508.6,0.12005
1509.1,0.12003
1509.5,0.12013
1510.0,0.12005
1510.4,0.12004
1510.8,0.12013
1511.3,0.12035
1511.7,0.12056
1512.2,0.12038
1512.6,0.12034
1513.0,0.12037
1513.5,0.12028
1513.9,0.12036
1514.4,0.12049
1514.8,0.12038
1515.3,0.12023
1515.7,0.12016
1516.1,0.12026
1516.6,0.12046
1517.0,0.12036
1517.5,0.12007
1517.9,0.11998
1518.4,0.11996
1518.8,0.11998
1519.3,0.12031
1519.7,0.12061
1520.1,0.12043
1520.6,0.12025
1521.0,0.12014
1521.5,0.12023
1521.9,0.1205
1522.4,0.12078
1522.8,0.12077
1523.3,0.12062
1523.7,0.12059
1524.2,0.12053
1524.6,0.12038
1525.1,0.12031
1525.5,0.1204
1526.0,0.12042
1526.4,0.12039
1526.9,0.12064
