Composition,
Date Added,2007-06-21
Formula,
Grain Size Description,<200.0um
Grain Size,0.0 - 200.0
Locality,
Minimum Wavelength,300
Sample Name,Kohyama gabbro <200 um (sieved)
Maximum Wavelength,49859
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Rock
Sample Description,For lunar simulant
Sample ID,BKR1HK006
Original Sample ID,HK-H1T-006
Viewing Geometry,
Wavelength,Response
300.0,157.93
305.0,177.19
310.0,189.52
315.0,196.26
320.0,205.6
325.0,209.64
330.0,215.21
335.0,217.17
340.0,221.33
345.0,224.95
350.0,228.98
355.0,233.05
360.0,237.08
365.0,240.83
370.0,244.54
375.0,248.47
380.0,250.85
385.0,254.22
390.0,258.03
395.0,262.48
400.0,264.63
405.0,266.92
410.0,269.05
415.0,271.75
420.0,274.33
425.0,276.52
430.0,279.4
435.0,282.2
440.0,284.5
445.0,285.94
450.0,287.92
455.0,290.22
460.0,292.47
465.0,294.61
470.0,296.5
475.0,298.57
480.0,300.32
485.0,302.13
490.0,303.85
495.0,305.5
500.0,307.68
505.0,308.66
510.0,310.44
515.0,313.07
520.0,315.49
525.0,316.79
530.0,318.57
535.0,319.87
540.0,321.18
545.0,321.85
550.0,322.76
555.0,323.28
560.0,324.29
565.0,325.3
570.0,326.19
575.0,326.65
580.0,326.85
585.0,327.56
590.0,327.93
595.0,328.2
600.0,328.38
605.0,328.79
610.0,328.99
615.0,329.35
620.0,329.54
625.0,329.84
630.0,330.26
635.0,330.42
640.0,330.68
645.0,330.65
650.0,330.86
655.0,331.12
660.0,331.17
665.0,331.23
670.0,331.5
675.0,331.69
680.0,331.76
685.0,332.2
690.0,332.31
695.0,332.62
700.0,332.96
705.0,333.1
710.0,333.49
715.0,333.82
720.0,334.29
725.0,334.69
730.0,334.76
735.0,335.08
740.0,335.82
745.0,336.0
750.0,336.68
755.0,336.66
760.0,336.78
765.0,337.16
770.0,337.3
775.0,337.68
780.0,337.58
785.0,337.29
790.0,336.74
795.0,336.66
800.0,335.58
805.0,334.75
810.0,333.83
815.0,332.9
820.0,332.04
825.0,330.82
830.0,329.43
835.0,328.03
840.0,326.85
845.0,325.15
850.0,323.56
855.0,321.63
860.0,320.41
865.0,319.56
870.0,316.12
875.0,316.37
880.0,314.76
885.0,313.31
890.0,312.82
895.0,310.25
900.0,308.72
905.0,308.37
910.0,307.14
915.0,305.9
920.0,305.33
925.0,304.77
930.0,304.65
935.0,304.6
940.0,304.56
945.0,303.51
950.0,302.97
955.0,302.46
960.0,303.71
965.0,304.14
970.0,303.65
975.0,304.54
980.0,305.08
985.0,305.17
990.0,306.97
995.0,306.37
1000.0,307.48
1005.0,309.05
1010.0,309.96
1015.0,310.4
1020.0,311.8
1025.0,313.53
1030.0,314.11
1035.0,315.71
1040.0,317.15
1045.0,319.03
1050.0,320.44
1055.0,321.18
1060.0,322.21
1065.0,324.53
1070.0,326.22
1075.0,327.06
1080.0,329.21
1085.0,330.87
1090.0,332.83
1095.0,333.21
1100.0,334.48
1105.0,336.36
1110.0,337.04
1115.0,338.55
1120.0,339.28
1125.0,340.21
1130.0,342.59
1135.0,342.32
1140.0,342.99
1145.0,344.34
1150.0,344.5
1155.0,345.53
1160.0,345.83
1165.0,346.37
1170.0,346.58
1175.0,347.6
1180.0,348.02
1185.0,349.15
1190.0,349.67
1195.0,349.74
1200.0,350.04
1205.0,350.52
1210.0,350.64
1215.0,350.76
1220.0,351.08
1225.0,351.46
1230.0,352.68
1235.0,353.31
1240.0,354.02
1245.0,354.98
1250.0,355.22
1255.0,355.3
1260.0,355.96
1265.0,357.65
1270.0,357.41
1275.0,358.33
1280.0,358.84
1285.0,359.74
1290.0,360.89
1295.0,361.27
1300.0,362.54
1305.0,363.11
1310.0,363.69
1315.0,364.51
1320.0,366.06
1325.0,366.45
1330.0,367.58
1335.0,368.49
1340.0,369.09
1345.0,370.01
1350.0,370.51
1355.0,371.14
1360.0,371.85
1365.0,371.65
1370.0,372.86
1375.0,373.36
1380.0,374.97
1385.0,374.3
1390.0,375.28
1395.0,375.39
1400.0,374.85
1405.0,375.8
1410.0,377.73
1415.0,378.19
1420.0,379.96
1425.0,381.09
1430.0,382.04
1435.0,382.34
1440.0,383.45
1445.0,384.42
1450.0,385.35
1455.0,386.25
1460.0,386.04
1465.0,387.17
1470.0,387.8
1475.0,388.47
1480.0,388.89
1485.0,389.77
1490.0,389.84
1495.0,390.62
1500.0,390.88
1505.0,391.14
1510.0,391.63
1515.0,392.25
1520.0,392.81
1525.0,392.62
1530.0,392.69
1535.0,393.65
1540.0,394.08
1545.0,393.36
