Composition,
Date Added,2007-06-28
Formula,
Grain Size Description,<0.0um
Grain Size,0.0 - 0.0
Locality,
Minimum Wavelength,300
Sample Name,Bytownite from Mexico
Maximum Wavelength,25050
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Rock
Sample Description,For lunar simulant
Sample ID,BKT1HK007
Original Sample ID,HK-H1T-007
Viewing Geometry,
Wavelength,Response
300.0,22.53
305.0,31.72
310.0,40.47
315.0,53.68
320.0,71.68
325.0,91.19
330.0,107.65
335.0,122.05
340.0,134.74
345.0,143.63
350.0,150.58
355.0,156.51
360.0,160.83
365.0,162.99
370.0,164.74
375.0,163.34
380.0,157.76
385.0,157.2
390.0,161.92
395.0,166.69
400.0,171.24
405.0,172.42
410.0,172.33
415.0,171.66
420.0,170.91
425.0,171.09
430.0,171.75
435.0,172.6
440.0,173.34
445.0,173.68
450.0,174.36
455.0,175.56
460.0,177.1
465.0,178.64
470.0,179.66
475.0,180.61
480.0,181.5
485.0,182.47
490.0,183.07
495.0,183.8
500.0,184.41
505.0,185.43
510.0,186.42
515.0,187.43
520.0,188.28
525.0,189.25
530.0,189.92
535.0,190.81
540.0,191.53
545.0,192.28
550.0,192.94
555.0,192.9
560.0,193.4
565.0,194.1
570.0,194.79
575.0,195.48
580.0,196.1
585.0,196.55
590.0,197.03
595.0,197.52
600.0,197.9
605.0,198.44
610.0,198.72
615.0,198.56
620.0,198.53
625.0,198.32
630.0,198.21
635.0,198.29
640.0,198.48
645.0,198.7
650.0,198.84
655.0,199.13
660.0,199.47
665.0,199.84
670.0,200.29
675.0,200.58
680.0,200.81
685.0,201.32
690.0,201.68
695.0,202.02
700.0,202.46
705.0,203.03
710.0,203.46
715.0,203.77
720.0,204.3
725.0,204.3
730.0,204.91
735.0,205.25
740.0,205.75
745.0,206.31
750.0,206.7
755.0,207.14
760.0,207.93
765.0,208.35
770.0,209.25
775.0,209.64
780.0,210.23
785.0,210.67
790.0,211.24
795.0,212.1
800.0,213.31
805.0,213.75
810.0,214.15
815.0,214.29
820.0,214.49
825.0,214.77
830.0,214.76
835.0,214.81
840.0,214.68
845.0,214.18
850.0,213.96
855.0,213.97
860.0,213.95
865.0,213.71
870.0,213.59
875.0,213.32
880.0,212.79
