Composition,
Date Added,2010-04-22
Formula,
Grain Size Description,<125.0um
Grain Size,75.0 - 125.0
Locality,
Minimum Wavelength,280
Sample Name,Bytownite 75-125 um
Maximum Wavelength,25050
Database of Origin,ReLab
Other Information,"SrO: 0.111, Cl: 0.022"
References,
Resolution,4.0
Material Class,Mineral
Sample Description,Large bytownite crystal from Shimizu
Sample ID,BKR1PL114D
Original Sample ID,PL-H1T-114-D
Viewing Geometry,
Wavelength,Response
280.0,327.37
285.0,188.6
290.0,146.7
295.0,145.12
300.0,164.8
305.0,200.69
310.0,250.53
315.0,308.44
320.0,371.14
325.0,433.32
330.0,491.5
335.0,544.89
340.0,592.81
345.0,627.9
350.0,657.22
355.0,680.58
360.0,699.7
365.0,711.9
370.0,718.84
375.0,714.22
380.0,691.93
385.0,689.53
390.0,709.62
395.0,732.25
400.0,749.55
405.0,758.16
410.0,761.34
415.0,759.05
420.0,755.25
425.0,758.4
430.0,763.45
435.0,767.38
440.0,768.71
445.0,768.82
450.0,772.0
455.0,777.23
460.0,783.07
465.0,789.76
470.0,794.08
475.0,798.18
480.0,800.26
485.0,801.92
490.0,803.58
495.0,804.81
500.0,807.42
505.0,807.37
510.0,810.32
515.0,811.84
520.0,813.62
525.0,816.08
530.0,817.76
535.0,819.71
540.0,821.1
545.0,822.78
550.0,823.74
555.0,825.07
560.0,825.92
565.0,826.15
570.0,826.95
575.0,827.59
580.0,828.18
585.0,828.88
590.0,830.29
595.0,831.01
600.0,831.44
605.0,832.91
610.0,833.86
615.0,834.66
620.0,835.44
625.0,836.25
630.0,836.98
635.0,837.1
640.0,837.68
645.0,837.97
650.0,838.91
655.0,839.5
660.0,840.65
665.0,841.52
670.0,843.52
675.0,844.33
680.0,845.35
685.0,845.79
690.0,846.06
695.0,844.76
700.0,844.81
705.0,844.38
710.0,843.89
715.0,843.32
720.0,843.71
725.0,843.02
730.0,842.83
735.0,842.59
740.0,842.26
745.0,842.25
750.0,841.76
755.0,841.57
760.0,841.44
765.0,841.42
770.0,841.22
775.0,840.75
780.0,840.53
785.0,840.21
790.0,840.03
795.0,839.39
800.0,839.03
805.0,839.42
810.0,838.47
815.0,839.04
820.0,837.3
820.2,837.52
820.3,838.0
820.4,837.62
820.5,836.93
820.7,837.61
820.8,837.05
820.9,837.52
821.1,839.08
821.2,840.55
821.3,841.37
821.5,838.63
821.6,837.56
821.7,838.36
821.8,837.05
822.0,836.67
822.1,837.47
822.2,839.12
822.4,840.4
822.5,840.28
822.6,838.68
822.8,838.62
822.9,840.72
823.0,840.96
823.2,840.25
823.3,837.7
823.4,837.13
823.5,837.21
823.7,838.05
823.8,837.93
823.9,836.02
824.1,836.3
824.2,838.42
824.3,837.41
824.5,837.04
824.6,837.54
824.7,839.5
824.8,840.5
825.0,837.92
825.1,838.2
825.2,837.29
825.4,834.5
825.5,836.47
825.6,839.52
825.8,840.17
825.9,839.59
826.0,838.76
826.2,837.66
826.3,836.81
826.4,837.29
826.6,838.34
826.7,838.92
826.8,837.49
827.0,837.3
827.1,839.33
827.2,840.28
827.3,839.51
827.5,836.83
827.6,835.64
827.8,836.8
827.9,837.48
828.0,837.56
828.1,838.54
828.3,837.06
828.4,835.89
828.5,837.43
828.7,838.11
828.8,838.77
828.9,839.27
829.1,838.31
829.2,838.18
829.3,838.87
829.5,838.11
829.6,837.16
829.7,836.97
829.9,838.53
830.0,839.94
830.1,839.46
830.3,836.98
830.4,836.47
830.5,837.42
830.7,837.23
830.8,837.37
830.9,837.89
831.1,838.36
831.2,836.94
831.3,836.25
831.5,837.84
831.6,837.97
831.7,836.0
831.9,836.42
832.0,836.91
832.1,835.26
832.3,835.7
832.4,837.58
832.5,838.03
832.7,837.92
832.8,837.96
832.9,836.96
833.1,836.56
833.2,836.6
