Composition,
Date Added,2001-07-18
Formula,
Grain Size Description,<1000.0um
Grain Size,(100.0 - 1000.0)
Locality,"Pu'u O'a Flows, Hawaii"
Minimum Wavelength,1800
Sample Name,HAWJFM1b
Maximum Wavelength,25921
Database of Origin,RELAB
Other Information,Basalt Basaltic Glass
References,
Resolution,9.0
Material class,Rock
Sample Description,
Sample ID,MAHW01B
Original Sample ID,HW-JFM-001-B
Viewing Geometry,Unknown
Wavelength,Response
1800.0,0.08364
1800.7,0.0838
1801.3,0.08435
1801.9,0.08416
1802.6,0.08432
1803.2,0.08385
1803.8,0.08356
1804.4,0.08353
1805.1,0.08364
1805.7,0.08421
1806.3,0.08377
1806.9,0.08276
1807.6,0.08305
1808.2,0.08407
1808.8,0.08383
1809.5,0.08293
1810.1,0.08242
1810.7,0.0835
1811.4,0.08391
1812.0,0.083
1812.6,0.08335
1813.3,0.08399
1813.9,0.08396
1814.5,0.08308
1815.2,0.08369
1815.8,0.08471
1816.4,0.08475
1817.1,0.08418
1817.7,0.08402
1818.4,0.08344
1819.0,0.08345
1819.6,0.08365
1820.3,0.08449
1820.9,0.0854
1821.6,0.0851
1822.2,0.08453
1822.8,0.08421
1823.5,0.08407
1824.1,0.08393
1824.8,0.08376
1825.4,0.08426
1826.0,0.08374
1826.7,0.0836
1827.3,0.08363
1828.0,0.08342
1828.6,0.08375
1829.3,0.08437
1829.9,0.08416
1830.6,0.08359
1831.2,0.08342
1831.8,0.08373
1832.5,0.08379
1833.1,0.08427
1833.8,0.08444
1834.4,0.08402
1835.1,0.08424
1835.7,0.08424
1836.4,0.0849
1837.0,0.08512
1837.7,0.08475
1838.3,0.08514
1839.0,0.08514
1839.7,0.0844
1840.3,0.08445
1841.0,0.08473
1841.6,0.08435
1842.3,0.08464
1842.9,0.08453
1843.6,0.08406
1844.2,0.08474
1844.9,0.08536
1845.5,0.08471
1846.2,0.08474
1846.9,0.08543
1847.5,0.08609
1848.2,0.086
1848.8,0.0851
1849.5,0.08478
1850.2,0.08483
1850.8,0.08486
1851.5,0.08538
1852.1,0.0855
1852.8,0.08491
1853.5,0.08506
1854.1,0.08514
1854.8,0.08481
1855.5,0.08474
1856.1,0.08479
1856.8,0.08511
1857.4,0.08537
1858.1,0.08513
1858.8,0.08545
1859.4,0.08586
1860.1,0.08577
1860.8,0.08583
1861.4,0.08604
1862.1,0.08589
1862.8,0.08546
1863.5,0.08481
1864.1,0.08501
1864.8,0.08584
1865.5,0.08672
1866.1,0.08637
1866.8,0.08571
1867.5,0.08593
1868.2,0.08635
1868.8,0.08627
1869.5,0.08671
1870.2,0.08629
1870.9,0.08506
1871.5,0.08477
1872.2,0.08548
1872.9,0.08581
1873.6,0.08577
1874.2,0.0861
1874.9,0.08635
1875.6,0.08723
1876.3,0.08714
1876.9,0.08612
1877.6,0.0855
1878.3,0.0854
1879.0,0.08625
1879.7,0.08687
1880.4,0.08675
1881.0,0.08643
1881.7,0.08611
1882.4,0.08628
1883.1,0.08649
1883.8,0.08617
1884.5,0.08645
1885.1,0.08639
1885.8,0.086
1886.5,0.08624
1887.2,0.0864
1887.9,0.08668
1888.6,0.08659
1889.3,0.08622
1890.0,0.08597
1890.6,0.08625
1891.3,0.08639
1892.0,0.08668
1892.7,0.08646
1893.4,0.08613
1894.1,0.08622
1894.8,0.08634
1895.5,0.08627
1896.2,0.08591
1896.9,0.08574
1897.6,0.08624
1898.3,0.08607
1899.0,0.08558
1899.6,0.08601
1900.3,0.08636
1901.0,0.08587
1901.7,0.0858
1902.4,0.08631
1903.1,0.0863
1903.8,0.08598
1904.5,0.08646
1905.2,0.08598
1905.9,0.08575
1906.6,0.08641
1907.3,0.08664
1908.0,0.08681
1908.7,0.08697
1909.4,0.08664
1910.1,0.0864
1910.8,0.08639
1911.6,0.08705
1912.3,0.08726
1913.0,0.08632
1913.7,0.08622
1914.4,0.08625
1915.1,0.08633
1915.8,0.08657
1916.5,0.0863
1917.2,0.08603
1917.9,0.08625
1918.6,0.08649
1919.3,0.0869
1920.0,0.08724
1920.8,0.08748
1921.5,0.08712
1922.2,0.08661
1922.9,0.08658
1923.6,0.08711
1924.3,0.08761
1925.0,0.08743
1925.8,0.08738
1926.5,0.08768
1927.2,0.08739
1927.9,0.08711
1928.6,0.08705
1929.3,0.08705
1930.1,0.08726
1930.8,0.08673
1931.5,0.0865
1932.2,0.087
1932.9,0.08725
1933.7,0.08708
1934.4,0.08716
1935.1,0.08765
1935.8,0.08807
1936.5,0.0881
1937.3,0.08726
1938.0,0.08692
1938.7,0.08745
1939.4,0.08811
1940.2,0.08803
1940.9,0.08783
1941.6,0.08801
1942.4,0.08786
1943.1,0.08752
1943.8,0.08718
1944.5,0.08775
1945.3,0.08802
1946.0,0.08743
1946.7,0.08714
1947.5,0.08793
1948.2,0.08832
1948.9,0.08778
1949.7,0.08716
1950.4,0.08742
1951.1,0.0877
1951.9,0.0877
1952.6,0.08814
1953.3,0.08827
1954.1,0.0881
1954.8,0.08798
1955.5,0.08844
1956.3,0.08866
1957.0,0.08828
1957.8,0.08818
1958.5,0.08826
1959.2,0.08796
1960.0,0.08844
1960.7,0.08815
1961.5,0.08821
1962.2,0.0884
1962.9,0.08801
1963.7,0.08814
1964.4,0.08864
1965.2,0.08898
1965.9,0.08871
1966.7,0.08862
1967.4,0.08841
1968.2,0.08828
1968.9,0.08791
1969.7,0.0878
1970.4,0.08796
1971.2,0.08803
1971.9,0.08837
1972.7,0.08854
1973.4,0.08836
1974.2,0.08814
1974.9,0.08858
1975.7,0.089
1976.4,0.08894
1977.2,0.08881
1977.9,0.08857
1978.7,0.08847
1979.4,0.08883
1980.2,0.08842
1980.9,0.08809
1981.7,0.08789
1982.5,0.08774
1983.2,0.08821
1984.0,0.08919
1984.7,0.08937
1985.5,0.08877
1986.3,0.08863
1987.0,0.08883
1987.8,0.08935
1988.5,0.08952
1989.3,0.08896
1990.1,0.08855
1990.8,0.08869
1991.6,0.08899
1992.4,0.08899
1993.1,0.08872
1993.9,0.08846
1994.7,0.08853
1995.4,0.08862
1996.2,0.08925
1997.0,0.08987
1997.7,0.08944
1998.5,0.08884
1999.3,0.0884
2000.1,0.08854
2000.8,0.08878
2001.6,0.08866
2002.4,0.08908
2003.1,0.08948
2003.9,0.08925
2004.7,0.08988
2005.5,0.0898
2006.2,0.08909
2007.0,0.08917
2007.8,0.0894
2008.6,0.08918
2009.4,0.08902
2010.1,0.0892
2010.9,0.08948
2011.7,0.08982
2012.5,0.08952
2013.3,0.08977
2014.0,0.08957
2014.8,0.08917
2015.6,0.08907
2016.4,0.08918
2017.2,0.08935
2018.0,0.08966
2018.7,0.08976
2019.5,0.0899
2020.3,0.0897
2021.1,0.08964
2021.9,0.0896
2022.7,0.08963
2023.5,0.08988
2024.3,0.08913
2025.1,0.08943
2025.8,0.09022
2026.6,0.08996
2027.4,0.08986
2028.2,0.08988
2029.0,0.0899
2029.8,0.08983
2030.6,0.08928
2031.4,0.08961
2032.2,0.08997
2033.0,0.08963
2033.8,0.08923
2034.6,0.08962
2035.4,0.08929
2036.2,0.0895
2037.0,0.09055
2037.8,0.09049
2038.6,0.09006
2039.4,0.08989
2040.2,0.08998
2041.0,0.08974
2041.8,0.08993
2042.6,0.09015
2043.4,0.08998
2044.2,0.09024
2045.0,0.09042
2045.8,0.09028
2046.6,0.09025
2047.4,0.09003
2048.3,0.0896
2049.1,0.08967
2049.9,0.08949
2050.7,0.08953
2051.5,0.08982
2052.3,0.08983
2053.1,0.08965
2053.9,0.08993
2054.8,0.08986
2055.6,0.08998
2056.4,0.09031
2057.2,0.09059
2058.0,0.09047
2058.8,0.09021
2059.6,0.09023
2060.5,0.09034
2061.3,0.09035
2062.1,0.09071
2062.9,0.09006
2063.7,0.0899
2064.6,0.09032
2065.4,0.0901
2066.2,0.09015
2067.0,0.09021
2067.9,0.09002
2068.7,0.0901
2069.5,0.09036
2070.3,0.09042
2071.2,0.09095
2072.0,0.09072
2072.8,0.09031
2073.7,0.09061
2074.5,0.09121
2075.3,0.09101
2076.1,0.09025
2077.0,0.09011
2077.8,0.09025
2078.6,0.09045
2079.5,0.09042
2080.3,0.09015
2081.1,0.09011
2082.0,0.09038
2082.8,0.09077
2083.7,0.09048
2084.5,0.09031
2085.3,0.0905
2086.2,0.09066
2087.0,0.09068
2087.9,0.09042
2088.7,0.09036
2089.5,0.09051
2090.4,0.09061
2091.2,0.09061
2092.1,0.09056
2092.9,0.09127
2093.8,0.09169
2094.6,0.09122
2095.4,0.09091
2096.3,0.09106
2097.1,0.09114
2098.0,0.09064
2098.8,0.09074
2099.7,0.09109
2100.5,0.09095
2101.4,0.09074
2102.2,0.09063
2103.1,0.09076
2104.0,0.09099
2104.8,0.09114
2105.7,0.09136
2106.5,0.09118
2107.4,0.09116
2108.2,0.09126
2109.1,0.09123
2109.9,0.09105
2110.8,0.09107
2111.7,0.09081
2112.5,0.09082
2113.4,0.09128
2114.2,0.09151
2115.1,0.09149
2116.0,0.09133
2116.8,0.09112
2117.7,0.09088
2118.6,0.09107
2119.4,0.09104
2120.3,0.09101
2121.2,0.09126
2122.0,0.09134
2122.9,0.0914
2123.8,0.0913
2124.6,0.09138
2125.5,0.09103
2126.4,0.09089
2127.3,0.09109
2128.1,0.09152
2129.0,0.09167
2129.9,0.09156
2130.8,0.09157
2131.6,0.09161
2132.5,0.0918
2133.4,0.09213
2134.3,0.09182
2135.1,0.09132
2136.0,0.09151
2136.9,0.09162
2137.8,0.09153
2138.7,0.09177
2139.6,0.09203
2140.4,0.09174
2141.3,0.09144
2142.2,0.09143
2143.1,0.09138
2144.0,0.09157
2144.9,0.09164
2145.8,0.09154
2146.6,0.09147
2147.5,0.09128
2148.4,0.09183
2149.3,0.09246
2150.2,0.09192
2151.1,0.09154
2152.0,0.09192
2152.9,0.09206
2153.8,0.09187
2154.7,0.09184
2155.6,0.09211
2156.5,0.09205
2157.4,0.09173
2158.3,0.09158
2159.2,0.09156
2160.1,0.09153
2161.0,0.09153
2161.9,0.09159
2162.8,0.09173
2163.7,0.09201
2164.6,0.0919
2165.5,0.09168
2166.4,0.09172
2167.3,0.09189
2168.2,0.09162
2169.1,0.0914
2170.0,0.09163
2170.9,0.09193
2171.8,0.09212
2172.7,0.09229
2173.6,0.09184
2174.6,0.09153
2175.5,0.09174
2176.4,0.09211
2177.3,0.09216
2178.2,0.09192
2179.1,0.0918
2180.0,0.09208
2181.0,0.09188
2181.9,0.09177
2182.8,0.09185
2183.7,0.09171
2184.6,0.09207
2185.6,0.09214
2186.5,0.09195
2187.4,0.09192
2188.3,0.09223
2189.2,0.09214
2190.2,0.09211
2191.1,0.09196
2192.0,0.09203
2193.0,0.09236
2193.9,0.09239
2194.8,0.0923
2195.7,0.09216
2196.7,0.09213
2197.6,0.09228
2198.5,0.09249
2199.5,0.09263
2200.4,0.09254
2201.3,0.09227
2202.3,0.09209
2203.2,0.09205
2204.1,0.09221
2205.1,0.0925
2206.0,0.09254
2207.0,0.09256
2207.9,0.09284
2208.8,0.09263
2209.8,0.09256
2210.7,0.09235
2211.7,0.09218
2212.6,0.0925
2213.6,0.0927
2214.5,0.0926
2215.4,0.09288
2216.4,0.09305
2217.3,0.09272
2218.3,0.09254
2219.2,0.09252
2220.2,0.09233
2221.1,0.09249
2222.1,0.09237
2223.0,0.09245
2224.0,0.09258
2225.0,0.09251
2225.9,0.09238
2226.9,0.09234
2227.8,0.09284
2228.8,0.09327
2229.7,0.09295
2230.7,0.09257
2231.7,0.0925
2232.6,0.0925
2233.6,0.0928
2234.5,0.09315
2235.5,0.093
2236.5,0.09247
2237.4,0.09226
2238.4,0.09248
2239.4,0.09263
2240.3,0.09255
2241.3,0.09282
2242.3,0.09265
2243.2,0.09265
2244.2,0.09292
2245.2,0.09311
2246.2,0.09304
2247.1,0.09287
2248.1,0.09306
2249.1,0.09302
2250.1,0.09305
2251.0,0.09309
2252.0,0.09306
2253.0,0.09286
2254.0,0.09284
2255.0,0.09273
2255.9,0.09269
2256.9,0.09312
2257.9,0.09342
2258.9,0.09334
2259.9,0.09305
2260.9,0.09312
2261.8,0.09302
2262.8,0.09284
2263.8,0.09289
2264.8,0.09309
2265.8,0.09303
2266.8,0.09303
2267.8,0.09318
2268.8,0.09328
2269.8,0.09327
2270.8,0.09319
2271.8,0.0932
2272.7,0.09323
2273.7,0.09339
2274.7,0.09326
2275.7,0.09317
2276.7,0.09347
2277.7,0.09365
2278.7,0.09362
2279.7,0.09349
2280.7,0.0935
2281.7,0.09354
2282.8,0.09356
2283.8,0.09372
2284.8,0.09369
2285.8,0.09377
2286.8,0.09366
2287.8,0.09348
2288.8,0.09358
2289.8,0.09378
2290.8,0.09383
2291.8,0.09345
2292.9,0.09329
2293.9,0.0936
2294.9,0.09392
2295.9,0.09377
2296.9,0.09358
2297.9,0.09356
2299.0,0.09372
2300.0,0.09382
2301.0,0.09386
2302.0,0.09387
2303.0,0.09384
2304.1,0.09387
2305.1,0.09376
2306.1,0.09388
2307.1,0.09389
2308.2,0.09382
2309.2,0.09394
2310.2,0.09394
2311.3,0.09381
2312.3,0.09383
2313.3,0.09393
2314.3,0.09401
2315.4,0.09382
2316.4,0.09381
2317.4,0.09384
2318.5,0.09379
2319.5,0.09378
2320.6,0.09393
2321.6,0.09392
2322.6,0.09402
