Composition,
Date Added,2015-11-20
Formula,
Grain Size Description,<45.0um
Grain Size,0.0 - 45.0
Locality,
Minimum Wavelength,300
Sample Name,Troctolite #9 1500C
Maximum Wavelength,25050
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Glass
Sample Description,Quenched at 1500C.
Sample ID,BKR1JG015
Original Sample ID,JG-J1G-015
Viewing Geometry,
Wavelength,Response
300.0,136.95
305.0,155.55
310.0,176.97
315.0,200.29
320.0,222.55
325.0,243.15
330.0,262.88
335.0,279.96
340.0,295.82
345.0,312.47
350.0,325.91
355.0,340.3
360.0,353.25
365.0,365.56
370.0,377.01
375.0,387.67
380.0,396.96
385.0,406.05
390.0,414.61
395.0,420.18
400.0,425.87
405.0,428.19
410.0,431.69
415.0,437.18
420.0,442.94
425.0,447.52
430.0,453.82
435.0,457.05
440.0,461.1
445.0,464.17
450.0,468.22
455.0,470.09
460.0,472.24
465.0,474.44
470.0,476.41
475.0,479.14
480.0,481.37
485.0,483.15
490.0,485.8
495.0,489.72
500.0,489.93
505.0,492.11
510.0,495.27
515.0,497.25
520.0,498.79
525.0,500.88
530.0,502.38
535.0,503.2
540.0,504.69
545.0,506.05
550.0,506.4
555.0,507.67
560.0,507.15
565.0,505.17
570.0,503.45
575.0,502.08
580.0,500.06
585.0,498.34
590.0,497.74
595.0,496.41
600.0,494.62
605.0,493.21
610.0,491.67
615.0,489.89
620.0,487.83
625.0,485.9
630.0,483.46
635.0,480.86
640.0,478.15
645.0,476.75
650.0,474.1
655.0,472.04
660.0,470.81
665.0,469.04
670.0,466.3
675.0,464.98
680.0,463.62
685.0,461.45
690.0,459.89
695.0,458.32
700.0,456.34
705.0,454.21
710.0,451.89
715.0,449.34
720.0,446.43
725.0,443.56
730.0,440.52
735.0,437.55
740.0,434.37
745.0,430.65
750.0,427.43
755.0,424.6
760.0,421.29
765.0,418.13
770.0,415.41
775.0,412.27
780.0,408.75
785.0,405.62
790.0,402.54
795.0,399.5
800.0,395.11
805.0,392.71
810.0,390.06
815.0,387.63
820.0,385.45
825.0,383.13
830.0,380.76
835.0,378.2
840.0,375.63
845.0,372.81
850.0,370.32
855.0,368.95
860.0,366.69
865.0,363.08
870.0,361.7
875.0,360.1
880.0,358.28
885.0,355.49
890.0,353.3
895.0,350.49
900.0,349.62
905.0,348.14
910.0,346.46
915.0,345.44
920.0,344.46
925.0,343.47
930.0,342.49
935.0,341.51
940.0,340.53
945.0,339.55
950.0,338.56
955.0,337.6
960.0,336.22
965.0,334.82
970.0,333.83
975.0,332.83
980.0,331.81
985.0,330.63
990.0,329.86
995.0,328.82
1000.0,327.46
1005.0,326.82
1010.0,327.05
1015.0,326.02
1020.0,325.89
1025.0,325.75
1030.0,325.25
1035.0,324.48
1040.0,324.58
1045.0,324.82
1050.0,324.15
1055.0,324.33
1060.0,324.05
1065.0,324.43
1070.0,323.75
1075.0,323.46
1080.0,324.17
1085.0,323.91
1090.0,324.8
1095.0,324.74
1100.0,324.53
1105.0,325.1
1110.0,325.99
1115.0,326.52
1120.0,326.69
1125.0,326.64
1130.0,326.37
1135.0,328.33
1140.0,328.85
1145.0,328.39
1150.0,329.82
1155.0,330.54
1160.0,331.08
1165.0,331.86
1170.0,332.71
1175.0,333.49
1180.0,334.28
1185.0,335.12
1190.0,335.9
1195.0,336.55
1200.0,337.67
1205.0,339.06
1210.0,340.0
1215.0,341.52
1220.0,342.18
1225.0,342.93
1230.0,345.15
1235.0,345.38
1240.0,346.78
1245.0,348.43
1250.0,349.14
1255.0,350.3
1260.0,351.09
1265.0,352.46
1270.0,353.71
1275.0,355.54
1280.0,357.49
1285.0,359.2
1290.0,360.97
1295.0,361.01
1300.0,363.55
1305.0,364.94
1310.0,364.09
1315.0,365.4
1320.0,368.25
1325.0,368.77
1330.0,370.83
1335.0,373.37
1340.0,374.65
1345.0,375.72
1350.0,376.79
1355.0,377.64
1360.0,378.41
1365.0,379.77
1370.0,380.95
1375.0,381.89
1380.0,383.34
1385.0,385.4
1390.0,386.8
1395.0,387.92
1400.0,389.08
1405.0,390.45
1410.0,391.69
1415.0,393.0
1420.0,394.65
1425.0,395.33
1430.0,396.09
1435.0,397.37
1440.0,399.74
1445.0,401.48
1450.0,401.56
1455.0,402.41
1460.0,403.3
1465.0,404.14
1470.0,404.9
1475.0,405.9
1480.0,406.96
1485.0,407.57
1490.0,408.37
1495.0,409.02
1500.0,409.73
1505.0,410.14
1510.0,410.63
1515.0,411.44
1520.0,412.27
1525.0,412.97
1530.0,414.02
1535.0,414.66
1540.0,415.37
1545.0,414.65
1550.0,416.76
1555.0,417.16
1560.0,418.31
1565.0,418.09
1570.0,418.89
1575.0,418.1
1580.0,419.38
1585.0,419.6
1590.0,420.16
1595.0,419.76
1600.0,420.02
1605.0,420.19
1610.0,420.53
1615.0,420.67
1620.0,421.34
1625.0,421.48
1630.0,421.77
1635.0,422.17
1640.0,422.43
1645.0,422.49
1650.0,422.89
1655.0,422.64
1660.0,422.43
1665.0,422.17
1670.0,422.33
1675.0,422.14
1680.0,421.74
1685.0,421.53
1690.0,421.31
1695.0,420.99
1700.0,421.16
1705.0,421.62
1710.0,421.63
1715.0,421.86
1720.0,421.72
1725.0,422.1
1730.0,422.22
1735.0,422.78
1740.0,423.58
1745.0,423.79
1750.0,424.02
1755.0,424.18
1760.0,424.49
1765.0,424.19
1770.0,425.34
1775.0,425.65
1780.0,426.13
1785.0,426.96
1790.0,427.2
1795.0,426.85
1800.0,427.44
1805.0,427.83
1810.0,427.81
1815.0,428.1
1820.0,428.45
1825.0,428.47
1830.0,428.88
1835.0,429.36
1840.0,429.75
1845.0,430.14
1850.0,431.06
1855.0,430.63
1860.0,430.63
1865.0,431.09
1870.0,431.4
1875.0,431.92
1880.0,432.44
1885.0,433.07
1890.0,433.16
1895.0,433.53
1900.0,433.9
1905.0,434.23
1910.0,434.81
1915.0,435.21
1920.0,435.8
1925.0,436.23
1930.0,435.72
1935.0,436.32
1940.0,436.39
1945.0,437.98
1950.0,438.05
1955.0,438.26
1960.0,438.61
1965.0,440.99
1970.0,441.33
1975.0,442.02
1980.0,442.86
1985.0,442.73
1990.0,442.68
1995.0,441.86
2000.0,443.28
2005.0,444.12
2010.0,445.79
2015.0,445.01
2020.0,445.36
2025.0,446.67
2030.0,446.7
2035.0,447.14
2040.0,447.82
2045.0,449.36
2050.0,449.88
2055.0,449.95
2060.0,450.91
2065.0,452.18
2070.0,453.19
2075.0,452.9
2080.0,453.57
2085.0,454.07
2090.0,453.95
2095.0,453.67
2100.0,454.42
2105.0,454.22
2110.0,455.48
2115.0,456.93
2120.0,457.23
2125.0,457.3
2130.0,458.36
2135.0,460.3
2140.0,459.5
2145.0,460.96
2150.0,460.16
2155.0,461.48
2160.0,462.3
2165.0,463.14
2170.0,465.48
2175.0,465.19
2180.0,466.08
2185.0,466.5
2190.0,467.69
2195.0,468.64
2200.0,468.89
2205.0,469.24
2210.0,469.68
2215.0,470.39
2220.0,472.45
2225.0,472.43
2230.0,473.33
2235.0,473.12
2240.0,473.83
2245.0,474.62
2250.0,473.59
2255.0,474.02
2260.0,473.18
2265.0,468.86
2270.0,467.89
2275.0,466.58
2280.0,465.09
2285.0,465.79
2290.0,465.91
2295.0,465.9
2300.0,462.11
2305.0,461.1
2310.0,459.41
2315.0,461.76
2320.0,464.16
2325.0,469.53
2330.0,468.86
2335.0,471.33
2340.0,469.22
2345.0,467.97
2350.0,467.2
2355.0,470.64
2360.0,471.7
2365.0,471.92
2370.0,472.65
2375.0,473.3
2380.0,473.19
2385.0,475.36
2390.0,475.1
2395.0,475.93
2400.0,475.73
2405.0,475.25
2410.0,475.57
2415.0,476.08
2420.0,477.05
2425.0,478.31
2430.0,478.25
2435.0,478.88
2440.0,479.09
2445.0,478.6
2450.0,478.01
2455.0,477.08
2460.0,476.48
2465.0,476.18
2470.0,477.1
2475.0,478.66
2480.0,481.25
2485.0,481.05
2490.0,481.82
2495.0,483.05
2500.0,481.38
2505.0,481.67
2510.0,483.19
2515.0,482.42
