Composition,
Date Added,1991-04-10
Formula,
Grain Size Description,<125.0um
Grain Size,"(0.0, 125.0)"
Locality,
Minimum Wavelength,1600
Sample Name,680% Fe-exchanged SWy-1 <45 um
Maximum Wavelength,25168
Database of Origin,RELAB
Other Information,Montmorillonite Cation-Exchanged
References,
Resolution,3.0
Material class,Mineral
Sample Description,
Sample ID,041091M12
Original Sample ID,JB-CMP-012
Viewing Geometry,unknown
Wavelength,Response
1600.2,0.67866
1600.5,0.6796
1600.7,0.67856
1601.0,0.67496
1601.2,0.67608
1601.5,0.67795
1601.7,0.67955
1602.0,0.67469
1602.2,0.67561
1602.5,0.67665
1602.7,0.67733
1603.0,0.67738
1603.2,0.67958
1603.5,0.6825
1603.7,0.68302
1603.9,0.68153
1604.2,0.68163
1604.4,0.68231
1604.7,0.68146
1604.9,0.68098
1605.2,0.67972
1605.4,0.68075
1605.7,0.67904
1605.9,0.67676
1606.2,0.67681
1606.4,0.67698
1606.7,0.6772
1606.9,0.67657
1607.2,0.67735
1607.4,0.67965
1607.7,0.68008
1607.9,0.67793
1608.2,0.67509
1608.4,0.67406
1608.7,0.67124
1608.9,0.6714
1609.2,0.6727
1609.4,0.67358
1609.7,0.67325
1609.9,0.67306
1610.2,0.67375
1610.4,0.67507
1610.7,0.67587
1610.9,0.67656
1611.2,0.67683
1611.4,0.67656
1611.7,0.6754
1611.9,0.67696
1612.2,0.67705
1612.4,0.67639
1612.7,0.67316
1612.9,0.67473
1613.2,0.67744
1613.4,0.67916
1613.7,0.6776
1613.9,0.67664
1614.2,0.67646
1614.4,0.67889
1614.7,0.67784
1614.9,0.6767
1615.2,0.67921
1615.4,0.68209
1615.7,0.6862
1615.9,0.68709
1616.2,0.68646
1616.5,0.68164
1616.7,0.67812
1617.0,0.67461
1617.2,0.6786
1617.5,0.67976
1617.7,0.67896
1618.0,0.6756
1618.2,0.67472
1618.5,0.67445
1618.7,0.67416
1619.0,0.67426
1619.2,0.67495
1619.5,0.67627
1619.7,0.675
1620.0,0.67504
1620.2,0.67675
1620.5,0.6771
1620.7,0.67709
1621.0,0.67589
1621.3,0.67389
1621.5,0.67338
1621.8,0.67278
1622.0,0.67279
1622.3,0.67554
1622.5,0.67596
1622.8,0.67538
1623.0,0.67526
1623.3,0.67395
1623.5,0.67694
1623.8,0.67925
1624.0,0.68077
1624.3,0.68058
1624.6,0.67982
1624.8,0.6792
1625.1,0.67848
1625.3,0.67998
1625.6,0.6813
1625.8,0.6809
1626.1,0.67947
1626.3,0.67965
1626.6,0.67777
1626.8,0.67651
1627.1,0.67774
1627.4,0.6782
1627.6,0.67977
1627.9,0.68042
1628.1,0.68108
1628.4,0.68119
1628.6,0.6795
1628.9,0.67531
1629.1,0.67484
1629.4,0.67499
1629.7,0.67702
1629.9,0.6779
1630.2,0.68007
1630.4,0.68227
1630.7,0.68128
1630.9,0.67941
1631.2,0.67887
1631.5,0.68095
1631.7,0.68205
1632.0,0.68087
1632.2,0.68019
1632.5,0.68039
1632.7,0.68098
1633.0,0.67971
1633.3,0.67913
1633.5,0.68053
1633.8,0.68011
1634.0,0.67872
1634.3,0.67875
1634.5,0.68129
1634.8,0.68235
1635.1,0.68054
1635.3,0.67917
1635.6,0.67987
1635.8,0.68126
1636.1,0.68043
1636.3,0.6787
1636.6,0.67695
1636.9,0.67456
1637.1,0.67293
1637.4,0.67273
1637.6,0.67743
1637.9,0.68061
