Composition,
Date Added,2001-11-30
Formula,
Grain Size Description,<90.0um
Grain Size,(10.0 - 90.0)
Locality,
Minimum Wavelength,850
Sample Name,Lane hematite 10-90
Maximum Wavelength,25921
Database of Origin,RELAB
Other Information,Hematite Iron Oxide
References,
Resolution,7.0
Material class,Mineral
Sample Description,
Sample ID,1101S548
Original Sample ID,JB-JLB-548
Viewing Geometry,Unknown
Wavelength,Response
850.1,0.10002
850.4,0.10101
850.7,0.10093
851.0,0.10093
851.3,0.10124
851.5,0.10114
851.8,0.10134
852.1,0.10026
852.4,0.10131
852.7,0.10292
852.9,0.10289
853.2,0.10231
853.5,0.10195
853.8,0.10307
854.1,0.10335
854.3,0.10229
854.6,0.1009
854.9,0.1023
855.2,0.10359
855.5,0.10245
855.8,0.10163
856.0,0.10055
856.3,0.09999
856.6,0.10042
856.9,0.09955
857.2,0.09941
857.4,0.10034
857.7,0.10106
858.0,0.10214
858.3,0.10111
858.6,0.10219
858.9,0.10307
859.2,0.10148
859.4,0.10179
859.7,0.10266
860.0,0.10179
860.3,0.10184
860.6,0.10207
860.9,0.10099
861.2,0.10081
861.4,0.10211
861.7,0.10279
862.0,0.10225
862.3,0.10193
862.6,0.1
862.9,0.09923
863.2,0.10174
863.4,0.10276
863.7,0.10316
864.0,0.10286
864.3,0.10155
864.6,0.10111
864.9,0.10127
865.2,0.10193
865.5,0.10157
865.8,0.10048
866.0,0.1016
866.3,0.10334
866.6,0.10321
866.9,0.1035
867.2,0.10403
867.5,0.10264
867.8,0.10316
868.1,0.10458
868.4,0.10332
868.7,0.10267
868.9,0.10377
869.2,0.10286
869.5,0.10278
869.8,0.10431
870.1,0.10458
870.4,0.10321
870.7,0.10308
871.0,0.10365
871.3,0.10285
871.6,0.10284
871.9,0.10389
872.2,0.10426
872.5,0.10333
872.8,0.10293
873.0,0.10294
873.3,0.10316
873.6,0.10343
873.9,0.10228
874.2,0.10197
874.5,0.10257
874.8,0.10302
875.1,0.10235
875.4,0.10277
875.7,0.10362
876.0,0.10433
876.3,0.10439
876.6,0.10409
876.9,0.10344
877.2,0.10407
877.5,0.10481
877.8,0.10575
878.1,0.10536
878.4,0.10444
878.7,0.10401
879.0,0.10341
879.3,0.10234
879.6,0.10357
879.9,0.10442
880.2,0.10372
880.5,0.10421
880.8,0.10516
881.1,0.10442
881.4,0.10434
881.7,0.1046
882.0,0.1046
882.3,0.10432
882.6,0.1035
882.9,0.10385
883.2,0.1037
883.5,0.10291
883.8,0.10327
884.1,0.1035
884.4,0.10338
884.7,0.10316
885.0,0.10262
885.3,0.10314
885.6,0.10321
885.9,0.10359
886.2,0.10456
886.5,0.10475
886.8,0.10354
887.1,0.10343
887.4,0.10518
887.7,0.10618
888.0,0.10641
888.3,0.10668
888.6,0.10613
888.9,0.10495
889.2,0.10445
889.5,0.10461
889.8,0.10469
890.1,0.10494
890.4,0.10527
890.7,0.10538
891.1,0.10511
891.4,0.10462
891.7,0.1047
892.0,0.10577
892.3,0.10573
892.6,0.10507
892.9,0.10523
893.2,0.10647
893.5,0.10693
893.8,0.10597
894.1,0.10494
894.4,0.10424
894.7,0.10449
895.1,0.10545
895.4,0.10521
895.7,0.10531
896.0,0.10587
896.3,0.10561
896.6,0.10498
896.9,0.10568
897.2,0.10598
897.5,0.10514
897.8,0.10534
898.2,0.10593
898.5,0.10597
898.8,0.10594
899.1,0.10658
899.4,0.10642
899.7,0.10685
900.0,0.10686
900.3,0.10585
900.6,0.10596
901.0,0.10619
901.3,0.10587
901.6,0.10663
901.9,0.10623
902.2,0.10531
902.5,0.10601
902.8,0.10619
903.2,0.10627
903.5,0.1061
903.8,0.1061
904.1,0.10658
904.4,0.10654
904.7,0.1068
905.1,0.10629
905.4,0.10565
905.7,0.10647
906.0,0.10714
906.3,0.1064
906.6,0.10611
907.0,0.10642
907.3,0.1063
907.6,0.10659
907.9,0.10664
908.2,0.10603
908.5,0.1059
908.9,0.1059
909.2,0.10521
909.5,0.10538
909.8,0.10621
910.1,0.1067
910.5,0.10643
910.8,0.10642
911.1,0.10739
911.4,0.10715
911.7,0.10721
912.1,0.10784
912.4,0.10683
912.7,0.10649
913.0,0.10724
913.3,0.10741
913.7,0.10769
914.0,0.10762
914.3,0.10761
914.6,0.10788
915.0,0.10816
915.3,0.10788
915.6,0.10746
915.9,0.10755
916.2,0.10744
916.6,0.10789
916.9,0.1077
917.2,0.10792
917.5,0.10838
917.9,0.10765
918.2,0.1085
918.5,0.10786
918.8,0.10387
919.2,0.10416
919.5,0.10673
919.8,0.10857
920.2,0.10883
920.5,0.10848
920.8,0.10832
921.1,0.10799
921.5,0.10791
921.8,0.10726
922.1,0.10748
922.4,0.10745
922.8,0.10667
923.1,0.10817
923.4,0.10897
923.8,0.10877
924.1,0.10824
924.4,0.10781
924.7,0.10884
925.1,0.10931
925.4,0.10934
925.7,0.10678
926.1,0.10391
926.4,0.10756
926.7,0.10396
927.1,0.09491
927.4,0.10054
927.7,0.10818
928.1,0.10892
928.4,0.10856
928.7,0.10779
929.1,0.10706
929.4,0.10789
929.7,0.10921
930.1,0.11002
930.4,0.10991
930.7,0.10939
931.1,0.10944
931.4,0.10971
931.7,0.10954
932.1,0.10914
932.4,0.10946
932.7,0.1092
933.1,0.10796
933.4,0.10758
933.7,0.10892
934.1,0.10867
934.4,0.10935
934.8,0.10951
935.1,0.10816
935.4,0.10837
935.8,0.11015
936.1,0.11032
936.4,0.10958
936.8,0.11025
937.1,0.11042
937.5,0.11032
937.8,0.11032
938.1,0.10976
938.5,0.10926
938.8,0.10978
939.2,0.10967
939.5,0.10995
939.8,0.11071
940.2,0.11091
940.5,0.11115
940.9,0.11144
941.2,0.11108
941.5,0.11131
941.9,0.11149
942.2,0.11154
942.6,0.11133
942.9,0.11076
943.3,0.1097
943.6,0.10957
943.9,0.11021
944.3,0.11123
944.6,0.11127
945.0,0.11116
945.3,0.11096
945.7,0.1111
946.0,0.11131
946.4,0.11169
946.7,0.11115
947.0,0.11086
947.4,0.11143
947.7,0.11179
948.1,0.11148
948.4,0.11106
948.8,0.111
949.1,0.11152
949.5,0.11169
949.8,0.11174
950.2,0.11157
950.5,0.11187
950.9,0.11222
951.2,0.11251
951.6,0.11256
951.9,0.11196
952.3,0.11193
952.6,0.11214
953.0,0.11211
953.3,0.11233
953.7,0.11227
954.0,0.11272
954.4,0.11292
954.7,0.11243
955.1,0.11244
955.4,0.11283
955.8,0.11293
956.1,0.11289
956.5,0.11283
956.8,0.1128
957.2,0.11275
957.5,0.11321
957.9,0.11343
958.3,0.11369
958.6,0.11367
959.0,0.11344
959.3,0.11332
959.7,0.11323
960.0,0.11364
960.4,0.11377
960.7,0.11387
961.1,0.11398
961.4,0.1134
961.8,0.11347
962.2,0.11402
962.5,0.11456
962.9,0.11465
963.2,0.11419
963.6,0.11372
964.0,0.11354
964.3,0.11366
964.7,0.11412
965.0,0.11439
965.4,0.11455
965.7,0.11494
966.1,0.1152
966.5,0.11557
966.8,0.11597
967.2,0.11541
967.6,0.11478
967.9,0.11503
968.3,0.11538
968.6,0.11523
969.0,0.11479
969.4,0.11501
969.7,0.11556
970.1,0.11571
970.4,0.11534
970.8,0.11535
971.2,0.1159
971.5,0.11676
971.9,0.11692
972.3,0.1166
972.6,0.1163
973.0,0.11606
973.4,0.11607
973.7,0.11653
