Composition,
Date Added,2010-05-21
Formula,
Grain Size Description,<125.0um
Grain Size,"(63.0, 125.0)"
Locality,"Landsee, Austria"
Minimum Wavelength,909
Sample Name,Landsee soil 63-125 um
Maximum Wavelength,99719
Database of Origin,RELAB
Other Information,Smectite Other
References,
Resolution,4.0
Material class,Mixture
Sample Description,"Clay-bearing soil from Franz Ottner, Boku; green/beige color (MDAP, MFRP, Active Missions, Prop Prep)"
Sample ID,BIR1JB178F
Original Sample ID,JB-JLB-178-F
Viewing Geometry,unknown
Wavelength,Response
909.0,0.17823
909.2,0.17807
909.3,0.17784
909.5,0.1775
909.7,0.17776
909.8,0.17766
910.0,0.17754
910.1,0.17767
910.3,0.17784
910.5,0.17756
910.6,0.17749
910.8,0.17782
910.9,0.17806
911.1,0.17781
911.3,0.17748
911.4,0.1777
911.6,0.17807
911.7,0.17804
911.9,0.17805
912.1,0.1781
912.2,0.17749
912.4,0.17703
912.5,0.1774
912.7,0.17779
912.9,0.17788
913.0,0.17784
913.2,0.17786
913.3,0.17812
913.5,0.17813
913.7,0.17786
913.8,0.17795
914.0,0.17775
914.2,0.17753
914.3,0.17789
914.5,0.17789
914.6,0.17763
914.8,0.1776
915.0,0.17778
915.1,0.17751
915.3,0.17726
915.4,0.17757
915.6,0.1776
915.8,0.17781
915.9,0.17822
916.1,0.17813
916.3,0.17785
916.4,0.17766
916.6,0.17767
916.7,0.1778
916.9,0.17779
917.1,0.17796
917.2,0.17786
917.4,0.17745
917.5,0.17718
917.7,0.17678
917.9,0.17664
918.0,0.17687
918.2,0.17712
918.4,0.17751
918.5,0.17774
918.7,0.17808
918.8,0.17814
919.0,0.17807
919.2,0.17784
919.3,0.17781
919.5,0.17827
919.7,0.17821
919.8,0.17759
920.0,0.17746
920.2,0.17749
920.3,0.17754
920.5,0.178
920.6,0.17784
920.8,0.17768
921.0,0.17799
921.1,0.17803
921.3,0.17807
921.5,0.17799
921.6,0.17741
921.8,0.17705
922.0,0.17724
922.1,0.1774
922.3,0.17762
922.4,0.17779
922.6,0.17799
922.8,0.17797
922.9,0.17781
923.1,0.17776
923.3,0.17782
923.4,0.17757
923.6,0.17764
923.8,0.17769
923.9,0.17768
924.1,0.17776
924.3,0.17754
924.4,0.17737
924.6,0.17768
924.7,0.17812
924.9,0.1779
925.1,0.17727
925.2,0.17735
925.4,0.17779
925.6,0.17766
925.7,0.17749
925.9,0.17787
926.1,0.17815
926.2,0.17788
926.4,0.17766
926.6,0.17765
926.7,0.17747
926.9,0.17769
927.1,0.17788
927.2,0.17739
927.4,0.17737
927.6,0.17782
927.7,0.17778
927.9,0.17749
928.0,0.17745
928.2,0.17766
928.4,0.17763
928.5,0.17783
928.7,0.17801
928.9,0.17763
929.0,0.17745
929.2,0.17781
929.4,0.1782
929.5,0.17786
929.7,0.1777
929.9,0.17774
930.0,0.17763
930.2,0.17731
930.4,0.17735
930.5,0.17772
930.7,0.17762
930.9,0.17748
931.0,0.17762
931.2,0.17756
931.4,0.17737
931.6,0.17747
931.7,0.17747
931.9,0.17746
932.1,0.1775
932.2,0.17739
932.4,0.17755
932.6,0.17785
932.7,0.17813
932.9,0.17784
933.1,0.17721
933.2,0.17723
933.4,0.1777
933.6,0.17793
933.7,0.17789
933.9,0.17773
934.1,0.17765
934.2,0.17755
934.4,0.17782
934.6,0.17822
934.8,0.17823
934.9,0.17793
935.1,0.17787
935.3,0.17765
935.4,0.17748
935.6,0.17731
935.8,0.17708
935.9,0.17738
936.1,0.17768
936.3,0.17737
936.4,0.17716
936.6,0.17741
936.8,0.17794
936.9,0.17791
937.1,0.17754
937.3,0.17739
937.5,0.17736
937.6,0.17755
937.8,0.1777
938.0,0.17774
938.1,0.17758
938.3,0.1773
938.5,0.17688
938.6,0.17725
938.8,0.17766
939.0,0.17751
939.2,0.17782
939.3,0.17806
939.5,0.17777
939.7,0.17769
939.8,0.17771
940.0,0.17761
940.2,0.17751
940.3,0.17762
940.5,0.17781
940.7,0.17804
940.8,0.17813
941.0,0.17814
941.2,0.17806
941.4,0.17807
941.5,0.1781
941.7,0.1779
941.9,0.17779
942.0,0.17791
942.2,0.17794
942.4,0.17778
942.6,0.17776
942.7,0.17795
942.9,0.17815
943.1,0.17816
943.3,0.17779
943.4,0.17743
943.6,0.17767
943.8,0.17782
943.9,0.17781
944.1,0.17799
944.3,0.17795
944.5,0.1777
944.6,0.17783
944.8,0.17796
945.0,0.17754
945.1,0.17735
945.3,0.17746
945.5,0.17739
945.7,0.1776
945.8,0.17802
946.0,0.17805
946.2,0.17807
946.3,0.17797
946.5,0.17788
946.7,0.17801
946.9,0.17824
947.0,0.1782
947.2,0.1781
947.4,0.17803
947.6,0.17808
947.7,0.1782
947.9,0.17791
948.1,0.17793
948.3,0.17823
948.4,0.1784
948.6,0.17832
948.8,0.17818
949.0,0.17795
949.1,0.17812
949.3,0.17828
949.5,0.17777
949.6,0.17762
949.8,0.17801
950.0,0.17801
950.2,0.17771
950.3,0.17815
950.5,0.17853
950.7,0.17849
950.9,0.17844
951.0,0.17837
951.2,0.17824
951.4,0.1783
951.6,0.17828
951.7,0.1784
951.9,0.1784
952.1,0.17833
952.3,0.17873
952.4,0.17891
952.6,0.17881
952.8,0.17886
953.0,0.17852
953.1,0.17861
953.3,0.17896
953.5,0.17887
953.7,0.17878
953.8,0.17875
954.0,0.17839
954.2,0.1783
954.4,0.17859
954.5,0.17869
954.7,0.17852
954.9,0.17846
955.1,0.17873
955.2,0.17885
955.4,0.17863
955.6,0.17866
955.8,0.17891
956.0,0.17888
956.1,0.17876
956.3,0.1787
956.5,0.1788
956.7,0.17889
956.8,0.17895
957.0,0.17886
957.2,0.17892
957.4,0.17877
957.5,0.17887
957.7,0.17898
957.9,0.179
958.1,0.17898
958.2,0.1789
958.4,0.17896
958.6,0.17899
958.8,0.1789
959.0,0.17889
959.1,0.17906
959.3,0.17926
959.5,0.17944
959.7,0.1795
959.8,0.17937
960.0,0.17925
960.2,0.17935
960.4,0.17958
960.5,0.17945
960.7,0.17922
960.9,0.17911
961.1,0.17904
961.3,0.1791
961.4,0.17932
961.6,0.17934
961.8,0.1793
962.0,0.17921
962.2,0.17936
962.3,0.17956
962.5,0.17939
962.7,0.17927
962.9,0.17923
963.0,0.17932
963.2,0.17943
963.4,0.17948
963.6,0.17948
963.8,0.17935
963.9,0.17919
964.1,0.17924
964.3,0.17934
964.5,0.17927
964.7,0.17932
964.8,0.17958
965.0,0.17952
965.2,0.17954
965.4,0.17971
965.6,0.1798
965.7,0.17979
965.9,0.17966
966.1,0.17941
966.3,0.17924
966.5,0.17954
966.6,0.17962
