Composition,
Date Added,2009-09-18
Formula,
Grain Size Description,<0.1um
Grain Size,(0.0 - 0.1)
Locality,"Binjour Plateau 4a, Queensland, Australia"
Minimum Wavelength,1000
Sample Name,Beidellite-montmorillonite sample #40 purified by Will Gates >125 um
Maximum Wavelength,99719
Database of Origin,RELAB
Other Information,Montmorillonite Beidellite Ca-saturated
References,
Resolution,4.0
Material class,Mineral
Sample Description,Spectroscopy of clay minerals
Sample ID,BIR1JB925B
Original Sample ID,JB-JLB-925-B
Viewing Geometry,Unknown
Wavelength,Response
1000.0,0.38377
1000.2,0.3839
1000.4,0.38397
1000.6,0.38404
1000.8,0.38397
1001.0,0.384
1001.2,0.38387
1001.4,0.38371
1001.6,0.38383
1001.8,0.38396
1001.9,0.38404
1002.1,0.38405
1002.3,0.38396
1002.5,0.38403
1002.7,0.38405
1002.9,0.38395
1003.1,0.38386
1003.3,0.38376
1003.5,0.38375
1003.7,0.38386
1003.9,0.38383
1004.1,0.38399
1004.3,0.38408
1004.5,0.38386
1004.7,0.38374
1004.9,0.38376
1005.0,0.38387
1005.3,0.38385
1005.4,0.38393
1005.6,0.38414
1005.8,0.38412
1006.0,0.38409
1006.2,0.38395
1006.4,0.38388
1006.6,0.38389
1006.8,0.38395
1007.0,0.38394
1007.2,0.38398
1007.4,0.38392
1007.6,0.38402
1007.8,0.38401
1008.0,0.3838
1008.2,0.38379
1008.4,0.38403
1008.6,0.38403
1008.8,0.38405
1009.0,0.38404
1009.2,0.38401
1009.4,0.38407
1009.5,0.38429
1009.8,0.38425
1010.0,0.38415
1010.1,0.38416
1010.3,0.38411
1010.5,0.3841
1010.7,0.38416
1010.9,0.3842
1011.1,0.38425
1011.3,0.38416
1011.5,0.38415
1011.7,0.38423
1011.9,0.38426
1012.1,0.38429
1012.3,0.38417
1012.5,0.38421
1012.7,0.38429
1012.9,0.38423
1013.1,0.38403
1013.3,0.38391
1013.5,0.3839
1013.7,0.38395
1013.9,0.38394
1014.1,0.38402
1014.3,0.3842
1014.5,0.38413
1014.7,0.38395
1014.9,0.38389
1015.1,0.38388
1015.3,0.38397
1015.5,0.38403
1015.7,0.38404
1015.9,0.3841
1016.1,0.38392
1016.3,0.38387
1016.5,0.38399
1016.7,0.38392
1016.9,0.38393
1017.1,0.38421
1017.3,0.38431
1017.5,0.3842
1017.7,0.38422
1017.9,0.38423
1018.1,0.38418
1018.3,0.38426
1018.5,0.38425
1018.7,0.38422
1018.9,0.38421
1019.1,0.38418
1019.3,0.38407
1019.5,0.38399
1019.7,0.38405
1019.9,0.38421
1020.1,0.38428
1020.3,0.38412
1020.5,0.38401
1020.7,0.38411
1020.9,0.38416
1021.1,0.38409
1021.3,0.38405
1021.5,0.38406
1021.7,0.38395
1021.9,0.38399
1022.1,0.3841
1022.3,0.38425
1022.5,0.3843
1022.7,0.38424
1022.9,0.38425
1023.1,0.38429
1023.3,0.38419
1023.5,0.38421
1023.7,0.38425
1023.9,0.38421
1024.1,0.38428
1024.3,0.3843
1024.5,0.38434
1024.7,0.3843
1024.9,0.38415
1025.1,0.38402
1025.3,0.38398
1025.5,0.38406
1025.7,0.38414
1025.9,0.38417
1026.1,0.38411
1026.3,0.38415
1026.5,0.38418
1026.8,0.38416
1026.9,0.38412
1027.2,0.38412
1027.4,0.38428
1027.6,0.38435
1027.8,0.38433
1028.0,0.38444
1028.2,0.38434
1028.4,0.38418
1028.6,0.38418
1028.8,0.38435
1029.0,0.38438
1029.2,0.38418
1029.4,0.38407
1029.6,0.38417
1029.8,0.38402
1030.0,0.38391
1030.2,0.3841
1030.4,0.3842
1030.6,0.38409
1030.8,0.38421
1031.0,0.38435
1031.2,0.38433
1031.4,0.38423
1031.7,0.38411
1031.8,0.38418
1032.1,0.38424
1032.3,0.38423
1032.5,0.38438
1032.7,0.38442
1032.9,0.38415
1033.1,0.38417
1033.3,0.38431
1033.5,0.38439
1033.7,0.38452
1033.9,0.38432
1034.1,0.3841
1034.3,0.3841
1034.5,0.38416
1034.7,0.38414
1034.9,0.38419
1035.2,0.38421
1035.4,0.38428
1035.6,0.38426
1035.8,0.38433
1036.0,0.38441
1036.2,0.38444
