Composition,
Date Added,2011-09-20
Formula,
Grain Size Description,<125.0um
Grain Size,(45.0 - 125.0)
Locality,"near Skauriatissa, Island of Cyprus, Greece"
Minimum Wavelength,800
Sample Name,Roemerite R8415 45-125 um
Maximum Wavelength,99719
Database of Origin,RELAB
Other Information,Roemerite
References,
Resolution,4.0
Material class,Mineral
Sample Description,Spectroscopy of sulfate minerals
Sample ID,BIR1JBA61A
Original Sample ID,JB-JLB-A61-A
Viewing Geometry,Unknown
Wavelength,Response
799.9,0.23986
800.0,0.23928
800.2,0.23965
800.3,0.23891
800.4,0.23648
800.5,0.2366
800.7,0.2393
800.8,0.24046
800.9,0.23992
801.0,0.23921
801.2,0.23969
801.3,0.24083
801.4,0.24109
801.5,0.23936
801.6,0.23935
801.8,0.23935
801.9,0.23904
802.0,0.23911
802.1,0.23929
802.3,0.24181
802.4,0.24214
802.5,0.23955
802.6,0.23881
802.8,0.23897
802.9,0.23911
803.0,0.23979
803.1,0.23962
803.3,0.23886
803.4,0.23962
803.5,0.23975
803.6,0.23806
803.8,0.23773
803.9,0.23819
804.0,0.23851
804.1,0.23842
804.3,0.23617
804.4,0.23709
804.5,0.23873
804.6,0.23847
804.8,0.23815
804.9,0.2387
805.0,0.23879
805.1,0.2384
805.3,0.23772
805.4,0.23771
805.5,0.23803
805.6,0.2382
805.8,0.23896
805.9,0.23904
806.0,0.23906
806.1,0.23994
806.3,0.23957
806.4,0.23838
806.5,0.23661
806.6,0.23814
806.8,0.23773
806.9,0.2362
807.0,0.23809
807.1,0.24043
807.3,0.23966
807.4,0.23883
807.5,0.23969
807.6,0.23998
807.8,0.24035
807.9,0.24029
808.0,0.24061
808.1,0.23958
808.3,0.23612
808.4,0.23594
808.5,0.23728
808.6,0.23688
808.8,0.23811
808.9,0.23879
809.0,0.23882
809.2,0.2387
809.3,0.23763
809.4,0.23676
809.5,0.23777
809.7,0.23768
809.8,0.23575
809.9,0.23627
810.0,0.23749
810.2,0.23718
810.3,0.23612
810.4,0.23603
