Composition,
Date Added,2015-06-20
Formula,
Grain Size Description,<250.0um
Grain Size,"(125.0, 250.0)"
Locality,Synthetic
Minimum Wavelength,800
Sample Name,Synthetic Fe-carbonate 125-250 um
Maximum Wavelength,99719
Database of Origin,RELAB
Other Information,Fe-Carbonate
References,
Resolution,4.0
Material class,Synthetic
Sample Description,"From Jung-Fu ""Afu"" Lin (Mg 0.06 Fe 0.91 Mn 0.03 CO3)"
Sample ID,BIR1JBB63C
Original Sample ID,JB-JLB-B63-C
Viewing Geometry,unknown
Wavelength,Response
799.9,0.17575
800.0,0.17466
800.2,0.17545
800.3,0.17615
800.4,0.177
800.5,0.17806
800.7,0.17745
800.8,0.17767
800.9,0.17857
801.0,0.17786
801.2,0.17611
801.3,0.17521
801.4,0.17686
801.5,0.17658
801.6,0.1759
801.8,0.17605
801.9,0.17638
802.0,0.17669
802.1,0.1752
802.3,0.17467
802.4,0.17386
802.5,0.17262
802.6,0.17396
802.8,0.17468
802.9,0.17494
803.0,0.17437
803.1,0.17539
803.3,0.17367
803.4,0.17141
803.5,0.1707
803.6,0.17107
803.8,0.17287
803.9,0.17473
804.0,0.17666
804.1,0.17614
804.3,0.17364
804.4,0.17317
804.5,0.17239
804.6,0.17167
804.8,0.17331
804.9,0.17351
805.0,0.17342
805.1,0.1739
805.3,0.17445
805.4,0.17317
805.5,0.17277
805.6,0.17346
805.8,0.1718
805.9,0.1715
806.0,0.1716
806.1,0.17119
806.3,0.17139
806.4,0.17173
806.5,0.17167
806.6,0.17182
806.8,0.17301
806.9,0.17269
807.0,0.17203
807.1,0.17257
807.3,0.17272
807.4,0.17362
807.5,0.17362
807.6,0.17205
807.8,0.17059
807.9,0.16904
808.0,0.16857
808.1,0.17062
808.3,0.1721
808.4,0.17456
808.5,0.17306
808.6,0.16948
808.8,0.16777
808.9,0.16935
809.0,0.16951
809.2,0.16681
809.3,0.16701
809.4,0.16896
809.5,0.17045
809.7,0.17102
809.8,0.17003
809.9,0.16919
810.0,0.16829
810.2,0.16893
810.3,0.17113
810.4,0.17238
810.5,0.17217
810.7,0.17098
810.8,0.16991
810.9,0.16876
811.0,0.16814
811.2,0.16663
811.3,0.1653
811.4,0.16594
811.5,0.16606
811.7,0.16612
811.8,0.16669
811.9,0.16709
812.1,0.16739
812.2,0.16522
812.3,0.16487
812.4,0.16627
812.6,0.16671
812.7,0.16625
812.8,0.16521
813.0,0.1637
813.1,0.16469
813.2,0.16641
813.3,0.16666
813.5,0.16422
813.6,0.16427
813.7,0.16424
813.8,0.16338
814.0,0.16408
814.1,0.16647
814.2,0.16676
814.4,0.16568
814.5,0.16367
814.6,0.16359
814.7,0.16357
814.9,0.16328
815.0,0.16285
815.1,0.1608
815.3,0.16046
815.4,0.1618
815.5,0.1626
815.6,0.16126
815.8,0.16099
815.9,0.16115
816.0,0.16249
816.2,0.16188
816.3,0.16032
816.4,0.16107
816.5,0.15911
816.7,0.15857
816.8,0.16073
816.9,0.16084
817.0,0.16103
817.2,0.16048
817.3,0.15809
817.4,0.15664
817.6,0.15664
817.7,0.15674
817.8,0.1581
818.0,0.15994
818.1,0.15814
818.2,0.15765
818.3,0.15692
818.5,0.15658
818.6,0.15608
818.7,0.15507
818.9,0.1547
819.0,0.15548
819.1,0.15668
819.3,0.15602
819.4,0.15512
819.5,0.1553
819.6,0.15587
819.8,0.15633
819.9,0.157
820.0,0.1578
820.2,0.15854
820.3,0.15867
820.4,0.15805
820.5,0.15755
820.7,0.15676
820.8,0.15619
820.9,0.15558
821.1,0.15421
821.2,0.15536
821.3,0.15826
821.5,0.15818
821.6,0.15664
821.7,0.15621
821.8,0.15712
822.0,0.15724
822.1,0.15754
822.2,0.15563
822.4,0.15464
822.5,0.15461
822.6,0.15435
822.8,0.15551
822.9,0.15482
823.0,0.15321
823.2,0.15478
823.3,0.15615
823.4,0.15518
823.5,0.15435
823.7,0.15462
823.8,0.15426
823.9,0.15525
824.1,0.15574
824.2,0.15474
824.3,0.1531
824.5,0.15242
824.6,0.15342
824.7,0.15466
824.8,0.15233
825.0,0.15196
825.1,0.1533
825.3,0.1536
825.4,0.15399
825.5,0.15348
825.6,0.15166
825.8,0.15297
825.9,0.15432
826.0,0.15292
826.2,0.15107
826.3,0.14979
826.4,0.15191
826.6,0.15216
826.7,0.152
826.8,0.15245
827.0,0.15068
827.1,0.1501
827.2,0.15048
827.3,0.15043
827.5,0.15037
827.6,0.151
827.8,0.15133
827.9,0.15089
828.0,0.15265
828.2,0.15402
828.3,0.15199
828.4,0.15046
828.5,0.15054
828.7,0.15097
828.8,0.1509
828.9,0.1491
829.1,0.14771
829.2,0.14944
829.3,0.15177
829.5,0.15167
829.6,0.15015
829.7,0.14984
829.9,0.15016
830.0,0.14944
830.1,0.14782
830.3,0.14905
830.4,0.14988
830.5,0.15007
830.7,0.15042
830.8,0.14999
830.9,0.14997
831.1,0.14928
831.2,0.14835
831.3,0.14898
831.5,0.15062
831.6,0.1504
831.7,0.14966
831.9,0.14997
832.0,0.14887
832.1,0.14815
832.3,0.14809
832.4,0.14945
832.5,0.14933
832.7,0.14749
832.8,0.14789
832.9,0.14849
833.1,0.14808
833.2,0.14755
833.3,0.14594
833.5,0.14578
833.6,0.14681
833.7,0.14663
833.9,0.14662
834.0,0.14807
834.1,0.14862
834.3,0.14828
834.4,0.14743
834.5,0.1465
834.7,0.14617
834.8,0.14539
835.0,0.14473
835.1,0.14396
835.2,0.14351
835.3,0.14439
835.5,0.14418
835.6,0.14467
835.8,0.14543
835.9,0.14341
836.0,0.14272
836.2,0.14218
836.3,0.14307
836.4,0.14393
836.6,0.14318
836.7,0.14294
836.8,0.14436
837.0,0.14401
837.1,0.14161
837.2,0.14102
837.4,0.14087
837.5,0.1416
837.6,0.14387
837.8,0.14307
837.9,0.14222
838.0,0.1424
838.2,0.142
838.3,0.1406
838.5,0.13992
838.6,0.13994
838.7,0.14067
838.9,0.14154
839.0,0.14076
839.1,0.13945
839.3,0.13867
839.4,0.1389
839.5,0.13935
839.7,0.13807
839.8,0.13753
840.0,0.13869
840.1,0.14034
840.2,0.1395
840.4,0.13782
840.5,0.13675
840.6,0.13748
840.8,0.13898
840.9,0.13841
841.0,0.13664
841.2,0.13611
841.3,0.13618
841.5,0.13707
841.6,0.13753
841.7,0.13662
841.9,0.13581
842.0,0.13516
842.1,0.13495
842.3,0.1355
842.4,0.13591
842.5,0.13543
842.7,0.13492
842.8,0.13558
843.0,0.13544
843.1,0.13511
843.2,0.13585
843.4,0.13611
843.5,0.13546
843.6,0.1356
843.8,0.13498
843.9,0.13416
844.0,0.13367
844.2,0.13417
844.3,0.13601
844.5,0.13624
844.6,0.13531
844.7,0.13479
844.9,0.13385
845.0,0.13297
845.2,0.13352
845.3,0.13416
845.4,0.13408
845.6,0.13341
845.7,0.13413
845.8,0.13401
846.0,0.13408
846.1,0.13423
846.3,0.1338
846.4,0.13334
846.5,0.13431
846.7,0.1343
846.8,0.13231
847.0,0.13122
847.1,0.13204
847.2,0.13204
847.4,0.13123
847.5,0.13122
847.6,0.13137
847.8,0.13108
847.9,0.13033
848.1,0.13113
848.2,0.13078
848.3,0.13027
848.5,0.1306
848.6,0.13168
848.8,0.13241
848.9,0.1322
849.0,0.1317
849.2,0.13249
849.3,0.13353
849.5,0.13146
849.6,0.12936
849.7,0.12945
849.9,0.13074
850.0,0.13121
850.1,0.1309
850.3,0.13051
850.4,0.1313
850.6,0.13098
850.7,0.13074
850.8,0.13024
851.0,0.12949
851.1,0.12982
851.3,0.13135
851.4,0.13138
851.5,0.13052
851.7,0.12965
851.8,0.12953
852.0,0.12944
852.1,0.12937
852.2,0.1305
852.4,0.13021
852.5,0.12929
852.7,0.12949
852.8,0.12867
852.9,0.12784
853.1,0.128
853.2,0.12897
853.4,0.12995
853.5,0.12952
853.6,0.1298
853.8,0.1301
853.9,0.12875
854.1,0.12797
854.2,0.12714
854.3,0.12695
854.5,0.12818
854.6,0.1289
854.8,0.12833
854.9,0.12851
855.0,0.12871
855.2,0.12883
855.3,0.12886
855.5,0.12875
855.6,0.12822
855.8,0.1275
855.9,0.1266
856.0,0.12671
856.2,0.12706
856.3,0.12715
856.5,0.12607
856.6,0.12586
856.8,0.12625
856.9,0.125
857.0,0.12557
857.2,0.12686
857.3,0.12697
857.5,0.1263
857.6,0.12629
857.7,0.12673
857.9,0.12692
858.0,0.12675
858.2,0.12573
858.3,0.12607
858.5,0.12619
858.6,0.12555
858.7,0.12552
858.9,0.12597
859.0,0.1262
859.2,0.12576
859.3,0.12363
859.4,0.12238
859.6,0.12326
859.7,0.12417
859.9,0.1249
860.0,0.1248
860.2,0.12412
860.3,0.12364
860.4,0.12421
860.6,0.12416
860.7,0.1227
860.9,0.12239
861.0,0.12315
861.2,0.1229
861.3,0.12352
861.4,0.12393
861.6,0.1231
861.7,0.12216
861.9,0.1221
862.0,0.12266
862.2,0.12167
862.3,0.12148
862.5,0.1221
862.6,0.12239
862.7,0.12138
862.9,0.12188
863.0,0.1221
863.2,0.12153
863.3,0.12221
863.5,0.12185
863.6,0.12104
863.7,0.12116
863.9,0.1203
864.0,0.1199
864.2,0.11983
864.3,0.12003
864.5,0.11999
864.6,0.11978
864.8,0.1197
864.9,0.11933
865.0,0.11838
865.2,0.11841
865.3,0.11892
865.5,0.11846
865.6,0.11809
865.8,0.11826
865.9,0.11904
866.0,0.1194
866.2,0.1186
866.3,0.11902
866.5,0.11894
866.6,0.11814
866.8,0.11747
866.9,0.11624
867.1,0.1163
867.2,0.11751
867.3,0.11859
867.5,0.11861
867.6,0.11824
867.8,0.11804
867.9,0.11765
868.1,0.11788
868.2,0.11696
868.4,0.11652
868.5,0.11652
868.7,0.11659
868.8,0.11625
869.0,0.11578
869.1,0.11568
869.2,0.11614
869.4,0.11599
869.5,0.11595
869.7,0.11566
869.8,0.11508
870.0,0.11505
870.1,0.11529
870.3,0.11568
870.4,0.11521
870.6,0.11492
870.7,0.11503
870.8,0.11452
871.0,0.11427
871.1,0.11431
871.3,0.11547
871.4,0.11494
871.6,0.1142
871.7,0.11399
871.9,0.11384
872.0,0.11387
872.2,0.1125
872.3,0.11244
872.5,0.11398
872.6,0.11501
872.8,0.11432
872.9,0.1136
873.0,0.11392
873.2,0.11428
873.3,0.11337
873.5,0.11252
873.6,0.11307
873.8,0.1138
873.9,0.11351
874.1,0.11296
874.2,0.11281
874.4,0.11187
874.5,0.11199
874.7,0.11264
874.8,0.11229
875.0,0.11207
875.1,0.11226
875.3,0.11211
875.4,0.11196
875.5,0.11241
875.7,0.11266
875.8,0.11146
876.0,0.11066
876.2,0.11129
876.3,0.11189
876.4,0.11216
876.6,0.11169
876.7,0.1111
876.9,0.11078
877.0,0.11039
877.2,0.11065
877.3,0.11086
877.5,0.11066
877.6,0.11023
877.8,0.11036
877.9,0.11086
878.1,0.11056
878.2,0.11026
878.4,0.11114
878.5,0.11153
878.7,0.11171
878.8,0.11049
879.0,0.10951
879.1,0.10991
879.3,0.11023
879.4,0.10989
879.6,0.10907
879.7,0.10851
879.9,0.10892
880.0,0.10949
880.2,0.10949
880.3,0.10923
880.5,0.10914
880.6,0.10917
880.8,0.10942
880.9,0.10952
881.1,0.1092
881.2,0.10939
881.4,0.10971
881.5,0.10987
881.7,0.10956
881.8,0.10925
882.0,0.1089
882.1,0.10803
882.3,0.10792
882.4,0.10802
882.6,0.10783
882.7,0.10774
882.9,0.10813
883.0,0.10804
883.2,0.1072
883.3,0.10729
883.5,0.10756
883.6,0.10719
883.8,0.10587
883.9,0.10625
884.1,0.10839
884.2,0.10887
884.4,0.10791
884.5,0.10673
884.7,0.10544
884.8,0.10515
885.0,0.10624
885.1,0.10686
885.3,0.10719
885.4,0.1071
885.6,0.10722
885.7,0.10671
885.9,0.10595
886.0,0.10581
886.2,0.10535
886.3,0.10567
886.5,0.10631
886.6,0.10669
886.8,0.10606
886.9,0.10546
887.1,0.1056
887.2,0.10475
887.4,0.10463
887.5,0.10591
887.7,0.10607
887.8,0.10534
888.0,0.10497
888.2,0.10515
888.3,0.10523
888.5,0.10519
888.6,0.10512
888.8,0.10479
888.9,0.10547
889.1,0.10535
889.2,0.10482
889.4,0.10472
889.5,0.10485
889.7,0.10524
889.8,0.10491
890.0,0.10361
890.1,0.10369
890.3,0.10432
890.4,0.10445
890.6,0.10416
890.8,0.10393
890.9,0.10383
891.0,0.10411
891.2,0.10386
891.4,0.10311
891.5,0.10324
891.7,0.10313
891.8,0.10262
892.0,0.10244
892.1,0.10286
892.3,0.10274
892.4,0.10261
892.6,0.10295
892.7,0.10237
892.9,0.1019
893.0,0.10178
893.2,0.10175
893.4,0.10202
893.5,0.10194
893.7,0.10169
893.8,0.10118
894.0,0.10094
894.1,0.10056
894.3,0.10045
894.4,0.10091
894.6,0.10126
894.7,0.10126
894.9,0.10083
895.0,0.1014
895.2,0.10102
895.4,0.10035
895.5,0.10064
895.7,0.10079
895.8,0.10057
896.0,0.10042
896.1,0.10014
896.3,0.09939
896.4,0.09932
896.6,0.1005
896.8,0.10088
896.9,0.10014
