Composition,
Date Added,2013-12-13
Formula,
Grain Size Description,<125.0um
Grain Size,"(0.0, 125.0)"
Locality,"Dry Valleys, Antarctica"
Minimum Wavelength,833
Sample Name,Wright Valley Core 11 crushed grains
Maximum Wavelength,99719
Database of Origin,RELAB
Other Information,Dry Valleys
References,
Resolution,4.0
Material class,Mixture
Sample Description,Collected by Everett Gibson
Sample ID,BIR1JBC20
Original Sample ID,JB-JLB-C20
Viewing Geometry,unknown
Wavelength,Response
833.3,0.29695
833.5,0.29699
833.6,0.29714
833.7,0.29655
833.9,0.29537
834.0,0.29716
834.1,0.29816
834.3,0.29691
834.4,0.29631
834.5,0.29489
834.7,0.29343
834.8,0.29384
835.0,0.2934
835.1,0.29498
835.2,0.29688
835.3,0.29699
835.5,0.2963
835.6,0.29593
835.8,0.29742
835.9,0.29771
836.0,0.297
836.2,0.29699
836.3,0.29655
836.4,0.29596
836.6,0.29728
836.7,0.29697
836.8,0.2965
837.0,0.29631
837.1,0.29494
837.2,0.29564
837.4,0.29721
837.5,0.29712
837.6,0.29589
837.8,0.29468
837.9,0.29444
838.0,0.29532
838.2,0.29625
838.3,0.29639
838.5,0.29633
838.6,0.2955
838.7,0.29569
838.9,0.29618
839.0,0.2967
839.1,0.29612
839.3,0.29451
839.4,0.2954
839.5,0.29659
839.7,0.29541
839.8,0.29486
840.0,0.29522
840.1,0.29562
840.2,0.29529
840.4,0.29479
840.5,0.29454
840.6,0.29462
840.8,0.29522
840.9,0.29512
841.0,0.29417
841.2,0.29356
841.3,0.29434
841.5,0.29453
841.6,0.29468
841.7,0.29554
841.9,0.29601
842.0,0.29518
842.1,0.29452
842.3,0.29445
842.4,0.29441
842.5,0.29457
842.7,0.29485
842.8,0.29444
843.0,0.29359
843.1,0.29329
843.2,0.29359
843.4,0.29328
843.5,0.29316
843.6,0.29366
843.8,0.29395
843.9,0.29515
844.0,0.29555
844.2,0.29542
844.3,0.29444
844.5,0.29263
844.6,0.29315
844.7,0.29335
844.9,0.29356
845.0,0.29451
845.2,0.29479
845.3,0.29401
845.4,0.29415
845.6,0.29439
845.7,0.29477
845.8,0.29537
846.0,0.29487
846.1,0.29388
846.3,0.29327
846.4,0.29307
846.5,0.29271
846.7,0.29282
846.8,0.29332
847.0,0.29289
847.1,0.29305
847.2,0.29405
847.4,0.29483
847.5,0.29379
847.6,0.29293
847.8,0.29233
847.9,0.29193
848.1,0.29243
848.2,0.29201
848.3,0.29226
848.5,0.29263
848.6,0.29223
848.8,0.29189
848.9,0.29162
849.0,0.29166
849.2,0.29198
849.3,0.29156
849.5,0.29069
849.6,0.2915
849.7,0.29283
849.9,0.29281
850.0,0.29258
850.1,0.29243
850.3,0.293
850.4,0.29376
850.6,0.29375
850.7,0.29276
850.8,0.2915
851.0,0.29155
851.1,0.2922
851.3,0.29208
851.4,0.29259
851.5,0.29327
851.7,0.2922
851.8,0.29179
852.0,0.29163
852.1,0.2914
852.2,0.29203
852.4,0.29188
852.5,0.29114
852.7,0.29222
852.8,0.2934
852.9,0.29247
853.1,0.29203
853.2,0.29304
853.4,0.29324
853.5,0.29326
853.6,0.29301
853.8,0.29152
853.9,0.29014
854.1,0.28978
854.2,0.29039
854.3,0.29022
854.5,0.29127
854.6,0.2915
854.8,0.29054
854.9,0.29077
855.0,0.29168
855.2,0.29206
855.3,0.29244
855.5,0.29186
855.6,0.29183
855.8,0.29199
855.9,0.29166
856.0,0.29149
856.2,0.29129
856.3,0.291
856.5,0.28995
856.6,0.29043
856.8,0.29117
856.9,0.29018
857.0,0.28992
857.2,0.29069
857.3,0.29076
857.5,0.2907
857.6,0.29095
857.7,0.29024
857.9,0.28981
858.0,0.29084
858.2,0.2905
858.3,0.29009
858.5,0.29092
858.6,0.29108
858.7,0.29088
858.9,0.29021
859.0,0.28948
859.2,0.28966
859.3,0.28984
859.4,0.28988
859.6,0.28945
859.7,0.28959
859.9,0.29014
860.0,0.28975
860.2,0.28951
860.3,0.29037
860.4,0.2897
860.6,0.28879
860.7,0.28966
860.9,0.29019
861.0,0.28983
861.2,0.28955
861.3,0.28972
861.4,0.29039
861.6,0.28988
861.7,0.28854
861.9,0.28828
862.0,0.28853
862.2,0.28854
862.3,0.28899
862.5,0.28927
862.6,0.28904
862.7,0.28903
862.9,0.2895
863.0,0.29009
863.2,0.28999
863.3,0.28868
863.5,0.28849
863.6,0.2885
863.7,0.28814
863.9,0.28761
864.0,0.28825
864.2,0.28872
864.3,0.28871
864.5,0.28865
864.6,0.28842
864.8,0.28863
864.9,0.28838
865.0,0.28768
865.2,0.28783
865.3,0.2876
865.5,0.28766
865.6,0.28788
865.8,0.28808
865.9,0.28824
866.0,0.28782
866.2,0.28776
866.3,0.28764
866.5,0.28734
866.6,0.28774
