Composition,
Date Added,2014-07-09
Formula,
Grain Size Description,<90.0um
Grain Size,(45.0 - 90.0)
Locality,"White Sands National Monument, New Mexico"
Minimum Wavelength,833
Sample Name,D3_F4b 45-90 um
Maximum Wavelength,99719
Database of Origin,RELAB
Other Information,
References,
Resolution,4.0
Material class,Mixture
Sample Description,Gypsum project
Sample ID,BIR1JBE91B
Original Sample ID,JB-JLB-E91-B
Viewing Geometry,Unknown
Wavelength,Response
833.3,0.32801
833.5,0.32774
833.6,0.32685
833.7,0.32852
833.9,0.33029
834.0,0.32998
834.1,0.32976
834.3,0.32889
834.4,0.32936
834.5,0.33124
834.7,0.33111
834.8,0.3306
835.0,0.32982
835.1,0.32993
835.2,0.33006
835.3,0.32893
835.5,0.32928
835.6,0.32929
835.8,0.32821
835.9,0.32763
836.0,0.32793
836.2,0.32932
836.3,0.32905
836.4,0.32864
836.6,0.32806
836.7,0.32846
836.8,0.32932
837.0,0.32981
837.1,0.33048
837.2,0.32928
837.4,0.32841
837.5,0.32834
837.6,0.3291
837.8,0.33031
837.9,0.33121
838.0,0.33135
838.2,0.33035
838.3,0.3294
838.5,0.32924
838.6,0.32938
838.7,0.33018
838.9,0.32922
839.0,0.3276
839.1,0.32809
839.3,0.32818
839.4,0.32841
839.5,0.32888
839.7,0.32897
839.8,0.32842
840.0,0.32822
840.1,0.32944
840.2,0.33031
840.4,0.32978
840.5,0.32876
840.6,0.32888
840.8,0.33059
840.9,0.32963
841.0,0.32909
841.2,0.32925
841.3,0.32927
841.5,0.33003
841.6,0.33046
841.7,0.33019
841.9,0.32938
842.0,0.32962
842.1,0.33101
842.3,0.33005
842.4,0.32827
842.5,0.32768
842.7,0.32884
842.8,0.32962
843.0,0.32925
843.1,0.32935
843.2,0.33114
843.4,0.33088
843.5,0.32923
843.6,0.32969
843.8,0.33086
843.9,0.33095
844.0,0.33119
844.2,0.3308
844.3,0.33113
844.5,0.33137
844.6,0.32998
844.7,0.3296
844.9,0.32965
845.0,0.33021
845.2,0.32997
845.3,0.33011
845.4,0.33028
845.6,0.32961
845.7,0.33006
845.8,0.33119
846.0,0.32981
846.1,0.32844
846.3,0.32859
846.4,0.32856
846.5,0.32848
846.7,0.32928
846.8,0.32989
847.0,0.32954
847.1,0.32933
847.2,0.32903
847.4,0.32923
847.5,0.32993
847.6,0.32997
847.8,0.33014
847.9,0.33044
848.1,0.33028
848.2,0.32919
848.3,0.32955
848.5,0.32958
848.6,0.32908
848.8,0.32895
848.9,0.32956
849.0,0.33035
849.2,0.33001
849.3,0.32938
849.5,0.32802
849.6,0.3278
849.7,0.32811
849.9,0.32849
850.0,0.32982
850.1,0.33089
850.3,0.32955
850.4,0.32936
850.6,0.33006
850.7,0.32966
850.8,0.32934
851.0,0.32942
851.1,0.3283
851.3,0.32894
851.4,0.33041
851.5,0.33077
851.7,0.33033
851.8,0.32991
852.0,0.32941
852.1,0.32906
852.2,0.32937
852.4,0.32979
852.5,0.32966
852.7,0.33085
852.8,0.332
852.9,0.33118
853.1,0.32982
853.2,0.32888
853.4,0.32964
853.5,0.33036
853.6,0.33022
853.8,0.33039
853.9,0.32978
854.1,0.3295
854.2,0.33014
854.3,0.33087
854.5,0.3307
854.6,0.32961
854.8,0.33008
854.9,0.33082
855.0,0.3307
855.2,0.33082
855.3,0.33084
855.5,0.3296
855.6,0.32941
855.8,0.33004
855.9,0.33065
856.0,0.33127
856.2,0.3307
856.3,0.33015
856.5,0.33074
856.6,0.3316
856.8,0.3305
856.9,0.32969
857.0,0.33032
857.2,0.33095
857.3,0.33131
857.5,0.33129
857.6,0.33089
857.7,0.33023
857.9,0.33079
858.0,0.33114
858.2,0.32987
858.3,0.32913
858.5,0.32972
858.6,0.33058
858.7,0.33192
858.9,0.33173
859.0,0.33171
859.2,0.332
859.3,0.33072
859.4,0.33047
859.6,0.33057
859.7,0.33023
859.9,0.33084
860.0,0.33161
860.2,0.33211
860.3,0.33195
860.4,0.33171
860.6,0.33223
860.7,0.33198
860.9,0.33285
861.0,0.33318
861.2,0.3328
861.3,0.33237
861.4,0.3316
861.6,0.33231
861.7,0.33323
861.9,0.33294
862.0,0.33328
862.2,0.33306
862.3,0.33301
862.5,0.3329
862.6,0.33311
862.7,0.33323
862.9,0.33346
863.0,0.33414
863.2,0.33411
863.3,0.33323
863.5,0.33257
863.6,0.33232
863.7,0.3324
863.9,0.33318
864.0,0.3334
864.2,0.33336
864.3,0.33349
864.5,0.33346
864.6,0.33345
864.8,0.33318
864.9,0.33359
865.0,0.33352
865.2,0.33331
865.3,0.33302
865.5,0.3333
865.6,0.33425
865.8,0.33468
865.9,0.33507
866.0,0.33458
866.2,0.33337
866.3,0.33354
866.5,0.33421
866.6,0.33471
866.8,0.33496
866.9,0.33425
867.1,0.33345
867.2,0.33408
867.3,0.33501
867.5,0.33469
867.6,0.33443
867.8,0.33438
867.9,0.33419
868.1,0.33343
868.2,0.33398
868.4,0.33519
868.5,0.3352
868.7,0.33507
868.8,0.33496
869.0,0.3345
869.1,0.33354
869.2,0.33324
869.4,0.33358
869.5,0.33417
869.7,0.33524
869.8,0.33475
870.0,0.33422
870.1,0.33463
870.3,0.33534
870.4,0.33538
870.6,0.33538
870.7,0.33494
870.8,0.33445
871.0,0.33478
871.1,0.33513
871.3,0.33516
871.4,0.335
871.6,0.33427
871.7,0.33417
871.9,0.33538
872.0,0.33604
872.2,0.33574
872.3,0.33485
872.5,0.33406
872.6,0.33485
872.8,0.33504
872.9,0.33466
873.0,0.33499
873.2,0.33526
873.3,0.33552
873.5,0.33582
873.6,0.3354
873.8,0.33536
873.9,0.33611
874.1,0.33575
874.2,0.33502
874.4,0.33452
874.5,0.33424
874.7,0.33497
874.8,0.33563
875.0,0.33544
875.1,0.33504
875.3,0.3349
875.4,0.3354
875.5,0.33551
875.7,0.33516
875.8,0.33518
876.0,0.33556
876.2,0.3358
876.3,0.33492
876.4,0.33529
876.6,0.3355
876.7,0.3352
876.9,0.33519
877.0,0.33447
877.2,0.33384
877.3,0.33439
877.5,0.33555
877.6,0.33603
877.8,0.33522
877.9,0.33476
878.1,0.33539
878.2,0.33518
878.4,0.33441
878.5,0.33511
878.7,0.33558
878.8,0.33549
879.0,0.33546
879.1,0.33473
879.3,0.33484
879.4,0.33552
879.6,0.33591
879.7,0.33579
879.9,0.33532
880.0,0.33491
880.2,0.33489
880.3,0.3347
880.5,0.33474
880.6,0.33543
880.8,0.33549
880.9,0.33526
881.1,0.33515
881.2,0.3353
881.4,0.3352
881.5,0.33429
881.7,0.33428
881.8,0.33566
882.0,0.33518
882.1,0.33424
882.3,0.33468
882.4,0.33578
882.6,0.33612
882.7,0.33531
882.9,0.33469
883.0,0.33527
883.2,0.33604
883.3,0.33606
883.5,0.335
883.6,0.3347
883.8,0.33521
883.9,0.33621
884.1,0.33528
884.2,0.33451
884.4,0.33457
884.5,0.33449
884.7,0.33488
884.8,0.33523
885.0,0.33546
885.1,0.33557
885.3,0.3357
885.4,0.33588
885.6,0.33542
885.7,0.33505
885.9,0.33527
886.0,0.33502
886.2,0.33487
886.3,0.33502
886.5,0.33516
886.6,0.33573
886.8,0.33594
886.9,0.3357
887.1,0.33552
887.2,0.33536
887.4,0.33567
887.5,0.33557
887.7,0.33506
887.8,0.33481
888.0,0.33476
888.2,0.33503
888.3,0.3356
888.5,0.3358
888.6,0.33526
888.8,0.33524
888.9,0.33562
889.1,0.33538
889.2,0.33499
889.4,0.33559
889.5,0.33565
889.7,0.33498
889.8,0.33536
890.0,0.33631
890.1,0.33604
890.3,0.33542
890.4,0.33548
890.6,0.33549
890.8,0.33521
890.9,0.33514
891.0,0.33524
891.2,0.33526
891.4,0.33518
891.5,0.33523
891.7,0.33538
891.8,0.33537
892.0,0.33546
892.1,0.33619
892.3,0.33627
892.4,0.33601
892.6,0.3357
892.7,0.33597
892.9,0.33615
893.0,0.33635
893.2,0.33621
893.4,0.33556
893.5,0.33519
893.7,0.33563
893.8,0.33597
894.0,0.33653
894.1,0.33647
894.3,0.33614
894.4,0.33588
894.6,0.33608
894.7,0.33597
894.9,0.33616
895.0,0.33631
895.2,0.33595
895.4,0.33582
895.5,0.33658
895.7,0.33703
895.8,0.33662
896.0,0.33637
896.1,0.33663
896.3,0.33684
896.4,0.33687
896.6,0.33671
896.8,0.33642
896.9,0.33615
897.1,0.33604
897.2,0.33639
897.4,0.33663
897.5,0.3364
897.7,0.3366
897.8,0.33678
898.0,0.3367
898.2,0.33667
898.3,0.33643
898.5,0.33606
898.6,0.33592
898.8,0.33651
898.9,0.33725
899.1,0.33731
899.2,0.3372
899.4,0.33733
899.6,0.33739
899.7,0.33707
899.9,0.33673
900.0,0.33671
900.2,0.33724
900.3,0.3374
900.5,0.33759
900.7,0.33708
900.8,0.3366
901.0,0.33683
901.1,0.33733
901.3,0.33733
901.4,0.33707
901.6,0.33735
901.8,0.33754
901.9,0.33821
902.1,0.33764
902.2,0.3369
902.4,0.33716
902.5,0.33734
902.7,0.33748
902.8,0.3379
903.0,0.33775
903.2,0.33754
903.3,0.33736
903.5,0.33724
903.6,0.33725
903.8,0.33727
904.0,0.33759
904.1,0.33783
904.3,0.3381
904.4,0.338
904.6,0.33745
904.7,0.33755
904.9,0.33803
905.0,0.3385
905.2,0.33851
905.4,0.33807
905.5,0.33738
905.7,0.33736
905.8,0.33773
906.0,0.33813
906.2,0.33845
906.3,0.33771
906.5,0.33734
906.6,0.33767
906.8,0.3384
907.0,0.33774
907.1,0.33749
907.3,0.33786
907.4,0.33817
907.6,0.33847
907.7,0.33837
907.9,0.33841
908.1,0.33789
908.2,0.33735
908.4,0.33733
908.5,0.33778
908.7,0.33813
908.9,0.33806
909.0,0.33738
909.2,0.33681
909.3,0.33744
909.5,0.33769
909.7,0.33765
909.8,0.33802
