Composition,
Date Added,2017-09-15
Formula,
Grain Size Description,<250.0um
Grain Size,(0.0 - 250.0)
Locality,"Tom Jeute, Idaho"
Minimum Wavelength,714
Sample Name,"Synthetic allophane Al/Si = 2, Fe(III) = 0 mol% <250 um (JB1641a)"
Maximum Wavelength,99719
Database of Origin,RELAB
Other Information,Allophane
References,
Resolution,4.0
Material class,Synthetic
Sample Description,
Sample ID,BIR1JBG41A
Original Sample ID,JB-JLB-G41-A
Viewing Geometry,Unknown
Wavelength,Response
714.4,0.22131
714.4,0.22512
714.5,0.22452
714.5,0.223
714.6,0.22369
714.6,0.22437
714.7,0.22375
714.7,0.22164
714.8,0.22056
714.8,0.22218
714.9,0.22269
714.9,0.22278
715.0,0.22434
715.0,0.22419
715.1,0.22269
715.1,0.22176
715.2,0.22178
715.2,0.22223
715.3,0.22401
715.3,0.226
715.4,0.22573
715.4,0.22547
715.5,0.22567
715.5,0.22597
715.5,0.22682
715.6,0.22557
715.7,0.22441
715.7,0.22326
715.8,0.22367
715.8,0.22567
715.8,0.2282
715.9,0.22612
716.0,0.22544
716.0,0.22733
716.0,0.22683
716.1,0.22441
716.2,0.22481
716.2,0.22672
716.3,0.22726
716.3,0.22688
716.3,0.22977
716.4,0.23137
716.4,0.22971
716.5,0.22744
716.5,0.22555
716.6,0.22712
716.6,0.22977
716.7,0.22993
716.7,0.2312
716.8,0.22992
716.8,0.22713
716.9,0.2269
716.9,0.22763
717.0,0.23005
717.0,0.22947
717.1,0.227
717.1,0.22761
717.2,0.22891
717.2,0.22846
717.3,0.22781
717.3,0.23042
717.4,0.23268
717.4,0.23053
717.5,0.22596
717.5,0.22237
717.6,0.22522
717.6,0.22923
717.7,0.23132
717.7,0.23197
717.8,0.23289
717.8,0.23049
717.9,0.22696
717.9,0.22732
718.0,0.23205
718.0,0.23245
718.1,0.22995
718.1,0.2311
718.2,0.23319
718.2,0.23236
718.3,0.23212
718.3,0.23032
718.4,0.22975
718.4,0.22969
718.5,0.22857
718.5,0.22926
718.6,0.23269
718.6,0.23511
718.7,0.23348
718.7,0.23123
718.8,0.23397
718.8,0.23574
718.9,0.23523
718.9,0.23348
719.0,0.23103
719.0,0.23002
719.1,0.23251
719.1,0.23632
719.2,0.23491
719.2,0.23454
719.3,0.23391
719.3,0.23266
719.4,0.23214
719.4,0.23315
719.5,0.23323
719.5,0.23318
719.6,0.23234
719.6,0.23392
719.7,0.23508
719.7,0.2332
719.8,0.23391
719.8,0.23443
719.9,0.23511
719.9,0.23383
720.0,0.23396
720.0,0.23432
720.1,0.23318
720.1,0.23277
720.2,0.23568
720.2,0.23856
720.3,0.23822
720.3,0.23739
720.4,0.23765
720.4,0.23673
720.5,0.23506
720.5,0.23536
720.6,0.2352
720.6,0.23476
720.7,0.23601
720.7,0.23627
720.8,0.23639
720.8,0.23969
720.9,0.2408
720.9,0.23825
721.0,0.23693
721.0,0.23738
721.1,0.23732
721.1,0.23723
721.2,0.23665
721.2,0.23583
721.3,0.23512
721.3,0.23722
721.4,0.24038
721.4,0.24013
721.5,0.23834
721.5,0.23872
721.6,0.23941
721.6,0.2396
721.7,0.23715
721.7,0.23449
721.8,0.23627
721.8,0.23674
721.9,0.23717
721.9,0.23727
722.0,0.23737
722.0,0.23898
722.1,0.23989
722.1,0.23993
722.2,0.24012
722.2,0.24255
722.3,0.24218
722.3,0.23974
722.4,0.24014
722.4,0.23985
722.5,0.23968
722.5,0.24035
722.6,0.24108
722.6,0.24195
722.7,0.23997
722.7,0.23886
722.8,0.23813
722.8,0.23897
722.9,0.24082
722.9,0.24072
723.0,0.24048
723.0,0.24155
723.1,0.24312
723.1,0.24181
723.2,0.24071
723.2,0.23941
723.3,0.23994
723.3,0.24033
723.4,0.24031
723.4,0.24022
723.5,0.24205
723.5,0.24462
723.6,0.24323
723.6,0.23887
723.7,0.24022
723.7,0.24254
723.8,0.24279
723.8,0.24371
723.9,0.24397
723.9,0.24277
724.0,0.24163
724.0,0.24275
724.1,0.24236
724.2,0.24274
724.2,0.24444
724.3,0.2441
724.3,0.24296
724.3,0.2435
724.4,0.24221
724.5,0.24079
724.5,0.24062
724.5,0.24053
724.6,0.24091
724.7,0.2414
724.7,0.24297
724.8,0.24253
724.8,0.2434
724.8,0.24539
724.9,0.24694
725.0,0.24718
725.0,0.24441
725.1,0.24043
725.1,0.2412
725.2,0.24414
725.2,0.24515
725.3,0.24508
