Composition,
Date Added,2003-05-02
Formula,
Grain Size Description,<125.0um
Grain Size,Whole Object
Locality,Iceland
Minimum Wavelength,320
Sample Name,"Icelandic S-altered rock, outer orange layer <125 um"
Maximum Wavelength,28648
Database of Origin,RELAB
Other Information,Glass Iron Oxides Silicates Sulfates
References,
Resolution,4.0
Material class,Rock
Sample Description,
Sample ID,BKR1JB574
Original Sample ID,JB-JLB-574
Viewing Geometry,unknown
Wavelength,Response
320.0,0.0311
325.0,0.03063
330.0,0.03095
335.0,0.0311
340.0,0.03154
345.0,0.03271
350.0,0.03301
355.0,0.03493
360.0,0.03615
365.0,0.03691
370.0,0.0381
375.0,0.03957
380.0,0.04098
385.0,0.04385
390.0,0.04561
395.0,0.04893
400.0,0.05059
405.0,0.05222
410.0,0.05356
415.0,0.05626
420.0,0.0576
425.0,0.06022
430.0,0.06282
435.0,0.0669
440.0,0.06919
445.0,0.07406
450.0,0.07539
455.0,0.07865
460.0,0.07903
465.0,0.07902
470.0,0.08009
475.0,0.08155
480.0,0.08388
485.0,0.08556
490.0,0.08813
495.0,0.09229
500.0,0.09552
505.0,0.10189
510.0,0.10685
515.0,0.11409
520.0,0.12124
525.0,0.12933
530.0,0.13698
535.0,0.14694
540.0,0.1562
545.0,0.1674
550.0,0.17822
555.0,0.1891
560.0,0.19943
565.0,0.21243
570.0,0.22171
575.0,0.23014
580.0,0.23856
585.0,0.24902
590.0,0.25312
595.0,0.26015
600.0,0.26561
605.0,0.27014
610.0,0.27322
615.0,0.27652
620.0,0.27919
625.0,0.28182
630.0,0.28414
635.0,0.28655
640.0,0.28844
645.0,0.29113
650.0,0.29376
655.0,0.29693
660.0,0.2996
665.0,0.30373
670.0,0.30554
675.0,0.30846
680.0,0.31375
685.0,0.31821
690.0,0.32146
695.0,0.32739
700.0,0.33247
705.0,0.3373
710.0,0.34221
715.0,0.34593
720.0,0.35013
725.0,0.35628
730.0,0.35993
735.0,0.36371
740.0,0.36565
745.0,0.36716
750.0,0.36603
755.0,0.36762
760.0,0.36749
765.0,0.36771
770.0,0.3671
775.0,0.36577
780.0,0.36236
785.0,0.36095
790.0,0.35645
795.0,0.35346
800.0,0.35054
805.0,0.34733
810.0,0.34335
815.0,0.3414
820.0,0.33742
825.0,0.33359
830.0,0.33013
835.0,0.3283
840.0,0.32343
845.0,0.3217
850.0,0.31869
855.0,0.31698
860.0,0.31418
865.0,0.31161
870.0,0.3089
875.0,0.3068
880.0,0.30586
885.0,0.30481
890.0,0.30456
895.0,0.30428
900.0,0.30362
905.0,0.30187
910.0,0.30155
915.0,0.30078
920.0,0.30035
925.0,0.30092
930.0,0.30116
935.0,0.30125
940.0,0.30118
945.0,0.30153
950.0,0.30175
955.0,0.30268
960.0,0.30262
965.0,0.30432
970.0,0.306
975.0,0.30805
980.0,0.30958
985.0,0.31241
990.0,0.31374
995.0,0.31516
1000.0,0.31683
1005.0,0.31898
1010.0,0.32112
1015.0,0.32327
1020.0,0.32537
1025.0,0.3274
1030.0,0.32989
1035.0,0.33204
1040.0,0.33526
1045.0,0.33868
1050.0,0.34225
1055.0,0.34527
1060.0,0.34892
1065.0,0.35229
1070.0,0.35558
1075.0,0.35917
1080.0,0.36299
1085.0,0.36649
1090.0,0.37038
1095.0,0.37466
1100.0,0.37872
1105.0,0.38279
1110.0,0.38738
1115.0,0.39163
1120.0,0.39552
1125.0,0.39905
1130.0,0.40292
1135.0,0.40627
1140.0,0.40963
1145.0,0.41318
1150.0,0.41673
