Composition,
Date Added,2015-12-04
Formula,
Grain Size Description,<2000.0um
Grain Size,"(1000.0, 2000.0)"
Locality,"White Sands National Monument, New Mexico"
Minimum Wavelength,300
Sample Name,D3_T1_F7h R3 >1000 um
Maximum Wavelength,99719
Database of Origin,RELAB
Other Information,
References,
Resolution,4.0
Material class,Mixture
Sample Description,Gypsum project
Sample ID,BKR1JBE92H3
Original Sample ID,JB-JLB-E92-H3
Viewing Geometry,unknown
Wavelength,Response
300.0,0.13832
305.0,0.1425
310.0,0.14918
315.0,0.15692
320.0,0.16442
325.0,0.17158
330.0,0.17798
335.0,0.18475
340.0,0.19205
345.0,0.19956
350.0,0.20642
355.0,0.21109
360.0,0.21608
365.0,0.22115
370.0,0.22673
375.0,0.23382
380.0,0.23939
385.0,0.2453
390.0,0.25209
395.0,0.25825
400.0,0.26479
405.0,0.26935
410.0,0.27396
415.0,0.27861
420.0,0.28393
425.0,0.28743
430.0,0.29388
435.0,0.29843
440.0,0.30339
445.0,0.30911
450.0,0.31466
455.0,0.3201
460.0,0.3247
465.0,0.32935
470.0,0.33344
475.0,0.33693
480.0,0.34131
485.0,0.34493
490.0,0.34894
495.0,0.35333
500.0,0.35739
505.0,0.3618
510.0,0.36576
515.0,0.37068
520.0,0.3744
525.0,0.3791
530.0,0.38322
535.0,0.38814
540.0,0.39161
545.0,0.39534
550.0,0.39952
555.0,0.40358
560.0,0.4069
565.0,0.41055
570.0,0.41353
575.0,0.41659
580.0,0.41927
585.0,0.42142
590.0,0.4234
595.0,0.4256
600.0,0.42722
605.0,0.42866
610.0,0.43054
615.0,0.43244
620.0,0.43406
625.0,0.43514
630.0,0.43686
635.0,0.43787
640.0,0.43962
645.0,0.44131
650.0,0.44256
655.0,0.44397
660.0,0.4448
665.0,0.44623
670.0,0.4477
675.0,0.44916
680.0,0.45019
685.0,0.45106
690.0,0.45273
695.0,0.45472
700.0,0.45644
705.0,0.45825
710.0,0.45925
715.0,0.46157
720.0,0.46321
725.0,0.46533
730.0,0.46632
735.0,0.46785
740.0,0.4698
745.0,0.47097
750.0,0.47261
755.0,0.47442
760.0,0.47571
765.0,0.47682
770.0,0.47786
775.0,0.47905
780.0,0.48027
785.0,0.4818
790.0,0.48372
795.0,0.48457
800.0,0.48594
805.0,0.48702
810.0,0.48823
815.0,0.48953
820.0,0.49057
825.0,0.49167
830.0,0.49209
835.0,0.49283
840.0,0.49382
845.0,0.49392
850.0,0.4947
855.0,0.49442
860.0,0.49516
865.0,0.49529
870.0,0.49601
875.0,0.49601
880.0,0.49739
885.0,0.49824
890.0,0.49779
895.0,0.49763
900.0,0.49903
905.0,0.49899
910.0,0.49943
915.0,0.50021
920.0,0.5003
925.0,0.5011
930.0,0.50081
935.0,0.50092
940.0,0.50074
945.0,0.50123
950.0,0.50121
955.0,0.50121
960.0,0.50117
965.0,0.50127
970.0,0.50147
975.0,0.50159
980.0,0.50098
985.0,0.50008
990.0,0.50054
995.0,0.50027
1000.0,0.49997
1005.0,0.50113
1010.0,0.50392
1015.0,0.50534
1020.0,0.50578
1025.0,0.50733
1030.0,0.50797
1035.0,0.50835
1040.0,0.5097
1045.0,0.5095
1050.0,0.5103
1055.0,0.5107
1060.0,0.51085
1065.0,0.51169
1070.0,0.51217
1075.0,0.5129
1080.0,0.51298
1085.0,0.51279
1090.0,0.51304
1095.0,0.51306
1100.0,0.51344
1105.0,0.51388
1110.0,0.51349
1115.0,0.51412
1120.0,0.51314
1125.0,0.51508
1130.0,0.5147
1135.0,0.51492
1140.0,0.5138
1145.0,0.51339
1150.0,0.5113
1155.0,0.50979
1160.0,0.50758
1165.0,0.5048
1170.0,0.50178
1175.0,0.50013
1180.0,0.49893
1185.0,0.49905
1190.0,0.50007
1195.0,0.50059
1200.0,0.50047
1205.0,0.49987
1210.0,0.50107
1215.0,0.50439
1220.0,0.5057
1225.0,0.50647
1230.0,0.50707
1235.0,0.5082
1240.0,0.51091
1245.0,0.51308
1250.0,0.51493
1255.0,0.51601
1260.0,0.51649
1265.0,0.51771
1270.0,0.5181
1275.0,0.51866
1280.0,0.51878
1285.0,0.51931
1290.0,0.51929
1295.0,0.51849
1300.0,0.51911
1300.5,0.51914
1300.8,0.51916
1301.2,0.51915
1301.5,0.51907
1301.8,0.51909
1302.1,0.51907
1302.5,0.51904
1302.8,0.51902
1303.1,0.51901
1303.4,0.51897
1303.8,0.51886
1304.1,0.5188
1304.4,0.51873
1304.8,0.51865
1305.1,0.51869
1305.4,0.5187
1305.8,0.51853
1306.1,0.51842
1306.4,0.51842
1306.7,0.51835
1307.1,0.51832
1307.4,0.51835
1307.7,0.51828
1308.1,0.51831
1308.4,0.51815
1308.7,0.51785
1309.1,0.5178
1309.4,0.51793
1309.7,0.51787
1310.0,0.51774
1310.4,0.51764
1310.7,0.51753
1311.0,0.51743
1311.4,0.51721
1311.7,0.51698
1312.0,0.517
1312.4,0.51713
1312.7,0.51715
1313.0,0.51701
1313.4,0.51687
1313.7,0.51677
1314.0,0.51672
1314.4,0.51663
1314.7,0.51648
1315.0,0.51634
1315.4,0.51623
1315.7,0.51608
1316.0,0.51595
1316.4,0.51592
1316.7,0.51577
1317.0,0.51557
1317.4,0.51548
1317.7,0.51541
1318.0,0.51522
1318.4,0.51504
1318.7,0.51493
1319.0,0.5147
1319.4,0.51451
1319.7,0.51447
1320.1,0.51432
1320.4,0.51418
1320.7,0.51407
1321.1,0.51391
1321.4,0.51377
1321.7,0.51372
1322.1,0.51362
1322.4,0.51348
1322.7,0.51337
1323.1,0.51322
1323.4,0.51303
1323.8,0.51277
1324.1,0.51276
1324.4,0.51274
1324.8,0.51264
1325.1,0.51259
1325.4,0.51239
1325.8,0.5121
1326.1,0.5118
1326.5,0.51153
1326.8,0.51141
1327.1,0.5114
1327.5,0.51131
1327.8,0.51114
1328.2,0.51116
1328.5,0.51104
1328.8,0.51071
1329.2,0.51053
1329.5,0.51045
1329.9,0.51032
1330.2,0.50998
1330.6,0.50977
1330.9,0.50978
1331.2,0.50954
1331.6,0.50927
1331.9,0.50913
1332.3,0.50897
1332.6,0.50882
1332.9,0.50852
1333.3,0.50827
1333.6,0.50814
1334.0,0.50808
1334.3,0.50788
1334.7,0.50763
1335.0,0.50755
1335.3,0.50739
1335.7,0.50703
1336.0,0.50667
1336.4,0.50645
1336.7,0.50637
1337.1,0.50613
1337.4,0.50592
1337.8,0.50578
1338.1,0.5055
1338.4,0.5052
1338.8,0.50494
1339.1,0.50465
1339.5,0.50444
1339.8,0.50419
1340.2,0.50394
