Composition,
Date Added,2017-04-13
Formula,
Grain Size Description,<1000.0um
Grain Size,"(250.0, 1000.0)"
Locality,The Science Company
Minimum Wavelength,300
Sample Name,CuCl2 dihydrate >250 um (JB1639b)
Maximum Wavelength,99719
Database of Origin,RELAB
Other Information,Cupric Chloride Copper (II) Chloride Dihydrate
References,
Resolution,4.0
Material class,Synthetic
Sample Description,
Sample ID,BKR1JBG39B
Original Sample ID,JB-JLB-G39-B
Viewing Geometry,unknown
Wavelength,Response
300.0,0.03677
305.0,0.03609
310.0,0.03658
315.0,0.03662
320.0,0.03784
325.0,0.0389
330.0,0.04028
335.0,0.04147
340.0,0.04359
345.0,0.04446
350.0,0.04638
355.0,0.04786
360.0,0.05053
365.0,0.05284
370.0,0.05701
375.0,0.06185
380.0,0.06574
385.0,0.06963
390.0,0.07778
395.0,0.08378
400.0,0.09361
405.0,0.10012
410.0,0.10781
415.0,0.11316
420.0,0.1206
425.0,0.12524
430.0,0.13372
435.0,0.14244
440.0,0.15329
445.0,0.16499
450.0,0.17895
455.0,0.19239
460.0,0.20798
465.0,0.222
470.0,0.23767
475.0,0.2535
480.0,0.26986
485.0,0.28717
490.0,0.30381
495.0,0.31965
500.0,0.33863
505.0,0.35657
510.0,0.37529
515.0,0.39025
520.0,0.40232
525.0,0.41067
530.0,0.41793
535.0,0.42335
540.0,0.4286
545.0,0.43259
550.0,0.43772
555.0,0.43977
560.0,0.44238
565.0,0.4419
570.0,0.44075
575.0,0.43772
580.0,0.43473
585.0,0.42905
590.0,0.42265
595.0,0.41472
600.0,0.40523
605.0,0.39385
610.0,0.38082
615.0,0.36729
620.0,0.35193
625.0,0.33608
630.0,0.31931
635.0,0.30242
640.0,0.28547
645.0,0.26877
650.0,0.25302
655.0,0.23766
660.0,0.2228
665.0,0.20888
670.0,0.19586
675.0,0.18426
680.0,0.17334
685.0,0.16329
690.0,0.1536
695.0,0.14562
700.0,0.13811
705.0,0.13162
710.0,0.12542
715.0,0.11997
720.0,0.11524
725.0,0.11099
730.0,0.10741
735.0,0.10422
740.0,0.10122
745.0,0.09888
750.0,0.09687
755.0,0.09518
760.0,0.09391
765.0,0.09126
770.0,0.09025
775.0,0.0896
780.0,0.08937
785.0,0.08892
790.0,0.08877
795.0,0.08865
800.0,0.08906
805.0,0.08939
