Composition,
Date Added,2018-09-26
Formula,
Grain Size Description,<2000.0um
Grain Size,(500.0 - 2000.0)
Locality,"Tom Jeute, Idaho"
Minimum Wavelength,300
Sample Name,"Synthetic allophane Al/Si = 0.5, Fe(III) = 2 mol% >500 um (JB1648c)"
Maximum Wavelength,99719
Database of Origin,RELAB
Other Information,Allophane
References,
Resolution,4.0
Material class,Synthetic
Sample Description,
Sample ID,BKR1JBG48C
Original Sample ID,JB-JLB-G48-C
Viewing Geometry,Unknown
Wavelength,Response
300.0,0.422933
305.0,0.437814
310.0,0.449071
315.0,0.462283
320.0,0.477504
325.0,0.490884
330.0,0.505022
335.0,0.522157
340.0,0.541098
345.0,0.560048
350.0,0.579775
355.0,0.597891
360.0,0.616042
365.0,0.635421
370.0,0.651501
375.0,0.668244
380.0,0.681807
385.0,0.692999
390.0,0.70453
395.0,0.718063
400.0,0.731901
405.0,0.743469
410.0,0.75558
415.0,0.767777
420.0,0.779648
425.0,0.79347
430.0,0.799964
435.0,0.800714
440.0,0.798549
445.0,0.800861
450.0,0.804161
455.0,0.806224
460.0,0.811651
465.0,0.818828
470.0,0.826719
475.0,0.836358
480.0,0.842281
485.0,0.849403
490.0,0.853931
495.0,0.859392
500.0,0.862453
505.0,0.867318
510.0,0.871157
515.0,0.877283
520.0,0.877785
525.0,0.883516
530.0,0.883664
535.0,0.884822
540.0,0.886406
545.0,0.887876
550.0,0.891273
555.0,0.889959
560.0,0.895208
565.0,0.89553
570.0,0.895562
575.0,0.89768
580.0,0.896797
585.0,0.896447
590.0,0.897926
595.0,0.897562
600.0,0.898953
605.0,0.900765
610.0,0.899311
615.0,0.899176
620.0,0.899243
625.0,0.899467
630.0,0.900681
635.0,0.901515
640.0,0.905044
645.0,0.906835
650.0,0.909396
655.0,0.913702
660.0,0.915148
665.0,0.915067
670.0,0.915654
675.0,0.914902
680.0,0.914383
685.0,0.912944
690.0,0.914115
695.0,0.913162
700.0,0.91262
705.0,0.912199
710.0,0.913046
715.0,0.912372
720.0,0.910744
725.0,0.910779
730.0,0.909566
735.0,0.909004
740.0,0.908471
745.0,0.905494
750.0,0.906917
755.0,0.905141
760.0,0.906238
765.0,0.901347
770.0,0.900545
775.0,0.898372
780.0,0.89829
785.0,0.897404
790.0,0.896934
795.0,0.894477
800.0,0.893687
805.0,0.893601
810.0,0.893817
815.0,0.889624
820.0,0.89008
825.0,0.888733
830.0,0.888349
835.0,0.885935
840.0,0.885271
845.0,0.885136
850.0,0.883006
855.0,0.882113
860.0,0.880538
865.0,0.878675
870.0,0.878341
871.0,0.878022
872.0,0.87768
873.0,0.877318
874.0,0.876966
875.0,0.876622
876.0,0.876258
877.0,0.875873
878.0,0.875482
879.0,0.875115
880.0,0.874785
881.0,0.874464
882.0,0.874095
883.0,0.873718
884.0,0.87335
885.0,0.872985
886.0,0.872678
887.0,0.87235
888.0,0.872026
889.0,0.871708
890.0,0.871309
891.0,0.870912
892.0,0.870558
893.0,0.870208
894.0,0.869862
895.0,0.8695
896.0,0.869143
897.0,0.868811
898.0,0.868415
899.0,0.868063
900.0,0.867777
901.0,0.867441
902.0,0.867085
903.0,0.866746
904.0,0.866415
905.0,0.866036
906.0,0.865673
907.0,0.865357
908.0,0.865064
909.0,0.864691
910.0,0.864364
911.0,0.864047
912.0,0.863692
913.0,0.863268
914.0,0.862908
915.0,0.862597
916.0,0.862288
917.0,0.861919
918.0,0.861575
919.0,0.861238
920.0,0.860876
921.0,0.860538
922.0,0.86019
923.0,0.859838
924.0,0.859487
925.0,0.859078
926.0,0.858663
927.0,0.858279
928.0,0.857932
929.0,0.857474
930.0,0.857049
931.0,0.856676
932.0,0.856229
933.0,0.855808
934.0,0.855399
935.0,0.854966
936.0,0.854465
937.0,0.853981
938.0,0.853544
939.0,0.853158
940.0,0.852778
941.0,0.852267
942.0,0.85172
943.0,0.851246
944.0,0.850865
945.0,0.850525
946.0,0.850126
947.0,0.849648
948.0,0.849183
949.0,0.848757
950.0,0.848336
951.0,0.847909
952.0,0.847497
953.0,0.847057
954.0,0.84657
955.0,0.846067
956.0,0.845557
957.0,0.845068
958.0,0.844616
959.0,0.844223
960.0,0.843883
961.0,0.843413
962.0,0.842962
963.0,0.842623
964.0,0.842285
965.0,0.842016
966.0,0.841713
967.0,0.841305
968.0,0.840986
969.0,0.840766
970.0,0.840504
971.0,0.840185
972.0,0.840063
973.0,0.839752
974.0,0.839405
975.0,0.839155
976.0,0.838905
977.0,0.838641
978.0,0.838404
979.0,0.838202
980.0,0.838043
981.0,0.83788
982.0,0.837715
983.0,0.837529
984.0,0.837271
985.0,0.837084
986.0,0.836894
987.0,0.836676
988.0,0.836556
989.0,0.836516
990.0,0.836442
991.0,0.836252
992.0,0.835942
993.0,0.835786
994.0,0.835632
995.0,0.835416
996.0,0.835287
997.0,0.835193
998.0,0.835122
999.0,0.835027
1000.0,0.834769
1001.0,0.835477
1002.0,0.835243
1003.0,0.834985
1004.0,0.834749
1005.0,0.834501
1006.0,0.834251
1007.0,0.834067
1008.0,0.833861
1009.0,0.833608
1010.0,0.83341
1011.0,0.833174
1012.0,0.83292
1013.0,0.832653
1014.0,0.83239
1015.0,0.83211
1016.0,0.831782
1017.0,0.831511
1018.0,0.831272
1019.0,0.831026
1020.0,0.830791
1021.0,0.830528
1022.0,0.830316
1023.0,0.830107
1024.0,0.829877
1025.0,0.829686
1026.0,0.829406
1027.0,0.829096
1028.0,0.828806
1029.0,0.828518
1030.06,0.828134
1030.17,0.828305
1030.27,0.828476
1030.37,0.828708
1030.47,0.828603
1030.58,0.82828
1030.68,0.828162
1030.78,0.828057
1030.88,0.828013
1030.99,0.828374
1031.09,0.828404
1031.19,0.828145
1031.29,0.827894
1031.4,0.828024
1031.5,0.82787
1031.6,0.827751
1031.7,0.827936
1031.81,0.827768
1031.91,0.827701
1032.01,0.827729
1032.11,0.827746
1032.22,0.827947
1032.32,0.827969
1032.42,0.827911
1032.52,0.827955
1032.63,0.827919
1032.73,0.827718
1032.83,0.827641
1032.94,0.827735
1033.04,0.828005
1033.14,0.828065
1033.24,0.827812
1033.35,0.827779
1033.45,0.827933
1033.55,0.828027
1033.66,0.82795
1033.76,0.827757
1033.86,0.827652
1033.96,0.827666
1034.07,0.827561
1034.17,0.827404
1034.27,0.827183
1034.38,0.82734
1034.48,0.827484
1034.58,0.82758
1034.69,0.827536
1034.79,0.827241
1034.89,0.827244
1035.0,0.827304
1035.1,0.827307
1035.2,0.827379
1035.31,0.827346
1035.41,0.827249
1035.51,0.82731
1035.62,0.827288
1035.72,0.827067
1035.82,0.826935
1035.93,0.827004
1036.03,0.826985
1036.13,0.826872
1036.24,0.827189
1036.34,0.827434
1036.44,0.827208
1036.55,0.827144
1036.65,0.827136
1036.75,0.826985
1036.86,0.826872
1036.96,0.826974
1037.07,0.826998
1037.17,0.827095
1037.27,0.827034
1037.38,0.827029
1037.48,0.827117
1037.58,0.826907
1037.69,0.826662
1037.79,0.826623
1037.9,0.826767
1038.0,0.826819
1038.1,0.826618
1038.21,0.826571
1038.31,0.826554
1038.41,0.826505
1038.52,0.826406
1038.62,0.826483
1038.73,0.826596
1038.83,0.826554
1038.93,0.82643
1039.04,0.826557
1039.14,0.826607
1039.25,0.826334
1039.35,0.826193
1039.46,0.826417
1039.56,0.826395
1039.66,0.826499
1039.77,0.826626
1039.87,0.82651
1039.98,0.826262
1040.08,0.826417
1040.18,0.826477
1040.29,0.826488
1040.39,0.826565
1040.5,0.826488
1040.6,0.826334
1040.71,0.826116
1040.81,0.826133
1040.92,0.826353
1041.02,0.826552
1041.12,0.826469
1041.23,0.826133
1041.33,0.82602
1041.44,0.826042
1041.54,0.826055
1041.65,0.825964
1041.75,0.826055
1041.86,0.82632
1041.96,0.826282
1042.07,0.825995
1042.17,0.825901
1042.27,0.825868
1042.38,0.825865
1042.48,0.825868
1042.59,0.825818
1042.69,0.825755
1042.8,0.825782
1042.9,0.825714
1043.01,0.825543
1043.11,0.82578
1043.22,0.825912
1043.32,0.825308
1043.43,0.825027
1043.53,0.825341
1043.64,0.825504
1043.74,0.825504
1043.85,0.825449
1043.95,0.825435
1044.06,0.825559
1044.16,0.825521
1044.27,0.825361
1044.37,0.825308
1044.48,0.82525
1044.58,0.825317
1044.69,0.825385
1044.79,0.825168
1044.9,0.825021
1045.0,0.825168
1045.11,0.825341
1045.21,0.82533
1045.32,0.825366
1045.43,0.825328
1045.53,0.825212
1045.64,0.825201
1045.74,0.825278
1045.85,0.824972
1045.95,0.824751
1046.06,0.824851
1046.16,0.825044
1046.27,0.825157
1046.37,0.824906
1046.48,0.82482
1046.59,0.824851
1046.69,0.824856
1046.8,0.824782
1046.9,0.82487
1047.01,0.824749
1047.11,0.824487
1047.22,0.824561
1047.33,0.824713
1047.43,0.824771
1047.54,0.824707
1047.64,0.824633
1047.75,0.824558
1047.85,0.824467
1047.96,0.824434
1048.07,0.824401
1048.17,0.824467
1048.28,0.824542
1048.38,0.82423
1048.49,0.824103
1048.6,0.824164
1048.7,0.823872
1048.81,0.823833
1048.91,0.82412
1049.02,0.824354
1049.13,0.824343
1049.23,0.82431
1049.34,0.824371
1049.44,0.824316
1049.55,0.824244
1049.66,0.824161
1049.76,0.824015
1049.87,0.823924
1049.97,0.823943
1050.08,0.823982
1050.19,0.824037
1050.29,0.82404
