Composition,
Date Added,2021-03-08
Formula,
Grain Size Description,<250.0um
Grain Size,"(0.0, 250.0)"
Locality,Synthetic by Dominik Talla
Minimum Wavelength,300
Sample Name,JB1779a: 10% Mg 90% Fe monohydrated sulfate <250 um
Maximum Wavelength,99719
Database of Origin,RELAB
Other Information,Monohydrated Sulfate
References,
Resolution,4.0
Material class,Mineral
Sample Description,
Sample ID,BKR1JBH79A
Original Sample ID,JB-JLB-H79-A
Viewing Geometry,unknown
Wavelength,Response
300.0,0.250658
305.0,0.256767
310.0,0.263272
315.0,0.26662
320.0,0.271587
325.0,0.27699
330.0,0.287169
335.0,0.298076
340.0,0.309316
345.0,0.325148
350.0,0.339362
355.0,0.362351
360.0,0.372713
365.0,0.404953
370.0,0.418766
375.0,0.437667
380.0,0.453453
385.0,0.462399
390.0,0.470548
395.0,0.487529
400.0,0.521344
405.0,0.536216
410.0,0.543641
415.0,0.555028
420.0,0.560246
425.0,0.565672
430.0,0.569006
435.0,0.57525
440.0,0.579348
445.0,0.579335
450.0,0.571608
455.0,0.577709
460.0,0.593543
465.0,0.607496
470.0,0.611321
475.0,0.608004
480.0,0.607506
485.0,0.6237
490.0,0.635463
495.0,0.634218
500.0,0.621403
505.0,0.618789
510.0,0.628676
515.0,0.643095
520.0,0.657494
525.0,0.67005
530.0,0.679209
535.0,0.686819
540.0,0.690078
545.0,0.692968
550.0,0.69524
555.0,0.696198
560.0,0.697382
565.0,0.698639
570.0,0.700795
575.0,0.703198
580.0,0.70512
585.0,0.707791
590.0,0.712057
595.0,0.712704
600.0,0.716185
605.0,0.717884
610.0,0.71968
615.0,0.720005
620.0,0.720583
625.0,0.718597
630.0,0.717558
635.0,0.714239
640.0,0.710636
645.0,0.705769
650.0,0.701113
655.0,0.694685
660.0,0.689677
665.0,0.681057
670.0,0.673823
675.0,0.664659
680.0,0.656841
685.0,0.646787
690.0,0.638229
695.0,0.627404
700.0,0.618679
705.0,0.607391
710.0,0.598834
715.0,0.587544
720.0,0.57748
725.0,0.566698
730.0,0.556253
735.0,0.544937
740.0,0.534448
745.0,0.521872
750.0,0.510452
755.0,0.496771
760.0,0.484639
765.0,0.468516
770.0,0.454162
775.0,0.437428
780.0,0.424
785.0,0.407619
790.0,0.392906
795.0,0.376384
800.0,0.361909
805.0,0.34737
810.0,0.333433
815.0,0.320196
820.0,0.307112
825.0,0.294545
830.0,0.282096
835.0,0.269594
840.0,0.259298
845.0,0.250346
850.0,0.24094
855.0,0.232579
860.0,0.225127
865.0,0.217749
870.0,0.210568
875.0,0.204962
880.0,0.199324
885.0,0.193694
890.0,0.189475
895.0,0.185423
900.0,0.181109
905.0,0.177594
910.0,0.175366
915.0,0.172661
920.0,0.170351
925.0,0.169055
930.0,0.168711
935.0,0.167224
940.0,0.166596
945.0,0.167027
950.0,0.16771
955.0,0.168009
960.0,0.169135
965.0,0.171155
970.0,0.173504
975.0,0.175261
980.0,0.178023
985.0,0.181681
990.0,0.185485
995.0,0.189232
1000.0,0.193315
1005.0,0.198349
1010.0,0.203535
1015.0,0.209276
1020.0,0.214435
1025.0,0.220962
1030.0,0.227149
1035.0,0.23384
1040.0,0.240162
1045.0,0.246295
1050.0,0.252833
1055.0,0.259514
1060.0,0.26579
1065.0,0.271806
1070.0,0.277344
1075.0,0.282833
1080.0,0.287743
1085.0,0.292065
1090.0,0.295446
1095.0,0.298704
1100.0,0.300797
1105.0,0.302934
1110.0,0.304147
1115.0,0.304937
1120.0,0.30479
1125.0,0.304392
1130.0,0.303147
1135.0,0.301777
1140.0,0.300408
1145.0,0.297883
1150.0,0.295711
1155.0,0.293237
1160.0,0.290642
1165.0,0.287461
1170.0,0.284088
1175.0,0.280889
1180.0,0.277744
1185.0,0.274659
1190.0,0.271285
1195.0,0.268172
1200.0,0.265154
1205.0,0.262296
1210.0,0.259356
1215.0,0.256495
1220.0,0.25342
1225.0,0.251002
1230.0,0.248049
1235.0,0.245882
1240.0,0.243555
1245.0,0.241434
1250.0,0.239451
1255.0,0.237484
1260.0,0.23568
1265.0,0.234386
1270.0,0.232844
1275.0,0.231533
1280.0,0.230313
1285.0,0.229507
1290.0,0.22855
1295.0,0.227804
1300.0,0.226781
1305.0,0.226646
1310.0,0.226044
1315.0,0.225844
1320.0,0.225719
1320.17,0.225927
1320.34,0.225947
1320.51,0.22592
1320.67,0.225912
1320.84,0.22587
1321.01,0.225861
1321.18,0.225845
1321.35,0.225848
1321.52,0.225924
1321.68,0.225947
1321.85,0.225803
1322.02,0.225636
1322.19,0.225554
1322.36,0.225553
1322.53,0.225674
1322.7,0.225759
1322.86,0.22577
1323.03,0.225723
1323.2,0.225711
1323.37,0.225584
1323.54,0.225532
1323.71,0.225575
1323.88,0.225632
1324.05,0.225692
1324.22,0.22571
1324.39,0.225683
1324.55,0.225631
1324.72,0.225625
1324.89,0.225647
1325.06,0.225701
1325.23,0.225717
1325.4,0.225794
1325.57,0.22581
1325.74,0.225662
1325.91,0.225581
1326.08,0.225536
1326.25,0.225502
1326.42,0.225586
1326.59,0.225653
1326.76,0.22556
1326.93,0.225452
1327.1,0.225454
1327.27,0.225619
1327.44,0.225583
1327.61,0.225512
1327.78,0.225493
1327.95,0.225437
1328.12,0.225416
1328.29,0.225584
1328.46,0.225788
1328.63,0.225515
1328.8,0.225428
1328.97,0.22562
1329.14,0.225487
1329.31,0.225319
1329.48,0.225413
1329.65,0.225623
1329.82,0.225675
1329.99,0.225568
1330.16,0.225377
1330.33,0.225242
1330.5,0.225179
1330.67,0.225316
1330.84,0.225454
1331.02,0.225457
1331.19,0.225352
1331.36,0.225361
1331.53,0.22541
1331.7,0.22544
1331.87,0.225626
1332.04,0.225678
1332.21,0.225373
1332.38,0.225202
1332.55,0.22529
1332.73,0.225461
1332.9,0.225499
1333.07,0.225386
1333.24,0.225419
1333.41,0.225544
1333.58,0.225457
1333.75,0.225418
1333.93,0.225493
1334.1,0.225401
1334.27,0.225275
1334.44,0.225256
1334.61,0.225265
1334.78,0.225346
1334.96,0.225316
1335.13,0.225296
1335.3,0.225302
1335.47,0.225338
1335.64,0.225319
1335.82,0.225232
1335.99,0.225211
1336.16,0.225239
1336.33,0.225202
1336.5,0.225254
1336.68,0.225343
1336.85,0.225356
1337.02,0.225293
1337.19,0.225298
1337.37,0.22522
1337.54,0.225149
1337.71,0.22532
1337.88,0.225407
1338.06,0.225223
1338.23,0.225052
1338.4,0.225148
1338.58,0.225172
1338.75,0.225214
1338.92,0.225247
1339.09,0.225173
1339.27,0.225203
1339.44,0.225271
1339.61,0.225443
1339.79,0.225466
1339.96,0.22537
1340.13,0.225388
1340.31,0.225358
1340.48,0.225356
1340.65,0.225251
1340.83,0.225295
1341.0,0.225203
1341.17,0.225178
1341.35,0.22525
1341.52,0.22544
1341.69,0.225644
1341.87,0.22546
1342.04,0.225206
1342.21,0.225193
1342.39,0.225269
1342.56,0.225214
1342.73,0.225082
1342.91,0.225091
1343.08,0.225209
1343.26,0.225232
1343.43,0.225178
1343.6,0.225182
1343.78,0.225151
1343.95,0.225358
1344.13,0.225428
1344.3,0.225319
1344.48,0.225344
1344.65,0.225275
1344.82,0.225263
1345.0,0.225403
1345.17,0.225392
1345.35,0.225241
1345.52,0.22525
1345.7,0.225407
1345.87,0.225412
1346.05,0.22534
1346.22,0.225242
1346.4,0.225253
1346.57,0.225248
1346.75,0.225238
1346.92,0.225209
1347.1,0.225136
1347.27,0.225224
1347.45,0.225373
1347.62,0.225523
1347.8,0.225668
1347.97,0.22556
1348.15,0.225566
1348.32,0.225632
