Composition,
Date Added,2004-09-08
Formula,
Grain Size Description,<125.0um
Grain Size,"(45.0, 125.0)"
Locality,"Thorolfsfell Ridge, Iceland "
Minimum Wavelength,320
Sample Name,Palagonitic Tuff 45-125 um
Maximum Wavelength,2550
Database of Origin,RELAB
Other Information,Palagonitic Tuff
References,
Resolution,5.0
Material class,Rock
Sample Description,
Sample ID,C1JB501F
Original Sample ID,JB-JLB-501-F
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
320.0,0.02112
325.0,0.02218
330.0,0.02232
335.0,0.02384
340.0,0.02425
345.0,0.02537
350.0,0.02619
355.0,0.0277
360.0,0.02882
365.0,0.03023
370.0,0.03156
375.0,0.03314
380.0,0.03486
385.0,0.03666
390.0,0.03856
395.0,0.04041
400.0,0.04151
405.0,0.04293
410.0,0.04439
415.0,0.04602
420.0,0.0479
425.0,0.04994
430.0,0.0521
435.0,0.05428
440.0,0.05615
445.0,0.05771
450.0,0.05909
455.0,0.0604
460.0,0.06166
465.0,0.06279
470.0,0.06417
475.0,0.06567
480.0,0.06743
485.0,0.0695
490.0,0.07169
495.0,0.07417
500.0,0.07671
505.0,0.07944
510.0,0.08201
515.0,0.08471
520.0,0.0872
525.0,0.08957
530.0,0.09185
535.0,0.09397
540.0,0.09605
545.0,0.09802
550.0,0.09993
555.0,0.10174
560.0,0.10349
565.0,0.10514
570.0,0.10667
575.0,0.1079
580.0,0.10935
585.0,0.11077
590.0,0.11208
595.0,0.11332
600.0,0.1145
605.0,0.11559
610.0,0.11666
615.0,0.11774
620.0,0.11876
625.0,0.11952
630.0,0.1204
635.0,0.12113
640.0,0.12177
645.0,0.12235
650.0,0.12284
655.0,0.12318
660.0,0.12357
665.0,0.12393
670.0,0.12411
675.0,0.1243
680.0,0.12453
685.0,0.12456
690.0,0.12458
695.0,0.12466
700.0,0.12461
705.0,0.12452
710.0,0.12437
715.0,0.12425
720.0,0.124
725.0,0.12327
730.0,0.12297
735.0,0.1227
740.0,0.12235
745.0,0.12195
750.0,0.12161
755.0,0.12109
760.0,0.12074
765.0,0.12011
770.0,0.1195
775.0,0.11897
780.0,0.11833
785.0,0.11779
790.0,0.11716
795.0,0.1165
800.0,0.11585
805.0,0.11519
810.0,0.11454
815.0,0.11379
820.0,0.11329
825.0,0.11256
830.0,0.11189
835.0,0.11125
840.0,0.11052
845.0,0.10978
850.0,0.10924
855.0,0.10834
860.0,0.10768
865.0,0.10708
870.0,0.10638
875.0,0.10563
880.0,0.10506
885.0,0.10436
890.0,0.10374
895.0,0.10323
900.0,0.10281
905.0,0.1023
910.0,0.10183
915.0,0.10137
920.0,0.10084
925.0,0.10028
930.0,0.09974
935.0,0.09925
940.0,0.09882
945.0,0.0983
950.0,0.09767
955.0,0.09712
960.0,0.09665
965.0,0.09614
970.0,0.09575
975.0,0.09549
980.0,0.09523
985.0,0.09495
990.0,0.09463
995.0,0.09436
1000.0,0.09403
1005.0,0.09386
1010.0,0.09368
1015.0,0.09359
1020.0,0.09344
1025.0,0.09334
1030.0,0.0932
1035.0,0.09319
1040.0,0.09305
1045.0,0.09297
1050.0,0.09289
1055.0,0.09279
1060.0,0.09261
1065.0,0.09254
1070.0,0.09253
1075.0,0.09259
1080.0,0.09263
1085.0,0.09272
1090.0,0.09279
1095.0,0.09291
1100.0,0.09301
1105.0,0.09318
1110.0,0.09328
1115.0,0.0934
1120.0,0.09349
1125.0,0.09358
1130.0,0.09367
1135.0,0.09387
1140.0,0.09408
1145.0,0.09425
1150.0,0.09449
