Composition,
Date Added,2009-10-13
Formula,
Grain Size Description,<1000.0um
Grain Size,(125.0 - 1000.0)
Locality,"Brumada Bahia, Brazil"
Minimum Wavelength,280
Sample Name,Brumado Bahia magnesite >125 um
Maximum Wavelength,2600
Database of Origin,RELAB
Other Information,Magnesite
References,
Resolution,5.0
Material class,Mineral
Sample Description,"Excalibur Minerals, Spectroscopy of clay mineral mixtures (MDAP, MFRP, Active Missions)"
Sample ID,C1JB946D
Original Sample ID,JB-JLB-946-D
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
280.0,0.66076
285.0,0.65491
290.0,0.65526
295.0,0.66085
300.0,0.66713
305.0,0.67505
310.0,0.67998
315.0,0.68662
320.0,0.69324
325.0,0.69855
330.0,0.70508
335.0,0.71172
340.0,0.71939
345.0,0.72653
350.0,0.73528
355.0,0.74583
360.0,0.75126
365.0,0.76024
370.0,0.7664
375.0,0.77167
380.0,0.77285
385.0,0.77588
390.0,0.78389
395.0,0.78461
400.0,0.78674
405.0,0.78807
410.0,0.78988
415.0,0.79325
420.0,0.79539
425.0,0.79763
430.0,0.79934
435.0,0.80022
440.0,0.80228
445.0,0.80357
450.0,0.80539
455.0,0.80619
460.0,0.80747
465.0,0.80818
470.0,0.80915
475.0,0.80951
480.0,0.81037
485.0,0.81122
490.0,0.8127
495.0,0.81286
500.0,0.81347
505.0,0.81432
510.0,0.81409
515.0,0.81506
520.0,0.81466
525.0,0.81582
530.0,0.81649
535.0,0.81689
540.0,0.81797
545.0,0.8188
550.0,0.81989
555.0,0.81993
560.0,0.82097
565.0,0.82236
570.0,0.82373
575.0,0.8245
580.0,0.82537
585.0,0.82603
590.0,0.82836
595.0,0.82863
600.0,0.82935
605.0,0.82924
610.0,0.83021
615.0,0.82996
620.0,0.83005
625.0,0.83074
630.0,0.82993
635.0,0.83095
640.0,0.83069
645.0,0.83089
650.0,0.83113
655.0,0.83089
660.0,0.83157
665.0,0.83159
670.0,0.83057
675.0,0.83034
680.0,0.83029
685.0,0.8299
690.0,0.83022
695.0,0.83059
700.0,0.82952
705.0,0.82907
710.0,0.8303
715.0,0.83069
720.0,0.83032
725.0,0.83102
730.0,0.83061
735.0,0.82982
740.0,0.82987
745.0,0.82919
750.0,0.82891
755.0,0.82758
760.0,0.82723
765.0,0.82349
770.0,0.82233
775.0,0.82177
780.0,0.82012
785.0,0.81911
790.0,0.81719
795.0,0.81486
800.0,0.81269
805.0,0.81072
810.0,0.80882
815.0,0.80573
820.0,0.80173
825.0,0.79996
830.0,0.79629
835.0,0.79331
840.0,0.78993
845.0,0.78524
850.0,0.78194
855.0,0.77463
860.0,0.77204
865.0,0.76847
870.0,0.76476
875.0,0.76059
880.0,0.75451
885.0,0.75217
890.0,0.74699
895.0,0.74173
900.0,0.73577
905.0,0.73067
910.0,0.72586
915.0,0.72166
920.0,0.71669
925.0,0.71055
930.0,0.70933
935.0,0.70511
940.0,0.69982
945.0,0.69715
950.0,0.69297
955.0,0.68802
960.0,0.68442
965.0,0.68306
970.0,0.6789
975.0,0.67528
980.0,0.67232
985.0,0.67032
990.0,0.66794
995.0,0.66601
1000.0,0.66421
1005.0,0.66295
1010.0,0.66034
1015.0,0.65859
1020.0,0.65929
1025.0,0.65931
1030.0,0.6581
1035.0,0.65896
1040.0,0.65935
1045.0,0.65878
1050.0,0.65932
1055.0,0.65949
1060.0,0.66014
1065.0,0.66018
1070.0,0.6611
1075.0,0.66167
1080.0,0.6609
1085.0,0.66212
1090.0,0.66292
1095.0,0.66338
1100.0,0.6634
1105.0,0.66409
1110.0,0.66393
1115.0,0.66427
1120.0,0.66404
1125.0,0.6647
1130.0,0.66559
1135.0,0.66392
1140.0,0.66496
1145.0,0.66489
1150.0,0.66613
1155.0,0.66511
1160.0,0.66611
1165.0,0.66704
1170.0,0.66797
1175.0,0.66707
1180.0,0.66869
1185.0,0.66917
1190.0,0.67042
1195.0,0.67167
1200.0,0.67233
1205.0,0.67176
1210.0,0.67329
1215.0,0.674
1220.0,0.67547
1225.0,0.67759
1230.0,0.67817
1235.0,0.68143
1240.0,0.68325
1245.0,0.68661
1250.0,0.68775
1255.0,0.69099
1260.0,0.69349
1265.0,0.69691
1270.0,0.6992
1275.0,0.70227
1280.0,0.70541
1285.0,0.70736
1290.0,0.71129
1295.0,0.71503
1300.0,0.71791
1305.0,0.72093
1310.0,0.72485
1315.0,0.72744
1320.0,0.7316
1325.0,0.73495
1330.0,0.73857
1335.0,0.74235
1340.0,0.74547
1345.0,0.74824
1350.0,0.74968
1355.0,0.75338
1360.0,0.75498
1365.0,0.76022
1370.0,0.76539
1375.0,0.76605
1380.0,0.76973
1385.0,0.7749
1390.0,0.77517
1395.0,0.78055
1400.0,0.78151
1405.0,0.78153
1410.0,0.78417
1415.0,0.78542
1420.0,0.78672
1425.0,0.78648
1430.0,0.78833
1435.0,0.79035
1440.0,0.7912
1445.0,0.79418
1450.0,0.79477
1455.0,0.7946
1460.0,0.79625
1465.0,0.79779
1470.0,0.80061
1475.0,0.80108
1480.0,0.80405
1485.0,0.80421
1490.0,0.80515
1495.0,0.80586
1500.0,0.807
1505.0,0.80813
1510.0,0.80827
1515.0,0.80909
1520.0,0.809
1525.0,0.81048
1530.0,0.81049
1535.0,0.81219
1540.0,0.81163
1545.0,0.81253
1550.0,0.81237
1555.0,0.81488
1560.0,0.81657
1565.0,0.81662
1570.0,0.8179
1575.0,0.81849
1580.0,0.81834
1585.0,0.81856
1590.0,0.81829
1595.0,0.81861
1600.0,0.81815
1605.0,0.81804
1610.0,0.81781
1615.0,0.81875
1620.0,0.81802
1625.0,0.81828
1630.0,0.81601
1635.0,0.81654
1640.0,0.81792
1645.0,0.81882
1650.0,0.81816
1655.0,0.81854
1660.0,0.81797
1665.0,0.81635
1670.0,0.81642
1675.0,0.81449
1680.0,0.81321
1685.0,0.81189
1690.0,0.81096
1695.0,0.80917
1700.0,0.80874
1705.0,0.80953
1710.0,0.8092
1715.0,0.80947
1720.0,0.81035
1725.0,0.81059
1730.0,0.81127
1735.0,0.81213
1740.0,0.81438
1745.0,0.81664
1750.0,0.81833
1755.0,0.81933
1760.0,0.8188
1765.0,0.81678
1770.0,0.8171
1775.0,0.8143
1780.0,0.81248
1785.0,0.81204
1790.0,0.80835
1795.0,0.80347
1800.0,0.80204
1805.0,0.79789
1810.0,0.79309
1815.0,0.78776
1820.0,0.78454
1825.0,0.77874
1830.0,0.77575
1835.0,0.7702
1840.0,0.7675
1845.0,0.75851
1850.0,0.76044
1855.0,0.76716
1860.0,0.78702
1865.0,0.80058
1870.0,0.8163
1875.0,0.82352
1880.0,0.81682
1885.0,0.81282
1890.0,0.8112
1895.0,0.80414
1900.0,0.80146
1905.0,0.80171
1910.0,0.79217
1915.0,0.78754
1920.0,0.78123
1925.0,0.77373
1930.0,0.76576
1935.0,0.75821
1940.0,0.75453
1945.0,0.74921
1950.0,0.74432
1955.0,0.74068
1960.0,0.73648
1965.0,0.7326
1970.0,0.73049
1975.0,0.72966
1980.0,0.73755
1985.0,0.75049
1990.0,0.76736
1995.0,0.7784
2000.0,0.78517
2005.0,0.79147
2010.0,0.79285
2015.0,0.79568
2020.0,0.79619
2025.0,0.79681
2030.0,0.79728
2035.0,0.7963
2040.0,0.79581
2045.0,0.79344
2050.0,0.79223
2055.0,0.79025
2060.0,0.78621
2065.0,0.78287
2070.0,0.77809
2075.0,0.77599
2080.0,0.77007
2085.0,0.76621
2090.0,0.76102
2095.0,0.75809
2100.0,0.75345
2105.0,0.75126
2110.0,0.74672
2115.0,0.73915
2120.0,0.73297
2125.0,0.72804
2130.0,0.72511
2135.0,0.72887
2140.0,0.7352
2145.0,0.7445
2150.0,0.74808
2155.0,0.74956
2160.0,0.74918
2165.0,0.74606
2170.0,0.74243
2175.0,0.7337
2180.0,0.72552
2185.0,0.71626
2190.0,0.70586
2195.0,0.6952
2200.0,0.68018
2205.0,0.66626
2210.0,0.64855
2215.0,0.63041
2220.0,0.61102
2225.0,0.58971
2230.0,0.56719
2235.0,0.54364
2240.0,0.5187
2245.0,0.49664
2250.0,0.47722
2255.0,0.46513
2260.0,0.45419
2265.0,0.4469
2270.0,0.44107
2275.0,0.43726
2280.0,0.43361
2285.0,0.42888
2290.0,0.42248
2295.0,0.41759
2300.0,0.41436
2305.0,0.41677
2310.0,0.42738
2315.0,0.44611
2320.0,0.47676
2325.0,0.51913
2330.0,0.57238
2335.0,0.63278
2340.0,0.68275
2345.0,0.70618
2350.0,0.71135
2355.0,0.70687
2360.0,0.69206
2365.0,0.67239
2370.0,0.67417
2375.0,0.66538
2380.0,0.6489
2385.0,0.63358
2390.0,0.61318
2395.0,0.59439
2400.0,0.57407
2405.0,0.55322
2410.0,0.53184
2415.0,0.50712
2420.0,0.48137
2425.0,0.4541
2430.0,0.42732
2435.0,0.40261
2440.0,0.38139
2445.0,0.36388
2450.0,0.34979
2455.0,0.34008
2460.0,0.33268
2465.0,0.32721
2470.0,0.3227
2475.0,0.31675
2480.0,0.31014
2485.0,0.30346
2490.0,0.29514
2495.0,0.28676
2500.0,0.28134
2505.0,0.28586
2510.0,0.29497
2515.0,0.31294
2520.0,0.3419
2525.0,0.38506
2530.0,0.44655
2535.0,0.52481
2540.0,0.57639
2545.0,0.61959
2550.0,0.6334
2555.0,0.65879
2560.0,0.67506
2565.0,0.68882
2570.0,0.69701
2575.0,0.70526
2580.0,0.70425
2585.0,0.70792
2590.0,0.70326
2595.0,0.70166
2600.0,0.68873
