Composition,
Date Added,2011-09-08
Formula,
Grain Size Description,<45.0um
Grain Size,(0.0 - 45.0)
Locality,"Alcaparrosa, Chile"
Minimum Wavelength,280
Sample Name,Coquimbite SPT126 <45 um
Maximum Wavelength,2550
Database of Origin,RELAB
Other Information,Coquimbite
References,
Resolution,5.0
Material class,Mineral
Sample Description,Spectroscopy of sulfate minerals
Sample ID,C1JBA51
Original Sample ID,JB-JLB-A51
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
280.0,0.26322
285.0,0.1285
290.0,0.07407
295.0,0.05215
300.0,0.04175
305.0,0.03609
310.0,0.03209
315.0,0.02884
320.0,0.02671
325.0,0.02518
330.0,0.02455
335.0,0.02451
340.0,0.02522
345.0,0.02529
350.0,0.02354
355.0,0.02322
360.0,0.02737
365.0,0.03836
370.0,0.05833
375.0,0.08918
380.0,0.13448
385.0,0.19029
390.0,0.26089
395.0,0.33747
400.0,0.42389
405.0,0.48755
410.0,0.52649
415.0,0.54346
420.0,0.55105
425.0,0.51885
430.0,0.53007
435.0,0.57991
440.0,0.67238
445.0,0.69845
450.0,0.70854
455.0,0.71025
460.0,0.71222
465.0,0.71442
470.0,0.71921
475.0,0.72596
480.0,0.7345
485.0,0.74156
490.0,0.75031
495.0,0.7553
500.0,0.76141
505.0,0.7639
510.0,0.76543
515.0,0.76438
520.0,0.76291
525.0,0.76043
530.0,0.75851
535.0,0.7561
540.0,0.75488
545.0,0.75257
550.0,0.75307
555.0,0.75248
560.0,0.75378
565.0,0.75502
570.0,0.75809
575.0,0.76063
580.0,0.76446
585.0,0.76886
590.0,0.77548
595.0,0.78016
600.0,0.78716
605.0,0.7941
610.0,0.80195
615.0,0.80905
620.0,0.81712
625.0,0.82313
630.0,0.83024
635.0,0.8357
640.0,0.84145
645.0,0.84441
650.0,0.84848
655.0,0.84944
660.0,0.85225
665.0,0.85206
670.0,0.85257
675.0,0.85059
680.0,0.849
685.0,0.84634
690.0,0.84282
695.0,0.8387
700.0,0.8348
705.0,0.82943
710.0,0.82456
715.0,0.81936
720.0,0.81509
725.0,0.80886
730.0,0.80482
735.0,0.79989
740.0,0.79546
745.0,0.79137
750.0,0.78843
755.0,0.78484
760.0,0.78341
765.0,0.78163
770.0,0.78084
775.0,0.7798
780.0,0.78013
785.0,0.78005
790.0,0.78126
795.0,0.78292
800.0,0.78552
805.0,0.78743
810.0,0.78935
815.0,0.79285
820.0,0.79777
825.0,0.80139
830.0,0.80684
835.0,0.80913
840.0,0.81368
845.0,0.81704
850.0,0.82243
855.0,0.82557
860.0,0.83233
865.0,0.8352
870.0,0.84138
875.0,0.84624
880.0,0.84864
885.0,0.85289
890.0,0.85778
895.0,0.86228
900.0,0.86594
905.0,0.86882
910.0,0.87346
915.0,0.87802
920.0,0.8804
925.0,0.88047
930.0,0.88769
935.0,0.88759
940.0,0.89022
945.0,0.8928
950.0,0.89485
955.0,0.89597
960.0,0.89691
965.0,0.89819
970.0,0.89915
975.0,0.90248
980.0,0.90345
985.0,0.90612
990.0,0.90576
995.0,0.9056
1000.0,0.90542
1005.0,0.9066
1010.0,0.90859
1015.0,0.90857
1020.0,0.9088
1025.0,0.91029
1030.0,0.90956
1035.0,0.90954
1040.0,0.91068
1045.0,0.91196
1050.0,0.91191
1055.0,0.91291
1060.0,0.91298
1065.0,0.9125
1070.0,0.91229
1075.0,0.91277
1080.0,0.91409
1085.0,0.91416
1090.0,0.91383
1095.0,0.91335
1100.0,0.9148
1105.0,0.91393
1110.0,0.91306
1115.0,0.91268
1120.0,0.91133
1125.0,0.91242
1130.0,0.9109
1135.0,0.90949
1140.0,0.90893
1145.0,0.90603
1150.0,0.89979
1155.0,0.8951
1160.0,0.8917
1165.0,0.89705
1170.0,0.89947
1175.0,0.8964
1180.0,0.89465
1185.0,0.89334
1190.0,0.88995
1195.0,0.887
1200.0,0.88521
1205.0,0.88289
1210.0,0.8802
1215.0,0.87834
1220.0,0.87608
1225.0,0.87518
1230.0,0.87316
1235.0,0.87278
1240.0,0.87029
1245.0,0.86942
1250.0,0.86814
1255.0,0.86776
1260.0,0.86738
1265.0,0.86492
1270.0,0.86423
1275.0,0.86192
1280.0,0.86183
1285.0,0.85921
1290.0,0.85815
1295.0,0.85747
1300.0,0.85567
1305.0,0.85307
1310.0,0.85173
1315.0,0.84933
1320.0,0.84634
1325.0,0.84325
1330.0,0.83978
1335.0,0.83587
1340.0,0.83161
1345.0,0.82742
1350.0,0.82351
1355.0,0.81926
1360.0,0.81827
1365.0,0.81304
1370.0,0.80941
1375.0,0.80653
1380.0,0.80374
1385.0,0.79586
1390.0,0.79071
1395.0,0.77455
1400.0,0.74848
1405.0,0.72287
1410.0,0.70655
1415.0,0.71667
1420.0,0.73137
1425.0,0.73351
1430.0,0.72722
1435.0,0.71753
1440.0,0.70512
1445.0,0.69009
1450.0,0.67316
1455.0,0.65458
1460.0,0.63522
1465.0,0.61735
1470.0,0.60025
1475.0,0.58685
1480.0,0.57759
1485.0,0.57388
1490.0,0.57134
1495.0,0.57004
1500.0,0.56766
1505.0,0.56593
1510.0,0.56315
1515.0,0.56204
1520.0,0.55926
1525.0,0.55697
1530.0,0.55458
1535.0,0.55125
1540.0,0.54821
1545.0,0.5448
1550.0,0.54209
1555.0,0.53794
1560.0,0.53526
1565.0,0.53167
1570.0,0.52888
1575.0,0.52498
1580.0,0.52137
1585.0,0.51839
1590.0,0.51505
1595.0,0.51135
1600.0,0.50951
1605.0,0.50608
1610.0,0.50336
1615.0,0.50118
1620.0,0.49815
1625.0,0.49619
1630.0,0.4926
1635.0,0.49043
1640.0,0.48717
1645.0,0.48469
1650.0,0.48122
1655.0,0.47852
1660.0,0.47531
1665.0,0.47241
1670.0,0.46917
1675.0,0.46577
1680.0,0.4626
1685.0,0.45878
1690.0,0.45563
1695.0,0.45267
1700.0,0.44918
1705.0,0.44605
1710.0,0.4432
1715.0,0.43984
1720.0,0.43708
1725.0,0.43514
1730.0,0.43261
1735.0,0.43086
1740.0,0.42929
1745.0,0.42795
1750.0,0.42726
1755.0,0.4264
1760.0,0.4259
1765.0,0.4244
1770.0,0.424
1775.0,0.42363
1780.0,0.42221
1785.0,0.42214
1790.0,0.42229
1795.0,0.42129
1800.0,0.42089
1805.0,0.42086
1810.0,0.42176
1815.0,0.42181
1820.0,0.42099
1825.0,0.42186
1830.0,0.42167
1835.0,0.42383
1840.0,0.42093
1845.0,0.42283
1850.0,0.42194
1855.0,0.42213
1860.0,0.41972
1865.0,0.42191
1870.0,0.421
1875.0,0.41462
1880.0,0.41289
1885.0,0.40935
1890.0,0.40261
1895.0,0.38869
1900.0,0.36634
1905.0,0.34144
1910.0,0.33931
1915.0,0.34927
1920.0,0.35344
1925.0,0.35099
1930.0,0.34609
1935.0,0.33993
1940.0,0.33202
1945.0,0.32268
1950.0,0.31156
1955.0,0.30005
1960.0,0.28908
1965.0,0.27971
1970.0,0.27327
1975.0,0.26937
1980.0,0.26796
1985.0,0.26947
1990.0,0.27108
1995.0,0.27232
2000.0,0.27366
2005.0,0.27539
2010.0,0.27665
2015.0,0.27777
2020.0,0.27973
2025.0,0.28097
2030.0,0.28279
2035.0,0.28461
2040.0,0.28536
2045.0,0.28662
2050.0,0.28779
2055.0,0.29013
2060.0,0.29106
2065.0,0.29281
2070.0,0.2943
2075.0,0.29605
2080.0,0.29693
2085.0,0.29879
2090.0,0.29998
2095.0,0.30247
2100.0,0.30472
2105.0,0.30718
2110.0,0.31038
2115.0,0.31332
2120.0,0.31645
2125.0,0.3198
2130.0,0.32331
2135.0,0.32642
2140.0,0.33029
2145.0,0.33389
2150.0,0.3374
2155.0,0.34108
2160.0,0.34509
2165.0,0.34818
2170.0,0.352
2175.0,0.35466
2180.0,0.35748
2185.0,0.36093
2190.0,0.36331
2195.0,0.36624
2200.0,0.3683
2205.0,0.37093
2210.0,0.37283
2215.0,0.37585
2220.0,0.37786
2225.0,0.37988
2230.0,0.38171
2235.0,0.38381
2240.0,0.38619
2245.0,0.38793
2250.0,0.3887
2255.0,0.39009
2260.0,0.39146
2265.0,0.3924
2270.0,0.39194
2275.0,0.39262
2280.0,0.39125
2285.0,0.39067
2290.0,0.38906
2295.0,0.38737
2300.0,0.38488
2305.0,0.3816
2310.0,0.37875
2315.0,0.37551
2320.0,0.37231
2325.0,0.36895
2330.0,0.3656
2335.0,0.36198
2340.0,0.35703
2345.0,0.35316
2350.0,0.34777
2355.0,0.34312
2360.0,0.33758
2365.0,0.33111
2370.0,0.32578
2375.0,0.31816
2380.0,0.31161
2385.0,0.30608
2390.0,0.29888
2395.0,0.29316
2400.0,0.28641
2405.0,0.28003
2410.0,0.27449
2415.0,0.26856
2420.0,0.26336
2425.0,0.25809
2430.0,0.25419
2435.0,0.24917
2440.0,0.24567
2445.0,0.24225
2450.0,0.23907
2455.0,0.23573
2460.0,0.23194
2465.0,0.22916
2470.0,0.22617
2475.0,0.2233
2480.0,0.22134
2485.0,0.21792
2490.0,0.21616
2495.0,0.21413
2500.0,0.21257
2505.0,0.21117
2510.0,0.21059
2515.0,0.21021
2520.0,0.20867
2525.0,0.20794
2530.0,0.20737
2535.0,0.20522
2540.0,0.20577
2545.0,0.20306
2550.0,0.20092
