Composition,
Date Added,2013-08-21
Formula,
Grain Size Description,<90.0um
Grain Size,(75.0 - 90.0)
Locality,"Antigonish Co., Nova Scotia, Canada"
Minimum Wavelength,300
Sample Name,Antigonish Co. siderite 75-90 um
Maximum Wavelength,2550
Database of Origin,RELAB
Other Information,Siderite
References,
Resolution,5.0
Material class,Mineral
Sample Description,
Sample ID,C1JBE62C
Original Sample ID,JB-JLB-E62-C
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,0.07982
305.0,0.0778
310.0,0.08149
315.0,0.0862
320.0,0.09466
325.0,0.10517
330.0,0.11575
335.0,0.12492
340.0,0.1324
345.0,0.13615
350.0,0.138
355.0,0.13998
360.0,0.14164
365.0,0.14478
370.0,0.14828
375.0,0.15195
380.0,0.1561
385.0,0.16035
390.0,0.16591
395.0,0.16581
400.0,0.17287
405.0,0.18116
410.0,0.18522
415.0,0.18965
420.0,0.19396
425.0,0.19676
430.0,0.20111
435.0,0.20527
440.0,0.20891
445.0,0.21224
450.0,0.21668
455.0,0.22055
460.0,0.22465
465.0,0.2275
470.0,0.23039
475.0,0.23382
480.0,0.23603
485.0,0.23883
490.0,0.24465
495.0,0.25138
500.0,0.2565
505.0,0.25997
510.0,0.26424
515.0,0.26853
520.0,0.27385
525.0,0.28068
530.0,0.28814
535.0,0.29642
540.0,0.30549
545.0,0.31564
550.0,0.32593
555.0,0.33773
560.0,0.34981
565.0,0.36257
570.0,0.37536
575.0,0.38784
580.0,0.40018
585.0,0.41146
590.0,0.42171
595.0,0.43097
600.0,0.43872
605.0,0.44553
610.0,0.45216
615.0,0.45734
620.0,0.46185
625.0,0.46647
630.0,0.47151
635.0,0.47569
640.0,0.48076
645.0,0.48571
650.0,0.48974
655.0,0.49508
660.0,0.50003
665.0,0.50538
670.0,0.51113
675.0,0.51659
680.0,0.52158
685.0,0.52651
690.0,0.53231
695.0,0.53705
700.0,0.54182
705.0,0.54531
710.0,0.5491
715.0,0.55156
720.0,0.55362
725.0,0.55503
730.0,0.5565
735.0,0.55613
740.0,0.55486
745.0,0.55337
750.0,0.55172
755.0,0.54692
760.0,0.54453
765.0,0.53976
770.0,0.53355
775.0,0.5279
780.0,0.52057
785.0,0.51262
790.0,0.50435
795.0,0.49493
800.0,0.48493
805.0,0.47593
810.0,0.46456
815.0,0.45392
820.0,0.44261
825.0,0.43163
830.0,0.41897
835.0,0.4084
840.0,0.39676
845.0,0.38553
850.0,0.37419
855.0,0.3638
860.0,0.35301
865.0,0.34249
870.0,0.33247
875.0,0.32251
880.0,0.3129
885.0,0.30375
890.0,0.29472
895.0,0.2858
900.0,0.27729
905.0,0.26914
910.0,0.26133
915.0,0.25394
920.0,0.24698
925.0,0.24067
930.0,0.2344
935.0,0.22887
940.0,0.22272
945.0,0.21752
950.0,0.21181
955.0,0.20696
960.0,0.20256
965.0,0.19835
970.0,0.19504
975.0,0.19122
980.0,0.1881
985.0,0.18485
990.0,0.18261
995.0,0.18025
1000.0,0.17842
1005.0,0.17767
1010.0,0.17622
1015.0,0.1751
1020.0,0.17365
1025.0,0.17297
1030.0,0.17278
1035.0,0.17198
1040.0,0.17169
1045.0,0.17183
1050.0,0.17212
1055.0,0.1719
1060.0,0.1716
1065.0,0.17269
1070.0,0.17284
1075.0,0.17374
1080.0,0.17405
1085.0,0.1746
1090.0,0.17538
1095.0,0.17593
1100.0,0.17664
1105.0,0.17716
1110.0,0.17788
1115.0,0.17859
1120.0,0.17861
1125.0,0.17955
1130.0,0.17981
1135.0,0.17996
1140.0,0.17987
1145.0,0.18088
1150.0,0.18038
1155.0,0.18099
1160.0,0.18078
1165.0,0.18046
1170.0,0.18084
1175.0,0.18101
1180.0,0.18124
1185.0,0.18096
1190.0,0.18148
1195.0,0.18135
1200.0,0.18151
1205.0,0.18121
1210.0,0.18114
1215.0,0.18218
1220.0,0.18188
1225.0,0.18231
1230.0,0.18371
1235.0,0.18434
1240.0,0.18522
1245.0,0.18571
1250.0,0.1865
1255.0,0.1886
1260.0,0.18937
1265.0,0.19152
1270.0,0.19261
1275.0,0.19526
1280.0,0.19679
1285.0,0.19952
1290.0,0.20216
1295.0,0.20461
1300.0,0.2074
1305.0,0.21039
1310.0,0.21321
1315.0,0.21649
1320.0,0.21969
1325.0,0.22496
1330.0,0.22846
1335.0,0.23322
1340.0,0.23798
1345.0,0.24222
1350.0,0.24698
1355.0,0.2512
1360.0,0.2571
1365.0,0.26314
1370.0,0.2685
1375.0,0.27469
1380.0,0.28175
1385.0,0.28907
1390.0,0.29562
1395.0,0.30235
1400.0,0.30902
1405.0,0.31809
1410.0,0.32733
1415.0,0.33334
1420.0,0.3419
1425.0,0.34983
1430.0,0.3582
1435.0,0.3671
1440.0,0.37644
1445.0,0.38577
1450.0,0.39457
1455.0,0.40415
1460.0,0.41314
1465.0,0.42186
1470.0,0.43238
1475.0,0.44104
1480.0,0.45129
1485.0,0.46139
1490.0,0.47147
1495.0,0.48116
1500.0,0.49082
1505.0,0.50141
1510.0,0.50921
1515.0,0.51941
1520.0,0.52888
1525.0,0.53847
1530.0,0.54727
1535.0,0.55697
1540.0,0.56508
1545.0,0.57503
1550.0,0.58301
1555.0,0.59137
1560.0,0.59943
1565.0,0.60753
1570.0,0.61545
1575.0,0.62274
1580.0,0.63108
1585.0,0.6377
1590.0,0.64521
1595.0,0.65137
1600.0,0.65742
1605.0,0.66378
1610.0,0.66953
1615.0,0.67617
1620.0,0.68079
1625.0,0.6854
1630.0,0.69006
1635.0,0.69518
1640.0,0.699
1645.0,0.70418
1650.0,0.70836
1655.0,0.71242
1660.0,0.71457
1665.0,0.71881
1670.0,0.72133
1675.0,0.72561
1680.0,0.72741
1685.0,0.73152
1690.0,0.73255
1695.0,0.73539
1700.0,0.7377
1705.0,0.7402
1710.0,0.74185
1715.0,0.7434
1720.0,0.74603
1725.0,0.74687
1730.0,0.74776
1735.0,0.75026
1740.0,0.75089
1745.0,0.75158
1750.0,0.75349
1755.0,0.75429
1760.0,0.75523
1765.0,0.75637
1770.0,0.75804
1775.0,0.75865
1780.0,0.75909
1785.0,0.7603
1790.0,0.76005
1795.0,0.7601
1800.0,0.76043
1805.0,0.76008
1810.0,0.75999
1815.0,0.75978
1820.0,0.75943
1825.0,0.75892
1830.0,0.75943
1835.0,0.75915
1840.0,0.7591
1845.0,0.75857
1850.0,0.75873
1855.0,0.75704
1860.0,0.75598
1865.0,0.75637
1870.0,0.75635
1875.0,0.75548
1880.0,0.75504
1885.0,0.75422
1890.0,0.75122
1895.0,0.74889
1900.0,0.74614
1905.0,0.74341
1910.0,0.74055
1915.0,0.73782
1920.0,0.73463
1925.0,0.73256
1930.0,0.73064
1935.0,0.72948
1940.0,0.72833
1945.0,0.72899
1950.0,0.72677
1955.0,0.72503
1960.0,0.72622
1965.0,0.72718
1970.0,0.72671
1975.0,0.72664
1980.0,0.72797
1985.0,0.72873
1990.0,0.72987
1995.0,0.73072
2000.0,0.73273
2005.0,0.73621
2010.0,0.73924
2015.0,0.74151
2020.0,0.74435
2025.0,0.74727
2030.0,0.74782
2035.0,0.74876
2040.0,0.74965
2045.0,0.75004
2050.0,0.75067
2055.0,0.75214
2060.0,0.75236
2065.0,0.75235
2070.0,0.75281
2075.0,0.7535
2080.0,0.75289
2085.0,0.75172
2090.0,0.75147
2095.0,0.75008
2100.0,0.74952
2105.0,0.74892
2110.0,0.74857
2115.0,0.74774
2120.0,0.74667
2125.0,0.74535
2130.0,0.74387
2135.0,0.74254
2140.0,0.7399
2145.0,0.73927
2150.0,0.73755
2155.0,0.73718
2160.0,0.73842
2165.0,0.73691
2170.0,0.73823
2175.0,0.73763
2180.0,0.73627
2185.0,0.73471
2190.0,0.73387
2195.0,0.73175
2200.0,0.72939
2205.0,0.72743
2210.0,0.72317
2215.0,0.71987
2220.0,0.7156
2225.0,0.71098
2230.0,0.70556
2235.0,0.6997
2240.0,0.69388
2245.0,0.68857
2250.0,0.681
2255.0,0.6746
2260.0,0.6683
2265.0,0.66133
2270.0,0.6535
2275.0,0.64803
2280.0,0.64112
2285.0,0.63743
2290.0,0.63182
2295.0,0.62741
2300.0,0.62096
2305.0,0.61716
2310.0,0.61368
2315.0,0.61059
2320.0,0.60908
2325.0,0.60981
2330.0,0.61196
2335.0,0.61511
2340.0,0.62105
2345.0,0.6269
2350.0,0.63473
2355.0,0.64138
2360.0,0.64889
2365.0,0.65557
2370.0,0.66148
2375.0,0.6657
2380.0,0.66871
2385.0,0.67195
2390.0,0.67131
2395.0,0.67083
2400.0,0.66878
2405.0,0.66571
2410.0,0.66234
2415.0,0.65763
2420.0,0.65201
2425.0,0.64472
2430.0,0.63712
2435.0,0.62836
2440.0,0.61853
2445.0,0.60796
2450.0,0.59685
2455.0,0.58501
2460.0,0.57274
2465.0,0.56191
2470.0,0.55303
2475.0,0.54515
2480.0,0.53753
2485.0,0.52912
2490.0,0.52259
2495.0,0.51849
2500.0,0.51051
2505.0,0.50629
2510.0,0.5005
2515.0,0.49604
2520.0,0.49411
2525.0,0.49268
2530.0,0.4933
2535.0,0.50159
2540.0,0.50644
2545.0,0.52339
2550.0,0.53883
