Composition,
Date Added,2021-12-08
Formula,
Grain Size Description,<125.0um
Grain Size,(0.0 - 125.0)
Locality,Mauna Kea
Minimum Wavelength,300
Sample Name,JSC Mars-1 <125 um
Maximum Wavelength,2550
Database of Origin,RELAB
Other Information,Mars Soil Simulant
References,
Resolution,5.0
Material class,Mixture
Sample Description,
Sample ID,C1JBH86A
Original Sample ID,JB-JLB-H86-A
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,0.025724
305.0,0.024218
310.0,0.023255
315.0,0.022786
320.0,0.022373
325.0,0.022231
330.0,0.022092
335.0,0.022603
340.0,0.022868
345.0,0.023339
350.0,0.022661
355.0,0.022367
360.0,0.022233
365.0,0.022802
370.0,0.023185
375.0,0.024135
380.0,0.025078
385.0,0.025195
390.0,0.025563
395.0,0.026163
400.0,0.026537
405.0,0.027302
410.0,0.028211
415.0,0.029295
420.0,0.031003
425.0,0.032631
430.0,0.034128
435.0,0.036057
440.0,0.037844
445.0,0.038908
450.0,0.040251
455.0,0.041725
460.0,0.042529
465.0,0.043576
470.0,0.044104
475.0,0.045574
480.0,0.046916
485.0,0.049072
490.0,0.051276
495.0,0.053923
500.0,0.056813
505.0,0.060712
510.0,0.064014
515.0,0.068212
520.0,0.071841
525.0,0.07633
530.0,0.080547
535.0,0.08542
540.0,0.08968
545.0,0.094561
550.0,0.098836
555.0,0.103576
560.0,0.108166
565.0,0.112992
570.0,0.1174
575.0,0.121437
580.0,0.126066
585.0,0.130393
590.0,0.134476
595.0,0.139202
600.0,0.142879
605.0,0.147798
610.0,0.151689
615.0,0.156372
620.0,0.159689
625.0,0.164913
630.0,0.168493
635.0,0.172861
640.0,0.176033
645.0,0.180381
650.0,0.18334
655.0,0.188598
660.0,0.191754
665.0,0.197001
670.0,0.199768
675.0,0.204591
680.0,0.207346
685.0,0.212583
690.0,0.215415
695.0,0.21814
700.0,0.220732
705.0,0.223687
710.0,0.226694
715.0,0.229732
720.0,0.232543
725.0,0.2361
730.0,0.238941
735.0,0.242242
740.0,0.245159
745.0,0.248204
750.0,0.250804
755.0,0.253379
760.0,0.254785
765.0,0.256301
770.0,0.257402
775.0,0.258373
780.0,0.259098
785.0,0.259364
790.0,0.260311
795.0,0.260995
800.0,0.26172
805.0,0.262165
810.0,0.263138
815.0,0.263671
820.0,0.264258
825.0,0.264561
830.0,0.26508
835.0,0.265607
840.0,0.266089
845.0,0.266252
850.0,0.266508
855.0,0.266497
860.0,0.265966
865.0,0.266093
870.0,0.266133
875.0,0.266105
880.0,0.266142
885.0,0.265969
890.0,0.265889
895.0,0.265885
900.0,0.26591
905.0,0.26591
910.0,0.265923
915.0,0.265973
920.0,0.266024
925.0,0.266221
930.0,0.266401
935.0,0.266585
940.0,0.26677
945.0,0.266942
950.0,0.266919
955.0,0.267187
960.0,0.267774
965.0,0.268065
970.0,0.268417
975.0,0.2689
980.0,0.269106
985.0,0.269362
990.0,0.269932
995.0,0.270328
1000.0,0.270645
1005.0,0.270978
1010.0,0.271482
1015.0,0.272452
1020.0,0.273009
1025.0,0.273725
1030.0,0.274436
1035.0,0.27452
1040.0,0.275529
1045.0,0.276214
1050.0,0.277271
1055.0,0.277795
1060.0,0.278622
1065.0,0.279416
1070.0,0.28061
1075.0,0.281131
1080.0,0.281918
1085.0,0.282426
1090.0,0.283353
1095.0,0.284465
1100.0,0.28492
1105.0,0.285691
1110.0,0.286721
1115.0,0.287722
1120.0,0.288601
1125.0,0.289327
1130.0,0.290374
1135.0,0.291136
1140.0,0.291667
1145.0,0.291933
1150.0,0.292848
1155.0,0.293499
1160.0,0.29331
1165.0,0.29424
1170.0,0.294914
1175.0,0.295231
1180.0,0.296297
1185.0,0.296323
1190.0,0.297179
1195.0,0.29758
1200.0,0.297716
1205.0,0.298188
1210.0,0.298663
1215.0,0.29931
1220.0,0.299785
1225.0,0.300167
1230.0,0.300427
1235.0,0.300747
1240.0,0.300871
1245.0,0.301805
1250.0,0.302146
1255.0,0.302137
1260.0,0.30224
1265.0,0.302704
1270.0,0.30323
1275.0,0.303439
1280.0,0.303824
1285.0,0.303705
1290.0,0.304078
1295.0,0.30435
1300.0,0.304167
1305.0,0.304373
1310.0,0.304252
1315.0,0.305089
1320.0,0.304603
1325.0,0.305289
1330.0,0.304865
1335.0,0.304467
1340.0,0.304872
1345.0,0.304867
1350.0,0.304622
1355.0,0.304312
1360.0,0.30402
1365.0,0.303055
1370.0,0.301535
1375.0,0.300626
1380.0,0.298681
1385.0,0.296962
1390.0,0.295338
1395.0,0.292714
1400.0,0.290093
1405.0,0.288044
1410.0,0.28562
1415.0,0.28425
1420.0,0.282939
1425.0,0.282673
1430.0,0.282499
1435.0,0.282858
1440.0,0.283378
1445.0,0.283316
1450.0,0.28384
1455.0,0.284377
1460.0,0.28479
1465.0,0.285257
1470.0,0.285906
1475.0,0.286851
1480.0,0.287975
1485.0,0.288632
1490.0,0.289708
1495.0,0.290768
1500.0,0.291654
1505.0,0.292719
1510.0,0.293245
1515.0,0.294429
1520.0,0.295167
1525.0,0.295738
1530.0,0.296283
1535.0,0.296971
1540.0,0.297498
1545.0,0.297968
1550.0,0.298573
1555.0,0.298898
1560.0,0.299444
1565.0,0.300078
1570.0,0.300526
1575.0,0.30082
1580.0,0.300934
1585.0,0.301264
1590.0,0.301771
1595.0,0.301866
1600.0,0.302409
1605.0,0.302428
1610.0,0.302836
1615.0,0.302928
1620.0,0.303101
1625.0,0.303699
1630.0,0.303675
1635.0,0.303307
1640.0,0.303957
1645.0,0.303725
1650.0,0.303817
1655.0,0.304238
1660.0,0.304501
1665.0,0.304443
1670.0,0.304499
1675.0,0.304641
1680.0,0.304629
1685.0,0.304682
1690.0,0.304931
1695.0,0.30465
1700.0,0.304794
1705.0,0.304504
1710.0,0.304232
1715.0,0.304264
1720.0,0.303962
1725.0,0.303556
1730.0,0.303506
1735.0,0.303166
1740.0,0.30287
1745.0,0.302651
1750.0,0.302763
1755.0,0.3021
1760.0,0.302177
1765.0,0.301713
1770.0,0.301762
1775.0,0.3014
1780.0,0.300584
1785.0,0.301
1790.0,0.301172
1795.0,0.301154
1800.0,0.301291
1805.0,0.301716
1810.0,0.301842
1815.0,0.301857
1820.0,0.301765
1825.0,0.301926
1830.0,0.301954
1835.0,0.301697
1840.0,0.301539
1845.0,0.30116
1850.0,0.300145
1855.0,0.299007
1860.0,0.297098
1865.0,0.294227
1870.0,0.290111
1875.0,0.285096
1880.0,0.27877
1885.0,0.272535
1890.0,0.264508
1895.0,0.254398
1900.0,0.243063
1905.0,0.233322
1910.0,0.226959
1915.0,0.221798
1920.0,0.21951
1925.0,0.218549
1930.0,0.2177
1935.0,0.219342
1940.0,0.220769
1945.0,0.222815
1950.0,0.225013
1955.0,0.227646
1960.0,0.229651
1965.0,0.23188
1970.0,0.233473
1975.0,0.23564
1980.0,0.237856
1985.0,0.240124
1990.0,0.242691
1995.0,0.245599
2000.0,0.248105
2005.0,0.250617
2010.0,0.25295
2015.0,0.255066
2020.0,0.256496
2025.0,0.258102
2030.0,0.259396
2035.0,0.261122
2040.0,0.262003
2045.0,0.263463
2050.0,0.264308
2055.0,0.265745
2060.0,0.266845
2065.0,0.267138
2070.0,0.267995
2075.0,0.268854
2080.0,0.270201
2085.0,0.269862
2090.0,0.270111
2095.0,0.271112
2100.0,0.271621
2105.0,0.272274
2110.0,0.273611
2115.0,0.273514
2120.0,0.274151
2125.0,0.273814
2130.0,0.274933
2135.0,0.274959
2140.0,0.274663
2145.0,0.273701
2150.0,0.272419
2155.0,0.271502
2160.0,0.270674
2165.0,0.269613
2170.0,0.268072
2175.0,0.266437
2180.0,0.264827
2185.0,0.263077
2190.0,0.26209
2195.0,0.259294
2200.0,0.258275
2205.0,0.258397
2210.0,0.258555
2215.0,0.259031
2220.0,0.259183
2225.0,0.259088
2230.0,0.258937
2235.0,0.258768
2240.0,0.258463
2245.0,0.258474
2250.0,0.258018
2255.0,0.257677
2260.0,0.257458
2265.0,0.256858
2270.0,0.256026
2275.0,0.255445
2280.0,0.254792
2285.0,0.254748
2290.0,0.254128
2295.0,0.253172
2300.0,0.252285
2305.0,0.252024
2310.0,0.250962
2315.0,0.249889
2320.0,0.249076
2325.0,0.248093
2330.0,0.246706
2335.0,0.245654
2340.0,0.243806
2345.0,0.242789
2350.0,0.241785
2355.0,0.240578
2360.0,0.239436
2365.0,0.237748
2370.0,0.235744
2375.0,0.233752
2380.0,0.231782
2385.0,0.230174
2390.0,0.228095
2395.0,0.226062
2400.0,0.224421
2405.0,0.222458
2410.0,0.220435
2415.0,0.218511
2420.0,0.216044
2425.0,0.21439
2430.0,0.212572
2435.0,0.209403
2440.0,0.207077
2445.0,0.205461
2450.0,0.202461
2455.0,0.201972
2460.0,0.199526
2465.0,0.198193
2470.0,0.196476
2475.0,0.194131
2480.0,0.192592
2485.0,0.190592
2490.0,0.189569
2495.0,0.188044
2500.0,0.187178
2505.0,0.185915
2510.0,0.185171
2515.0,0.183293
2520.0,0.182241
2525.0,0.180976
2530.0,0.179392
2535.0,0.178753
2540.0,0.17767
2545.0,0.177167
2550.0,0.176529
