Composition,
Date Added,2019-09-05
Formula,
Grain Size Description,<125.0um
Grain Size,(0.0 - 125.0)
Locality,"Fuertaventura, Canary Is, Spain"
Minimum Wavelength,300
Sample Name,JB1556b: Fuertaventura tephra gently ground <125 um
Maximum Wavelength,2550
Database of Origin,RELAB
Other Information,
References,
Resolution,5.0
Material class,Mixture
Sample Description,
Sample ID,C2JBF56B
Original Sample ID,JB-JLB-F56-B
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,0.0262
305.0,0.0266
310.0,0.02764
315.0,0.02863
320.0,0.03011
325.0,0.03176
330.0,0.03335
335.0,0.03499
340.0,0.03652
345.0,0.03776
350.0,0.03954
355.0,0.04098
360.0,0.04282
365.0,0.0446
370.0,0.04651
375.0,0.04847
380.0,0.05018
385.0,0.05189
390.0,0.05364
395.0,0.05543
400.0,0.05722
405.0,0.05875
410.0,0.06023
415.0,0.06172
420.0,0.06349
425.0,0.06491
430.0,0.06657
435.0,0.06786
440.0,0.06923
445.0,0.07014
450.0,0.0711
455.0,0.07193
460.0,0.07305
465.0,0.07391
470.0,0.07487
475.0,0.07586
480.0,0.07706
485.0,0.07813
490.0,0.07923
495.0,0.08042
500.0,0.08194
505.0,0.08307
510.0,0.08447
515.0,0.08559
520.0,0.08686
525.0,0.0879
530.0,0.08898
535.0,0.0899
540.0,0.0911
545.0,0.09189
550.0,0.0931
555.0,0.09396
560.0,0.09514
565.0,0.09612
570.0,0.09704
575.0,0.09797
580.0,0.09903
585.0,0.09972
590.0,0.1008
595.0,0.10139
600.0,0.10214
605.0,0.10284
610.0,0.10373
615.0,0.10418
620.0,0.10501
625.0,0.10534
630.0,0.10613
635.0,0.1067
640.0,0.10742
645.0,0.10811
650.0,0.10866
655.0,0.10934
660.0,0.10998
665.0,0.11046
670.0,0.11109
675.0,0.11142
680.0,0.1119
685.0,0.11234
690.0,0.11288
695.0,0.1132
700.0,0.11368
705.0,0.11408
710.0,0.11449
715.0,0.11496
720.0,0.11524
725.0,0.11562
730.0,0.11595
735.0,0.11639
740.0,0.1164
745.0,0.11683
750.0,0.1171
755.0,0.11714
760.0,0.11761
765.0,0.11797
770.0,0.11798
775.0,0.11799
780.0,0.11832
785.0,0.11814
790.0,0.11858
795.0,0.11877
800.0,0.11892
805.0,0.11904
810.0,0.11936
815.0,0.119
820.0,0.11935
825.0,0.11934
830.0,0.11946
835.0,0.11946
840.0,0.11968
845.0,0.11972
850.0,0.12004
855.0,0.11959
860.0,0.11971
865.0,0.11946
870.0,0.11944
875.0,0.11936
880.0,0.11922
885.0,0.11921
890.0,0.11904
895.0,0.11891
900.0,0.11851
905.0,0.11844
910.0,0.11821
915.0,0.11817
920.0,0.11805
925.0,0.11783
930.0,0.11766
935.0,0.11747
940.0,0.11742
945.0,0.11722
950.0,0.11709
955.0,0.11686
960.0,0.11665
965.0,0.1165
970.0,0.11629
975.0,0.11605
980.0,0.11581
985.0,0.11528
990.0,0.11562
995.0,0.11546
1000.0,0.11517
1005.0,0.11518
1010.0,0.11526
1015.0,0.11524
1020.0,0.11518
1025.0,0.11526
1030.0,0.1152
1035.0,0.1152
1040.0,0.11525
1045.0,0.11537
1050.0,0.1155
1055.0,0.11563
1060.0,0.11587
1065.0,0.11591
1070.0,0.11608
1075.0,0.11633
1080.0,0.11657
1085.0,0.1167
1090.0,0.11711
1095.0,0.11731
1100.0,0.11738
1105.0,0.11755
1110.0,0.11793
1115.0,0.11823
1120.0,0.118417
1125.0,0.118644
1130.0,0.118848
1135.0,0.119004
1140.0,0.119224
1145.0,0.119374
1150.0,0.119536
1155.0,0.119814
1160.0,0.120106
1165.0,0.12035
1170.0,0.12074
1175.0,0.12084
1180.0,0.12118
1185.0,0.12129
1190.0,0.12163
1195.0,0.12189
1200.0,0.12169
1205.0,0.12186
1210.0,0.12224
1215.0,0.12256
1220.0,0.12274
1225.0,0.1228
1230.0,0.12285
1235.0,0.12329
1240.0,0.1237
1245.0,0.12405
1250.0,0.124334
1255.0,0.124628
1260.0,0.124968
1265.0,0.125202
1270.0,0.125504
1275.0,0.125746
1280.0,0.12599
1285.0,0.12606
1290.0,0.12637
1295.0,0.12666
1300.0,0.12681
1305.0,0.12735
1310.0,0.12789
1315.0,0.12814
1320.0,0.12824
1325.0,0.1284
1330.0,0.128678
1335.0,0.128974
1340.0,0.129284
1345.0,0.12972
1350.0,0.12995
1355.0,0.130186
1360.0,0.13043
1365.0,0.13063
1370.0,0.13094
1375.0,0.13123
1380.0,0.13145
1385.0,0.13181
1390.0,0.13219
1395.0,0.13259
1400.0,0.13259
1405.0,0.132746
1410.0,0.13295
1415.0,0.13326
1420.0,0.13361
1425.0,0.13358
1430.0,0.13389
1435.0,0.13424
1440.0,0.1344
1445.0,0.134618
1450.0,0.134776
1455.0,0.13498
1460.0,0.135257
1465.0,0.135556
1470.0,0.135874
1475.0,0.13627
