Composition,
Date Added,2000-09-07
Formula,
Grain Size Description,<125.0um
Grain Size,"(45.0, 125.0)"
Locality,"Haleakala Crater, Maui, HI"
Minimum Wavelength,300
Sample Name,Hal-1 45-125 um
Maximum Wavelength,2600
Database of Origin,RELAB
Other Information,Volcanic
References,
Resolution,5.0
Material class,Mixture
Sample Description,"Site 1 near cinder cone off sliding sands trail, Haleakara Crater   "
Sample ID,C3JB391
Original Sample ID,JB-JLB-391
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,0.03977
305.0,0.0392
310.0,0.03863
315.0,0.03885
320.0,0.03915
325.0,0.03978
330.0,0.04078
335.0,0.04204
340.0,0.04301
345.0,0.04412
350.0,0.04546
355.0,0.04719
360.0,0.04899
365.0,0.05118
370.0,0.0535
375.0,0.05625
380.0,0.0592
385.0,0.06271
390.0,0.06626
395.0,0.07017
400.0,0.07369
405.0,0.0773
410.0,0.08042
415.0,0.08378
420.0,0.0866
425.0,0.09004
430.0,0.09327
435.0,0.09699
440.0,0.10031
445.0,0.1036
450.0,0.10621
455.0,0.10873
460.0,0.11044
465.0,0.11201
470.0,0.11378
475.0,0.11588
480.0,0.11779
485.0,0.12042
490.0,0.12297
495.0,0.12628
500.0,0.12966
505.0,0.13369
510.0,0.13758
515.0,0.14238
520.0,0.14648
525.0,0.15097
530.0,0.15505
535.0,0.15994
540.0,0.1645
545.0,0.16976
550.0,0.17454
555.0,0.18044
560.0,0.18539
565.0,0.19099
570.0,0.19625
575.0,0.2026
580.0,0.20776
585.0,0.21346
590.0,0.21811
595.0,0.22322
600.0,0.22744
605.0,0.23176
610.0,0.23495
615.0,0.2389
620.0,0.24135
625.0,0.24401
630.0,0.24621
635.0,0.24911
640.0,0.25065
645.0,0.253
650.0,0.25446
655.0,0.25651
660.0,0.25775
665.0,0.26014
670.0,0.26189
675.0,0.26391
680.0,0.26512
685.0,0.26735
690.0,0.26811
695.0,0.27007
700.0,0.27097
705.0,0.27296
710.0,0.27416
715.0,0.27651
720.0,0.27717
725.0,0.27842
730.0,0.2784
735.0,0.27888
740.0,0.27817
745.0,0.27877
750.0,0.27887
755.0,0.27966
760.0,0.27908
765.0,0.27958
770.0,0.27874
775.0,0.27893
780.0,0.27854
785.0,0.27869
790.0,0.27777
795.0,0.2776
800.0,0.27676
805.0,0.2765
810.0,0.27623
815.0,0.27593
820.0,0.27515
825.0,0.27478
830.0,0.27408
835.0,0.27361
840.0,0.27267
845.0,0.27287
850.0,0.27254
855.0,0.27093
860.0,0.26977
865.0,0.2699
870.0,0.26861
875.0,0.26859
880.0,0.26876
885.0,0.26904
890.0,0.26809
895.0,0.26836
900.0,0.26762
905.0,0.26694
910.0,0.26662
915.0,0.26693
920.0,0.26637
925.0,0.26659
930.0,0.26627
935.0,0.26712
940.0,0.2675
945.0,0.2678
950.0,0.26782
955.0,0.26906
960.0,0.26915
965.0,0.26946
970.0,0.26997
975.0,0.27054
980.0,0.27029
985.0,0.27026
990.0,0.26993
995.0,0.27067
1000.0,0.27102
1005.0,0.27268
1010.0,0.27359
1015.0,0.275
1020.0,0.27521
1025.0,0.27611
1030.0,0.27601
1035.0,0.27678
1040.0,0.27768
1045.0,0.27882
1050.0,0.27922
1055.0,0.27973
1060.0,0.27999
1065.0,0.28029
1070.0,0.28036
1075.0,0.28121
1080.0,0.28158
1085.0,0.28276
1090.0,0.28323
1095.0,0.28336
1100.0,0.28357
1105.0,0.28417
1110.0,0.28394
1115.0,0.28439
1120.0,0.28508
1125.0,0.2855
1130.0,0.28609
1135.0,0.2866
1140.0,0.28667
1145.0,0.28733
1150.0,0.28772
1155.0,0.28838
1160.0,0.28914
1165.0,0.29027
1170.0,0.29061
1175.0,0.29126
1180.0,0.29163
1185.0,0.2917
1190.0,0.29157
1195.0,0.29242
1200.0,0.29256
1205.0,0.29383
1210.0,0.29498
1215.0,0.29586
1220.0,0.29598
1225.0,0.29677
1230.0,0.29653
1235.0,0.29686
1240.0,0.29687
1245.0,0.29761
1250.0,0.29789
1255.0,0.29816
1260.0,0.29796
1265.0,0.29902
1270.0,0.29881
1275.0,0.29927
1280.0,0.2994
1285.0,0.29977
1290.0,0.29922
1295.0,0.30024
1300.0,0.30058
1305.0,0.30099
1310.0,0.3017
1315.0,0.3026
1320.0,0.30282
1325.0,0.30332
1330.0,0.30373
1335.0,0.30386
1340.0,0.30402
1345.0,0.30401
1350.0,0.30377
1355.0,0.30375
1360.0,0.30347
1365.0,0.30349
1370.0,0.30352
1375.0,0.30324
1380.0,0.30252
1385.0,0.30254
1390.0,0.30214
1395.0,0.30137
1400.0,0.29977
1405.0,0.29863
1410.0,0.29731
1415.0,0.2965
1420.0,0.29538
1425.0,0.29524
1430.0,0.29519
1435.0,0.29566
1440.0,0.29539
1445.0,0.29552
1450.0,0.29531
1455.0,0.29579
1460.0,0.29523
1465.0,0.29603
1470.0,0.29612
1475.0,0.29684
1480.0,0.29739
1485.0,0.29863
1490.0,0.29884
1495.0,0.29963
1500.0,0.29978
1505.0,0.30026
1510.0,0.3003
1515.0,0.30008
1520.0,0.29999
1525.0,0.30091
1530.0,0.30089
1535.0,0.30184
1540.0,0.30227
1545.0,0.30269
1550.0,0.30314
1555.0,0.30376
1560.0,0.30322
1565.0,0.30399
1570.0,0.30435
1575.0,0.30464
1580.0,0.30459
1585.0,0.30536
1590.0,0.30503
1595.0,0.30531
1600.0,0.3048
1605.0,0.30484
1610.0,0.30493
1615.0,0.30536
1620.0,0.30559
1625.0,0.30588
1630.0,0.30597
1635.0,0.30629
1640.0,0.30639
1645.0,0.30638
1650.0,0.30634
1655.0,0.30633
1660.0,0.30577
1665.0,0.30671
1670.0,0.3067
1675.0,0.30711
1680.0,0.30754
1685.0,0.30814
1690.0,0.30767
1695.0,0.30765
1700.0,0.30843
1705.0,0.30756
1710.0,0.30672
1715.0,0.30601
1720.0,0.30516
1725.0,0.30467
1730.0,0.30363
1735.0,0.30356
1740.0,0.30297
1745.0,0.30288
1750.0,0.30242
1755.0,0.30205
1760.0,0.30113
1765.0,0.3015
1770.0,0.29998
1775.0,0.30045
1780.0,0.30034
1785.0,0.30164
1790.0,0.30174
1795.0,0.30355
1800.0,0.30386
1805.0,0.30477
1810.0,0.30462
1815.0,0.30571
1820.0,0.3054
1825.0,0.3059
1830.0,0.30514
1835.0,0.30593
1840.0,0.30505
1845.0,0.30507
1850.0,0.30389
1855.0,0.30456
1860.0,0.30283
1865.0,0.30204
1870.0,0.30023
1875.0,0.29863
1880.0,0.29446
1885.0,0.29031
1890.0,0.28458
1895.0,0.27952
1900.0,0.27365
1905.0,0.26995
1910.0,0.26678
1915.0,0.26614
1920.0,0.26486
1925.0,0.26534
1930.0,0.26506
1935.0,0.2661
1940.0,0.26573
1945.0,0.2675
1950.0,0.26806
1955.0,0.27
1960.0,0.27114
1965.0,0.27349
1970.0,0.27438
1975.0,0.27628
1980.0,0.27711
1985.0,0.27875
1990.0,0.28002
1995.0,0.28163
2000.0,0.28236
2005.0,0.28441
2010.0,0.28556
2015.0,0.28716
2020.0,0.28804
2025.0,0.29033
2030.0,0.29111
2035.0,0.29283
2040.0,0.29331
2045.0,0.29468
2050.0,0.29444
2055.0,0.29486
2060.0,0.29475
2065.0,0.29585
2070.0,0.29617
2075.0,0.29705
2080.0,0.29726
2085.0,0.29813
2090.0,0.29756
2095.0,0.29779
2100.0,0.2979
2105.0,0.29904
2110.0,0.29873
2115.0,0.29896
2120.0,0.29856
2125.0,0.29872
2130.0,0.29776
2135.0,0.29766
2140.0,0.29725
2145.0,0.2975
2150.0,0.29676
2155.0,0.29603
2160.0,0.2946
2165.0,0.29369
2170.0,0.29168
2175.0,0.29093
2180.0,0.29013
2185.0,0.29041
2190.0,0.29025
2195.0,0.29091
2200.0,0.29009
2205.0,0.29017
2210.0,0.28981
2215.0,0.29023
2220.0,0.28968
2225.0,0.2906
2230.0,0.2909
2235.0,0.29136
2240.0,0.29131
2245.0,0.29254
2250.0,0.29227
2255.0,0.29236
2260.0,0.29201
2265.0,0.29222
2270.0,0.29165
2275.0,0.29241
2280.0,0.29225
2285.0,0.29311
2290.0,0.29278
2295.0,0.29352
2300.0,0.29368
2305.0,0.29399
2310.0,0.29297
2315.0,0.29271
2320.0,0.29124
2325.0,0.29013
2330.0,0.28969
2335.0,0.2898
2340.0,0.28986
2345.0,0.28983
2350.0,0.28934
2355.0,0.2888
2360.0,0.28752
2365.0,0.28655
2370.0,0.28533
2375.0,0.28492
2380.0,0.28347
2385.0,0.28239
2390.0,0.28052
2395.0,0.27894
2400.0,0.27651
2405.0,0.27522
2410.0,0.2734
2415.0,0.272
2420.0,0.27013
2425.0,0.26862
2430.0,0.26588
2435.0,0.26407
2440.0,0.26172
2445.0,0.26001
2450.0,0.25747
2455.0,0.256
2460.0,0.25385
2465.0,0.25268
2470.0,0.25091
2475.0,0.25048
2480.0,0.24899
2485.0,0.24811
2490.0,0.24607
2495.0,0.2451
2500.0,0.24295
2505.0,0.24208
2510.0,0.24054
2515.0,0.23985
2520.0,0.2383
2525.0,0.23771
2530.0,0.23686
2535.0,0.23664
2540.0,0.23598
2545.0,0.23636
2550.0,0.23686
2555.0,0.23641
2560.0,0.23588
2565.0,0.23579
2570.0,0.23575
2575.0,0.23442
2580.0,0.2346
2585.0,0.23388
2590.0,0.23331
2595.0,0.2321
2600.0,0.23075
