Composition,
Date Added,1999-11-24
Formula,
Grain Size Description,<45.0um
Grain Size,(0.0 - 45.0)
Locality,"Near Mauna Iki, W. of Kilauea, HI"
Minimum Wavelength,900
Sample Name,Mauna Iki brown-grey soil <45 um
Maximum Wavelength,3196
Database of Origin,RELAB
Other Information,Fe Oxide Silicate Magnetic
References,
Resolution,1.0
Material class,Mixture
Sample Description,"Brown-grey soil/sand, magnetic  "
Sample ID,NAJB386A
Original Sample ID,JB-JLB-386-A
Viewing Geometry,Unknown
Wavelength,Response
900.0,0.1287
900.3,0.1294
900.6,0.12948
901.0,0.12969
901.3,0.13004
901.6,0.12887
901.9,0.12757
902.2,0.12823
902.5,0.12888
902.8,0.12939
903.2,0.12882
903.5,0.12834
903.8,0.12841
904.1,0.12787
904.4,0.12752
904.7,0.1279
905.1,0.12806
905.4,0.1282
905.7,0.12831
906.0,0.12781
906.3,0.12756
906.6,0.12798
907.0,0.12802
907.3,0.12793
907.6,0.12851
907.9,0.12842
908.2,0.12786
908.5,0.12815
908.9,0.12786
909.2,0.12804
909.5,0.12864
909.8,0.1277
910.1,0.12712
910.5,0.12752
910.8,0.12838
911.1,0.1284
911.4,0.12798
911.7,0.12834
912.1,0.12884
912.4,0.12902
912.7,0.12818
913.0,0.12681
913.3,0.12613
913.7,0.12723
914.0,0.12691
914.3,0.12601
914.6,0.12657
915.0,0.12778
915.3,0.12834
915.6,0.1277
915.9,0.12341
916.2,0.12017
916.6,0.12375
916.9,0.12583
917.2,0.1267
917.5,0.12776
917.9,0.12832
918.2,0.12818
918.5,0.12872
918.8,0.12832
919.2,0.12782
919.5,0.12724
919.8,0.12691
920.2,0.12667
920.5,0.12752
920.8,0.12791
921.1,0.12748
921.5,0.12681
921.8,0.12747
922.1,0.12809
922.4,0.12688
922.8,0.12606
923.1,0.12837
923.4,0.12892
923.8,0.1247
924.1,0.13435
924.4,0.14022
924.7,0.13228
925.1,0.12791
925.4,0.12801
925.7,0.12793
926.1,0.1264
926.4,0.12685
926.7,0.1283
927.1,0.12827
927.4,0.1276
927.7,0.12766
928.1,0.12675
928.4,0.12661
928.7,0.12672
929.1,0.12754
929.4,0.12871
929.7,0.12757
930.1,0.12675
930.4,0.12744
930.7,0.12785
931.1,0.1282
931.4,0.12892
931.7,0.12908
932.1,0.12812
932.4,0.12752
932.7,0.12701
933.1,0.12628
933.4,0.12642
933.7,0.1271
934.1,0.12746
934.4,0.12625
934.8,0.12632
935.1,0.12724
935.4,0.12654
935.8,0.12605
936.1,0.12659
936.4,0.12619
936.8,0.12623
937.1,0.12702
937.5,0.12746
937.8,0.1274
938.1,0.12643
938.5,0.12599
938.8,0.12613
939.2,0.12657
939.5,0.12687
939.8,0.12634
940.2,0.12639
940.5,0.1267
940.9,0.12623
941.2,0.12567
941.5,0.1259
941.9,0.12671
942.2,0.1269
942.6,0.12692
942.9,0.12671
943.3,0.12701
943.6,0.12792
943.9,0.12768
944.3,0.12631
944.6,0.12601
945.0,0.12634
945.3,0.12644
945.7,0.12631
946.0,0.12646
946.4,0.12683
946.7,0.12685
947.0,0.12666
947.4,0.12612
947.7,0.12591
948.1,0.12587
948.4,0.12642
948.8,0.12682
949.1,0.12745
949.5,0.12718
949.8,0.12675
950.2,0.12649
950.5,0.12635
950.9,0.12657
951.2,0.12621
951.6,0.126
951.9,0.1259
952.3,0.12566
952.6,0.12619
953.0,0.1262
953.3,0.12597
953.7,0.12555
954.0,0.12576
954.4,0.12643
954.7,0.12636
955.1,0.12643
955.4,0.12651
955.8,0.1263
956.1,0.12568
956.5,0.12574
956.8,0.12654
957.2,0.12629
957.5,0.1262
957.9,0.12591
958.3,0.12547
958.6,0.12596
959.0,0.12609
959.3,0.1257
959.7,0.12533
960.0,0.12511
960.4,0.12599
960.7,0.12655
961.1,0.12661
961.4,0.12662
961.8,0.12613
962.2,0.12541
962.5,0.12544
962.9,0.12577
963.2,0.12549
963.6,0.12546
964.0,0.1257
964.3,0.12627
964.7,0.12704
965.0,0.12671
965.4,0.12599
965.7,0.12558
966.1,0.1252
966.5,0.12546
966.8,0.12572
967.2,0.12593
967.6,0.12607
967.9,0.12528
968.3,0.12492
968.6,0.12515
969.0,0.12551
969.4,0.12581
969.7,0.12612
970.1,0.12621
970.4,0.12531
970.8,0.12566
971.2,0.12611
971.5,0.126
971.9,0.1256
972.3,0.12585
972.6,0.12613
973.0,0.12572
973.4,0.12516
973.7,0.12531
974.1,0.12575
974.5,0.12522
974.8,0.12533
975.2,0.12552
975.6,0.1253
975.9,0.12543
976.3,0.12509
976.7,0.12508
977.0,0.12583
977.4,0.1256
977.8,0.1252
978.1,0.12542
978.5,0.12543
978.9,0.12517
979.2,0.12509
979.6,0.12498
980.0,0.12552
980.4,0.12595
980.7,0.12579
981.1,0.12563
981.5,0.12595
981.8,0.12568
982.2,0.12545
982.6,0.1256
983.0,0.1253
983.3,0.1253
983.7,0.12543
984.1,0.12532
984.5,0.12513
984.8,0.12506
985.2,0.12544
985.6,0.12606
986.0,0.12591
986.3,0.12577
986.7,0.12608
987.1,0.1257
987.5,0.12533
987.8,0.12541
988.2,0.12528
988.6,0.12518
989.0,0.1252
989.3,0.12513
989.7,0.12519
990.1,0.12569
990.5,0.12593
990.9,0.1253
991.2,0.12446
991.6,0.12459
992.0,0.12482
992.4,0.12489
992.7,0.12496
993.1,0.12514
993.5,0.12539
993.9,0.12495
994.3,0.12512
994.7,0.12546
995.0,0.12534
995.4,0.12531
995.8,0.12522
996.2,0.12478
996.6,0.1248
996.9,0.1249
997.3,0.12526
997.7,0.1252
998.1,0.12529
998.5,0.12535
998.9,0.12531
999.3,0.1253
999.6,0.12528
1000.0,0.1252
1000.4,0.12525
1000.8,0.12516
1001.2,0.12507
1001.6,0.12519
1002.0,0.12558
1002.3,0.12598
1002.7,0.12558
1003.1,0.12493
1003.5,0.12485
1003.9,0.12517
1004.3,0.1253
1004.7,0.12494
1005.1,0.12451
1005.5,0.12442
1005.8,0.12431
1006.2,0.12424
1006.6,0.12501
1007.0,0.12575
1007.4,0.12585
1007.8,0.12523
1008.2,0.12524
1008.6,0.12557
1009.0,0.12517
1009.4,0.12509
1009.8,0.12537
1010.2,0.12536
1010.6,0.12519
1010.9,0.12505
1011.3,0.12502
1011.7,0.12525
1012.1,0.12544
1012.5,0.12584
1012.9,0.1256
1013.3,0.12541
1013.7,0.12544
1014.1,0.12532
1014.5,0.12504
1014.9,0.12526
1015.3,0.12572
1015.7,0.12557
1016.1,0.12483
1016.5,0.12487
1016.9,0.12521
1017.3,0.12554
1017.7,0.12539
1018.1,0.12502
1018.5,0.12482
1018.9,0.12489
1019.3,0.12542
1019.7,0.12543
1020.1,0.12511
1020.5,0.12562
1020.9,0.12605
1021.3,0.12611
1021.7,0.12575
1022.1,0.12548
1022.5,0.12549
1022.9,0.12537
1023.3,0.12546
1023.7,0.12554
1024.1,0.12558
1024.5,0.12563
1024.9,0.12561
1025.3,0.12542
1025.7,0.12541
1026.2,0.12554
1026.6,0.12533
1027.0,0.12521
1027.4,0.12523
1027.8,0.12535
1028.2,0.12564
1028.6,0.12597
1029.0,0.12612
