Composition,
Date Added,1990-12-16
Formula,
Grain Size Description,<1000.0um
Grain Size,0.0 - 1000.0
Locality,
Minimum Wavelength,351
Sample Name,"68841,21Q "
Maximum Wavelength,2537
Database of Origin,ReLab
Other Information,
References,
Resolution,5.0
Material Class,Sediment
Sample Description,"Surface soil, 35m east of a 15m crater  "
Sample ID,CLS772
Original Sample ID,LS-JBA-180-M
Viewing Geometry,
Wavelength,Response
351.0,120.0
356.0,122.0
361.0,126.0
366.0,128.0
371.0,130.0
376.0,133.0
381.0,134.0
386.0,136.0
391.0,138.0
396.0,140.0
401.0,143.0
406.0,146.0
411.0,147.0
416.0,149.0
421.0,153.0
426.0,155.0
431.0,158.0
436.0,160.0
441.0,164.0
446.0,165.0
451.0,168.0
456.0,171.0
461.0,174.0
466.0,175.0
471.0,177.0
476.0,178.0
481.0,181.0
486.0,185.0
491.0,186.0
496.0,187.0
501.0,190.0
506.0,191.0
511.0,192.0
517.0,195.0
522.0,196.0
527.0,200.0
532.0,202.0
537.0,204.0
542.0,206.0
547.0,208.0
552.0,210.0
557.0,212.0
562.0,213.0
567.0,214.0
572.0,217.0
577.0,220.0
582.0,222.0
587.0,224.0
593.0,226.0
598.0,228.0
603.0,230.0
608.0,231.0
613.0,232.0
618.0,234.0
623.0,237.0
628.0,238.0
634.0,240.0
639.0,241.0
644.0,243.0
649.0,244.0
654.0,247.0
659.0,248.0
665.0,250.0
670.0,252.0
675.0,255.0
680.0,256.0
686.0,257.0
691.0,259.0
696.0,260.0
702.0,261.0
707.0,263.0
712.0,265.0
718.0,266.0
723.0,268.0
728.0,268.0
734.0,270.0
739.0,272.0
744.0,273.0
750.0,275.0
755.0,276.0
760.0,277.0
766.0,278.0
771.0,279.0
776.0,280.0
781.0,281.0
787.0,282.0
792.0,283.0
797.0,283.0
802.0,284.0
808.0,285.0
813.0,286.0
818.0,287.0
823.0,288.0
828.0,288.0
833.0,289.0
839.0,289.0
844.0,290.0
849.0,290.0
854.0,291.0
859.0,292.0
864.0,293.0
869.0,294.0
874.0,295.0
879.0,296.0
885.0,296.0
890.0,297.0
895.0,297.0
900.0,297.0
905.0,298.0
910.0,299.0
915.0,300.0
920.0,301.0
925.0,303.0
930.0,304.0
935.0,305.0
940.0,306.0
945.0,307.0
950.0,309.0
955.0,310.0
960.0,313.0
965.0,314.0
970.0,315.0
975.0,315.0
981.0,316.0
986.0,317.0
991.0,318.0
996.0,320.0
1001.0,322.0
1006.0,323.0
1011.0,324.0
1016.0,325.0
1021.0,326.0
1026.0,329.0
1031.0,330.0
1036.0,331.0
1041.0,332.0
1046.0,333.0
1051.0,335.0
1056.0,335.0
1061.0,337.0
1066.0,338.0
1071.0,339.0
1076.0,340.0
1081.0,341.0
1086.0,343.0
1091.0,343.0
1096.0,343.0
1101.0,344.0
1106.0,346.0
1111.0,347.0
1116.0,349.0
1121.0,350.0
1126.0,351.0
1131.0,352.0
1136.0,353.0
1141.0,355.0
1146.0,356.0
1151.0,358.0
1156.0,359.0
1161.0,360.0
1166.0,361.0
1171.0,361.0
1176.0,363.0
1181.0,364.0
1186.0,366.0
1191.0,367.0
1196.0,368.0
1201.0,369.0
1206.0,370.0
1211.0,370.0
1216.0,371.0
1221.0,373.0
1226.0,374.0
1231.0,375.0
1236.0,376.0
1241.0,377.0
1246.0,378.0
1251.0,379.0
1256.0,381.0
1261.0,382.0
1266.0,383.0
1271.0,384.0
1277.0,385.0
1282.0,386.0
1287.0,387.0
1292.0,388.0
1297.0,389.0
1302.0,390.0
1307.0,391.0
1312.0,393.0
1317.0,393.0
