Composition,
Date Added,1990-12-16
Formula,
Grain Size Description,<400.0um
Grain Size,270.0 - 400.0
Locality,
Minimum Wavelength,351
Sample Name,MET 2: Silicon
Maximum Wavelength,2537
Database of Origin,ReLab
Other Information,
References,
Resolution,5.0
Material Class,Element
Sample Description,MET 2: Silicon (Pow 270-400 Mesh)   
Sample ID,CLS823
Original Sample ID,SA-JBA-026
Viewing Geometry,
Wavelength,Response
351.0,183.0
356.0,187.0
361.0,187.0
366.0,187.0
371.0,183.0
376.0,177.0
381.0,170.0
386.0,163.0
391.0,158.0
396.0,155.0
401.0,151.0
406.0,146.0
411.0,143.0
416.0,141.0
421.0,140.0
426.0,138.0
431.0,136.0
436.0,134.0
441.0,133.0
446.0,132.0
451.0,132.0
456.0,131.0
461.0,130.0
466.0,129.0
471.0,127.0
476.0,126.0
481.0,125.0
486.0,125.0
491.0,124.0
496.0,123.0
501.0,123.0
506.0,123.0
511.0,121.0
517.0,120.0
522.0,120.0
527.0,120.0
532.0,120.0
537.0,119.0
542.0,118.0
547.0,118.0
552.0,117.0
557.0,117.0
562.0,116.0
567.0,116.0
572.0,116.0
577.0,116.0
582.0,116.0
587.0,116.0
593.0,116.0
598.0,116.0
603.0,116.0
608.0,116.0
613.0,116.0
618.0,116.0
623.0,116.0
628.0,116.0
634.0,116.0
639.0,116.0
644.0,116.0
649.0,116.0
654.0,115.0
659.0,115.0
665.0,114.0
670.0,115.0
675.0,115.0
680.0,116.0
686.0,116.0
691.0,116.0
696.0,116.0
702.0,116.0
707.0,116.0
712.0,116.0
718.0,116.0
723.0,116.0
728.0,116.0
734.0,116.0
739.0,116.0
744.0,116.0
750.0,116.0
755.0,116.0
760.0,117.0
766.0,117.0
771.0,118.0
776.0,118.0
781.0,118.0
787.0,118.0
792.0,118.0
797.0,117.0
802.0,117.0
808.0,118.0
813.0,119.0
818.0,119.0
823.0,119.0
828.0,120.0
833.0,120.0
839.0,120.0
844.0,120.0
849.0,121.0
854.0,121.0
859.0,121.0
864.0,122.0
869.0,122.0
874.0,122.0
879.0,123.0
885.0,124.0
890.0,126.0
895.0,126.0
900.0,126.0
905.0,127.0
910.0,128.0
915.0,130.0
920.0,130.0
925.0,131.0
930.0,133.0
935.0,134.0
940.0,136.0
945.0,138.0
950.0,139.0
955.0,140.0
960.0,143.0
965.0,144.0
970.0,147.0
975.0,149.0
981.0,152.0
986.0,155.0
991.0,158.0
996.0,161.0
1001.0,164.0
1006.0,168.0
1011.0,170.0
1016.0,173.0
1021.0,177.0
1026.0,180.0
1031.0,185.0
1036.0,187.0
1041.0,193.0
1046.0,195.0
1051.0,198.0
1056.0,203.0
1061.0,205.0
1066.0,207.0
1071.0,210.0
1076.0,212.0
1081.0,214.0
1086.0,215.0
1091.0,216.0
1096.0,218.0
1101.0,220.0
1106.0,221.0
1111.0,223.0
1116.0,223.0
1121.0,224.0
1126.0,224.0
1131.0,225.0
1136.0,226.0
1141.0,226.0
1146.0,226.0
1151.0,226.0
1156.0,226.0
1161.0,226.0
1166.0,226.0
1171.0,226.0
1176.0,226.0
1181.0,226.0
1186.0,226.0
1191.0,225.0
1196.0,225.0
1201.0,225.0
1206.0,225.0
1211.0,225.0
1216.0,225.0
1221.0,225.0
1226.0,224.0
1231.0,224.0
1236.0,224.0
1241.0,224.0
1246.0,223.0
1251.0,221.0
1256.0,221.0
1261.0,221.0
1266.0,220.0
1271.0,220.0
1277.0,220.0
1282.0,220.0
1287.0,220.0
1292.0,220.0
1297.0,220.0
1302.0,219.0
1307.0,219.0
1312.0,219.0
1317.0,219.0
