Composition,
Date Added,1995-11-02
Formula,
Grain Size Description,<100.0um
Grain Size,0.0 - 100.0
Locality,
Minimum Wavelength,1800
Sample Name,847B 1H-1 19
Maximum Wavelength,25920
Database of Origin,ReLab
Other Information,
References,
Resolution,9.0
Material Class,Sediment
Sample Description,"0:B011.6'N, 95:B019.2'W, 3334m water depth  Siliceous-rich, Plio-Pleistocene Age"
Sample ID,N1AM27
Original Sample ID,AM-JFM-027
Viewing Geometry,
Wavelength,Response
1800.0,483.99
1800.7,484.49
1801.3,484.34
1801.9,483.34
1802.6,483.79
1803.2,483.98
1803.8,484.06
1804.4,484.18
1805.1,483.22
1805.7,482.87
1806.3,483.55
1806.9,483.17
1807.6,483.57
1808.2,484.02
1808.8,483.68
1809.5,483.71
1810.1,484.21
1810.7,483.59
1811.4,484.78
1812.0,484.79
1812.6,484.62
1813.3,484.32
1813.9,483.69
1814.5,483.52
1815.2,483.34
1815.8,483.71
1816.4,483.62
1817.1,484.0
1817.7,483.68
1818.4,483.19
1819.0,483.75
1819.6,483.43
1820.3,482.08
1820.9,481.85
1821.6,481.8
1822.2,483.17
1822.8,484.7
1823.5,483.83
1824.1,482.39
1824.8,481.3
1825.4,482.25
1826.0,483.78
1826.7,484.34
1827.3,482.9
1828.0,482.77
1828.6,482.31
1829.3,482.07
1829.9,482.44
1830.6,483.55
1831.2,483.33
1831.8,482.69
1832.5,482.33
1833.1,482.04
1833.8,481.03
1834.4,481.59
1835.1,481.61
1835.7,482.31
1836.4,482.2
1837.0,482.35
1837.7,482.16
1838.3,481.95
1839.0,481.09
1839.7,481.49
1840.3,481.69
1841.0,480.69
1841.6,480.77
1842.3,481.67
1842.9,481.07
1843.6,481.53
1844.2,481.16
1844.9,480.91
1845.5,480.61
1846.2,481.12
1846.9,481.13
1847.5,480.86
1848.2,480.26
1848.8,480.45
1849.5,480.63
1850.2,480.57
1850.8,481.32
1851.5,481.0
1852.1,481.38
1852.8,481.59
1853.5,481.52
1854.1,481.53
1854.8,481.28
1855.5,480.28
1856.1,480.48
1856.8,480.77
1857.4,480.67
1858.1,480.34
1858.8,480.74
1859.4,480.53
1860.1,479.83
1860.8,479.58
1861.4,479.51
1862.1,480.05
1862.8,480.31
1863.5,479.61
1864.1,479.17
1864.8,479.26
1865.5,479.36
1866.1,479.35
1866.8,479.96
1867.5,480.15
1868.2,479.63
1868.8,478.94
1869.5,478.4
1870.2,478.15
1870.9,478.86
1871.5,479.38
1872.2,478.36
1872.9,477.85
1873.6,477.73
1874.2,477.41
1874.9,477.5
1875.6,477.93
1876.3,478.14
1876.9,478.37
1877.6,478.2
1878.3,477.32
1879.0,476.49
1879.7,476.7
1880.4,476.21
1881.0,475.93
1881.7,476.31
1882.4,476.56
1883.1,475.55
1883.8,474.97
1884.5,475.58
1885.1,475.66
1885.8,475.74
1886.5,475.42
1887.2,474.3
1887.9,473.53
1888.6,472.19
1889.3,472.7
1890.0,473.24
1890.6,472.52
1891.3,472.28
1892.0,471.86
1892.7,471.62
1893.4,470.73
1894.1,469.86
1894.8,469.87
1895.5,470.13
1896.2,470.18
1896.9,469.77
1897.6,469.46
1898.3,469.01
1899.0,469.21
1899.6,469.01
1900.3,468.15
