Composition,
Date Added,2009-05-29
Formula,
Grain Size Description,<75.0um
Grain Size,45.0 - 75.0
Locality,
Minimum Wavelength,800
Sample Name,5% OLV-SC + 95% BAS Gl (45-75 um)
Maximum Wavelength,25050
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Mineral
Sample Description,"Mineral mixtures and deriving abundance using VNIR spectroscopy (PGG, Active missions, Student)"
Sample ID,BIR1BE136
Original Sample ID,BE-JFM-136
Viewing Geometry,
Wavelength,Response
799.9,56.31
800.0,54.9
800.2,54.26
800.3,55.11
800.4,55.77
800.5,55.53
800.7,55.49
800.8,54.51
800.9,54.38
801.0,54.48
801.1,54.14
801.3,54.79
801.4,55.06
801.5,55.19
801.6,55.85
801.8,55.62
801.9,55.41
802.0,55.92
802.1,55.58
802.3,54.39
802.4,54.38
802.5,54.55
802.6,54.75
802.8,54.13
802.9,54.13
803.0,54.91
803.1,55.26
803.3,55.79
803.4,55.45
803.5,54.04
803.6,53.09
803.8,53.89
803.9,55.04
804.0,55.43
804.1,55.31
804.3,54.14
804.4,54.48
804.5,54.53
804.6,54.3
804.8,54.69
804.9,54.17
805.0,53.11
805.1,53.91
805.3,55.47
805.4,54.99
805.5,53.68
805.6,53.57
805.8,53.71
805.9,54.28
806.0,54.32
806.1,53.77
806.3,54.73
806.4,55.49
806.5,55.41
806.6,55.82
806.8,55.96
806.9,55.37
807.0,54.45
807.1,54.42
807.3,54.46
807.4,52.75
807.5,52.67
807.6,53.68
807.8,53.19
807.9,52.92
808.0,53.05
808.1,54.0
808.3,55.51
808.4,55.06
808.5,54.09
808.6,53.38
808.8,52.96
808.9,52.56
809.0,52.72
809.2,53.51
809.3,54.33
809.4,54.79
809.5,54.32
809.7,53.79
809.8,54.65
809.9,54.38
810.0,54.19
810.2,54.37
810.3,53.22
810.4,51.9
810.5,51.92
810.7,53.28
810.8,54.21
810.9,53.72
811.0,53.82
811.2,53.45
811.3,53.34
811.4,53.65
811.5,53.55
811.7,53.95
811.8,53.89
811.9,52.96
812.1,52.42
812.2,52.88
812.3,53.63
812.4,53.18
812.6,53.12
812.7,53.33
812.8,52.81
813.0,53.17
813.1,53.59
813.2,54.08
813.3,53.84
813.5,53.89
813.6,53.2
813.7,52.64
813.8,53.82
814.0,53.69
814.1,52.65
814.2,52.65
814.4,53.27
814.5,53.42
814.6,53.64
814.7,53.22
814.9,53.19
815.0,53.62
815.1,53.13
815.3,52.77
815.4,53.76
815.5,54.01
815.6,53.71
815.8,53.48
815.9,52.75
816.0,52.71
816.2,53.1
816.3,53.47
816.4,53.94
816.5,53.27
816.7,52.91
816.8,53.57
816.9,53.58
817.0,53.17
817.2,52.55
817.3,51.95
817.4,52.01
817.6,52.66
817.7,52.42
817.8,52.52
818.0,53.76
818.1,53.74
818.2,52.1
818.3,50.96
818.5,51.54
818.6,52.13
818.7,52.57
818.9,52.24
819.0,51.96
819.1,52.71
819.3,53.1
819.4,53.23
819.5,53.26
819.6,53.11
819.8,53.96
819.9,54.95
820.0,54.01
820.2,53.58
820.3,53.44
820.4,53.58
820.5,53.82
820.7,53.39
820.8,51.9
820.9,51.31
821.1,52.15
821.2,52.79
821.3,52.78
821.5,51.96
821.6,51.38
821.7,51.7
821.8,52.4
822.0,52.99
822.1,53.81
822.2,54.23
822.4,53.64
822.5,53.59
822.6,54.28
822.8,53.76
822.9,52.39
823.0,52.42
823.2,52.83
823.3,53.09
823.4,52.89
823.5,52.39
823.7,52.59
823.8,53.03
823.9,53.2
824.1,52.89
824.2,52.59
824.3,52.21
824.5,52.42
824.6,52.69
824.7,51.99
824.8,51.41
825.0,52.61
825.1,53.4
825.2,52.77
825.4,52.46
825.5,52.98
825.6,53.26
825.8,53.44
825.9,52.74
826.0,52.51
826.2,53.24
826.3,53.93
826.4,53.32
826.6,52.0
826.7,52.88
826.8,53.47
827.0,53.96
827.1,53.79
827.2,53.84
827.3,54.12
827.5,53.3
827.6,52.86
827.8,52.46
