Composition,
Date Added,2009-01-07
Formula,
Grain Size Description,<75.0um
Grain Size,45.0 - 75.0
Locality,
Minimum Wavelength,280
Sample Name,70% NG-1 45-75 + 30% BAS Gl 45-75
Maximum Wavelength,25050
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Mineral
Sample Description,"Mineral mixtures and deriving abundance using VNIR spectroscopy (PGG, MDAP, Active missions, Student)"
Sample ID,BKR1BE105
Original Sample ID,BE-JFM-105
Viewing Geometry,
Wavelength,Response
280.0,24.79
285.0,22.79
290.0,21.64
295.0,21.34
300.0,21.3
305.0,21.25
310.0,21.42
315.0,21.82
320.0,22.29
325.0,22.75
330.0,23.15
335.0,23.69
340.0,24.36
345.0,25.18
350.0,26.56
355.0,28.42
360.0,30.57
365.0,32.11
370.0,32.9
375.0,34.33
380.0,36.03
385.0,37.81
390.0,40.47
395.0,43.7
400.0,46.8
405.0,49.26
410.0,51.03
415.0,52.21
420.0,53.22
425.0,54.16
430.0,54.86
435.0,55.82
440.0,56.9
445.0,57.74
450.0,59.96
455.0,63.56
460.0,69.11
465.0,77.34
470.0,89.2
475.0,104.55
480.0,119.02
485.0,131.3
490.0,140.98
495.0,149.36
500.0,157.25
505.0,164.96
510.0,172.73
515.0,180.59
520.0,188.69
525.0,196.81
530.0,205.56
535.0,214.76
540.0,223.28
545.0,230.85
550.0,237.37
555.0,243.75
560.0,248.87
565.0,253.23
570.0,256.55
575.0,259.21
580.0,261.14
585.0,263.18
590.0,263.96
595.0,264.07
600.0,264.14
605.0,263.45
610.0,262.54
615.0,261.47
620.0,260.54
625.0,259.56
630.0,259.27
635.0,258.96
640.0,259.13
645.0,259.66
650.0,260.74
655.0,262.4
660.0,264.65
665.0,267.6
670.0,271.37
675.0,275.41
680.0,280.15
685.0,284.9
690.0,290.38
695.0,295.74
700.0,300.45
705.0,305.33
710.0,310.25
715.0,314.23
720.0,318.42
725.0,321.65
730.0,324.67
735.0,327.49
740.0,329.83
745.0,331.11
750.0,332.62
755.0,333.22
760.0,333.27
765.0,333.97
770.0,333.52
775.0,332.88
780.0,331.81
785.0,329.95
790.0,328.65
795.0,326.41
800.0,324.19
805.0,322.65
810.0,319.93
815.0,317.18
820.0,313.93
825.0,311.1
830.0,308.67
835.0,304.13
840.0,301.76
845.0,297.81
850.0,294.75
855.0,292.54
860.0,288.7
860.2,289.5
860.3,289.58
860.4,289.95
860.6,289.25
860.7,288.73
860.9,288.08
861.0,287.73
861.2,288.36
861.3,289.01
861.4,288.97
861.6,287.81
861.7,287.81
861.9,289.33
862.0,289.03
862.2,288.07
862.3,288.58
862.5,288.15
862.6,287.77
