Composition,
Date Added,2008-09-30
Formula,
Grain Size Description,<45.0um
Grain Size,25.0 - 45.0
Locality,
Minimum Wavelength,280
Sample Name,BAS 79-3b 25-45
Maximum Wavelength,2600
Database of Origin,ReLab
Other Information,
References,
Resolution,5.0
Material Class,Rock
Sample Description,"Mineral mixtures and deriving abundance using VNIR spectroscopy (PGG, MDAP, Active missions, Student)"
Sample ID,C1BE71
Original Sample ID,BE-JFM-071
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
280.0,41.83
285.0,39.21
290.0,42.77
295.0,49.41
300.0,58.5
305.0,69.7
310.0,81.96
315.0,93.49
320.0,103.24
325.0,111.32
330.0,118.31
335.0,123.65
340.0,128.76
345.0,133.45
350.0,137.62
355.0,141.36
360.0,144.72
365.0,147.98
370.0,150.62
375.0,152.55
380.0,154.03
385.0,156.0
390.0,159.41
395.0,162.03
400.0,163.95
405.0,166.21
410.0,167.9
415.0,169.59
420.0,170.79
425.0,172.25
430.0,173.36
435.0,174.5
440.0,174.71
445.0,175.31
450.0,175.9
455.0,176.97
460.0,177.79
465.0,179.08
470.0,179.98
475.0,180.84
480.0,181.79
485.0,182.87
490.0,183.87
495.0,184.89
500.0,186.26
505.0,186.83
510.0,187.84
515.0,188.85
520.0,189.95
525.0,190.73
530.0,191.64
535.0,192.25
540.0,192.9
545.0,193.66
550.0,194.58
555.0,195.52
560.0,196.83
565.0,197.64
570.0,198.82
575.0,200.02
580.0,200.97
585.0,201.82
590.0,203.11
595.0,203.14
600.0,203.7
605.0,204.53
610.0,204.99
615.0,205.15
620.0,204.04
625.0,205.9
630.0,205.86
635.0,206.15
640.0,205.92
645.0,206.58
650.0,206.61
655.0,206.18
660.0,206.8
665.0,206.96
670.0,206.89
675.0,207.08
680.0,207.11
685.0,207.43
690.0,207.7
695.0,207.95
700.0,208.18
705.0,207.8
710.0,207.99
715.0,208.4
720.0,208.74
725.0,208.72
730.0,208.86
735.0,209.32
740.0,209.38
745.0,209.31
750.0,209.62
755.0,209.47
760.0,209.18
765.0,209.3
770.0,209.16
775.0,209.13
780.0,209.04
785.0,208.76
790.0,208.36
795.0,207.93
800.0,207.88
805.0,207.02
810.0,206.7
815.0,205.62
820.0,205.46
825.0,204.7
830.0,204.13
835.0,203.54
840.0,202.82
845.0,201.65
850.0,200.73
855.0,200.22
860.0,199.37
865.0,198.83
870.0,196.97
875.0,195.88
880.0,195.21
885.0,194.65
890.0,192.97
895.0,191.6
900.0,190.69
905.0,189.79
910.0,188.33
915.0,188.62
920.0,186.96
925.0,186.7
930.0,185.53
935.0,184.89
940.0,185.07
945.0,184.47
950.0,183.94
955.0,183.65
960.0,182.63
965.0,182.35
970.0,182.38
975.0,182.75
980.0,182.68
985.0,182.52
990.0,183.29
995.0,183.24
1000.0,183.76
1005.0,183.48
1010.0,184.36
1015.0,184.46
1020.0,185.83
1025.0,186.83
1030.0,187.23
1035.0,188.13
1040.0,188.65
1045.0,189.75
1050.0,191.39
1055.0,192.61
1060.0,193.99
1065.0,194.58
1070.0,197.25
1075.0,198.48
1080.0,199.84
1085.0,201.18
1090.0,202.38
1095.0,203.75
