Composition,
Date Added,1997-01-02
Formula,
Grain Size Description,<25.0um
Grain Size,10.0 - 25.0
Locality,
Minimum Wavelength,900
Sample Name,HK-3b 
Maximum Wavelength,3199
Database of Origin,ReLab
Other Information,
References,
Resolution,2.0
Material Class,Sediment
Sample Description,"Soil derived from weathered basalt, 250-150um fraction ground in mortar & ethanol sieved."
Sample ID,N2CC03C
Original Sample ID,CC-JFM-003-C
Viewing Geometry,
Wavelength,Response
900.4,119.75
901.1,119.94
901.7,119.8
902.3,120.04
902.9,120.3
903.6,120.52
904.2,120.66
904.8,120.53
905.5,120.89
906.1,121.38
906.7,121.23
907.4,120.9
908.0,120.99
908.6,121.34
909.3,121.74
909.9,122.08
910.6,122.06
911.2,122.2
911.8,122.43
912.5,122.3
913.1,122.34
913.8,122.56
914.4,122.79
915.1,123.03
915.7,123.07
916.3,123.0
917.0,122.96
917.6,123.13
918.3,123.56
918.9,123.4
919.6,123.2
920.3,123.55
920.9,123.98
921.6,124.01
922.2,124.03
922.9,124.07
923.5,124.03
924.2,124.26
924.9,124.48
925.5,124.44
926.2,124.4
926.8,124.39
927.5,124.6
928.2,124.87
928.8,125.08
929.5,125.17
930.2,125.0
930.8,125.09
931.5,125.23
932.2,125.38
932.8,125.48
933.5,125.69
934.2,125.84
934.9,125.73
935.5,125.8
936.2,126.04
936.9,126.03
937.6,126.13
938.2,126.09
938.9,126.09
939.6,126.29
940.3,126.49
941.0,126.59
941.7,126.69
942.3,126.87
943.0,127.05
943.7,127.06
944.4,127.08
945.1,127.2
945.8,127.28
946.5,127.28
947.2,127.26
947.9,127.37
948.5,127.51
949.2,127.6
949.9,127.83
950.6,127.73
951.3,127.88
952.0,128.16
952.7,128.06
953.4,127.9
954.1,127.88
954.8,128.02
955.5,128.13
956.2,128.26
957.0,128.44
957.7,128.57
958.4,128.62
959.1,128.63
959.8,128.63
960.5,128.63
961.2,128.74
961.9,128.96
962.6,129.18
963.4,129.24
964.1,129.35
964.8,129.3
965.5,129.35
966.2,129.53
967.0,129.56
967.7,129.61
968.4,129.74
969.1,129.55
969.8,129.49
970.6,129.64
971.3,130.08
972.0,130.3
972.8,130.2
973.5,130.27
974.2,130.16
975.0,130.01
975.7,129.94
976.4,130.1
977.2,130.31
977.9,130.49
978.6,130.5
979.4,130.6
980.1,130.78
980.9,130.74
981.6,130.92
982.3,131.22
983.1,131.02
983.8,130.8
984.6,131.02
985.3,131.31
986.1,131.2
986.8,131.21
987.6,131.3
988.3,131.32
989.1,131.43
989.9,131.23
990.6,130.86
991.4,130.98
992.1,131.22
992.9,131.48
993.6,131.66
994.4,131.87
995.2,132.01
995.9,131.95
996.7,131.96
997.5,132.18
998.2,132.45
999.0,132.57
999.8,132.55
1000.6,132.69
1001.3,132.72
1002.1,132.49
1002.9,132.6
1003.7,132.88
1004.4,132.82
1005.2,132.82
1006.0,132.97
1006.8,133.1
1007.6,133.12
1008.3,133.1
1009.1,132.97
1009.9,133.09
1010.7,133.28
1011.5,133.45
1012.3,133.65
1013.1,133.7
1013.9,133.74
1014.7,133.66
1015.5,133.64
1016.2,133.84
1017.0,133.74
1017.8,133.61
1018.6,133.71
1019.4,133.9
1020.2,133.9
1021.1,133.85
1021.9,133.98
1022.7,134.17
1023.5,134.33
1024.3,134.37
1025.1,134.31
1025.9,134.56
1026.7,134.7
1027.5,134.64
1028.3,134.71
1029.2,134.82
1030.0,134.83
1030.8,134.83
1031.6,134.94
1032.4,135.09
1033.3,135.22
1034.1,135.27
1034.9,135.37
1035.7,135.39
1036.6,135.48
1037.4,135.5
1038.2,135.48
1039.1,135.67
1039.9,135.79
1040.7,135.78
1041.6,135.86
1042.4,135.8
1043.3,135.81
1044.1,135.92
1044.9,136.04
1045.8,136.14
1046.6,136.16
1047.5,136.34
1048.3,136.42
1049.2,136.48
1050.0,136.56
1050.9,136.65
1051.7,136.67
1052.6,136.75
1053.4,136.82
1054.3,136.84
1055.1,136.89
1056.0,137.08
1056.9,137.25
1057.7,137.3
1058.6,137.31
1059.5,137.32
1060.3,137.37
1061.2,137.49
1062.1,137.62
1062.9,137.64
1063.8,137.67
1064.7,137.74
1065.6,137.88
1066.4,137.93
1067.3,137.99
1068.2,138.09
1069.1,138.15
1070.0,138.2
1070.8,138.3
1071.7,138.36
1072.6,138.46
1073.5,138.53
1074.4,138.67
1075.3,138.72
1076.2,138.65
1077.1,138.69
1078.0,138.9
1078.9,139.05
1079.8,139.12
1080.7,139.28
1081.6,139.34
1082.5,139.36
1083.4,139.48
1084.3,139.57
1085.2,139.62
1086.1,139.79
1087.0,139.92
1087.9,140.0
1088.8,140.12
1089.8,140.12
1090.7,140.08
1091.6,140.13
1092.5,140.18
1093.4,140.26
1094.4,140.44
1095.3,140.56
1096.2,140.58
1097.1,140.71
1098.1,140.86
1099.0,140.98
1099.9,141.06
1100.9,141.0
1101.8,140.92
1102.7,141.12
1103.7,141.39
1104.6,141.44
1105.6,141.41
1106.5,141.47
1107.5,141.59
1108.4,141.8
1109.3,141.92
1110.3,142.07
1111.2,142.23
1112.2,142.18
1113.2,142.19
1114.1,142.25
1115.1,142.32
1116.0,142.44
1117.0,142.53
1118.0,142.65
1118.9,142.64
1119.9,142.75
1120.9,142.95
1121.8,142.98
1122.8,142.99
1123.8,143.03
1124.8,143.12
1125.7,143.19
1126.7,143.27
1127.7,143.34
1128.7,143.49
1129.7,143.54
1130.6,143.59
1131.6,143.71
1132.6,143.74
1133.6,143.89
1134.6,144.07
1135.6,144.16
1136.6,144.09
1137.6,144.24
1138.6,144.46
1139.6,144.54
1140.6,144.57
1141.6,144.59
1142.6,144.68
1143.6,144.81
1144.6,144.85
1145.6,144.94
1146.7,145.06
1147.7,145.14
1148.7,145.24
1149.7,145.36
1150.7,145.43
1151.7,145.41
1152.8,145.5
1153.8,145.57
1154.8,145.61
1155.9,145.69
1156.9,145.75
1157.9,145.83
1159.0,145.94
1160.0,146.01
1161.0,146.02
1162.1,145.97
1163.1,146.06
1164.2,146.25
1165.2,146.38
1166.3,146.45
1167.3,146.5
1168.4,146.61
1169.4,146.72
1170.5,146.81
1171.5,146.85
1172.6,146.82
1173.7,146.9
1174.7,147.09
1175.8,147.15
1176.9,147.15
1177.9,147.25
1179.0,147.34
1180.1,147.34
1181.1,147.38
1182.2,147.51
1183.3,147.57
1184.4,147.57
1185.5,147.69
1186.6,147.85
1187.6,147.89
1188.7,147.92
1189.8,148.01
1190.9,148.09
1192.0,148.17
1193.1,148.3
1194.2,148.35
1195.3,148.33
1196.4,148.41
1197.5,148.49
1198.6,148.53
1199.7,148.63
1200.9,148.67
1202.0,148.69
1203.1,148.87
1204.2,148.97
1205.3,148.98
1206.4,149.02
1207.6,149.06
1208.7,149.14
1209.8,149.2
1211.0,149.26
1212.1,149.33
1213.2,149.39
1214.4,149.47
1215.5,149.58
1216.6,149.66
1217.8,149.64
1218.9,149.64
1220.1,149.76
1221.2,149.87
1222.4,149.86
1223.5,149.85
1224.7,149.92
1225.8,150.02
1227.0,150.11
1228.2,150.2
1229.3,150.28
1230.5,150.31
1231.7,150.32
1232.8,150.47
1234.0,150.59
1235.2,150.57
1236.4,150.55
1237.6,150.6
1238.7,150.75
1239.9,150.85
1241.1,150.9
1242.3,150.91
1243.5,150.94
1244.7,151.01
1245.9,151.03
1247.1,151.1
1248.3,151.24
1249.5,151.33
1250.7,151.36
1251.9,151.39
1253.1,151.39
1254.3,151.48
1255.5,151.56
1256.8,151.61
1258.0,151.71
1259.2,151.85
1260.4,151.84
1261.7,151.94
1262.9,152.07
1264.1,152.07
1265.3,152.08
1266.6,152.16
1267.8,152.23
1269.1,152.27
1270.3,152.47
1271.6,152.56
1272.8,152.52
1274.1,152.56
1275.3,152.71
1276.6,152.8
1277.8,152.78
1279.1,152.79
1280.4,152.87
1281.6,152.95
1282.9,153.05
1284.2,153.09
1285.4,153.21
1286.7,153.32
1288.0,153.33
1289.3,153.37
1290.6,153.42
1291.8,153.42
1293.1,153.53
1294.4,153.66
1295.7,153.75
1297.0,153.79
1298.3,153.83
1299.6,153.93
1300.9,153.96
1302.2,153.94
1303.5,154.05
1304.9,154.1
1306.2,154.13
1307.5,154.17
1308.8,154.24
1310.1,154.35
1311.5,154.4
1312.8,154.45
1314.1,154.56
1315.4,154.64
1316.8,154.73
1318.1,154.8
1319.5,154.83
1320.8,154.9
1322.2,154.93
1323.5,154.96
1324.9,155.05
1326.2,155.12
1327.6,155.18
1328.9,155.26
1330.3,155.35
1331.7,155.42
1333.0,155.42
1334.4,155.47
1335.8,155.56
1337.2,155.58
1338.6,155.62
1339.9,155.71
1341.3,155.79
1342.7,155.81
1344.1,155.88
1345.5,155.97
1346.9,156.05
1348.3,156.17
1349.7,156.23
1351.1,156.23
1352.5,156.27
1353.9,156.32
1355.4,156.4
1356.8,156.48
1358.2,156.48
1359.6,156.57
1361.0,156.69
1362.5,156.66
1363.9,156.61
1365.4,156.6
1366.8,156.6
1368.2,156.63
1369.7,156.68
1371.1,156.64
1372.6,156.63
1374.0,156.68
1375.5,156.67
1377.0,156.64
1378.4,156.65
1379.9,156.7
1381.4,156.73
1382.8,156.7
1384.3,156.68
1385.8,156.68
1387.3,156.68
1388.8,156.64
1390.3,156.68
1391.7,156.69
1393.2,156.71
1394.7,156.79
1396.2,156.79
1397.8,156.77
1399.3,156.77
1400.8,156.74
1402.3,156.78
1403.8,156.89
1405.3,156.87
1406.9,156.85
1408.4,156.91
1409.9,156.95
1411.5,156.98
1413.0,157.08
1414.5,157.14
1416.1,157.18
1417.6,157.3
1419.2,157.43
1420.7,157.48
1422.3,157.52
1423.9,157.58
1425.4,157.71
1427.0,157.89
1428.6,158.0
1430.2,158.06
1431.7,158.15
1433.3,158.26
1434.9,158.36
1436.5,158.48
1438.1,158.56
1439.7,158.62
1441.3,158.75
1442.9,158.85
1444.5,158.91
1446.1,159.04
1447.7,159.16
1449.3,159.25
1451.0,159.32
1452.6,159.41
1454.2,159.56
