Composition,
Date Added,1998-09-08
Formula,
Grain Size Description,<75.0um
Grain Size,45.0 - 75.0
Locality,
Minimum Wavelength,900
Sample Name,JSC Mars-1
Maximum Wavelength,24923
Database of Origin,ReLab
Other Information,JSC Mars-1
References,Carlton Allen at JSC
Resolution,8.0
Material Class,Sediment
Sample Description,Mars analog soil curated by JSC   
Sample ID,S1CC18G
Original Sample ID,CC-JFM-018-G
Viewing Geometry,
Wavelength,Response
900.4,140.77
901.1,140.7
901.7,141.03
902.3,141.27
902.9,141.25
903.6,141.8
904.2,141.68
904.8,141.1
905.5,140.75
906.1,141.0
906.7,141.56
907.4,142.03
908.0,142.43
908.6,143.02
909.3,143.26
909.9,142.72
910.6,142.41
911.2,142.71
911.8,143.27
912.5,143.07
913.1,142.95
913.8,144.08
914.4,144.27
915.1,143.28
915.7,143.23
916.3,143.54
917.0,143.77
917.6,144.18
918.3,144.12
918.9,143.83
919.6,144.02
920.3,144.2
920.9,143.83
921.6,146.43
922.2,150.98
922.9,147.42
923.5,144.74
924.2,145.21
924.9,144.82
925.5,144.91
926.2,145.27
926.8,145.56
927.5,145.49
928.2,145.65
928.8,145.5
929.5,145.37
930.2,145.46
930.8,145.73
931.5,146.04
932.2,146.54
932.8,146.81
933.5,146.82
934.2,146.81
934.9,146.75
935.5,146.69
936.2,147.08
936.9,146.87
937.6,146.8
938.2,147.03
938.9,147.2
939.6,147.04
940.3,147.05
941.0,147.78
941.7,148.23
942.3,147.97
943.0,147.96
943.7,148.25
944.4,148.26
945.1,148.28
945.8,148.35
946.5,148.52
947.2,148.81
947.9,148.78
948.5,148.4
949.2,148.53
949.9,148.89
950.6,148.95
951.3,149.09
952.0,148.88
952.7,149.04
953.4,149.32
954.1,149.33
954.8,149.07
955.5,149.42
956.2,149.76
957.0,149.76
957.7,149.57
958.4,149.54
959.1,150.03
959.8,150.22
960.5,150.42
961.2,150.57
961.9,150.1
962.6,150.05
963.4,150.44
964.1,150.74
964.8,150.64
965.5,150.58
966.2,150.95
967.0,151.22
967.7,150.95
968.4,151.1
969.1,151.35
969.8,151.32
970.6,151.38
971.3,151.28
