Composition,
Date Added,2019-06-19
Formula,
Grain Size Description,<63.0um
Grain Size,38.0 - 63.0
Locality,
Minimum Wavelength,1428
Sample Name,GMM048 Byt45.4545-Diop45.4545-Hwgl9.0909 
Maximum Wavelength,24990
Database of Origin,ReLab
Other Information,
References,
Resolution,2.0
Material Class,Mineral
Sample Description,"45.4545 vol% bytownite, 45.4545 vol% diopside, 9.0909 vol% Hawaii glass. See Berlanga 2017, LPS XLVIII, Abstract 2255"
Sample ID,BMR1CK032
Original Sample ID,CK-JFM-032
Viewing Geometry,
Wavelength,Response
1428.37,321.804
1428.57,321.981
1428.77,323.148
1428.96,325.049
1429.16,325.434
1429.36,324.31
1429.55,322.805
1429.75,323.414
1429.95,324.064
1430.15,324.101
1430.34,324.018
1430.54,323.593
1430.74,322.983
1430.94,324.819
1431.13,325.523
1431.33,325.076
1431.53,324.86
1431.73,324.102
1431.92,323.776
1432.12,323.383
1432.32,323.658
1432.52,324.295
1432.71,324.853
1432.91,324.666
1433.11,324.344
1433.31,324.716
1433.51,325.222
1433.71,324.424
1433.9,324.18
1434.1,324.768
1434.3,324.262
1434.5,324.374
1434.7,324.399
1434.9,325.058
1435.09,325.694
1435.29,324.493
1435.49,324.449
1435.69,325.302
1435.89,325.619
1436.09,324.853
1436.29,323.526
1436.49,323.083
1436.68,323.855
1436.88,324.096
1437.08,324.542
1437.28,325.428
1437.48,325.06
1437.68,325.622
1437.88,325.746
1438.08,325.135
1438.28,324.612
1438.48,324.25
1438.68,323.377
1438.88,322.625
1439.08,323.35
1439.28,324.303
1439.48,324.935
1439.68,326.056
1439.88,326.679
1440.08,325.828
1440.28,324.329
1440.48,323.746
1440.68,324.345
1440.88,324.134
1441.08,324.041
1441.28,323.885
1441.48,323.913
1441.68,323.65
1441.88,323.854
1442.08,323.133
1442.28,322.409
1442.48,323.249
1442.68,323.655
1442.88,323.317
1443.08,324.322
1443.28,325.589
1443.48,325.156
1443.69,324.069
1443.89,323.944
1444.09,324.012
1444.29,324.189
1444.49,323.813
1444.69,324.716
1444.89,325.445
1445.09,324.857
1445.3,324.645
1445.5,325.257
1445.7,325.037
1445.9,324.823
1446.1,325.181
1446.3,325.366
1446.5,325.139
1446.71,324.186
1446.91,325.184
1447.11,324.821
1447.31,323.433
1447.51,323.399
1447.72,323.09
1447.92,322.678
1448.12,323.468
1448.32,324.661
1448.53,325.304
1448.73,326.237
1448.93,325.815
1449.13,324.63
1449.34,324.188
1449.54,324.415
1449.74,325.226
1449.94,325.247
1450.15,325.716
1450.35,325.85
1450.55,325.51
1450.75,325.994
1450.96,325.786
1451.16,325.504
1451.36,325.474
1451.57,325.682
1451.77,326.137
1451.97,325.623
1452.18,325.048
1452.38,326.123
1452.58,326.87
1452.79,325.265
1452.99,324.377
1453.19,325.368
1453.4,326.56
1453.6,326.73
1453.81,325.823
1454.01,324.617
1454.21,323.986
1454.42,324.472
1454.62,325.446
1454.83,325.061
1455.03,325.53
1455.23,326.368
1455.44,325.452
1455.64,324.182
1455.85,324.164
1456.05,324.595
1456.26,324.442
1456.46,325.224
1456.66,325.163
1456.87,324.492
1457.07,324.887
1457.28,325.811
1457.48,325.779
1457.69,325.28
1457.89,325.551
1458.1,324.555
1458.3,323.875
1458.51,324.188
1458.71,324.39
1458.92,324.086
1459.12,325.032
1459.33,325.395
1459.54,326.009
1459.74,325.781
1459.95,325.38
1460.15,325.279
1460.36,325.156
1460.56,325.138
1460.77,325.673
1460.97,325.588
1461.18,324.57
1461.39,324.995
1461.59,326.029
1461.8,325.509
1462.0,324.786
1462.21,324.811
1462.42,325.148
1462.62,325.612
1462.83,324.606
1463.04,323.698
1463.24,324.809
1463.45,325.718
1463.66,325.632
1463.86,325.895
1464.07,325.623
1464.28,325.338
1464.48,325.319
1464.69,324.826
1464.9,324.724
1465.1,324.342
1465.31,325.274
1465.52,325.566
1465.72,325.314
1465.93,325.519
1466.14,326.127
1466.35,325.997
1466.55,326.006
1466.76,326.482
1466.97,326.072
1467.18,325.932
1467.38,325.823
1467.59,325.027
1467.8,325.736
1468.01,325.875
1468.21,325.416
1468.42,326.028
1468.63,326.035
1468.84,325.927
1469.05,326.318
1469.25,325.699
1469.46,325.087
1469.67,325.727
1469.88,326.575
1470.09,326.263
1470.3,326.22
1470.5,326.124
1470.71,325.727
1470.92,326.606
1471.13,326.789
1471.34,325.861
1471.55,325.615
1471.76,325.829
1471.97,325.785
1472.17,325.989
1472.38,327.307
1472.59,327.024
1472.8,326.228
1473.01,326.086
1473.22,324.585
1473.43,323.821
1473.64,325.042
1473.85,326.477
1474.06,326.497
1474.27,326.362
1474.48,326.336
1474.69,326.081
1474.9,326.057
1475.11,326.027
1475.32,326.132
1475.53,325.322
1475.74,325.638
1475.95,326.928
1476.16,327.198
1476.37,326.661
1476.58,326.771
1476.79,326.395
1477.0,326.397
1477.21,326.404
1477.42,325.979
1477.63,325.487
1477.84,326.099
1478.05,326.681
1478.26,326.565
1478.47,325.902
1478.68,325.538
1478.89,325.827
1479.1,326.482
1479.32,326.702
1479.53,326.012
1479.74,326.78
1479.95,327.386
1480.16,327.332
