Composition,
Date Added,2021-11-23
Formula,
Grain Size Description,<32.0um
Grain Size,0.0 - 32.0
Locality,
Minimum Wavelength,320
Sample Name,E50 F50
Maximum Wavelength,2550
Database of Origin,ReLab
Other Information,
References,
Resolution,10.0
Material Class,Mineral
Sample Description,Enstatite 50 + Forsterite 50 prepared by Ben Greenhagen.  See Greenhagen et al. (2020) European Lunar Symposium Abstract
Sample ID,C1CK82
Original Sample ID,CK-JFM-082
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
320.0,358.96
330.0,411.019
340.0,468.527
350.0,515.164
360.0,560.972
370.0,588.147
380.0,617.238
390.0,631.151
400.0,655.675
410.0,672.721
420.0,690.544
430.0,696.095
440.0,709.9
450.0,711.377
460.0,722.198
470.0,726.543
480.0,737.677
490.0,744.989
500.0,756.759
510.0,764.988
520.0,775.465
530.0,777.141
540.0,786.331
550.0,790.108
560.0,800.0
570.0,807.443
580.0,811.557
590.0,814.469
600.0,816.788
610.0,818.485
620.0,823.337
630.0,821.871
640.0,821.509
650.0,825.488
660.0,825.688
670.0,827.047
680.0,826.612
690.0,826.371
700.0,824.14
710.0,823.198
720.0,815.411
730.0,812.968
740.0,799.238
750.0,787.11
760.0,771.305
770.0,753.646
780.0,731.031
790.0,711.105
800.0,684.828
810.0,662.529
820.0,636.933
830.0,610.088
840.0,588.892
850.0,568.65
860.0,550.59
870.0,534.726
880.0,521.427
890.0,510.538
900.0,504.07
910.0,500.006
920.0,499.667
930.0,503.017
940.0,509.756
950.0,518.069
960.0,530.877
970.0,544.19
980.0,559.353
990.0,572.691
1000.0,585.511
1010.0,597.093
1020.0,606.565
1030.0,614.199
1040.0,621.529
1050.0,626.766
1060.0,633.052
1070.0,638.154
1080.0,644.233
1090.0,650.416
1100.0,657.075
1110.0,662.772
1120.0,669.947
1130.0,675.674
1140.0,680.397
1150.0,685.339
1160.0,688.801
1170.0,693.014
1180.0,696.55
1190.0,698.265
1200.0,701.087
1210.0,702.851
1220.0,705.822
1230.0,708.36
1240.0,710.494
1250.0,712.31
1260.0,715.268
1270.0,717.916
1280.0,722.244
1290.0,725.017
1300.0,728.82
1310.0,732.169
1320.0,735.887
1330.0,739.491
1340.0,743.03
1350.0,746.221
1360.0,749.094
1370.0,752.945
1380.0,754.495
1390.0,758.436
1400.0,763.013
1410.0,764.89
1420.0,765.983
1430.0,767.929
1440.0,769.372
1450.0,770.045
1460.0,769.32
1470.0,769.33
1480.0,768.713
1490.0,766.841
1500.0,764.402
1510.0,761.713
1520.0,759.64
1530.0,756.775
1540.0,752.866
1550.0,748.865
1560.0,743.658
1570.0,739.089
1580.0,733.739
1590.0,729.392
1600.0,724.957
1610.0,719.663
1620.0,714.379
1630.0,709.273
1640.0,703.77
1650.0,699.33
1660.0,694.925
1670.0,691.018
1680.0,686.211
1690.0,682.237
1700.0,678.427
1710.0,673.771
1720.0,670.515
1730.0,666.145
1740.0,660.909
1750.0,657.622
1760.0,654.98
1770.0,652.269
1780.0,650.243
1790.0,648.819
1800.0,646.318
1810.0,645.24
1820.0,644.613
1830.0,644.158
1840.0,645.15
1850.0,644.33
1860.0,644.634
1870.0,645.464
1880.0,645.781
1890.0,646.109
1900.0,646.983
1910.0,649.509
1920.0,653.245
1930.0,656.09
1940.0,658.749
1950.0,662.038
1960.0,666.754
1970.0,670.859
1980.0,675.42
1990.0,680.812
2000.0,686.492
2010.0,691.72
2020.0,697.664
2030.0,703.509
2040.0,709.149
2050.0,714.858
2060.0,719.94
2070.0,725.941
2080.0,732.559
2090.0,738.007
2100.0,743.37
2110.0,750.917
2120.0,757.413
2130.0,762.787
2140.0,769.342
2150.0,775.014
2160.0,780.267
2170.0,785.681
2180.0,790.307
2190.0,795.337
2200.0,799.668
2210.0,804.497
2220.0,808.671
2230.0,811.477
2240.0,815.573
2250.0,819.389
2260.0,822.253
2270.0,824.634
2280.0,827.112
2290.0,830.271
2300.0,830.405
2310.0,833.92
2320.0,835.077
2330.0,836.44
2340.0,837.72
2350.0,839.15
2360.0,840.501
2370.0,841.008
2380.0,841.075
2390.0,842.875
2400.0,843.307
2410.0,843.539
2420.0,843.273
2430.0,843.039
2440.0,842.79
2450.0,842.291
2460.0,842.86
2470.0,842.503
2480.0,842.411
2490.0,842.183
2500.0,839.24
2510.0,839.939
2520.0,839.567
2530.0,832.967
2540.0,832.777
2550.0,836.728
