Composition,
Date Added,2019-05-03
Formula,
Grain Size Description,<0.0um
Grain Size,0.0 - 0.0
Locality,
Minimum Wavelength,300
Sample Name,SRS-10
Maximum Wavelength,2600
Database of Origin,ReLab
Other Information,
References,
Resolution,10.0
Material Class,Other
Sample Description,10% Standard (1.5 X 5.0 inches)
Sample ID,C1HL24
Original Sample ID,HL-JFM-024
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,103.901
310.0,103.471
320.0,103.506
330.0,102.841
340.0,102.171
350.0,102.426
360.0,102.859
370.0,103.409
380.0,103.494
390.0,103.573
400.0,104.042
410.0,104.524
420.0,104.998
430.0,105.191
440.0,105.383
450.0,106.033
460.0,106.503
470.0,106.726
480.0,107.271
490.0,107.639
500.0,108.239
510.0,108.902
520.0,109.329
530.0,109.718
540.0,110.352
550.0,110.878
560.0,111.315
570.0,111.804
580.0,112.645
590.0,113.103
600.0,113.647
610.0,114.201
620.0,114.554
630.0,115.023
640.0,115.739
650.0,116.098
660.0,116.698
670.0,117.128
680.0,117.278
690.0,117.824
700.0,118.29
710.0,119.219
720.0,119.96
730.0,120.462
740.0,120.924
750.0,121.528
760.0,122.156
770.0,122.715
780.0,122.977
790.0,123.807
800.0,124.467
810.0,124.909
820.0,125.513
830.0,125.779
840.0,126.606
850.0,127.0
860.0,127.31
870.0,127.957
880.0,128.326
890.0,128.569
900.0,128.803
910.0,129.223
920.0,129.989
930.0,130.277
940.0,130.584
950.0,131.068
960.0,131.757
970.0,132.062
980.0,132.395
990.0,132.824
1000.0,133.189
1010.0,133.291
1020.0,133.475
1030.0,134.058
1040.0,134.499
1050.0,134.806
1060.0,135.255
1070.0,135.836
1080.0,136.168
1090.0,136.934
1100.0,137.229
1110.0,137.9
1120.0,138.49
1130.0,138.994
1140.0,139.396
1150.0,139.892
1160.0,140.395
1170.0,141.022
1180.0,141.259
1190.0,141.803
1200.0,142.377
1210.0,142.914
1220.0,143.566
1230.0,143.68
1240.0,144.149
1250.0,144.639
1260.0,145.172
1270.0,145.59
1280.0,146.214
1290.0,146.855
1300.0,147.362
1310.0,147.875
1320.0,148.432
1330.0,148.846
1340.0,149.388
1350.0,150.006
1360.0,150.514
1370.0,151.002
1380.0,151.443
1390.0,152.097
1400.0,152.422
1410.0,153.0
1420.0,153.684
1430.0,154.224
1440.0,154.601
1450.0,155.273
1460.0,155.609
1470.0,156.149
1480.0,156.924
1490.0,157.463
1500.0,157.832
1510.0,158.361
1520.0,158.869
1530.0,159.308
1540.0,159.82
1550.0,160.421
1560.0,161.253
1570.0,161.625
1580.0,162.008
1590.0,162.982
1600.0,163.205
1610.0,163.465
1620.0,163.899
1630.0,164.762
1640.0,165.446
1650.0,166.179
1660.0,166.876
1670.0,167.426
1680.0,168.149
1690.0,168.817
1700.0,169.486
1710.0,170.073
1720.0,170.745
1730.0,170.998
1740.0,171.286
1750.0,171.742
1760.0,172.21
1770.0,172.444
1780.0,173.164
1790.0,173.638
1800.0,174.086
1810.0,175.268
1820.0,175.182
1830.0,175.421
1840.0,175.536
1850.0,176.218
1860.0,176.349
1870.0,176.856
1880.0,177.488
1890.0,178.11
1900.0,178.151
1910.0,178.506
1920.0,178.798
1930.0,178.56
1940.0,178.918
1950.0,179.612
1960.0,179.913
1970.0,180.528
1980.0,180.693
1990.0,181.391
2000.0,181.902
2010.0,182.802
2020.0,182.746
2030.0,183.153
2040.0,183.656
2050.0,183.943
2060.0,184.216
2070.0,184.513
2080.0,184.605
2090.0,184.861
2100.0,185.14
2110.0,186.022
2120.0,186.502
2130.0,187.325
2140.0,187.401
2150.0,187.775
2160.0,188.831
2170.0,189.277
2180.0,190.327
2190.0,190.578
2200.0,191.077
2210.0,190.812
2220.0,191.474
2230.0,191.937
2240.0,192.162
2250.0,192.649
2260.0,192.863
2270.0,193.559
2280.0,193.683
2290.0,194.344
2300.0,194.997
2310.0,195.208
2320.0,195.565
2330.0,195.396
2340.0,195.522
2350.0,196.289
2360.0,196.735
2370.0,197.752
2380.0,198.057
2390.0,198.79
2400.0,198.748
2410.0,199.371
2420.0,199.715
2430.0,199.763
2440.0,200.637
2450.0,200.433
2460.0,200.812
2470.0,201.36
2480.0,202.063
2490.0,202.565
2500.0,203.265
2510.0,204.537
2520.0,205.178
2530.0,204.474
2540.0,206.472
2550.0,207.529
2560.0,208.739
2570.0,210.027
2580.0,212.801
2590.0,213.886
2600.0,216.894
