Composition,
Date Added,2009-07-08
Formula,
Grain Size Description,<40.0um
Grain Size,(0.0 - 40.0)
Locality,"Szklary, Lower Silesia, Poland"
Minimum Wavelength,280
Sample Name,Albitite #3311 shocked at 25.5 GPa
Maximum Wavelength,99719
Database of Origin,RELAB
Other Information,"Fe2O3 + FeO = 0.085, Shocked Albitite"
References,"Muszynski M. and Natkaniec-Nowak L. (1992) Albitites and oligoclasite from Szklary (Lower Silesia), Bull. Polish Acad. Sci. Earth Sci., 40, 141-159 (Sample #2)"
Resolution,4.0
Material class,Rock
Sample Description,
Sample ID,BKR3JJ004
Original Sample ID,JJ-JRJ-004
Viewing Geometry,Unknown
Wavelength,Response
280.0,0.58397
285.0,0.61217
290.0,0.6295
295.0,0.64651
300.0,0.66197
305.0,0.67484
310.0,0.68594
315.0,0.6953
320.0,0.70345
325.0,0.71168
330.0,0.71713
335.0,0.72272
340.0,0.72755
345.0,0.73345
350.0,0.7383
355.0,0.74104
360.0,0.74224
365.0,0.74488
370.0,0.74531
375.0,0.74684
380.0,0.74883
385.0,0.75093
390.0,0.75523
395.0,0.75504
400.0,0.75633
405.0,0.75841
410.0,0.75862
415.0,0.75897
420.0,0.76027
425.0,0.76069
430.0,0.76284
435.0,0.76396
440.0,0.76516
445.0,0.76673
450.0,0.76689
455.0,0.76817
460.0,0.76872
465.0,0.76896
470.0,0.76872
475.0,0.76901
480.0,0.77039
485.0,0.77
490.0,0.77112
495.0,0.77146
500.0,0.77202
505.0,0.77298
510.0,0.77389
515.0,0.7743
520.0,0.77536
525.0,0.77494
530.0,0.77607
535.0,0.77701
540.0,0.77845
545.0,0.77869
550.0,0.77893
555.0,0.78032
560.0,0.77984
565.0,0.78051
570.0,0.78103
575.0,0.78142
580.0,0.78187
585.0,0.78223
590.0,0.78224
595.0,0.7831
600.0,0.78363
605.0,0.78357
610.0,0.78393
615.0,0.78329
620.0,0.78373
625.0,0.78346
630.0,0.78439
635.0,0.78462
640.0,0.78361
645.0,0.78421
650.0,0.78351
655.0,0.78414
660.0,0.78302
665.0,0.7828
670.0,0.78089
675.0,0.78068
680.0,0.77967
685.0,0.7804
690.0,0.77955
695.0,0.7809
700.0,0.78112
705.0,0.78216
710.0,0.78195
715.0,0.78339
720.0,0.78408
725.0,0.7844
730.0,0.78508
735.0,0.78587
740.0,0.78515
745.0,0.78598
750.0,0.78563
755.0,0.78692
760.0,0.78571
765.0,0.78708
770.0,0.78645
775.0,0.78745
780.0,0.78662
785.0,0.78835
790.0,0.78709
795.0,0.7872
800.0,0.78666
805.0,0.78757
810.0,0.78719
815.0,0.78812
820.0,0.78754
825.0,0.78796
830.0,0.78782
835.0,0.7887
840.0,0.7885
845.0,0.7887
850.0,0.78896
855.0,0.78964
860.0,0.79098
865.0,0.7907
870.0,0.79104
875.0,0.78994
880.0,0.79175
885.0,0.7921
890.0,0.79092
895.0,0.78992
900.0,0.79224
905.0,0.79075
910.0,0.79252
915.0,0.78985
920.0,0.79139
925.0,0.79127
930.0,0.7905
935.0,0.78984
940.0,0.79108
945.0,0.78948
950.0,0.79032
955.0,0.79105
960.0,0.78969
965.0,0.78979
970.0,0.78999
975.0,0.78996
980.0,0.7903
985.0,0.78988
990.0,0.78949
995.0,0.78938
1000.0,0.78784
1005.0,0.78927
1010.0,0.78883
1015.0,0.78966
1020.0,0.78886
1025.0,0.78955
1030.0,0.78867
1035.0,0.79068
1040.0,0.78899
1045.0,0.79059
1050.0,0.79008
1055.0,0.78872
1060.0,0.78984
1065.0,0.78939
1070.0,0.78942
1075.0,0.78961
1080.0,0.79046
1085.0,0.78864
1090.0,0.78953
1095.0,0.7902
1100.0,0.79005
1100.4,0.79011
1100.6,0.79024
1100.9,0.79025
1101.1,0.79012
1101.3,0.78991
1101.6,0.78986
1101.8,0.79003
1102.0,0.79012
1102.3,0.79022
1102.5,0.79017
1102.7,0.79013
1103.0,0.79021
1103.2,0.79012
1103.4,0.79006
1103.7,0.78999
1103.9,0.78996
1104.2,0.78982
1104.4,0.78982
1104.6,0.78994
1104.8,0.78987
1105.1,0.78974
1105.3,0.78971
1105.6,0.7897
1105.8,0.78976
1106.0,0.78997
1106.3,0.78991
1106.5,0.78986
1106.7,0.78979
1107.0,0.78957
1107.2,0.78975
1107.4,0.78988
1107.7,0.78979
1107.9,0.78956
1108.2,0.78915
1108.4,0.78922
1108.6,0.78967
1108.9,0.78983
1109.1,0.79001
1109.3,0.78974
1109.6,0.78952
1109.8,0.78939
1110.1,0.78936
1110.3,0.78951
1110.5,0.78943
1110.8,0.7894
1111.0,0.78954
1111.3,0.78956
1111.5,0.78958
1111.7,0.78951
1112.0,0.78963
1112.2,0.78952
1112.4,0.78945
1112.7,0.78939
1112.9,0.78918
1113.2,0.78916
1113.4,0.78932
1113.6,0.78944
1113.9,0.78939
1114.1,0.78936
1114.3,0.78933
1114.6,0.78912
1114.8,0.78903
1115.1,0.78912
1115.3,0.78903
1115.6,0.78871
1115.8,0.78885
1116.0,0.78912
1116.3,0.78913
1116.5,0.78904
1116.8,0.78897
1117.0,0.78888
1117.2,0.78892
1117.5,0.78914
1117.7,0.78925
1118.0,0.78898
1118.2,0.78883
1118.4,0.78887
1118.7,0.78868
1118.9,0.78866
1119.2,0.78883
1119.4,0.7891
1119.7,0.78914
1119.9,0.78884
1120.1,0.78872
1120.4,0.78881
1120.6,0.78898
1120.9,0.78907
1121.1,0.78901
1121.3,0.78908
1121.6,0.789
1121.8,0.78882
1122.1,0.78883
1122.3,0.78886
1122.6,0.78892
1122.8,0.7888
1123.0,0.78857
1123.3,0.78861
1123.5,0.78881
1123.8,0.78875
1124.0,0.78858
1124.3,0.78844
1124.5,0.78855
1124.8,0.78874
1125.0,0.78878
1125.2,0.78865
1125.5,0.78859
1125.7,0.78866
1126.0,0.78869
1126.2,0.78862
1126.5,0.78852
1126.7,0.78854
1126.9,0.78845
1127.2,0.78852
1127.4,0.78854
1127.7,0.78827
1127.9,0.7882
1128.2,0.78831
1128.4,0.78833
1128.7,0.78835
1128.9,0.78839
1129.2,0.78841
1129.4,0.78841
1129.7,0.78851
1129.9,0.78849
1130.1,0.78826
1130.4,0.7881
1130.6,0.78818
1130.9,0.78815
1131.1,0.78821
1131.4,0.7881
1131.6,0.78801
1131.9,0.78822
1132.1,0.78814
1132.4,0.78811
1132.6,0.78832
1132.9,0.78811
1133.1,0.78793
1133.3,0.78802
1133.6,0.78805
1133.8,0.78786
1134.1,0.7878
1134.3,0.7879
1134.6,0.78805
1134.8,0.78814
1135.1,0.78816
1135.3,0.78803
1135.6,0.78797
1135.8,0.78791
1136.1,0.78783
1136.3,0.78796
1136.6,0.78815
1136.8,0.7881
1137.1,0.78792
1137.3,0.78796
1137.6,0.78797
1137.8,0.7878
1138.1,0.78773
1138.3,0.78788
1138.6,0.78796
1138.8,0.78794
1139.1,0.78809
1139.3,0.78794
1139.6,0.78779
1139.8,0.78778
1140.1,0.78767
1140.3,0.78773
1140.6,0.78779
1140.8,0.7878
1141.1,0.7878
1141.3,0.78754
1141.6,0.78753
1141.8,0.78759
1142.1,0.78745
1142.3,0.78732
1142.6,0.78751
1142.8,0.78755
1143.1,0.78756
1143.3,0.78766
1143.6,0.78775
1143.8,0.7877
1144.1,0.78763
1144.4,0.78775
1144.6,0.7878
1144.9,0.78757
1145.1,0.78744
1145.4,0.7874
1145.6,0.78736
1145.9,0.78727
1146.1,0.78734
1146.4,0.78752
1146.6,0.78762
1146.9,0.78749
1147.1,0.78727
1147.4,0.78724
1147.7,0.78732
1147.9,0.78737
1148.2,0.78736
1148.4,0.78718
1148.7,0.78712
1148.9,0.78709
1149.2,0.78711
1149.4,0.78723
1149.7,0.78722
1149.9,0.78722
1150.2,0.78722
1150.4,0.78728
1150.7,0.78721
1151.0,0.78713
1151.2,0.78717
1151.5,0.78724
1151.7,0.78726
1152.0,0.78721
1152.2,0.78704
1152.5,0.78682
1152.8,0.78702
1153.0,0.78708
1153.3,0.78692
1153.5,0.78693
1153.8,0.78711
1154.0,0.7873
1154.3,0.78727
1154.6,0.78718
1154.8,0.78708
1155.1,0.78689
1155.3,0.78668
1155.6,0.78663
1155.8,0.78667
1156.1,0.7867
1156.4,0.78681
1156.6,0.78682
1156.9,0.78678
1157.1,0.78699
1157.4,0.78693
1157.7,0.7867
1157.9,0.78662
1158.2,0.78657
1158.4,0.78653
1158.7,0.78649
1158.9,0.78644
1159.2,0.78637
1159.5,0.78643
1159.7,0.78665
1160.0,0.78654
1160.2,0.78642
1160.5,0.78649
1160.8,0.78663
1161.0,0.78669
1161.3,0.78649
1161.5,0.78638
1161.8,0.78648
1162.1,0.78664
1162.3,0.7868
1162.6,0.78669
1162.8,0.78647
1163.1,0.78641
1163.4,0.78644
1163.6,0.78649
1163.9,0.78642
1164.1,0.78644
1164.4,0.78638
1164.7,0.78631
1164.9,0.78632
1165.2,0.78623
1165.4,0.78624
1165.7,0.7863
1166.0,0.78633
1166.2,0.78656
1166.5,0.78653
1166.8,0.78636
1167.0,0.78633
1167.3,0.78629
1167.6,0.7863
1167.8,0.78636
1168.1,0.78619
