Composition,
Date Added,2008-01-31
Formula,
Grain Size Description,<53.0um
Grain Size,0.0 - 53.0
Locality,
Minimum Wavelength,280
Sample Name,Green glass_1 <53 um
Maximum Wavelength,2550
Database of Origin,ReLab
Other Information,
References,
Resolution,10.0
Material Class,Glass
Sample Description,Testing the relationship between UV-Vis and TiO2
Sample ID,C1JG02B
Original Sample ID,JG-JJG-002
Viewing Geometry,40.0° / 0.0°
Wavelength,Response
280.0,32.02
290.0,31.58
300.0,32.97
310.0,35.97
320.0,40.16
330.0,44.77
340.0,50.55
350.0,57.32
360.0,65.28
370.0,74.66
380.0,84.5
390.0,95.12
400.0,103.91
410.0,112.66
420.0,121.05
430.0,129.42
440.0,137.13
450.0,145.17
460.0,152.7
470.0,160.33
480.0,168.98
490.0,177.06
500.0,184.46
510.0,192.06
520.0,198.18
530.0,202.77
540.0,206.73
550.0,210.15
560.0,213.76
570.0,217.1
580.0,218.79
590.0,219.54
600.0,218.99
610.0,217.48
620.0,215.21
630.0,212.76
640.0,209.63
650.0,206.34
660.0,202.63
670.0,198.99
680.0,195.35
690.0,190.89
700.0,186.42
710.0,182.15
720.0,177.15
730.0,172.82
740.0,168.07
750.0,163.62
760.0,159.09
770.0,154.51
780.0,150.27
790.0,145.79
800.0,141.82
810.0,137.51
820.0,134.13
830.0,130.7
840.0,127.66
850.0,124.55
860.0,122.63
870.0,119.92
880.0,117.5
890.0,115.5
900.0,113.98
910.0,112.54
920.0,111.38
930.0,110.0
940.0,108.96
950.0,107.49
960.0,105.28
970.0,104.21
980.0,103.02
990.0,101.71
1000.0,100.91
1010.0,99.96
1020.0,99.42
1030.0,99.19
1040.0,98.66
1050.0,98.53
1060.0,98.45
1070.0,97.88
1080.0,98.11
1090.0,98.29
1100.0,98.23
1110.0,98.98
1120.0,99.1
1130.0,99.45
1140.0,99.97
1150.0,100.4
1160.0,101.03
1170.0,101.39
1180.0,102.49
1190.0,103.51
1200.0,104.33
1210.0,104.96
1220.0,106.08
1230.0,107.31
1240.0,108.56
1250.0,109.55
1260.0,111.07
1270.0,112.14
1280.0,113.4
1290.0,114.81
1300.0,116.38
1310.0,117.91
1320.0,119.37
1330.0,120.92
1340.0,123.11
1350.0,124.25
1360.0,125.6
1370.0,127.6
1380.0,128.96
1390.0,130.65
1400.0,132.52
1410.0,133.83
1420.0,135.53
1430.0,136.85
1440.0,138.37
1450.0,139.38
1460.0,140.95
1470.0,141.97
1480.0,143.28
1490.0,144.54
1500.0,145.21
1510.0,146.56
1520.0,146.76
1530.0,147.31
1540.0,147.87
1550.0,148.77
1560.0,148.74
1570.0,149.31
1580.0,149.88
1590.0,149.48
1600.0,149.89
1610.0,149.82
1620.0,150.08
1630.0,149.49
1640.0,149.38
1650.0,149.23
1660.0,149.32
1670.0,148.95
1680.0,148.76
1690.0,148.39
1700.0,148.45
1710.0,148.33
1720.0,148.26
1730.0,147.73
1740.0,147.67
1750.0,147.13
1760.0,147.36
1770.0,147.16
1780.0,147.16
1790.0,147.44
1800.0,147.22
1810.0,147.09
1820.0,147.16
1830.0,147.13
1840.0,147.53
1850.0,147.9
1860.0,147.98
1870.0,148.04
1880.0,148.77
1890.0,149.31
1900.0,149.33
1910.0,149.98
1920.0,150.33
1930.0,151.04
1940.0,151.21
1950.0,151.89
1960.0,152.66
1970.0,153.68
1980.0,154.26
1990.0,155.16
2000.0,155.78
2010.0,157.18
2020.0,157.47
2030.0,158.68
2040.0,159.97
2050.0,161.44
2060.0,161.71
2070.0,163.25
2080.0,164.16
2090.0,165.14
2100.0,166.35
2110.0,168.0
2120.0,168.98
2130.0,170.14
2140.0,171.34
2150.0,172.43
2160.0,173.3
2170.0,175.18
2180.0,175.95
2190.0,177.64
2200.0,178.69
2210.0,180.18
2220.0,181.18
2230.0,183.0
2240.0,183.72
2250.0,185.18
2260.0,186.95
2270.0,188.06
2280.0,189.09
2290.0,190.72
2300.0,191.93
2310.0,193.06
2320.0,194.19
2330.0,195.67
2340.0,197.03
2350.0,197.96
2360.0,198.81
2370.0,199.65
2380.0,200.4
2390.0,202.03
2400.0,203.84
2410.0,204.77
2420.0,205.65
2430.0,205.84
2440.0,206.84
2450.0,207.94
2460.0,208.81
2470.0,208.98
2480.0,209.81
2490.0,210.35
2500.0,210.42
2510.0,211.73
2520.0,212.86
2530.0,213.48
2540.0,213.94
2550.0,215.31
