Composition,
Date Added,2013-08-06
Formula,
Grain Size Description,<45.0um
Grain Size,25.0 - 45.0
Locality,
Minimum Wavelength,1428
Sample Name,Px 25-45 um
Maximum Wavelength,25050
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Mineral
Sample Description,
Sample ID,BMR1PX019B
Original Sample ID,PX-JJG-019-B
Viewing Geometry,
Wavelength,Response
1428.4,358.45
1428.8,358.85
1429.2,359.18
1429.6,359.08
1430.0,359.48
1430.4,359.86
1430.8,359.55
1431.2,359.55
1431.6,359.86
1432.0,360.23
1432.4,360.49
1432.8,360.13
1433.2,359.73
1433.6,359.8
1433.9,359.96
1434.3,359.78
1434.8,359.43
1435.1,359.83
1435.5,360.23
1435.9,360.63
1436.3,361.17
1436.7,361.0
1437.1,360.04
1437.5,359.92
1437.9,360.02
1438.3,360.05
1438.7,360.2
1439.1,360.06
1439.5,360.22
1439.9,360.18
1440.3,360.3
1440.7,360.99
1441.1,361.13
1441.5,360.76
1441.9,360.93
1442.3,361.48
1442.7,361.44
1443.1,360.92
1443.5,361.13
1443.9,362.15
1444.3,362.75
1444.7,362.26
1445.2,361.75
1445.6,361.76
1445.9,362.26
1446.3,362.1
1446.8,361.63
1447.2,361.41
1447.6,361.92
1448.0,361.91
1448.4,361.8
1448.8,361.43
1449.2,361.74
1449.6,361.82
1450.0,361.39
1450.4,361.65
1450.8,362.56
1451.2,362.73
1451.6,362.55
1452.0,362.06
1452.4,361.83
1452.8,362.58
1453.3,363.26
1453.7,363.01
1454.1,362.96
1454.5,363.19
1454.9,363.03
1455.3,362.45
1455.7,362.29
1456.1,361.99
1456.5,362.5
1456.9,363.16
1457.3,362.9
1457.7,362.99
1458.2,363.65
1458.6,363.93
1459.0,363.8
1459.4,364.02
1459.8,363.71
1460.2,363.0
1460.6,363.64
1461.0,363.84
1461.4,363.3
1461.8,363.26
1462.3,363.52
1462.7,363.54
1463.1,363.34
1463.5,363.35
1463.9,363.67
1464.3,364.1
1464.7,363.95
1465.2,363.82
1465.6,364.48
1466.0,364.17
1466.4,363.65
1466.8,363.71
1467.2,363.7
1467.6,363.39
1468.1,363.59
1468.5,364.12
1468.9,364.19
1469.3,364.27
1469.7,364.38
1470.1,364.08
1470.6,363.79
1471.0,363.54
1471.4,363.97
1471.8,364.47
1472.2,364.48
1472.7,364.47
1473.1,364.79
1473.5,364.76
1473.9,364.94
1474.3,364.91
1474.7,364.6
1475.2,364.75
1475.6,364.83
1476.0,364.93
1476.4,364.99
1476.8,364.91
1477.3,364.85
1477.7,365.05
1478.1,364.82
1478.5,364.56
1478.9,365.05
1479.4,365.31
1479.8,365.42
1480.2,365.4
1480.6,365.21
1481.1,364.91
1481.5,365.19
1481.9,365.42
1482.3,365.73
1482.8,366.14
1483.2,366.12
1483.6,365.93
1484.0,365.82
1484.4,365.56
1484.9,365.56
1485.3,366.22
1485.7,366.58
1486.2,366.64
1486.6,366.5
1487.0,366.1
1487.4,366.13
1487.9,366.49
1488.3,366.85
1488.7,366.78
1489.1,366.32
1489.6,366.27
1490.0,366.79
1490.4,367.06
1490.8,366.43
1491.3,366.17
1491.7,366.26
1492.1,366.4
1492.6,366.83
1493.0,366.98
1493.4,366.78
1493.9,366.83
1494.3,367.05
1494.7,366.96
1495.2,366.94
1495.6,366.94
1496.0,366.68
1496.4,366.79
1496.9,366.99
1497.3,367.09
1497.8,367.15
1498.2,367.48
1498.6,367.92
1499.0,367.87
1499.5,367.35
1499.9,367.22
1500.3,367.31
1500.8,367.59
1501.2,367.81
1501.7,367.84
1502.1,367.92
1502.5,367.85
1503.0,368.06
1503.4,368.16
1503.8,368.23
1504.3,368.29
1504.7,368.75
1505.1,369.07
1505.6,368.79
1506.0,368.19
1506.4,367.96
1506.9,368.19
1507.3,368.48
1507.8,367.88
1508.2,367.97
1508.6,368.78
1509.1,368.87
1509.5,368.65
1510.0,368.65
1510.4,368.73
1510.8,368.95
1511.3,369.18
1511.7,369.08
1512.2,369.09
1512.6,369.22
1513.0,369.19
1513.5,369.12
1513.9,369.1
1514.4,368.89
1514.8,368.4
1515.3,368.37
1515.7,368.88
1516.1,369.33
1516.6,369.47
1517.0,369.3
1517.5,369.41
1517.9,369.48
1518.4,369.36
1518.8,369.66
1519.3,369.74
1519.7,369.24
1520.1,369.15
1520.6,369.45
1521.0,369.64
1521.5,369.57
1521.9,369.03
1522.4,369.36
1522.8,369.6
1523.3,369.48
1523.7,369.76
1524.2,369.73
1524.6,369.68
1525.1,370.05
1525.5,370.31
1526.0,370.3
1526.4,370.05
1526.9,370.02
1527.3,370.21
1527.8,370.19
1528.2,370.36
1528.7,370.1
1529.1,369.97
1529.6,370.29
1530.0,370.45
1530.5,370.78
1530.9,371.02
1531.4,370.85
1531.8,370.67
1532.3,370.49
1532.7,370.8
1533.2,371.39
1533.6,371.29
1534.1,371.24
1534.5,371.2
1535.0,370.63
1535.4,370.68
1535.9,370.82
1536.4,370.64
1536.8,370.63
1537.3,370.62
1537.7,370.95
1538.2,371.31
1538.6,371.34
1539.1,371.23
1539.6,371.21
1540.0,371.17
1540.5,371.17
1540.9,371.11
1541.4,371.02
1541.8,371.08
1542.3,371.35
1542.8,371.25
1543.2,371.17
1543.7,371.22
1544.1,371.6
1544.6,371.67
1545.1,371.48
1545.5,371.75
1546.0,371.82
1546.4,371.29
1546.9,371.23
1547.4,371.87
1547.8,371.79
1548.3,371.39
1548.8,371.59
1549.2,371.65
1549.7,371.54
1550.1,371.7
1550.6,372.06
1551.1,372.26
1551.5,372.18
1552.0,372.14
1552.5,372.09
1552.9,372.15
1553.4,372.2
1553.8,372.07
1554.3,371.89
1554.8,371.96
1555.3,372.14
1555.7,372.49
1556.2,372.84
1556.7,372.76
1557.1,372.5
1557.6,372.77
1558.1,372.98
1558.5,372.84
1559.0,372.82
1559.5,372.8
1559.9,372.66
1560.4,372.61
1560.9,372.86
1561.3,373.01
1561.8,373.06
1562.3,373.03
1562.8,372.85
1563.2,372.76
1563.7,372.8
1564.2,372.91
1564.6,373.25
1565.1,373.16
1565.6,373.2
1566.1,373.45
1566.5,373.34
1567.0,373.2
1567.5,373.52
1567.9,373.6
1568.4,373.5
1568.9,373.42
1569.4,373.57
1569.8,373.75
1570.3,373.44
1570.8,373.3
1571.3,373.57
1571.8,373.62
1572.2,373.47
1572.7,373.55
1573.2,373.83
1573.7,373.87
1574.1,373.88
1574.6,373.81
1575.1,373.84
1575.6,373.82
1576.1,373.72
1576.5,373.91
1577.0,374.15
1577.5,374.14
1578.0,374.19
1578.4,374.12
1578.9,374.21
1579.4,374.38
1579.9,374.32
1580.4,374.25
1580.9,374.3
1581.3,374.42
1581.8,374.53
1582.3,374.57
1582.8,374.75
1583.3,374.73
1583.8,374.49
1584.2,374.54
1584.7,374.75
1585.2,374.77
1585.7,374.71
1586.2,374.91
1586.7,375.18
1587.2,375.21
1587.6,374.93
1588.1,374.81
1588.6,374.98
1589.1,375.26
1589.6,375.23
1590.1,375.18
1590.6,375.42
1591.1,375.55
1591.5,375.33
1592.0,375.35
1592.5,375.47
1593.0,375.41
1593.5,375.49
1594.0,375.4
1594.5,375.31
1595.0,375.65
1595.4,375.61
1595.9,375.4
1596.4,375.58
1596.9,375.99
1597.4,375.94
1597.9,375.56
1598.4,375.51
1598.9,375.67
1599.4,375.75
1599.9,376.04
1600.4,376.22
1600.9,376.21
1601.4,376.2
1601.9,375.93
1602.3,375.7
1602.8,375.85
1603.3,375.95
1603.8,375.81
1604.3,375.92
1604.8,376.16
1605.3,376.22
1605.8,375.92
1606.3,375.68
1606.8,375.84
1607.3,376.03
1607.8,376.15
1608.3,376.34
1608.8,376.31
1609.3,376.43
1609.8,376.5
1610.3,376.62
1610.8,376.66
1611.3,376.43
1611.8,376.36
1612.3,376.64
1612.8,376.73
1613.3,376.57
1613.8,376.75
1614.3,376.87
1614.8,377.01
1615.3,377.09
1615.8,376.97
1616.3,376.94
1616.8,377.13
1617.3,377.18
1617.8,377.34
1618.4,377.45
1618.9,377.42
1619.4,377.53
1619.9,377.37
1620.4,377.01
1620.9,376.96
1621.4,377.16
1621.9,377.68
1622.4,377.72
1622.9,377.57
1623.4,377.44
1623.9,377.08
1624.4,377.05
1624.9,377.18
1625.5,377.33
1626.0,377.52
1626.5,377.61
1627.0,377.62
1627.5,377.6
1628.0,377.59
1628.5,377.59
1629.0,377.6
1629.6,377.78
1630.1,377.72
1630.6,377.53
1631.1,377.48
1631.6,377.62
1632.1,377.68
1632.6,377.73
1633.1,377.88
1633.7,378.09
1634.2,378.2
1634.7,378.18
1635.2,378.19
1635.7,378.13
1636.2,377.97
1636.8,377.82
1637.3,378.09
1637.8,378.3
1638.3,378.13
1638.8,378.13
1639.3,378.31
1639.9,378.22
1640.4,378.1
1640.9,378.01
1641.4,377.93
1641.9,378.09
1642.5,378.2
1643.0,378.28
1643.5,378.32
1644.0,378.33
1644.5,378.46
1645.1,378.55
1645.6,378.62
1646.1,378.53
1646.6,378.23
1647.2,378.05
1647.7,378.13
1648.2,378.19
1648.7,378.5
1649.3,378.74
1649.8,378.67
1650.3,378.67
1650.8,378.61
1651.3,378.69
1651.9,378.73
1652.4,378.53
1652.9,378.43
1653.4,378.53
1654.0,378.52
1654.5,378.69
1655.0,378.91
1655.6,378.85
1656.1,378.72
1656.6,378.76
1657.2,378.76
1657.7,379.17
1658.2,379.35
1658.7,379.1
1659.3,378.93
1659.8,378.97
1660.3,378.99
1660.9,378.91
1661.4,379.08
1661.9,379.42
1662.5,379.28
1663.0,378.86
1663.5,378.78
1664.1,378.78
1664.6,378.82
1665.1,378.88
1665.7,378.83
1666.2,379.0
1666.7,379.12
1667.3,379.21
1667.8,379.22
1668.3,379.06
1668.9,379.03
1669.4,379.01
1670.0,378.75
1670.5,378.56
1671.0,378.63
1671.6,378.72
1672.1,378.72
1672.7,378.66
1673.2,378.53
1673.7,378.45
1674.3,378.16
1674.8,378.06
1675.4,378.03
1675.9,378.12
1676.4,378.39
1677.0,378.51
1677.5,378.37
1678.1,378.13
1678.6,378.27
1679.2,378.67
1679.7,378.66
1680.3,378.49
1680.8,378.43
1681.3,378.46
1681.9,378.7
1682.4,378.9
1683.0,378.88
1683.5,378.76
1684.1,378.63
1684.6,378.74
1685.2,378.69
1685.7,378.46
1686.3,378.61
1686.8,378.74
1687.3,378.81
1687.9,378.98
1688.4,379.04
1689.0,379.01
1689.6,378.9
1690.1,378.98
1690.7,379.01
1691.2,378.97
1691.8,379.03
1692.3,378.89
1692.9,378.82
1693.4,378.9
1694.0,379.19
1694.5,379.48
1695.1,379.45
1695.6,379.18
1696.2,379.04
1696.7,379.21
1697.3,379.36
1697.8,379.33
1698.4,379.29
1699.0,379.14
1699.5,379.33
1700.1,379.42
1700.6,379.42
1701.2,379.31
1701.8,379.15
