Composition,
Date Added,2007-05-25
Formula,
Grain Size Description,<1000.0um
Grain Size,125.0 - 1000.0
Locality,
Minimum Wavelength,1000
Sample Name,Ferrosaponite GDS604B >125 um
Maximum Wavelength,99719
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Mineral
Sample Description,"Chocolate clay collected by Jim Post, contributed by Gregg Swayze; Spectroscopy of clay minerals (MDAP, MFRP, Active Missions)"
Sample ID,BIR1JB761B
Original Sample ID,JB-JLB-761-B
Viewing Geometry,
Wavelength,Response
1000.0,162.01
1000.2,162.07
1000.4,162.18
1000.6,162.28
1000.8,162.27
1001.0,162.18
1001.2,162.32
1001.4,162.33
1001.6,162.27
1001.8,162.27
1001.9,162.26
1002.1,162.23
1002.3,162.27
1002.5,162.28
1002.7,162.3
1002.9,162.22
1003.1,162.14
1003.3,162.19
1003.5,162.26
1003.7,162.2
1003.9,162.34
1004.1,162.41
1004.3,162.34
1004.5,162.47
1004.7,162.41
1004.9,162.36
1005.0,162.47
1005.3,162.72
1005.4,162.79
1005.6,162.66
1005.8,162.55
1006.0,162.5
1006.2,162.38
1006.4,162.32
1006.6,162.37
1006.8,162.55
1007.0,162.65
1007.2,162.53
1007.4,162.41
1007.6,162.43
1007.8,162.51
1008.0,162.51
1008.2,162.5
1008.4,162.6
1008.6,162.6
1008.8,162.6
1009.0,162.54
1009.2,162.52
1009.4,162.7
1009.5,162.74
1009.8,162.69
1010.0,162.81
1010.1,162.86
1010.3,162.74
1010.5,162.65
1010.7,162.63
1010.9,162.64
1011.1,162.82
1011.3,162.82
1011.5,162.78
1011.7,162.87
1011.9,162.83
1012.1,162.75
1012.3,162.66
1012.5,162.66
1012.7,162.76
1012.9,162.68
1013.1,162.63
1013.3,162.82
1013.5,163.01
1013.7,163.01
1013.9,162.99
1014.1,163.03
1014.3,162.95
1014.5,162.81
1014.7,162.88
1014.9,162.92
1015.1,162.94
1015.3,163.01
1015.5,163.09
1015.7,163.07
1015.9,163.22
1016.1,163.39
1016.3,163.26
1016.5,163.13
1016.7,163.1
1016.9,163.14
1017.1,163.2
1017.3,163.23
1017.5,163.24
1017.7,163.25
1017.9,163.35
1018.1,163.2
1018.3,163.19
1018.5,163.48
1018.7,163.54
1018.9,163.44
1019.1,163.39
1019.3,163.31
1019.5,163.25
1019.7,163.25
1019.9,163.34
1020.1,163.35
1020.3,163.37
1020.5,163.41
1020.7,163.36
1020.9,163.27
1021.1,163.36
1021.3,163.53
1021.5,163.59
1021.7,163.48
1021.9,163.4
1022.1,163.51
1022.3,163.5
1022.5,163.51
1022.7,163.63
1022.9,163.57
1023.1,163.53
1023.3,163.52
1023.5,163.51
1023.7,163.56
1023.9,163.52
1024.1,163.49
1024.3,163.65
1024.5,163.68
1024.7,163.59
1024.9,163.59
1025.1,163.63
1025.3,163.71
1025.5,163.76
1025.7,163.73
1025.9,163.78
1026.1,163.77
1026.3,163.82
1026.5,163.84
1026.8,163.88
1026.9,163.93
1027.2,163.84
1027.4,163.89
1027.6,163.95
1027.8,163.96
1028.0,163.98
1028.2,163.94
1028.4,163.91
1028.6,163.76
1028.8,163.77
1029.0,164.0
1029.2,164.12
1029.4,164.13
1029.6,164.09
1029.8,164.02
1030.0,164.05
1030.2,164.14
1030.4,164.06
1030.6,163.91
1030.8,163.96
1031.0,164.02
1031.2,164.05
1031.4,164.13
1031.7,164.16
1031.8,164.14
1032.1,164.19
1032.3,164.28
1032.5,164.24
1032.7,164.15
1032.9,164.2
1033.1,164.23
1033.3,164.23
1033.5,164.19
1033.7,164.25
1033.9,164.39
1034.1,164.41
1034.3,164.28
1034.5,164.19
1034.7,164.16
1034.9,164.31
1035.2,164.42
1035.4,164.45
1035.6,164.52
1035.8,164.52
1036.0,164.44
1036.2,164.52
1036.4,164.67
1036.6,164.64
1036.8,164.56
1037.0,164.51
1037.2,164.54
1037.4,164.61
1037.6,164.56
1037.8,164.62
1038.1,164.72
1038.3,164.7
1038.5,164.69
1038.7,164.71
1038.9,164.7
1039.1,164.72
1039.3,164.79
1039.5,164.71
1039.7,164.73
1039.9,164.76
1040.1,164.61
1040.3,164.68
1040.6,164.87
1040.8,164.99
1041.0,164.91
1041.2,164.86
1041.4,164.91
1041.6,164.8
1041.8,164.73
1042.0,164.87
1042.2,164.89
1042.4,164.82
1042.6,164.77
1042.8,164.76
1043.1,164.88
1043.3,165.02
1043.5,165.01
1043.7,164.85
1043.9,164.86
1044.1,165.05
1044.3,165.11
1044.5,165.1
1044.7,165.15
1045.0,165.19
1045.2,165.19
1045.4,165.27
1045.6,165.27
1045.8,165.25
1046.0,165.3
1046.2,165.35
1046.4,165.31
1046.6,165.24
1046.8,165.16
1047.1,165.18
1047.3,165.33
1047.5,165.3
1047.7,165.3
1047.9,165.29
1048.1,165.15
1048.3,165.14
1048.6,165.24
1048.8,165.33
1049.0,165.44
1049.2,165.54
1049.4,165.51
1049.6,165.41
1049.8,165.49
1050.0,165.57
1050.3,165.63
1050.5,165.6
1050.7,165.61
1050.9,165.65
1051.1,165.67
1051.3,165.63
1051.5,165.58
1051.7,165.66
1051.9,165.75
1052.2,165.76
1052.4,165.73
1052.6,165.68
1052.8,165.67
1053.0,165.77
1053.2,165.76
1053.4,165.77
1053.7,165.83
1053.9,165.83
1054.1,165.87
1054.3,165.82
1054.5,165.84
1054.7,165.89
1054.9,165.97
1055.2,166.07
1055.4,166.12
1055.6,166.1
1055.8,166.04
1056.0,166.09
1056.2,166.21
1056.4,166.14
1056.7,166.08
1056.9,166.21
1057.1,166.24
1057.3,166.19
1057.5,166.28
1057.8,166.34
1058.0,166.31
1058.2,166.29
1058.4,166.19
1058.6,166.15
1058.8,166.15
1059.0,166.23
1059.3,166.29
1059.5,166.33
1059.7,166.36
1059.9,166.33
1060.1,166.3
1060.3,166.43
1060.6,166.47
1060.8,166.41
1061.0,166.37
1061.2,166.45
1061.4,166.51
1061.6,166.59
1061.9,166.53
1062.1,166.5
1062.3,166.6
1062.5,166.61
1062.7,166.54
1062.9,166.49
1063.2,166.53
1063.4,166.69
1063.6,166.81
1063.8,166.81
1064.0,166.8
1064.3,166.72
1064.5,166.76
1064.7,166.8
1064.9,166.77
1065.1,166.77
1065.3,166.87
1065.6,166.89
1065.8,166.91
1066.0,167.05
1066.2,167.09
1066.4,167.12
1066.7,167.1
1066.9,167.11
1067.1,167.13
1067.3,167.13
1067.6,167.24
1067.8,167.22
1068.0,167.13
1068.2,167.15
1068.4,167.17
1068.7,167.21
1068.9,167.27
1069.1,167.32
1069.3,167.32
1069.5,167.31
1069.8,167.35
1070.0,167.39
1070.2,167.4
1070.4,167.42
1070.6,167.43
1070.8,167.54
1071.1,167.62
1071.3,167.56
1071.5,167.54
1071.7,167.54
1072.0,167.54
1072.2,167.51
1072.4,167.48
1072.6,167.5
1072.8,167.62
1073.1,167.62
1073.3,167.54
1073.5,167.6
1073.7,167.68
1074.0,167.77
1074.2,167.82
1074.4,167.76
1074.6,167.78
1074.8,167.83
1075.1,167.87
1075.3,167.92
1075.5,167.89
1075.7,167.87
1076.0,167.85
1076.2,167.85
1076.4,167.88
1076.6,168.01
1076.9,168.13
1077.1,168.09
1077.3,167.99
1077.5,167.95
1077.8,168.03
1078.0,168.04
1078.2,168.11
1078.4,168.18
1078.7,168.16
1078.9,168.23
1079.1,168.3
1079.3,168.34
1079.6,168.32
1079.8,168.25
1080.0,168.39
1080.2,168.55
1080.4,168.59
1080.7,168.53
1080.9,168.44
1081.1,168.43
1081.3,168.48
1081.6,168.5
1081.8,168.53
1082.0,168.63
1082.3,168.65
1082.5,168.61
1082.7,168.65
1082.9,168.72
1083.2,168.76
1083.4,168.73
1083.6,168.71
1083.8,168.76
1084.1,168.8
1084.3,168.88
1084.5,168.92
1084.7,168.91
1085.0,168.88
1085.2,168.9
1085.4,168.95
1085.7,169.02
1085.9,169.01
1086.1,169.06
1086.3,169.2
1086.6,169.28
1086.8,169.22
1087.0,169.12
1087.3,169.12
1087.5,169.17
1087.7,169.22
1087.9,169.25
1088.2,169.22
1088.4,169.24
1088.6,169.28
1088.8,169.26
1089.1,169.28
1089.3,169.34
1089.5,169.37
1089.8,169.38
1090.0,169.47
1090.2,169.56
1090.4,169.56
1090.7,169.48
1090.9,169.47
1091.1,169.53
1091.4,169.57
1091.6,169.56
1091.8,169.62
1092.1,169.72
1092.3,169.69
1092.5,169.6
1092.8,169.63
1093.0,169.68
1093.2,169.7
1093.4,169.78
1093.7,169.78
1093.9,169.74
1094.1,169.73
1094.4,169.84
1094.6,170.0
1094.8,169.96
1095.1,169.96
1095.3,170.04
1095.5,170.1
1095.8,170.07
1096.0,170.02
1096.2,170.02
1096.4,170.11
1096.7,170.21
1096.9,170.15
1097.1,170.11
1097.4,170.18
1097.6,170.17
1097.8,170.19
1098.1,170.25
1098.3,170.26
1098.5,170.32
1098.8,170.45
1099.0,170.46
1099.2,170.43
1099.5,170.37
1099.7,170.37
1099.9,170.45
1100.2,170.47
1100.4,170.52
1100.6,170.61
1100.9,170.57
1101.1,170.6
1101.3,170.75
1101.6,170.77
1101.8,170.7
1102.0,170.69
1102.3,170.78
1102.5,170.82
1102.7,170.81
1103.0,170.73
1103.2,170.73
1103.4,170.83
1103.7,170.91
1103.9,170.87
1104.2,170.86
1104.4,170.91
1104.6,170.98
1104.8,170.94
1105.1,170.98
1105.3,171.01
1105.6,170.98
1105.8,171.04
1106.0,171.13
1106.3,171.13
1106.5,171.06
1106.7,171.07
1107.0,171.1
1107.2,171.21
1107.4,171.32
1107.7,171.39
1107.9,171.39
1108.2,171.37
1108.4,171.35
1108.6,171.4
1108.9,171.49
1109.1,171.51
1109.3,171.48
1109.6,171.45
1109.8,171.45
1110.1,171.5
1110.3,171.51
1110.5,171.54
1110.8,171.54
1111.0,171.55
1111.3,171.63
1111.5,171.67
1111.7,171.72
1112.0,171.83
1112.2,171.86
1112.4,171.86
1112.7,171.86
1112.9,171.85
1113.2,171.89
1113.4,171.9
1113.6,171.93
1113.9,171.99
1114.1,172.01
1114.3,171.99
1114.6,172.01
1114.8,172.05
1115.1,172.06
1115.3,172.08
1115.6,172.15
1115.8,172.06
1116.0,172.05
1116.3,172.18
1116.5,172.28
1116.8,172.33
1117.0,172.26
1117.2,172.18
1117.5,172.26
1117.7,172.33
1118.0,172.34
1118.2,172.32
1118.4,172.27
1118.7,172.33
1118.9,172.43
1119.2,172.46
1119.4,172.41
1119.7,172.41
1119.9,172.5
1120.1,172.59
1120.4,172.64
1120.6,172.68
1120.9,172.67
1121.1,172.69
1121.3,172.69
1121.6,172.69
1121.8,172.77
1122.1,172.75
1122.3,172.74
1122.6,172.79
1122.8,172.8
1123.0,172.84
1123.3,172.92
1123.5,172.94
1123.8,172.94
1124.0,172.98
1124.3,173.0
1124.5,173.01
1124.8,173.04
1125.0,173.01
1125.2,173.03
1125.5,173.1
1125.7,173.15
1126.0,173.11
1126.2,173.14
1126.5,173.21
1126.7,173.22
1126.9,173.18
1127.2,173.2
1127.4,173.33
1127.7,173.4
1127.9,173.37
1128.2,173.38
1128.4,173.39
1128.7,173.38
1128.9,173.42
1129.2,173.51
1129.4,173.57
1129.7,173.57
1129.9,173.52
1130.1,173.5
1130.4,173.51
1130.6,173.52
1130.9,173.58
1131.1,173.59
1131.4,173.64
1131.6,173.75
1131.9,173.77
1132.1,173.8
1132.4,173.8
1132.6,173.7
1132.9,173.66
1133.1,173.67
1133.3,173.79
1133.6,173.89
1133.8,173.92
1134.1,173.95
1134.3,173.93
1134.6,173.95
1134.8,174.02
1135.1,174.03
1135.3,173.93
1135.6,174.04
1135.8,174.24
1136.1,174.15
1136.3,174.04
1136.6,174.13
1136.8,174.2
1137.1,174.19
1137.3,174.25
1137.6,174.24
1137.8,174.23
1138.1,174.28
1138.3,174.27
1138.6,174.28
1138.8,174.34
1139.1,174.33
1139.3,174.35
1139.6,174.34
1139.8,174.35
1140.1,174.42
1140.3,174.5
1140.6,174.54
1140.8,174.52
1141.1,174.58
1141.3,174.61
1141.6,174.56
1141.8,174.57
1142.1,174.59
1142.3,174.58
1142.6,174.66
1142.8,174.71
1143.1,174.73
1143.3,174.79
1143.6,174.84
1143.8,174.8
1144.1,174.74
1144.4,174.75
1144.6,174.83
1144.9,174.87
1145.1,174.88
1145.4,174.89
1145.6,174.89
1145.9,174.95
1146.1,174.99
1146.4,174.97
1146.6,174.92
1146.9,174.98
1147.1,175.09
1147.4,175.13
1147.7,175.07
1147.9,175.09
1148.2,175.17
1148.4,175.17
1148.7,175.15
1148.9,175.19
1149.2,175.18
1149.4,175.26
1149.7,175.32
1149.9,175.33
1150.2,175.3
1150.4,175.25
1150.7,175.3
1151.0,175.42
1151.2,175.38
1151.5,175.34
1151.7,175.35
1152.0,175.4
1152.2,175.48
1152.5,175.5
1152.8,175.49
1153.0,175.46
1153.3,175.54
1153.5,175.7
1153.8,175.74
1154.0,175.64
1154.3,175.6
1154.6,175.6
1154.8,175.65
1155.1,175.68
1155.3,175.72
1155.6,175.8
1155.8,175.89
1156.1,175.89
1156.4,175.85
1156.6,175.85
1156.9,175.91
1157.1,176.0
1157.4,176.0
1157.7,175.95
1157.9,175.95
1158.2,175.98
1158.4,176.1
1158.7,176.16
1158.9,176.12
1159.2,176.16
1159.5,176.19
1159.7,176.19
1160.0,176.21
1160.2,176.23
1160.5,176.26
1160.8,176.29
1161.0,176.36
1161.3,176.43
1161.5,176.4
1161.8,176.5
1162.1,176.54
1162.3,176.44
1162.6,176.46
1162.8,176.48
1163.1,176.52
1163.4,176.58
1163.6,176.57
1163.9,176.58
1164.1,176.72
1164.4,176.78
1164.7,176.72
1164.9,176.71
1165.2,176.78
1165.4,176.78
1165.7,176.76
1166.0,176.79
1166.2,176.88
1166.5,176.94
1166.8,176.97
1167.0,176.99
1167.3,177.07
1167.6,177.16
1167.8,177.14
1168.1,177.06
1168.3,177.1
1168.6,177.17
1168.9,177.22
1169.1,177.21
1169.4,177.23
1169.7,177.3
1169.9,177.38
1170.2,177.36
1170.4,177.34
1170.7,177.42
1171.0,177.44
1171.2,177.41
1171.5,177.41
1171.8,177.43
1172.0,177.48
1172.3,177.52
1172.6,177.52
1172.8,177.53
1173.1,177.54
1173.4,177.53
1173.6,177.57
1173.9,177.6
1174.2,177.63
1174.4,177.65
1174.7,177.67
1175.0,177.75
1175.2,177.84
1175.5,177.89
1175.8,177.93
1176.0,177.87
1176.3,177.83
1176.6,177.9
1176.8,177.95
1177.1,177.97
1177.4,177.97
1177.6,178.02
1177.9,178.1
1178.2,178.13
1178.4,178.13
