Composition,
Date Added,2009-10-16
Formula,
Grain Size Description,<89.0um
Grain Size,75.0 - 89.0
Locality,
Minimum Wavelength,909
Sample Name,CMS standard sepiolite 75-89 um
Maximum Wavelength,99719
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Mineral
Sample Description,"Spectroscopy of clay minerals (MDAP, MFRP, Active Missions)"
Sample ID,BIR1JB780C
Original Sample ID,JB-JLB-780-C
Viewing Geometry,
Wavelength,Response
909.0,436.04
909.2,435.68
909.3,435.99
909.5,436.61
909.7,436.95
909.8,436.62
910.0,436.11
910.1,436.11
910.3,436.66
910.5,436.74
910.6,436.83
910.8,436.8
910.9,436.52
911.1,436.53
911.3,436.11
911.4,435.86
911.6,436.24
911.7,436.52
911.9,436.68
912.1,436.35
912.2,436.39
912.4,436.92
912.5,436.86
912.7,436.55
912.9,436.45
913.0,436.3
913.2,436.29
913.3,436.48
913.5,436.52
913.7,436.46
913.8,436.59
914.0,436.43
914.2,436.72
914.3,436.9
914.5,436.61
914.6,436.43
914.8,436.62
915.0,436.4
915.1,435.92
915.3,436.18
915.4,436.37
915.6,436.48
915.8,436.58
915.9,436.37
916.1,436.09
916.3,436.56
916.4,437.18
916.6,436.94
916.7,436.41
916.9,436.18
917.1,436.61
917.2,437.16
917.4,436.93
917.5,436.36
917.7,436.29
917.9,436.48
918.0,436.23
918.2,436.23
918.4,436.64
918.5,436.7
918.7,436.68
918.8,436.53
919.0,436.44
919.2,436.23
919.3,436.32
919.5,435.98
919.7,435.99
919.8,436.37
920.0,436.36
920.2,436.13
920.3,436.06
920.5,435.99
920.6,436.16
920.8,436.5
921.0,436.62
921.1,436.33
921.3,435.95
921.5,436.28
921.6,436.5
921.8,436.49
922.0,436.46
922.1,436.38
922.3,436.58
922.4,436.44
922.6,436.23
922.8,436.1
922.9,436.04
923.1,436.37
923.3,436.55
923.4,436.54
923.6,436.19
923.8,436.15
923.9,436.19
924.1,435.89
924.3,436.22
924.4,436.78
924.6,436.39
924.7,435.97
924.9,436.22
925.1,436.24
925.2,436.22
925.4,436.31
925.6,436.36
925.7,436.79
925.9,436.89
926.1,436.65
926.2,436.49
926.4,436.39
926.6,436.39
926.7,436.39
926.9,436.26
927.1,436.32
927.2,436.6
927.4,436.32
927.6,436.01
927.7,436.1
927.9,436.01
928.0,435.69
928.2,436.05
928.4,436.3
928.5,436.33
928.7,436.41
928.9,436.55
929.0,436.61
929.2,436.31
929.4,435.95
929.5,435.92
929.7,436.38
929.9,436.86
930.0,436.63
930.2,436.22
930.4,435.98
930.5,435.92
930.7,435.75
930.9,435.76
931.0,435.67
931.2,436.04
931.4,436.24
931.6,436.19
931.7,436.04
931.9,436.08
932.1,436.1
932.2,436.22
932.4,436.29
932.6,435.85
932.7,435.71
932.9,436.04
933.1,436.35
933.2,436.37
933.4,436.34
933.6,435.92
933.7,435.49
933.9,436.04
934.1,436.22
934.2,435.86
934.4,435.88
934.6,435.91
934.8,435.91
934.9,436.0
935.1,435.78
935.3,435.68
935.4,435.75
935.6,435.51
935.8,435.24
935.9,435.08
936.1,434.83
936.3,435.16
936.4,435.33
936.6,435.09
936.8,434.95
936.9,435.03
937.1,435.26
937.3,434.81
937.5,434.11
937.6,433.89
937.8,433.39
938.0,432.8
938.1,432.61
938.3,432.63
938.5,432.58
938.6,432.81
938.8,433.05
939.0,433.26
939.2,433.37
939.3,433.71
939.5,434.05
939.7,434.11
939.8,434.14
940.0,434.09
940.2,434.11
940.3,434.31
940.5,434.31
940.7,434.06
940.8,434.23
941.0,434.31
941.2,434.11
941.4,434.59
941.5,434.7
941.7,434.39
941.9,434.12
942.0,433.96
942.2,433.91
942.4,434.18
942.6,434.26
942.7,434.14
942.9,434.4
943.1,434.53
943.3,434.47
943.4,434.28
943.6,434.14
943.8,434.3
943.9,434.29
944.1,434.23
944.3,434.12
944.5,433.89
944.6,433.98
944.8,433.83
945.0,433.45
945.1,433.45
945.3,433.93
945.5,434.33
945.7,434.27
945.8,434.03
946.0,433.88
946.2,433.92
946.3,434.12
946.5,434.36
946.7,434.26
946.9,433.96
947.0,433.81
947.2,433.72
947.4,433.66
947.6,433.33
947.7,432.35
947.9,431.25
948.1,430.73
948.3,430.54
948.4,430.26
948.6,430.44
948.8,431.16
949.0,431.75
949.1,432.42
949.3,433.08
949.5,433.52
949.6,433.86
949.8,434.05
950.0,434.18
950.2,434.18
950.3,434.28
950.5,434.72
950.7,434.94
950.9,434.93
951.0,435.1
951.2,435.27
951.4,435.14
951.6,435.09
951.7,435.15
951.9,435.33
952.1,435.54
952.3,435.4
952.4,435.4
952.6,435.61
952.8,435.53
953.0,435.28
953.1,435.22
953.3,435.61
953.5,435.72
953.7,435.72
953.8,435.77
954.0,435.69
954.2,435.6
954.4,435.74
954.5,435.92
954.7,435.93
954.9,435.84
955.1,435.51
955.2,435.69
955.4,436.03
955.6,435.87
955.8,435.85
956.0,435.96
956.1,435.82
956.3,435.74
956.5,435.76
956.7,435.83
956.8,435.73
957.0,435.66
957.2,435.9
957.4,436.04
957.5,435.83
957.7,435.8
957.9,435.69
958.1,435.54
958.2,435.45
958.4,435.36
958.6,435.45
958.8,435.59
959.0,435.57
959.1,435.41
959.3,435.36
959.5,435.56
959.7,435.8
959.8,435.59
960.0,435.4
960.2,435.5
960.4,435.64
960.5,435.61
960.7,435.9
960.9,435.59
961.1,435.04
961.3,434.98
961.4,435.15
961.6,435.26
961.8,435.51
962.0,435.48
962.2,435.24
962.3,435.41
962.5,435.29
962.7,435.1
962.9,435.25
963.0,435.39
963.2,435.27
963.4,435.21
963.6,435.55
963.8,435.42
963.9,435.23
964.1,435.27
964.3,435.18
964.5,435.09
964.7,434.98
964.8,434.91
965.0,434.95
965.2,435.2
965.4,435.28
965.6,435.26
965.7,435.3
965.9,435.16
966.1,435.0
966.3,434.85
966.5,435.0
966.6,435.19
966.8,435.0
967.0,434.9
967.2,434.95
967.4,435.15
967.5,435.2
967.7,434.98
967.9,435.03
968.1,435.13
968.3,435.16
968.4,435.37
968.6,435.28
968.8,435.05
969.0,434.93
969.2,434.95
969.3,434.89
969.5,434.9
969.7,435.1
969.9,435.16
970.1,434.86
970.3,434.82
970.4,435.0
970.6,434.91
970.8,434.83
971.0,434.81
971.2,434.78
971.3,435.05
971.5,435.26
971.7,435.36
971.9,435.29
972.1,435.11
972.3,435.12
972.4,435.02
972.6,434.81
972.8,434.91
973.0,435.08
973.2,435.17
973.3,435.06
973.5,435.14
973.7,435.4
973.9,435.44
974.1,435.12
974.3,434.89
974.5,435.02
974.6,435.19
974.8,435.25
975.0,435.06
975.2,434.8
975.4,434.69
975.5,434.86
975.7,435.15
975.9,435.51
976.1,435.55
976.3,435.2
976.5,435.14
976.7,435.23
976.8,435.32
977.0,435.26
977.2,435.21
977.4,435.4
977.6,435.28
977.8,435.26
977.9,435.36
978.1,435.24
978.3,435.45
978.5,435.54
978.7,435.25
978.9,435.3
979.0,435.39
979.2,435.23
979.4,435.36
979.6,435.39
979.8,435.27
980.0,434.99
980.2,434.86
980.3,435.09
980.5,435.27
980.7,435.46
980.9,435.46
981.1,435.27
981.3,435.21
981.5,435.25
981.7,435.2
981.8,435.27
982.0,435.58
982.2,435.53
982.4,435.34
982.6,435.28
982.8,435.27
983.0,435.49
983.1,435.67
983.3,435.51
983.5,435.47
983.7,435.42
983.9,435.32
984.1,435.41
984.3,435.63
984.4,435.64
984.6,435.53
984.8,435.52
985.0,435.61
985.2,435.72
985.4,435.89
985.6,435.95
985.8,435.85
985.9,435.58
986.1,435.61
986.3,435.8
986.5,435.84
986.7,435.57
986.9,435.43
987.1,435.47
987.3,435.68
987.4,435.86
987.6,435.94
987.8,435.8
988.0,435.74
988.2,435.83
988.4,436.01
988.6,435.83
988.8,435.78
989.0,435.94
989.1,435.87
989.3,435.72
989.5,435.68
989.7,435.69
989.9,435.81
990.1,435.8
990.3,435.68
990.5,435.66
990.7,435.69
990.8,435.61
991.0,435.57
991.2,435.54
991.4,435.86
991.6,435.79
991.8,435.64
992.0,435.6
992.2,435.68
992.4,435.97
992.5,435.84
992.7,435.48
992.9,435.63
993.1,435.83
993.3,435.78
993.5,435.67
993.7,435.56
993.9,435.64
994.1,435.92
994.3,435.87
994.5,435.65
994.6,435.71
994.8,435.73
995.0,435.85
995.2,435.82
995.4,435.8
995.6,435.88
995.8,435.94
996.0,436.0
996.2,435.83
996.4,435.76
996.5,435.71
996.7,435.95
996.9,436.26
997.1,436.23
997.3,436.11
997.5,435.95
997.7,435.95
997.9,436.2
998.1,436.08
998.3,435.86
998.5,435.78
998.7,435.67
998.9,435.51
999.0,435.6
999.2,435.76
999.4,435.97
999.6,436.0
999.8,435.97
1000.0,435.97
1000.2,435.93
1000.4,436.0
1000.6,436.05
1000.8,435.98
1001.0,435.91
1001.2,435.69
1001.4,435.65
1001.6,435.79
1001.8,435.92
1001.9,435.9
1002.1,435.91
1002.3,435.98
1002.5,435.94
1002.7,435.9
1002.9,435.87
1003.1,435.81
1003.3,435.68
1003.5,435.83
1003.7,435.88
1003.9,435.77
1004.1,435.96
1004.3,436.0
1004.5,435.73
1004.7,435.67
1004.9,435.82
1005.0,435.78
1005.3,435.82
1005.4,435.78
1005.6,435.83
1005.8,436.02
1006.0,436.08
1006.2,435.89
1006.4,435.85
1006.6,435.97
1006.8,435.88
1007.0,435.85
