Composition,
Date Added,2009-05-15
Formula,
Grain Size Description,<125.0um
Grain Size,0.0 - 125.0
Locality,
Minimum Wavelength,909
Sample Name,"Bentonite from Turkish clay Peker, Clay-B purified by Steve Hillier"
Maximum Wavelength,99719
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Mineral
Sample Description,Spectroscopy of clay minerals
Sample ID,BIR1JB876
Original Sample ID,JB-JLB-876
Viewing Geometry,
Wavelength,Response
909.0,479.22
909.2,479.1
909.3,478.53
909.5,477.96
909.7,477.77
909.8,478.48
910.0,479.03
910.1,478.76
910.3,478.47
910.5,478.51
910.6,478.66
910.8,478.7
910.9,478.86
911.1,479.17
911.3,479.13
911.4,478.53
911.6,478.14
911.7,478.52
911.9,479.27
912.1,479.06
912.2,478.59
912.4,478.86
912.5,479.54
912.7,479.18
912.9,478.8
913.0,478.95
913.2,478.64
913.3,478.99
913.5,479.53
913.7,479.22
913.8,479.08
914.0,478.87
914.2,478.49
914.3,478.66
914.5,479.08
914.6,479.05
914.8,479.07
915.0,478.99
915.1,478.9
915.3,478.77
915.4,478.5
915.6,478.47
915.8,478.73
915.9,478.8
916.1,478.86
916.3,478.6
916.4,478.67
916.6,478.71
916.7,478.88
916.9,479.15
917.1,479.24
917.2,478.95
917.4,478.67
917.5,478.55
917.7,479.21
917.9,479.45
918.0,479.2
918.2,479.01
918.4,479.23
918.5,479.24
918.7,479.14
918.8,478.8
919.0,478.52
919.2,478.49
919.3,478.37
919.5,478.52
919.7,478.75
919.8,478.61
920.0,478.49
920.2,478.67
920.3,479.05
920.5,479.39
920.6,479.25
920.8,478.85
921.0,479.18
921.1,479.65
921.3,479.83
921.5,479.11
921.6,478.81
921.8,479.36
922.0,479.36
922.1,478.69
922.3,478.46
922.4,478.56
922.6,479.08
922.8,479.4
922.9,479.0
923.1,478.52
923.3,478.86
923.4,479.24
923.6,479.39
923.8,479.17
923.9,478.53
924.1,478.62
924.3,478.75
924.4,478.99
924.6,479.56
924.7,479.67
924.9,479.42
925.1,479.11
925.2,479.2
925.4,479.26
925.6,479.19
925.7,479.02
925.9,478.95
926.1,478.79
926.2,478.84
926.4,478.75
926.6,478.55
926.7,478.66
926.9,478.61
927.1,478.78
927.2,478.92
927.4,478.71
927.6,478.73
927.7,478.72
927.9,479.02
928.0,479.26
928.2,479.14
928.4,478.87
928.5,478.69
928.7,478.46
928.9,478.31
929.0,478.59
929.2,478.75
929.4,479.0
929.5,478.93
929.7,478.86
929.9,478.63
930.0,478.0
930.2,477.82
930.4,478.29
930.5,478.39
930.7,478.13
930.9,478.47
931.0,478.63
931.2,478.76
931.4,478.54
931.6,478.23
931.7,478.05
931.9,478.1
932.1,478.09
932.2,478.08
932.4,477.77
932.6,477.52
932.7,477.76
932.9,477.96
933.1,477.83
933.2,478.07
933.4,477.86
933.6,477.28
933.7,477.54
933.9,478.07
934.1,478.17
934.2,477.84
934.4,477.69
934.6,477.67
934.8,477.74
934.9,477.84
935.1,477.85
935.3,477.97
935.4,477.95
935.6,477.79
935.8,477.42
935.9,477.87
936.1,478.44
936.3,478.12
936.4,477.74
936.6,477.59
936.8,477.74
936.9,478.26
937.1,478.6
937.3,478.31
937.5,477.98
937.6,477.51
937.8,477.45
938.0,478.03
938.1,478.12
938.3,477.89
938.5,477.73
938.6,477.96
938.8,477.71
939.0,477.36
939.2,477.93
939.3,478.32
939.5,478.54
939.7,478.6
939.8,478.25
940.0,477.94
940.2,477.72
940.3,477.87
940.5,478.02
940.7,477.92
940.8,478.06
941.0,478.24
941.2,478.09
941.4,478.14
941.5,478.29
941.7,478.15
941.9,478.15
942.0,478.18
942.2,478.0
942.4,477.58
942.6,477.78
942.7,478.17
942.9,478.36
943.1,478.42
943.3,478.06
943.4,477.72
943.6,477.67
943.8,477.46
943.9,477.5
944.1,477.62
944.3,477.61
944.5,477.73
944.6,477.55
944.8,477.48
945.0,477.96
945.1,477.87
945.3,477.57
945.5,477.31
945.7,477.36
945.8,477.53
946.0,477.71
946.2,477.14
946.3,476.77
946.5,477.08
946.7,477.19
946.9,477.16
947.0,477.08
947.2,476.87
947.4,477.03
947.6,477.2
