Composition,
Date Added,2009-09-11
Formula,
Grain Size Description,<0.2um
Grain Size,0.0 - 0.2
Locality,
Minimum Wavelength,1000
Sample Name,Beidellite sample #34 purified by Will Gates <125 um
Maximum Wavelength,99719
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Mineral
Sample Description,Spectroscopy of clay minerals
Sample ID,BIR1JB919A
Original Sample ID,JB-JLB-919-A
Viewing Geometry,
Wavelength,Response
1000.0,426.13
1000.2,425.91
1000.4,425.84
1000.6,426.11
1000.8,426.1
1001.0,425.87
1001.2,425.89
1001.4,426.06
1001.6,426.11
1001.8,426.23
1001.9,425.99
1002.1,425.65
1002.3,425.75
1002.5,426.17
1002.7,426.31
1002.9,426.05
1003.1,425.89
1003.3,425.93
1003.5,426.01
1003.7,426.06
1003.9,425.98
1004.1,425.84
1004.3,425.97
1004.5,425.96
1004.7,425.91
1004.9,426.16
1005.0,426.13
1005.3,426.06
1005.4,426.03
1005.6,425.97
1005.8,426.08
1006.0,426.12
1006.2,425.91
1006.4,425.85
1006.6,425.89
1006.8,425.92
1007.0,425.93
1007.2,425.85
1007.4,425.91
1007.6,426.06
1007.8,426.13
1008.0,426.11
1008.2,426.05
1008.4,426.17
1008.6,426.04
1008.8,425.96
1009.0,426.0
1009.2,426.05
1009.4,425.92
1009.5,425.92
1009.8,425.95
1010.0,426.02
1010.1,426.03
1010.3,425.9
1010.5,425.79
1010.7,425.78
1010.9,425.68
1011.1,425.81
1011.3,425.94
1011.5,425.96
1011.7,425.9
1011.9,425.83
1012.1,425.84
1012.3,425.99
1012.5,426.08
1012.7,426.03
1012.9,425.96
1013.1,425.94
1013.3,425.88
1013.5,425.9
1013.7,426.0
1013.9,425.81
1014.1,425.72
1014.3,425.95
1014.5,425.94
1014.7,425.74
1014.9,425.87
1015.1,426.15
1015.3,426.03
1015.5,425.74
1015.7,425.74
1015.9,425.73
1016.1,425.83
1016.3,425.91
1016.5,425.84
1016.7,425.8
1016.9,425.87
1017.1,425.81
1017.3,425.84
1017.5,425.92
1017.7,426.04
1017.9,426.05
1018.1,425.82
1018.3,425.73
1018.5,425.65
1018.7,425.79
1018.9,425.88
1019.1,425.84
1019.3,425.77
1019.5,425.75
1019.7,425.69
1019.9,425.72
1020.1,425.73
1020.3,425.83
1020.5,425.8
1020.7,425.84
1020.9,425.77
1021.1,425.69
1021.3,425.8
1021.5,425.78
1021.7,425.66
1021.9,425.66
1022.1,425.74
1022.3,425.87
1022.5,425.98
1022.7,425.89
1022.9,425.73
1023.1,425.68
1023.3,425.65
1023.5,425.67
1023.7,425.6
1023.9,425.52
1024.1,425.64
1024.3,425.73
1024.5,425.68
1024.7,425.78
1024.9,425.76
1025.1,425.63
1025.3,425.6
1025.5,425.84
1025.7,425.99
1025.9,425.79
1026.1,425.68
1026.3,425.56
1026.5,425.31
1026.8,425.35
1026.9,425.45
1027.2,425.51
1027.4,425.6
1027.6,425.54
1027.8,425.58
1028.0,425.53
1028.2,425.43
1028.4,425.48
1028.6,425.44
1028.8,425.39
1029.0,425.39
1029.2,425.42
1029.4,425.43
1029.6,425.41
1029.8,425.25
1030.0,425.31
1030.2,425.57
1030.4,425.66
1030.6,425.5
1030.8,425.4
1031.0,425.49
1031.2,425.56
1031.4,425.69
1031.7,425.7
1031.8,425.55
1032.1,425.49
1032.3,425.46
1032.5,425.42
1032.7,425.53
1032.9,425.56
1033.1,425.54
1033.3,425.36
1033.5,425.15
1033.7,425.28
1033.9,425.5
1034.1,425.6
1034.3,425.52
1034.5,425.44
1034.7,425.28
1034.9,425.14
1035.2,425.13
1035.4,425.24
1035.6,425.45
1035.8,425.58
1036.0,425.53
1036.2,425.52
1036.4,425.61
1036.6,425.68
1036.8,425.41
1037.0,425.15
1037.2,425.32
1037.4,425.48
1037.6,425.42
1037.8,425.37
1038.1,425.17
1038.3,425.22
1038.5,425.4
1038.7,425.36
1038.9,425.28
1039.1,425.25
1039.3,425.32
1039.5,425.26
1039.7,425.25
1039.9,425.42
1040.1,425.41
1040.3,425.37
