Composition,
Date Added,2011-09-14
Formula,
Grain Size Description,<125.0um
Grain Size,0.0 - 125.0
Locality,
Minimum Wavelength,800
Sample Name,Paracoquimbite G2681-2 <125 um
Maximum Wavelength,99719
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Mineral
Sample Description,Spectroscopy of sulfate minerals
Sample ID,BIR1JBA52
Original Sample ID,JB-JLB-A52
Viewing Geometry,
Wavelength,Response
799.9,361.12
800.0,360.64
800.2,359.15
800.3,360.4
800.4,360.5
800.5,359.3
800.7,359.08
800.8,359.51
800.9,360.91
801.0,360.7
801.2,360.68
801.3,360.94
801.4,358.99
801.5,358.28
801.6,359.17
801.8,357.89
801.9,359.64
802.0,361.3
802.1,359.91
802.3,358.58
802.4,359.65
802.5,360.79
802.6,359.61
802.8,359.51
802.9,359.77
803.0,359.78
803.1,358.03
803.3,356.15
803.4,358.6
803.5,361.55
803.6,359.75
803.8,358.9
803.9,359.54
804.0,360.45
804.1,360.78
804.3,359.7
804.4,358.46
804.5,358.7
804.6,360.42
804.8,361.33
804.9,360.33
805.0,358.66
805.1,357.4
805.3,356.72
805.4,357.08
805.5,358.9
805.6,358.84
805.8,358.32
805.9,360.28
806.0,360.07
806.1,360.25
806.3,359.78
806.4,359.5
806.5,358.68
806.6,358.15
806.8,356.94
806.9,355.82
807.0,356.0
807.1,356.42
807.3,357.18
807.4,357.92
807.5,357.41
807.6,357.2
807.8,358.13
807.9,356.87
808.0,355.77
808.1,357.43
808.3,357.37
808.4,355.63
808.5,355.45
808.6,356.94
808.8,358.51
808.9,358.89
809.0,358.12
809.2,358.38
809.3,358.6
809.4,357.71
809.5,356.32
809.7,356.73
809.8,356.03
809.9,355.66
810.0,356.47
810.2,356.84
810.3,356.31
810.4,355.73
810.5,357.99
810.7,358.86
810.8,357.87
810.9,357.21
811.0,355.09
811.2,354.95
811.3,356.15
811.4,355.69
811.5,354.16
811.7,354.68
811.8,355.27
811.9,355.92
812.1,357.29
812.2,357.54
812.3,356.61
812.4,353.83
812.6,352.95
812.7,355.09
812.8,355.09
813.0,354.16
813.1,353.73
813.2,354.16
813.3,353.79
813.5,352.23
813.6,351.86
813.7,352.97
813.8,354.67
814.0,356.62
814.1,357.21
814.2,356.6
814.4,356.01
814.5,356.25
814.6,354.4
814.7,353.13
814.9,354.82
815.0,355.89
815.1,355.65
815.3,356.39
815.4,357.44
815.5,356.76
815.6,353.9
815.8,353.14
815.9,352.77
816.0,353.28
816.2,355.34
816.3,356.27
816.4,356.31
816.5,356.16
816.7,353.77
816.8,353.36
816.9,355.04
817.0,354.78
817.2,354.12
817.3,354.09
817.4,353.94
817.6,354.53
817.7,354.84
817.8,355.24
818.0,353.23
818.1,353.37
818.2,355.31
818.3,355.86
818.5,355.32
818.6,355.08
818.7,355.91
818.9,356.52
819.0,355.63
819.1,354.24
819.3,353.3
819.4,352.76
819.5,353.11
819.6,353.75
819.8,353.15
819.9,353.09
820.0,353.95
820.2,354.83
820.3,353.87
820.4,354.07
820.5,355.04
820.7,355.0
820.8,353.86
820.9,356.93
821.1,357.74
821.2,354.16
821.3,352.53
821.5,354.0
821.6,355.85
821.7,358.05
821.8,356.13
822.0,354.06
822.1,354.25
822.2,354.25
822.4,354.11
822.5,354.09
822.6,354.38
822.8,355.33
822.9,357.79
823.0,359.45
823.2,358.03
823.3,354.64
823.4,354.21
823.5,356.72
823.7,356.85
823.8,356.69
823.9,357.45
824.1,355.68
824.2,354.93
824.3,356.6
824.5,356.38
824.6,355.87
824.7,357.83
824.8,357.81
825.0,356.04
825.1,355.73
825.3,355.06
825.4,355.61
825.5,356.28
825.6,357.21
825.8,356.59
825.9,355.61
826.0,356.04
826.2,356.57
826.3,355.71
826.4,354.66
826.6,354.37
826.7,354.61
826.8,355.43
827.0,354.7
827.1,354.46
827.2,356.01
827.3,356.7
827.5,355.68
827.6,355.57
827.8,356.34
827.9,355.63
828.0,354.57
828.2,353.64
828.3,353.75
828.4,354.08
828.5,354.32
828.7,355.58
828.8,356.12
828.9,356.45
829.1,355.85
829.2,355.18
829.3,355.13
829.5,356.05
829.6,355.22
829.7,354.52
829.9,355.63
830.0,354.92
830.1,354.58
830.3,355.04
830.4,355.43
830.5,355.14
830.7,353.76
830.8,352.55
830.9,353.7
831.1,354.13
831.2,353.76
831.3,354.79
831.5,354.42
831.6,353.87
831.7,353.73
831.9,353.34
832.0,354.41
832.1,355.19
832.3,353.76
832.4,352.04
832.5,353.47
832.7,354.46
832.8,353.15
832.9,352.21
833.1,353.48
833.2,355.2
833.3,356.35
833.5,356.66
833.6,355.08
833.7,354.96
833.9,354.25
834.0,352.71
