Composition,
Date Added,2014-01-30
Formula,
Grain Size Description,<150.0um
Grain Size,0.0 - 150.0
Locality,
Minimum Wavelength,833
Sample Name,Don Juan Pond JB1124
Maximum Wavelength,99719
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Sediment
Sample Description,Collected by Everett Gibson (Approximate particle size)
Sample ID,BIR1JBB24
Original Sample ID,JB-JLB-B24
Viewing Geometry,
Wavelength,Response
833.3,262.21
833.5,263.02
833.6,263.46
833.7,263.81
833.9,264.54
834.0,264.32
834.1,265.49
834.3,266.69
834.4,264.75
834.5,264.1
834.7,265.06
834.8,265.34
835.0,265.59
835.1,265.03
835.2,265.0
835.3,264.44
835.5,264.08
835.6,264.01
835.8,263.99
835.9,263.82
836.0,264.06
836.2,264.47
836.3,265.4
836.4,265.57
836.6,264.09
836.7,263.95
836.8,263.7
837.0,262.87
837.1,262.82
837.2,262.87
837.4,263.89
837.5,265.48
837.6,265.11
837.8,264.29
837.9,263.99
838.0,263.96
838.2,264.5
838.3,264.25
838.5,263.91
838.6,263.92
838.7,264.56
838.9,265.08
839.0,265.06
839.1,264.16
839.3,264.09
839.4,264.49
839.5,264.41
839.7,264.86
839.8,263.61
840.0,262.77
840.1,263.37
840.2,263.75
840.4,263.23
840.5,264.06
840.6,264.36
840.8,263.33
840.9,263.51
841.0,262.96
841.2,263.46
841.3,263.61
841.5,263.03
841.6,263.39
841.7,262.8
841.9,262.75
842.0,263.54
842.1,263.76
842.3,263.87
842.4,263.99
842.5,264.56
842.7,264.77
842.8,263.99
843.0,263.25
843.1,263.32
843.2,262.91
843.4,263.25
843.5,262.95
843.6,263.28
843.8,263.54
843.9,263.26
844.0,262.83
844.2,262.04
844.3,261.98
844.5,262.37
844.6,263.53
844.7,262.99
844.9,262.47
845.0,262.32
845.2,262.4
845.3,263.36
845.4,263.3
845.6,263.5
845.7,263.41
845.8,263.33
846.0,262.9
846.1,262.15
846.3,261.49
846.4,261.12
846.5,261.36
846.7,262.76
846.8,263.97
847.0,262.74
847.1,262.54
847.2,263.4
847.4,263.0
847.5,262.73
847.6,262.07
847.8,263.11
847.9,264.08
848.1,262.56
848.2,260.92
848.3,261.42
848.5,261.91
848.6,262.02
848.8,262.0
848.9,261.28
849.0,261.35
849.2,262.1
849.3,262.15
849.5,262.81
849.6,263.37
849.7,262.95
849.9,263.09
850.0,261.77
850.1,260.44
850.3,260.1
850.4,260.22
850.6,261.59
850.7,261.25
850.8,260.89
851.0,261.57
851.1,260.93
851.3,260.98
851.4,260.83
851.5,259.96
851.7,260.36
851.8,260.89
852.0,260.7
852.1,261.61
852.2,262.5
852.4,262.58
852.5,262.8
852.7,263.15
852.8,261.88
852.9,260.1
853.1,260.31
853.2,261.27
853.4,261.59
853.5,261.89
853.6,261.74
853.8,260.54
853.9,259.82
854.1,260.6
854.2,261.14
854.3,261.81
854.5,262.57
854.6,261.81
854.8,262.02
854.9,261.97
855.0,261.31
855.2,261.19
855.3,261.33
855.5,261.17
855.6,260.91
855.8,261.22
855.9,260.88
856.0,259.97
856.2,260.41
856.3,260.75
856.5,259.87
856.6,260.03
856.8,261.03
856.9,261.3
857.0,261.0
857.2,261.6
857.3,262.37
857.5,261.79
857.6,261.02
857.7,260.31
857.9,260.29
858.0,260.92
858.2,261.13
858.3,261.27
858.5,260.83
858.6,261.03
858.7,261.48
858.9,261.86
859.0,261.55
859.2,260.98
859.3,260.45
859.4,260.25
859.6,261.04
859.7,260.96
859.9,260.4
860.0,260.53
860.2,259.71
860.3,259.34
860.4,259.45
860.6,260.23
860.7,260.69
860.9,260.46
861.0,259.48
861.2,259.67
861.3,260.19
861.4,259.72
861.6,259.54
861.7,258.86
861.9,259.21
862.0,260.13
862.2,260.13
862.3,259.84
862.5,259.64
862.6,259.25
862.7,259.74
862.9,259.36
863.0,258.58
863.2,258.98
863.3,258.84
863.5,258.04
863.6,258.77
863.7,260.06
863.9,260.18
864.0,259.54
864.2,259.29
864.3,258.39
864.5,259.29
864.6,259.52
864.8,259.21
864.9,260.07
865.0,259.24
865.2,257.76
865.3,257.69
865.5,258.4
865.6,258.65
865.8,258.68
865.9,258.62
866.0,259.16
866.2,259.31
866.3,257.96
866.5,258.39
866.6,258.98
866.8,258.92
866.9,259.49
867.1,259.17
867.2,258.8
867.3,258.54
867.5,258.32
867.6,258.09
867.8,258.18
867.9,258.3
868.1,258.2
868.2,258.33
868.4,258.51
868.5,258.86
868.7,259.71
868.8,258.94
869.0,258.05
869.1,257.78
869.2,258.22
869.4,257.81
869.5,257.99
869.7,259.24
869.8,259.39
870.0,258.82
870.1,258.57
870.3,259.56
870.4,260.31
870.6,259.87
870.7,258.43
870.8,258.2
871.0,258.55
871.1,258.95
871.3,258.53
871.4,257.36
871.6,257.18
871.7,256.99
871.9,257.38
872.0,258.61
872.2,258.91
872.3,258.4
872.5,258.23
872.6,258.31
872.8,257.53
872.9,256.73
873.0,257.2
873.2,258.5
873.3,259.16
873.5,258.53
873.6,257.91
873.8,258.01
873.9,257.9
874.1,257.65
874.2,257.67
874.4,257.68
874.5,258.05
874.7,257.39
874.8,256.64
875.0,256.9
875.1,257.15
875.3,256.64
875.4,257.05
875.5,257.57
875.7,257.3
875.8,257.12
876.0,256.28
876.2,255.87
876.3,255.95
876.4,257.03
876.6,258.23
876.7,258.31
876.9,257.8
877.0,257.21
877.2,256.78
877.3,257.21
877.5,257.51
877.6,257.57
877.8,256.79
877.9,256.98
878.1,257.33
878.2,256.84
878.4,256.7
878.5,256.74
878.7,256.65
878.8,256.29
879.0,256.11
879.1,256.16
879.3,256.34
879.4,256.12
879.6,256.61
