Composition,
Date Added,2013-10-21
Formula,
Grain Size Description,<150.0um
Grain Size,90.0 - 150.0
Locality,
Minimum Wavelength,833
Sample Name,Quartz 90-150 um
Maximum Wavelength,99719
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Mineral
Sample Description,
Sample ID,BIR1JBE65C
Original Sample ID,JB-JLB-E65-C
Viewing Geometry,
Wavelength,Response
833.3,372.7
833.5,372.57
833.6,373.57
833.7,373.33
833.9,372.51
834.0,371.82
834.1,372.59
834.3,373.14
834.4,373.55
834.5,373.33
834.7,372.65
834.8,371.3
835.0,371.24
835.1,372.38
835.2,374.26
835.3,373.97
835.5,372.99
835.6,372.39
835.8,372.67
835.9,372.26
836.0,371.84
836.2,371.56
836.3,371.05
836.4,371.89
836.6,372.45
836.7,372.54
836.8,371.92
837.0,372.91
837.1,373.04
837.2,372.59
837.4,372.24
837.5,372.73
837.6,372.77
837.8,372.27
837.9,371.71
838.0,372.7
838.2,373.19
838.3,373.64
838.5,374.21
838.6,373.45
838.7,371.65
838.9,372.39
839.0,373.92
839.1,373.94
839.3,372.88
839.4,372.92
839.5,372.44
839.7,371.19
839.8,372.14
840.0,372.59
840.1,371.4
840.2,372.36
840.4,372.81
840.5,372.19
840.6,372.47
840.8,372.68
840.9,371.94
841.0,372.3
841.2,373.6
841.3,373.71
841.5,373.4
841.6,372.68
841.7,372.25
841.9,372.44
842.0,372.54
842.1,372.49
842.3,371.48
842.4,371.16
842.5,371.22
842.7,372.26
842.8,371.96
843.0,371.06
843.1,370.54
843.2,371.02
843.4,371.96
843.5,372.22
843.6,371.48
843.8,371.05
843.9,371.45
844.0,372.99
844.2,373.74
844.3,372.91
844.5,373.0
844.6,372.51
844.7,371.7
844.9,372.22
845.0,372.77
845.2,371.46
845.3,371.55
845.4,372.13
845.6,371.08
845.7,371.04
845.8,371.2
846.0,371.44
846.1,371.56
846.3,371.39
846.4,371.23
846.5,371.52
846.7,372.05
846.8,371.42
847.0,370.59
847.1,370.98
847.2,372.56
847.4,373.4
847.5,372.68
847.6,372.68
847.8,373.26
847.9,372.93
848.1,371.54
848.2,370.6
848.3,371.87
848.5,372.39
848.6,372.16
848.8,372.65
848.9,371.76
849.0,371.04
849.2,372.08
849.3,372.27
849.5,372.17
849.6,372.91
849.7,373.04
849.9,372.11
850.0,371.04
850.1,370.64
850.3,371.86
850.4,372.54
850.6,371.62
850.7,371.29
850.8,371.14
851.0,371.52
851.1,371.95
851.3,372.6
851.4,372.72
851.5,371.43
851.7,370.6
851.8,371.54
852.0,371.82
852.1,372.03
852.2,372.09
852.4,372.06
852.5,372.51
852.7,372.37
852.8,373.13
852.9,373.1
853.1,372.16
853.2,372.21
853.4,372.28
853.5,371.83
853.6,371.89
853.8,372.34
853.9,373.11
854.1,372.85
854.2,371.35
854.3,371.24
854.5,371.98
854.6,372.79
854.8,373.55
854.9,373.65
855.0,372.85
855.2,371.61
855.3,371.06
855.5,371.08
855.6,371.0
855.8,370.72
855.9,370.75
856.0,370.99
856.2,371.68
856.3,372.82
856.5,371.97
856.6,369.85
856.8,371.4
856.9,373.12
857.0,372.28
857.2,371.31
857.3,371.62
857.5,371.71
857.6,371.05
857.7,370.65
857.9,370.53
858.0,371.36
858.2,371.39
858.3,370.71
858.5,371.04
858.6,372.11
858.7,372.36
858.9,372.41
859.0,371.78
859.2,371.25
859.3,371.76
859.4,371.16
859.6,369.82
859.7,370.73
859.9,370.89
860.0,370.27
860.2,370.36
860.3,370.78
860.4,370.9
860.6,371.25
860.7,372.06
860.9,372.07
861.0,371.96
861.2,371.46
861.3,371.24
861.4,370.27
861.6,370.15
861.7,371.09
861.9,371.93
862.0,372.51
862.2,372.41
862.3,372.04
862.5,372.25
862.6,372.18
862.7,370.93
