Composition,
Date Added,2013-10-30
Formula,
Grain Size Description,<150.0um
Grain Size,90.0 - 150.0
Locality,
Minimum Wavelength,833
Sample Name,80 wt% gypsum + 20 wt% dolomite
Maximum Wavelength,99719
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Mineral
Sample Description,
Sample ID,BIR1JBE75
Original Sample ID,JB-JLB-E75
Viewing Geometry,
Wavelength,Response
833.3,309.39
833.5,309.34
833.6,308.96
833.7,308.47
833.9,308.9
834.0,309.6
834.1,309.31
834.3,308.63
834.4,308.3
834.5,309.24
834.7,308.96
834.8,307.42
835.0,307.82
835.1,308.83
835.2,308.62
835.3,309.17
835.5,309.49
835.6,309.31
835.8,309.26
835.9,308.66
836.0,308.47
836.2,309.08
836.3,309.59
836.4,309.41
836.6,309.42
836.7,309.48
836.8,308.79
837.0,308.47
837.1,308.57
837.2,308.98
837.4,308.92
837.5,309.09
837.6,308.54
837.8,308.06
837.9,308.53
838.0,309.1
838.2,309.17
838.3,309.73
838.5,309.88
838.6,309.29
838.7,309.23
838.9,309.06
839.0,308.28
839.1,308.13
839.3,307.96
839.4,307.89
839.5,308.49
839.7,309.59
839.8,309.89
840.0,309.39
840.1,308.16
840.2,308.38
840.4,308.85
840.5,308.41
840.6,308.69
840.8,308.57
840.9,308.28
841.0,308.76
841.2,307.88
841.3,307.17
841.5,307.99
841.6,308.61
841.7,308.16
841.9,308.25
842.0,308.19
842.1,308.13
842.3,308.02
842.4,308.14
842.5,308.51
842.7,308.83
842.8,308.39
843.0,308.86
843.1,309.13
843.2,308.99
843.4,308.09
843.5,307.73
843.6,307.53
843.8,308.03
843.9,308.8
844.0,308.76
844.2,307.98
844.3,307.74
844.5,308.5
844.6,308.83
844.7,307.78
844.9,308.31
845.0,308.72
845.2,307.78
845.3,307.44
845.4,308.63
845.6,308.53
845.7,308.16
845.8,307.71
846.0,307.37
846.1,306.94
846.3,307.05
846.4,307.88
846.5,307.73
846.7,307.48
846.8,307.64
847.0,308.11
847.1,308.14
847.2,307.59
847.4,307.15
847.5,307.56
847.6,308.1
847.8,308.41
847.9,307.96
848.1,307.32
848.2,307.26
848.3,307.25
848.5,307.23
848.6,306.88
848.8,307.29
848.9,308.02
849.0,307.67
849.2,307.83
849.3,307.7
849.5,307.68
849.6,307.59
849.7,307.31
849.9,307.45
850.0,307.13
850.1,307.19
850.3,307.81
850.4,308.22
850.6,307.47
850.7,307.04
850.8,307.05
851.0,307.57
851.1,307.84
