Composition,
Date Added,2008-10-30
Formula,
Grain Size Description,<60.0um
Grain Size,45.0 - 60.0
Locality,
Minimum Wavelength,280
Sample Name,Fibroferrite from Mina Alcaparrosa 45-60 um
Maximum Wavelength,99719
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Mineral
Sample Description,"Spectroscopy of sulfate minerals (MDAP, MFRP, Active Missions)"
Sample ID,BKR1JB785B
Original Sample ID,JB-JLB-785-B
Viewing Geometry,
Wavelength,Response
280.0,77.87
285.0,69.33
290.0,67.31
295.0,66.9
300.0,68.05
305.0,69.43
310.0,71.86
315.0,74.91
320.0,78.15
325.0,80.64
330.0,83.2
335.0,85.3
340.0,87.6
345.0,90.15
350.0,93.91
355.0,99.54
360.0,107.16
365.0,115.62
370.0,122.22
375.0,129.16
380.0,136.81
385.0,146.8
390.0,161.26
395.0,180.64
400.0,205.14
405.0,228.57
410.0,247.3
415.0,258.92
420.0,263.63
425.0,261.12
430.0,251.71
435.0,246.12
440.0,259.47
445.0,280.71
450.0,302.51
455.0,321.15
460.0,336.27
465.0,347.5
470.0,357.58
475.0,367.6
480.0,378.02
485.0,388.89
490.0,400.45
495.0,412.37
500.0,426.31
505.0,441.47
510.0,456.16
515.0,472.08
520.0,488.32
525.0,505.79
530.0,524.34
535.0,542.68
540.0,561.97
545.0,580.08
550.0,598.09
555.0,614.46
560.0,629.93
565.0,644.29
570.0,656.91
575.0,667.41
580.0,675.74
585.0,683.44
590.0,688.64
595.0,693.2
600.0,698.39
605.0,700.94
610.0,705.11
615.0,708.48
620.0,712.16
625.0,715.86
630.0,719.44
635.0,722.18
640.0,725.58
645.0,729.02
650.0,732.68
655.0,736.49
660.0,741.31
665.0,746.78
670.0,751.86
675.0,757.48
680.0,762.02
685.0,767.07
690.0,771.14
695.0,774.52
700.0,777.15
705.0,777.45
710.0,778.95
715.0,779.22
720.0,777.9
725.0,776.73
730.0,773.38
735.0,771.15
740.0,766.59
745.0,761.18
750.0,755.3
755.0,750.18
760.0,744.09
765.0,737.65
770.0,730.85
775.0,722.74
780.0,715.6
785.0,707.77
790.0,700.12
795.0,692.69
800.0,684.29
805.0,678.01
810.0,671.13
815.0,663.99
820.0,656.43
825.0,650.95
830.0,645.44
835.0,639.17
840.0,634.05
845.0,628.99
850.0,624.67
855.0,619.64
860.0,615.15
865.0,612.46
870.0,607.67
875.0,605.84
880.0,602.15
885.0,600.32
890.0,598.19
895.0,597.62
900.0,595.57
905.0,595.76
910.0,594.48
915.0,594.33
920.0,594.13
925.0,594.76
930.0,594.62
935.0,596.08
940.0,596.36
945.0,598.27
950.0,599.55
955.0,601.42
960.0,602.81
965.0,607.31
970.0,608.97
975.0,612.3
980.0,614.32
985.0,618.44
990.0,620.8
995.0,624.8
1000.0,627.67
1005.0,632.39
1010.0,636.47
1015.0,641.77
1020.0,646.89
1025.0,651.02
1030.0,656.77
1035.0,661.94
1040.0,667.07
1045.0,670.35
1050.0,674.61
1055.0,679.31
1060.0,683.22
1065.0,687.34
1070.0,692.76
1075.0,695.89
1080.0,699.99
1085.0,702.52
1090.0,706.08
1095.0,708.83
1100.0,711.79
1105.0,714.49
1110.0,717.25
1115.0,720.59
1120.0,722.3
1125.0,724.23
1130.0,725.96
1135.0,728.1
1140.0,731.28
1145.0,732.36
1150.0,733.85
1155.0,735.98
1160.0,738.46
1165.0,740.35
1170.0,743.39
1175.0,744.06
1180.0,746.22
1185.0,748.12
1190.0,750.61
1195.0,752.98
1200.0,755.36
1205.0,756.75
1210.0,759.49
1215.0,762.33
1220.0,765.14
1225.0,767.72
1230.0,770.85
1235.0,772.07
1240.0,775.48
1245.0,778.7
1250.0,780.79
1255.0,783.54
1260.0,786.82
1265.0,789.08
1270.0,791.37
1275.0,793.55
1280.0,795.67
1285.0,797.74
1290.0,800.23
1295.0,803.92
1300.0,804.91
1305.0,807.61
1310.0,809.1
1315.0,811.16
1320.0,812.69
1325.0,814.26
1330.0,815.1
1335.0,815.97
1340.0,817.22
1345.0,817.57
1350.0,817.65
1350.7,817.57
1351.0,817.46
1351.3,817.47
1351.7,817.54
1352.1,817.55
1352.4,817.53
1352.8,817.51
1353.1,817.56
1353.5,817.57
1353.8,817.61
1354.2,817.65
1354.5,817.46
1354.9,817.3
1355.2,817.34
1355.6,817.36
1355.9,817.26
1356.3,817.23
1356.7,817.29
1357.0,817.27
1357.4,817.22
1357.7,817.31
1358.1,817.33
1358.4,817.22
1358.8,817.09
1359.2,817.07
1359.5,817.06
1359.9,817.0
1360.2,816.9
1360.6,816.78
1360.9,816.77
1361.3,816.75
1361.7,816.61
1362.0,816.52
1362.4,816.49
1362.7,816.44
1363.1,816.29
1363.4,816.04
1363.8,815.85
1364.2,815.66
1364.5,815.3
1364.9,814.79
1365.2,814.4
1365.6,814.02
1365.9,813.59
1366.3,813.08
1366.7,812.58
1367.0,812.23
1367.4,811.84
1367.8,811.27
1368.1,810.84
1368.5,810.53
1368.8,810.2
1369.2,809.9
1369.6,809.57
1369.9,809.3
1370.3,809.1
1370.6,808.81
