Composition,
Date Added,2008-12-24
Formula,
Grain Size Description,<125.0um
Grain Size,0.0 - 125.0
Locality,
Minimum Wavelength,280
Sample Name,C2: Mg calcite (35C)
Maximum Wavelength,99719
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Mineral
Sample Description,"Spectroscopy of carbonate minerals (MDAP, MFRP, Active Missions)"
Sample ID,BKR1JB826
Original Sample ID,JB-JLB-826
Viewing Geometry,
Wavelength,Response
280.0,107.84
285.0,103.16
290.0,105.54
295.0,109.17
300.0,113.67
305.0,118.29
310.0,123.58
315.0,128.43
320.0,134.42
325.0,140.27
330.0,147.45
335.0,156.14
340.0,167.08
345.0,179.7
350.0,195.67
355.0,213.72
360.0,235.21
365.0,260.02
370.0,287.91
375.0,317.86
380.0,350.0
385.0,383.25
390.0,418.04
395.0,451.92
400.0,486.85
405.0,517.92
410.0,547.18
415.0,575.12
420.0,604.31
425.0,627.7
430.0,650.05
435.0,666.45
440.0,683.15
445.0,695.03
450.0,707.14
455.0,717.74
460.0,727.86
465.0,735.23
470.0,744.06
475.0,750.45
480.0,757.78
485.0,762.24
490.0,767.99
495.0,772.1
500.0,777.6
505.0,781.0
510.0,786.29
515.0,788.63
520.0,792.74
525.0,793.89
530.0,797.91
535.0,800.26
540.0,804.0
545.0,804.99
550.0,808.87
555.0,810.14
560.0,812.88
565.0,813.54
570.0,816.04
575.0,816.58
580.0,818.75
585.0,818.75
590.0,821.5
595.0,822.49
600.0,823.88
605.0,824.23
610.0,826.26
615.0,827.14
620.0,828.72
625.0,830.08
630.0,830.58
635.0,831.7
640.0,832.69
645.0,833.9
650.0,835.23
655.0,836.51
660.0,838.55
665.0,839.33
670.0,840.06
675.0,840.83
680.0,841.52
685.0,841.41
690.0,842.44
695.0,843.23
700.0,844.15
705.0,844.18
710.0,846.18
715.0,845.69
720.0,846.98
725.0,847.75
730.0,849.35
735.0,849.73
740.0,851.58
745.0,850.91
750.0,853.38
755.0,853.21
