Composition,
Date Added,2015-11-01
Formula,
Grain Size Description,<125.0um
Grain Size,0.0 - 125.0
Locality,
Minimum Wavelength,300
Sample Name,Painted Desert soil: Site 2 Stop 24 <125 um
Maximum Wavelength,99719
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Sediment
Sample Description,Painted Desert project
Sample ID,BKR1JB864A
Original Sample ID,JB-JLB-864-A
Viewing Geometry,
Wavelength,Response
300.0,58.68
305.0,61.4
310.0,65.02
315.0,69.43
320.0,73.55
325.0,77.44
330.0,81.29
335.0,84.95
340.0,88.65
345.0,91.5
350.0,92.84
355.0,94.07
360.0,95.35
365.0,96.21
370.0,97.28
375.0,98.72
380.0,100.09
385.0,101.84
390.0,105.22
395.0,106.55
400.0,108.85
405.0,109.13
410.0,109.83
415.0,110.62
420.0,111.42
425.0,112.0
430.0,113.51
435.0,115.01
440.0,116.82
445.0,118.36
450.0,120.47
455.0,122.71
460.0,124.45
465.0,125.75
470.0,127.36
475.0,128.88
480.0,130.2
485.0,131.57
490.0,132.9
495.0,134.52
500.0,137.13
505.0,139.73
510.0,141.59
515.0,143.43
520.0,145.38
525.0,148.34
530.0,151.34
535.0,155.07
540.0,159.51
545.0,164.65
550.0,171.08
555.0,178.88
560.0,187.83
565.0,197.98
570.0,208.07
575.0,218.41
580.0,228.36
585.0,237.42
590.0,245.88
595.0,253.82
600.0,260.46
605.0,265.98
610.0,270.98
615.0,275.73
620.0,279.46
625.0,283.72
630.0,287.26
635.0,290.79
640.0,294.43
645.0,297.09
650.0,300.36
655.0,303.45
660.0,307.12
665.0,310.44
670.0,314.39
675.0,318.0
680.0,322.54
685.0,326.84
690.0,330.63
695.0,334.67
700.0,338.49
705.0,341.6
710.0,344.93
715.0,349.63
720.0,352.92
725.0,356.61
730.0,359.89
735.0,362.56
740.0,366.09
745.0,369.6
750.0,372.11
755.0,375.17
760.0,377.26
765.0,381.59
770.0,382.91
775.0,384.37
780.0,385.78
785.0,387.01
790.0,387.27
795.0,388.2
800.0,388.57
805.0,388.9
810.0,388.97
815.0,389.12
820.0,389.17
825.0,389.37
830.0,389.6
835.0,389.46
840.0,389.45
845.0,389.93
850.0,390.37
855.0,392.15
860.0,393.05
865.0,394.31
870.0,394.17
875.0,394.53
880.0,395.23
885.0,396.31
890.0,397.18
895.0,398.19
900.0,399.78
905.0,400.3
910.0,401.64
915.0,402.83
920.0,404.25
925.0,405.61
930.0,407.67
935.0,408.59
940.0,409.89
945.0,411.26
950.0,412.3
955.0,412.9
960.0,414.28
965.0,415.14
970.0,415.72
975.0,416.48
980.0,417.03
980.3,417.11
980.5,417.09
980.7,417.41
980.9,417.22
981.1,417.23
981.3,417.09
981.5,416.59
981.7,416.75
981.8,417.25
982.0,417.12
982.2,416.85
982.4,416.89
982.6,416.96
982.8,416.98
983.0,417.13
983.1,417.48
983.3,417.52
983.5,416.82
983.7,416.87
983.9,417.11
984.1,417.05
984.3,416.76
984.4,416.73
984.6,417.11
984.8,417.3
985.0,417.13
985.2,417.43
985.4,417.63
985.6,417.99
985.8,418.44
985.9,418.04
986.1,417.79
986.3,417.35
986.5,417.01
986.7,417.18
986.9,417.24
987.1,417.21
987.3,417.05
987.4,417.18
987.6,417.46
987.8,417.83
988.0,418.34
988.2,418.22
988.4,417.77
988.6,417.88
988.8,417.99
989.0,418.11
989.1,418.23
989.3,418.11
989.5,417.93
989.7,417.89
989.9,418.0
990.1,418.04
990.3,418.22
990.5,418.14
990.7,418.04
990.8,417.87
991.0,417.52
991.2,417.66
991.4,417.81
991.6,417.78
991.8,417.65
992.0,418.04
992.2,417.95
992.4,417.93
992.5,417.85
992.7,417.32
992.9,417.41
993.1,418.4
993.3,418.52
993.5,418.05
993.7,417.91
993.9,417.64
994.1,417.98
994.3,418.39
994.5,417.99
994.6,417.84
994.8,418.33
995.0,418.52
995.2,418.24
995.4,418.23
995.6,418.26
995.8,418.5
996.0,418.71
996.2,418.47
996.4,418.01
996.5,417.93
996.7,418.12
996.9,418.01
997.1,418.03
997.3,418.17
997.5,418.44
997.7,418.34
997.9,418.28
998.1,418.46
998.3,418.64
998.5,418.48
998.7,418.36
998.9,418.23
999.0,417.81
999.2,417.41
999.4,417.72
999.6,418.65
999.8,418.95
1000.0,418.68
1000.2,418.22
1000.4,418.06
1000.6,418.1
1000.8,418.55
1001.0,418.91
1001.2,418.68
1001.4,418.3
1001.6,418.2
1001.8,418.35
1001.9,418.47
1002.1,417.98
1002.3,417.71
1002.5,418.24
1002.7,418.55
1002.9,418.27
1003.1,418.6
1003.3,419.14
1003.5,418.94
1003.7,418.55
1003.9,418.26
1004.1,418.07
1004.3,418.24
1004.5,418.34
1004.7,418.27
1004.9,418.29
1005.0,418.05
1005.3,418.08
1005.4,418.26
1005.6,418.29
1005.8,418.15
1006.0,417.88
1006.2,417.93
1006.4,418.24
1006.6,418.42
1006.8,418.41
1007.0,418.61
1007.2,418.47
1007.4,418.55
1007.6,418.63
1007.8,418.64
1008.0,418.47
1008.2,418.3
1008.4,418.46
1008.6,418.18
1008.8,418.16
1009.0,418.26
1009.2,418.22
1009.4,418.55
1009.5,418.61
1009.8,418.29
1010.0,418.27
1010.1,418.42
1010.3,418.42
1010.5,418.16
1010.7,418.09
1010.9,418.08
1011.1,417.94
1011.3,417.88
1011.5,418.42
1011.7,418.55
1011.9,418.33
1012.1,418.15
1012.3,418.28
1012.5,418.28
1012.7,418.2
1012.9,418.31
1013.1,418.48
1013.3,418.37
1013.5,418.43
1013.7,418.75
1013.9,418.78
1014.1,418.63
1014.3,418.47
1014.5,418.26
1014.7,418.27
1014.9,418.5
1015.1,418.21
1015.3,417.79
1015.5,418.0
1015.7,418.26
1015.9,418.21
1016.1,418.39
1016.3,418.47
1016.5,418.62
1016.7,418.69
1016.9,418.6
1017.1,418.2
1017.3,418.0
1017.5,417.95
1017.7,417.98
1017.9,418.16
1018.1,418.3
1018.3,418.38
1018.5,418.34
1018.7,418.4
1018.9,418.47
1019.1,418.5
1019.3,418.77
1019.5,418.85
1019.7,418.81
1019.9,418.61
1020.1,418.39
1020.3,418.58
1020.5,418.58
1020.7,418.01
1020.9,417.61
1021.1,417.9
1021.3,418.19
1021.5,418.23
1021.7,418.15
1021.9,417.9
1022.1,417.93
1022.3,418.24
1022.5,418.02
1022.7,418.11
1022.9,418.5
1023.1,418.24
1023.3,417.99
1023.5,417.81
1023.7,417.82
1023.9,417.57
1024.1,417.91
1024.3,418.13
1024.5,418.59
1024.7,418.53
1024.9,418.1
1025.1,418.09
1025.3,417.97
1025.5,417.7
1025.7,417.77
1025.9,418.18
1026.1,418.22
1026.3,417.88
1026.5,417.89
1026.8,418.03
1026.9,417.85
1027.2,417.75
1027.4,417.74
1027.6,417.57
1027.8,417.49
1028.0,417.93
1028.2,418.07
1028.4,418.04
1028.6,417.98
1028.8,417.85
1029.0,417.74
1029.2,417.58
1029.4,417.92
1029.6,417.81
1029.8,417.42
1030.0,417.45
1030.2,417.71
1030.4,417.58
1030.6,417.14
1030.8,417.14
1031.0,417.48
1031.2,417.72
1031.4,417.57
1031.7,417.14
1031.8,417.18
1032.1,417.47
1032.3,417.65
1032.5,417.33
1032.7,417.32
1032.9,417.64
1033.1,417.73
1033.3,417.67
1033.5,417.38
1033.7,417.35
1033.9,417.53
1034.1,417.8
1034.3,417.78
1034.5,417.54
1034.7,417.52
1034.9,417.74
1035.2,417.69
1035.4,417.66
1035.6,417.75
1035.8,417.49
1036.0,417.23
1036.2,417.03
1036.4,417.23
1036.6,417.26
1036.8,417.0
1037.0,417.06
1037.2,417.1
1037.4,417.06
