Composition,
Date Added,2013-08-22
Formula,
Grain Size Description,<90.0um
Grain Size,75.0 - 90.0
Locality,
Minimum Wavelength,300
Sample Name,Antigonish Co. siderite 75-90 um
Maximum Wavelength,99719
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Mineral
Sample Description,
Sample ID,BKR1JBE62C
Original Sample ID,JB-JLB-E62-C
Viewing Geometry,
Wavelength,Response
300.0,79.82
305.0,77.8
310.0,81.49
315.0,86.2
320.0,94.66
325.0,105.17
330.0,115.75
335.0,124.92
340.0,132.4
345.0,136.15
350.0,138.0
355.0,139.98
360.0,141.64
365.0,144.78
370.0,148.28
375.0,151.95
380.0,156.1
385.0,160.35
390.0,165.91
395.0,165.81
400.0,172.87
405.0,181.16
410.0,185.22
415.0,189.65
420.0,193.96
425.0,196.76
430.0,201.11
435.0,205.27
440.0,208.91
445.0,212.24
450.0,216.68
455.0,220.55
460.0,224.65
465.0,227.5
470.0,230.39
475.0,233.82
480.0,236.03
485.0,238.83
490.0,244.65
495.0,251.38
500.0,256.5
505.0,259.97
510.0,264.24
515.0,268.53
520.0,273.85
525.0,280.68
530.0,288.14
535.0,296.42
540.0,305.49
545.0,315.64
550.0,325.93
555.0,337.73
560.0,349.81
565.0,362.57
570.0,375.36
575.0,387.84
580.0,400.18
585.0,411.46
590.0,421.71
595.0,430.97
600.0,438.72
605.0,445.53
610.0,452.16
615.0,457.34
620.0,461.85
625.0,466.47
630.0,471.51
635.0,475.69
640.0,480.76
645.0,485.71
650.0,489.74
655.0,495.08
660.0,500.03
665.0,505.38
670.0,511.13
675.0,516.59
680.0,521.58
685.0,526.51
690.0,532.31
695.0,537.05
700.0,541.82
705.0,545.31
710.0,549.1
715.0,551.56
720.0,553.62
725.0,555.03
730.0,556.5
735.0,556.13
740.0,554.86
745.0,553.37
750.0,551.72
755.0,546.92
760.0,544.53
765.0,539.76
770.0,533.55
775.0,527.9
780.0,520.57
785.0,512.62
790.0,504.35
795.0,494.93
800.0,484.93
805.0,475.93
810.0,464.56
815.0,453.92
820.0,442.61
825.0,431.63
830.0,418.97
835.0,408.4
840.0,396.76
845.0,385.53
850.0,374.19
855.0,363.8
860.0,353.01
865.0,342.49
870.0,332.47
875.0,322.51
880.0,312.9
885.0,303.75
890.0,294.72
895.0,285.8
900.0,277.29
905.0,269.14
910.0,261.33
915.0,253.94
920.0,246.98
925.0,240.67
930.0,234.4
935.0,228.87
940.0,222.72
945.0,217.52
950.0,211.81
955.0,206.96
960.0,202.56
965.0,198.35
970.0,195.04
975.0,191.22
980.0,188.1
985.0,184.85
990.0,182.61
995.0,180.25
1000.0,178.42
1005.0,177.67
1010.0,176.22
1015.0,175.1
1020.0,173.65
1025.0,172.97
1030.0,172.78
1035.0,171.98
1040.0,171.69
1045.0,171.83
1050.0,172.12
1055.0,171.9
1060.0,171.6
1065.0,172.69
1070.0,172.84
1075.0,173.74
1080.0,174.05
1085.0,174.6
1090.0,175.38
1095.0,175.93
1100.0,176.64
1105.0,177.16
1110.0,177.88
1115.0,178.59
1120.0,178.61
1125.0,179.55
1130.0,179.81
1135.0,179.96
1140.0,179.87
1145.0,180.88
1150.0,180.38
1155.0,180.99
1160.0,180.78
1165.0,180.46
1170.0,180.84
1175.0,181.01
1180.0,181.24
1185.0,180.96
1190.0,181.48
1195.0,181.35
1200.0,181.51
1205.0,181.21
1210.0,181.14
1215.0,182.18
1220.0,181.88
1225.0,182.31
1230.0,183.71
1235.0,184.34
1240.0,185.22
1245.0,185.71
1250.0,186.5
1255.0,188.6
1260.0,189.37
1265.0,191.52
1270.0,192.61
1275.0,195.26
1280.0,196.79
1285.0,199.52
1290.0,202.16
1295.0,204.61
1300.0,207.4
1305.0,210.39
1310.0,213.21
1315.0,216.49
1320.0,219.69
1325.0,224.96
1330.0,228.46
1335.0,233.22
1340.0,237.98
1345.0,242.22
1350.0,246.98
1355.0,251.2
1360.0,257.1
1365.0,263.14
1370.0,268.5
1375.0,274.69
1380.0,281.75
1385.0,289.07
1390.0,295.62
1395.0,302.35
1400.0,309.02
1405.0,318.09
1410.0,327.33
1415.0,333.34
1420.0,341.9
1425.0,349.83
1430.0,358.2
1435.0,367.1
1440.0,376.44
1445.0,385.77
1450.0,394.57
1455.0,404.15
1460.0,413.14
1465.0,421.86
1470.0,432.38
1475.0,441.04
1480.0,451.29
1485.0,461.39
1490.0,471.47
1495.0,481.16
1500.0,490.82
1505.0,501.41
1510.0,509.21
1515.0,519.41
1520.0,528.88
1525.0,538.47
1530.0,547.27
1535.0,556.97
1540.0,565.08
1545.0,575.03
1550.0,583.01
1555.0,591.37
1560.0,599.43
1565.0,607.53
1570.0,615.45
1575.0,622.74
1580.0,631.08
1585.0,637.7
1590.0,645.21
1595.0,651.37
1600.0,657.42
1605.0,663.78
1610.0,669.53
1615.0,676.17
1620.0,680.79
1625.0,685.4
1630.0,690.06
1635.0,695.18
1640.0,699.0
1645.0,704.18
1650.0,708.36
1655.0,712.42
1660.0,714.57
1665.0,718.81
1670.0,721.33
1675.0,725.61
1680.0,727.41
1685.0,731.52
1690.0,732.55
1695.0,735.39
1700.0,737.7
1705.0,740.2
1710.0,741.85
1715.0,743.4
1720.0,746.03
1725.0,746.87
1730.0,747.76
1735.0,750.26
1740.0,750.89
1745.0,751.58
1750.0,753.49
1755.0,754.29
1760.0,755.23
1765.0,756.37
1770.0,758.04
1775.0,758.65
1780.0,759.09
1785.0,760.3
1790.0,760.05
1795.0,760.1
1800.0,760.43
1801.1,760.41
1801.7,760.39
1802.3,760.47
1802.9,760.56
1803.6,760.55
1804.2,760.56
1804.8,760.52
1805.4,760.56
1806.1,760.62
1806.7,760.66
1807.3,760.65
1808.0,760.61
1808.6,760.63
1809.2,760.72
1809.9,760.83
1810.5,760.96
1811.1,760.91
1811.8,760.86
1812.4,760.84
1813.0,760.85
1813.7,760.89
1814.3,760.91
1814.9,760.9
1815.6,760.95
1816.2,760.98
1816.8,761.0
1817.5,761.0
1818.1,761.0
1818.8,760.95
1819.4,760.96
1820.0,760.98
1820.7,761.04
1821.3,761.03
1821.9,761.01
1822.6,761.05
1823.2,761.02
1823.9,761.01
1824.5,760.94
1825.2,760.91
1825.8,760.92
1826.4,760.83
1827.1,760.84
1827.7,760.92
1828.4,760.92
1829.0,760.86
1829.7,760.84
1830.3,760.77
1831.0,760.75
1831.6,760.83
1832.3,760.74
1832.9,760.72
1833.6,760.76
1834.2,760.68
1834.8,760.62
1835.5,760.59
1836.1,760.59
1836.8,760.64
1837.4,760.67
1838.1,760.66
1838.8,760.65
1839.4,760.46
1840.1,760.39
1840.7,760.45
1841.4,760.43
1842.0,760.36
1842.7,760.3
1843.3,760.27
1844.0,760.31
1844.6,760.29
1845.3,760.16
1845.9,760.14
1846.6,760.12
1847.3,760.04
1847.9,759.99
1848.6,759.99
1849.2,760.04
1849.9,760.06
1850.6,760.05
1851.2,759.97
1851.9,759.9
1852.6,759.89
1853.2,759.84
1853.9,759.81
1854.5,759.76
1855.2,759.68
1855.9,759.62
1856.5,759.6
1857.2,759.64
1857.9,759.62
1858.5,759.49
1859.2,759.46
1859.9,759.44
1860.5,759.37
1861.2,759.27
1861.9,759.2
1862.5,759.21
1863.2,759.27
1863.9,759.32
1864.5,759.36
1865.2,759.23
1865.9,759.13
1866.6,759.19
1867.2,759.24
1867.9,759.21
1868.6,759.17
1869.2,759.15
1869.9,759.15
1870.6,759.14
1871.3,759.16
1871.9,759.14
1872.6,759.21
1873.3,759.32
1874.0,759.25
1874.7,759.22
1875.3,759.27
1876.0,759.34
1876.7,759.4
1877.4,759.39
1878.0,759.34
1878.7,759.29
1879.4,759.27
1880.1,759.24
1880.8,759.28
1881.4,759.27
1882.1,759.26
1882.8,759.28
1883.5,759.26
1884.2,759.27
1884.9,759.19
1885.6,759.02
1886.2,759.0
1886.9,759.0
1887.6,758.93
1888.3,758.88
1889.0,758.77
1889.7,758.68
1890.4,758.55
1891.1,758.4
1891.8,758.26
1892.4,758.16
1893.1,758.07
1893.8,758.01
1894.5,757.88
1895.2,757.71
1895.9,757.48
1896.6,757.14
1897.3,756.82
1898.0,756.71
1898.7,756.62
1899.4,756.39
1900.1,756.14
1900.8,755.88
1901.5,755.69
1902.2,755.56
1902.9,755.24
1903.6,754.76
1904.3,754.54
1905.0,754.4
1905.7,754.13
1906.4,753.83
1907.1,753.54
1907.8,753.32
1908.5,753.13
1909.2,752.91
1909.9,752.63
1910.6,752.41
1911.3,752.19
1912.0,751.86
1912.7,751.55
1913.4,751.32
1914.1,751.19
1914.8,751.07
1915.5,750.83
1916.2,750.59
1916.9,750.38
1917.6,750.17
1918.3,749.97
1919.1,749.84
1919.8,749.6
1920.5,749.43
1921.2,749.33
1921.9,749.14
1922.6,749.0
1923.3,748.83
1924.0,748.7
1924.8,748.66
1925.5,748.54
1926.2,748.39
1926.9,748.37
1927.6,748.29
1928.3,748.01
1929.1,747.88
1929.8,747.92
1930.5,747.96
1931.2,747.92
1931.9,747.75
1932.7,747.59
1933.4,747.54
1934.1,747.5
1934.8,747.46
1935.5,747.4
1936.3,747.3
1937.0,747.3
1937.7,747.31
1938.4,747.27
1939.2,747.15
1939.9,747.12
1940.6,747.09
1941.3,746.96
1942.1,746.91
1942.8,746.92
1943.5,746.89
1944.2,746.84
1945.0,746.86
1945.7,746.79
1946.4,746.75
1947.2,746.72
1947.9,746.68
1948.6,746.68
1949.4,746.62
1950.1,746.63
1950.8,746.8
1951.6,746.74
1952.3,746.54
1953.0,746.48
1953.8,746.46
1954.5,746.37
1955.2,746.26
1956.0,746.29
1956.7,746.42
1957.5,746.45
1958.2,746.38
1958.9,746.38
1959.7,746.46
1960.4,746.45
1961.2,746.42
1961.9,746.44
1962.6,746.41
1963.4,746.38
1964.1,746.41
1964.9,746.36
1965.6,746.31
1966.4,746.4
1967.1,746.43
1967.9,746.41
1968.6,746.38
1969.3,746.43
1970.1,746.47
1970.8,746.52
1971.6,746.51
1972.3,746.44
1973.1,746.48
1973.8,746.54
1974.6,746.59
1975.3,746.62
1976.1,746.63
1976.9,746.58
1977.6,746.6
1978.4,746.66
1979.1,746.6
1979.9,746.61
1980.6,746.63
1981.4,746.62
1982.2,746.66
1982.9,746.7
1983.7,746.74
1984.4,746.86
1985.2,746.87
1985.9,746.86
1986.7,746.94
1987.5,747.02
1988.2,747.09
1989.0,747.14
1989.8,747.17
1990.5,747.22
1991.3,747.32
1992.1,747.51
1992.8,747.66
1993.6,747.8
1994.3,747.88
1995.1,747.98
1995.9,748.25
1996.7,748.47
1997.4,748.63
1998.2,748.85
1999.0,749.03
1999.7,749.26
2000.5,749.56
2001.3,749.8
2002.1,749.98
2002.8,750.2
2003.6,750.46
2004.4,750.74
2005.2,751.02
2005.9,751.27
2006.7,751.56
2007.5,751.84
2008.3,752.16
2009.0,752.44
2009.8,752.67
2010.6,752.95
2011.4,753.22
2012.2,753.49
2012.9,753.75
2013.7,754.03
2014.5,754.35
2015.3,754.56
2016.1,754.75
2016.8,755.03
2017.6,755.33
2018.4,755.54
2019.2,755.76
2020.0,755.95
2020.8,756.15
2021.6,756.36
2022.3,756.58
2023.1,756.79
2023.9,756.99
2024.7,757.19
2025.5,757.41
2026.3,757.61
2027.1,757.73
2027.9,757.83
2028.7,757.98
2029.5,758.18
2030.3,758.32
2031.1,758.43
2031.9,758.54
2032.7,758.69
2033.5,758.85
2034.3,758.98
2035.1,759.14
2035.8,759.23
2036.7,759.36
2037.4,759.52
2038.3,759.65
2039.1,759.65
2039.9,759.64
2040.7,759.78
2041.5,759.95
2042.3,760.09
2043.1,760.24
2043.9,760.28
2044.7,760.33
2045.5,760.44
2046.3,760.45
2047.1,760.48
2047.9,760.54
2048.7,760.65
2049.5,760.85
2050.4,760.96
2051.2,760.94
2052.0,760.95
2052.8,761.06
2053.6,761.11
2054.4,761.14
2055.2,761.2
2056.0,761.22
2056.9,761.18
2057.7,761.22
2058.5,761.25
2059.3,761.33
2060.1,761.36
2060.9,761.38
2061.8,761.41
2062.6,761.42
2063.4,761.42
2064.2,761.41
2065.0,761.43
2065.9,761.48
2066.7,761.52
2067.5,761.51
2068.3,761.52
2069.2,761.51
2070.0,761.45
2070.8,761.49
2071.6,761.47
2072.5,761.44
2073.3,761.5
2074.1,761.48
2075.0,761.41
2075.8,761.41
2076.6,761.34
2077.5,761.34
2078.3,761.33
2079.1,761.26
2080.0,761.18
2080.8,761.14
2081.6,761.11
2082.5,761.08
2083.3,761.07
2084.1,760.98
2085.0,760.89
2085.8,760.88
2086.6,760.85
2087.5,760.76
2088.3,760.72
2089.2,760.69
2090.0,760.54
