Composition,
Date Added,2013-10-25
Formula,
Grain Size Description,<150.0um
Grain Size,90.0 - 150.0
Locality,
Minimum Wavelength,300
Sample Name,10 wt% gypsum + 90 wt% quartz
Maximum Wavelength,99719
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Mineral
Sample Description,
Sample ID,BKR1JBE66
Original Sample ID,JB-JLB-E66
Viewing Geometry,
Wavelength,Response
300.0,808.15
305.0,807.28
310.0,806.27
315.0,807.15
320.0,807.51
325.0,810.09
330.0,811.89
335.0,812.45
340.0,814.53
345.0,814.0
350.0,812.0
355.0,813.24
360.0,815.51
365.0,816.11
370.0,816.66
375.0,817.99
380.0,819.7
385.0,821.61
390.0,821.98
395.0,822.35
400.0,824.14
405.0,824.79
410.0,824.89
415.0,825.77
420.0,826.46
425.0,827.09
430.0,829.44
435.0,829.5
440.0,830.76
445.0,830.19
450.0,831.07
455.0,830.27
460.0,830.58
465.0,831.9
470.0,831.87
475.0,832.63
480.0,833.08
485.0,834.19
490.0,834.41
495.0,833.77
500.0,833.21
505.0,834.04
510.0,833.5
515.0,832.2
520.0,833.81
525.0,834.25
530.0,833.18
535.0,833.76
540.0,834.64
545.0,833.95
550.0,833.78
555.0,835.36
560.0,833.93
565.0,834.14
570.0,834.38
575.0,833.86
580.0,833.9
585.0,833.89
590.0,834.37
595.0,833.95
600.0,833.47
605.0,833.6
610.0,834.74
615.0,834.02
620.0,834.09
625.0,834.6
630.0,834.33
635.0,834.07
640.0,833.67
645.0,833.85
650.0,834.43
655.0,833.73
660.0,834.83
665.0,835.72
670.0,835.57
675.0,835.37
680.0,835.17
685.0,835.62
690.0,835.1
695.0,835.28
700.0,834.53
705.0,834.83
710.0,834.52
715.0,833.98
720.0,833.38
725.0,833.92
730.0,832.43
735.0,832.62
740.0,832.77
745.0,832.13
750.0,832.27
755.0,832.45
760.0,832.27
765.0,831.06
770.0,831.01
775.0,830.58
780.0,830.98
785.0,829.91
790.0,831.51
795.0,831.93
800.0,830.9
805.0,831.9
810.0,830.42
815.0,831.04
820.0,832.38
825.0,831.27
830.0,831.72
835.0,830.92
840.0,830.97
845.0,830.35
850.0,830.68
855.0,831.91
860.0,832.04
865.0,832.57
870.0,832.67
875.0,832.71
880.0,833.38
885.0,833.95
890.0,834.3
895.0,835.16
900.0,835.27
900.2,834.52
900.3,832.67
900.5,833.55
900.7,835.86
900.8,836.59
901.0,837.15
901.1,835.82
901.3,834.82
901.4,835.94
901.6,836.55
901.8,835.99
901.9,835.32
902.1,835.75
902.2,835.52
902.4,835.42
902.5,835.71
902.7,835.6
902.8,836.15
903.0,836.33
903.2,836.36
903.3,835.85
903.5,835.52
903.6,835.99
903.8,836.12
904.0,835.1
904.1,834.91
904.3,834.7
904.4,834.61
904.6,834.94
904.7,835.88
904.9,835.66
905.0,834.5
905.2,834.61
905.4,835.23
905.5,836.24
905.7,835.8
905.8,835.36
906.0,835.33
906.2,836.07
906.3,836.44
906.5,836.51
906.6,835.5
906.8,835.02
907.0,835.0
907.1,833.85
907.3,834.18
907.4,835.76
907.6,835.24
907.7,834.1
907.9,834.3
908.1,835.26
908.2,836.08
908.4,836.23
908.5,835.55
908.7,834.94
908.9,835.19
909.0,836.19
909.2,835.32
909.3,834.27
909.5,834.06
909.7,835.48
909.8,835.31
910.0,834.49
910.1,835.08
910.3,835.98
910.5,836.51
910.6,835.93
910.8,835.49
910.9,836.15
911.1,836.34
911.3,834.97
911.4,834.36
911.6,835.01
911.7,834.72
911.9,834.62
912.1,835.24
912.2,835.45
912.4,835.86
912.5,834.86
912.7,834.24
912.9,834.79
913.0,835.19
913.2,837.13
913.3,837.43
913.5,835.63
913.7,835.02
913.8,836.73
914.0,837.09
914.2,835.95
914.3,835.44
914.5,836.03
914.6,834.99
914.8,833.78
915.0,833.9
915.1,834.34
915.3,834.81
915.4,834.74
915.6,834.88
915.8,834.85
915.9,834.2
916.1,834.71
916.3,834.78
916.4,834.4
916.6,835.31
916.7,836.64
916.9,835.17
917.1,834.23
917.2,835.62
917.4,836.32
917.5,836.1
917.7,835.11
917.9,834.98
918.0,835.09
918.2,834.46
918.4,834.63
918.5,835.74
918.7,835.41
918.8,834.91
919.0,834.49
919.2,833.81
919.3,834.72
919.5,834.76
919.7,833.49
919.8,833.39
920.0,834.29
920.2,834.24
920.3,834.24
920.5,834.41
920.6,834.51
920.8,834.32
921.0,833.5
921.1,833.3
921.3,833.22
921.5,833.12
921.6,833.02
921.8,833.51
922.0,833.53
922.1,834.27
922.3,835.09
922.4,834.56
922.6,834.7
922.8,834.45
922.9,834.21
923.1,833.91
923.3,833.72
923.4,834.73
923.6,834.6
923.8,834.63
923.9,835.11
924.1,834.98
924.3,835.17
924.4,834.63
924.6,833.97
924.7,834.11
924.9,833.38
925.1,832.35
925.2,832.42
925.4,833.62
925.6,834.93
925.7,834.71
925.9,833.82
926.1,832.62
926.2,832.7
