Composition,
Date Added,2018-10-26
Formula,
Grain Size Description,<125.0um
Grain Size,0.0 - 125.0
Locality,
Minimum Wavelength,300
Sample Name,Lanai tephra PHT-6 <125 um (JB1626e)
Maximum Wavelength,99719
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Rock
Sample Description,
Sample ID,BKR1JBG26E
Original Sample ID,JB-JLB-G26-E
Viewing Geometry,
Wavelength,Response
300.0,73.217
305.0,73.565
310.0,75.096
315.0,75.945
320.0,75.355
325.0,76.889
330.0,77.18
335.0,77.984
340.0,78.952
345.0,79.148
350.0,80.165
355.0,80.428
360.0,81.362
365.0,83.064
370.0,85.322
375.0,88.198
380.0,91.845
385.0,95.518
390.0,99.022
395.0,102.428
400.0,105.356
405.0,107.995
410.0,110.127
415.0,112.744
420.0,115.246
425.0,117.674
430.0,120.798
435.0,123.541
440.0,126.538
445.0,128.707
450.0,130.613
455.0,131.455
460.0,131.977
465.0,132.219
470.0,132.377
475.0,132.899
480.0,133.573
485.0,134.73
490.0,136.155
495.0,137.828
500.0,139.887
505.0,141.655
510.0,143.505
515.0,145.379
520.0,147.395
525.0,149.084
530.0,151.095
535.0,153.217
540.0,155.393
545.0,157.985
550.0,160.754
555.0,164.056
560.0,167.704
565.0,172.006
570.0,176.401
575.0,181.194
580.0,186.132
585.0,191.336
590.0,195.955
595.0,200.322
600.0,204.28
605.0,207.686
610.0,210.671
615.0,213.195
620.0,215.49
625.0,217.474
630.0,219.164
635.0,220.306
640.0,222.322
645.0,223.669
650.0,224.125
655.0,225.607
660.0,227.328
665.0,228.643
670.0,230.063
675.0,231.722
680.0,233.307
685.0,234.595
690.0,235.496
695.0,236.896
700.0,237.657
705.0,238.981
710.0,239.366
715.0,240.208
720.0,240.711
725.0,241.385
730.0,241.549
735.0,242.137
740.0,242.298
745.0,242.494
750.0,242.396
755.0,241.933
760.0,241.925
765.0,242.124
770.0,241.946
775.0,240.959
780.0,240.299
785.0,239.562
790.0,238.646
795.0,237.631
800.0,236.7
805.0,236.415
810.0,235.151
815.0,233.91
820.0,232.635
825.0,231.878
830.0,231.079
835.0,230.049
840.0,229.394
845.0,228.826
850.0,227.958
855.0,227.336
860.0,226.937
865.0,226.245
870.0,225.746
871.0,225.653
872.0,225.55
873.0,225.443
874.0,225.334
875.0,225.234
876.0,225.144
877.0,225.067
878.0,224.998
879.0,224.886
880.0,224.771
881.0,224.686
882.0,224.598
883.0,224.499
884.0,224.431
885.0,224.417
886.0,224.367
887.0,224.297
888.0,224.22
889.0,224.139
890.0,224.075
891.0,224.004
892.0,223.927
893.0,223.855
894.0,223.811
895.0,223.747
896.0,223.683
897.0,223.674
898.0,223.624
899.0,223.534
900.0,223.459
901.0,223.481
902.0,223.443
903.0,223.378
904.0,223.328
905.0,223.291
906.0,223.281
907.0,223.268
908.0,223.228
909.0,223.177
910.0,223.165
911.0,223.147
912.0,223.093
913.0,223.069
914.0,223.056
915.0,223.023
916.0,222.968
917.0,222.957
918.0,222.995
919.0,223.015
920.0,222.965
921.0,222.963
922.0,222.955
923.0,222.938
924.0,222.939
925.0,222.92
926.0,222.917
927.0,222.939
928.0,222.964
929.0,222.945
930.0,222.914
931.0,222.907
932.0,222.942
933.0,222.983
934.0,222.98
935.0,222.956
936.0,222.98
937.0,222.994
938.0,223.025
939.0,223.063
940.0,223.061
941.0,223.049
942.0,223.079
943.0,223.132
944.0,223.106
945.0,223.105
946.0,223.131
947.0,223.17
948.0,223.206
949.0,223.206
950.0,223.213
951.0,223.257
952.0,223.323
953.0,223.376
954.0,223.382
955.0,223.364
956.0,223.4
957.0,223.493
958.0,223.557
959.0,223.557
960.0,223.589
961.0,223.603
962.0,223.61
963.0,223.638
964.0,223.726
965.0,223.767
966.0,223.781
967.0,223.803
968.0,223.868
969.0,223.927
970.0,223.98
971.0,224.028
972.0,224.05
973.0,224.103
974.0,224.141
975.0,224.149
976.0,224.227
977.0,224.297
978.0,224.332
979.0,224.332
980.0,224.348
981.0,224.353
982.0,224.412
983.0,224.532
984.0,224.611
985.0,224.639
986.0,224.673
987.0,224.725
988.0,224.737
989.0,224.789
990.0,224.826
991.0,224.832
992.0,224.877
993.0,224.873
994.0,224.88
995.0,224.897
996.0,224.848
997.0,224.997
998.0,225.08
999.0,225.044
1000.0,225.115
1001.0,224.937
1002.0,224.965
1003.0,224.997
1004.0,225.026
1005.0,225.037
1006.0,225.063
1007.0,225.081
1008.0,225.116
1009.0,225.14
1010.0,225.154
1011.0,225.197
1012.0,225.232
1013.0,225.256
1014.0,225.275
1015.0,225.293
