Composition,
Date Added,2018-09-26
Formula,
Grain Size Description,<2000.0um
Grain Size,500.0 - 2000.0
Locality,
Minimum Wavelength,300
Sample Name,"Synthetic allophane Al/Si = 0.5, Fe(III) = 2 mol% >500 um (JB1648c)"
Maximum Wavelength,99719
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Mineral
Sample Description,
Sample ID,BKR1JBG48C
Original Sample ID,JB-JLB-G48-C
Viewing Geometry,
Wavelength,Response
300.0,422.933
305.0,437.814
310.0,449.071
315.0,462.283
320.0,477.504
325.0,490.884
330.0,505.022
335.0,522.157
340.0,541.098
345.0,560.048
350.0,579.775
355.0,597.891
360.0,616.042
365.0,635.421
370.0,651.501
375.0,668.244
380.0,681.807
385.0,692.999
390.0,704.53
395.0,718.063
400.0,731.901
405.0,743.469
410.0,755.58
415.0,767.777
420.0,779.648
425.0,793.47
430.0,799.964
435.0,800.714
440.0,798.549
445.0,800.861
450.0,804.161
455.0,806.224
460.0,811.651
465.0,818.828
470.0,826.719
475.0,836.358
480.0,842.281
485.0,849.403
490.0,853.931
495.0,859.392
500.0,862.453
505.0,867.318
510.0,871.157
515.0,877.283
520.0,877.785
525.0,883.516
530.0,883.664
535.0,884.822
540.0,886.406
545.0,887.876
550.0,891.273
555.0,889.959
560.0,895.208
565.0,895.53
570.0,895.562
575.0,897.68
580.0,896.797
585.0,896.447
590.0,897.926
595.0,897.562
600.0,898.953
605.0,900.765
610.0,899.311
615.0,899.176
620.0,899.243
625.0,899.467
630.0,900.681
635.0,901.515
640.0,905.044
645.0,906.835
650.0,909.396
655.0,913.702
660.0,915.148
665.0,915.067
670.0,915.654
675.0,914.902
680.0,914.383
685.0,912.944
690.0,914.115
695.0,913.162
700.0,912.62
705.0,912.199
710.0,913.046
715.0,912.372
720.0,910.744
725.0,910.779
730.0,909.566
735.0,909.004
740.0,908.471
745.0,905.494
750.0,906.917
755.0,905.141
760.0,906.238
765.0,901.347
770.0,900.545
775.0,898.372
780.0,898.29
785.0,897.404
790.0,896.934
795.0,894.477
800.0,893.687
805.0,893.601
810.0,893.817
815.0,889.624
820.0,890.08
825.0,888.733
830.0,888.349
835.0,885.935
840.0,885.271
845.0,885.136
850.0,883.006
855.0,882.113
860.0,880.538
865.0,878.675
870.0,878.341
871.0,878.022
872.0,877.68
873.0,877.318
874.0,876.966
875.0,876.622
876.0,876.258
877.0,875.873
878.0,875.482
879.0,875.115
880.0,874.785
881.0,874.464
882.0,874.095
883.0,873.718
884.0,873.35
885.0,872.985
886.0,872.678
887.0,872.35
888.0,872.026
889.0,871.708
890.0,871.309
891.0,870.912
892.0,870.558
893.0,870.208
894.0,869.862
895.0,869.5
896.0,869.143
897.0,868.811
898.0,868.415
899.0,868.063
900.0,867.777
901.0,867.441
902.0,867.085
903.0,866.746
904.0,866.415
905.0,866.036
906.0,865.673
907.0,865.357
908.0,865.064
909.0,864.691
910.0,864.364
911.0,864.047
912.0,863.692
913.0,863.268
914.0,862.908
915.0,862.597
916.0,862.288
917.0,861.919
918.0,861.575
919.0,861.238
920.0,860.876
921.0,860.538
922.0,860.19
923.0,859.838
924.0,859.487
925.0,859.078
926.0,858.663
927.0,858.279
928.0,857.932
929.0,857.474
930.0,857.049
931.0,856.676
932.0,856.229
933.0,855.808
934.0,855.399
935.0,854.966
936.0,854.465
937.0,853.981
938.0,853.544
939.0,853.158
940.0,852.778
941.0,852.267
942.0,851.72
943.0,851.246
944.0,850.865
945.0,850.525
946.0,850.126
947.0,849.648
948.0,849.183
949.0,848.757
950.0,848.336
951.0,847.909
952.0,847.497
953.0,847.057
954.0,846.57
955.0,846.067
956.0,845.557
957.0,845.068
958.0,844.616
959.0,844.223
960.0,843.883
961.0,843.413
962.0,842.962
963.0,842.623
964.0,842.285
965.0,842.016
966.0,841.713
967.0,841.305
968.0,840.986
969.0,840.766
970.0,840.504
971.0,840.185
972.0,840.063
973.0,839.752
974.0,839.405
975.0,839.155
976.0,838.905
977.0,838.641
978.0,838.404
979.0,838.202
980.0,838.043
981.0,837.88
982.0,837.715
983.0,837.529
984.0,837.271
985.0,837.084
986.0,836.894
987.0,836.676
988.0,836.556
989.0,836.516
990.0,836.442
991.0,836.252
992.0,835.942
993.0,835.786
994.0,835.632
995.0,835.416
996.0,835.287
997.0,835.193
998.0,835.122
999.0,835.027
1000.0,834.769
1001.0,835.477
1002.0,835.243
1003.0,834.985
1004.0,834.749
1005.0,834.501
1006.0,834.251
1007.0,834.067
1008.0,833.861
1009.0,833.608
1010.0,833.41
1011.0,833.174
1012.0,832.92
1013.0,832.653
1014.0,832.39
1015.0,832.11
1016.0,831.782
1017.0,831.511
1018.0,831.272
1019.0,831.026
1020.0,830.791
1021.0,830.528
1022.0,830.316
1023.0,830.107
1024.0,829.877
1025.0,829.686
1026.0,829.406
1027.0,829.096
1028.0,828.806
1029.0,828.518
1030.06,828.134
1030.17,828.305
1030.27,828.476
1030.37,828.708
1030.47,828.603
1030.58,828.28
1030.68,828.162
1030.78,828.057
1030.88,828.013
1030.99,828.374
1031.09,828.404
1031.19,828.145
1031.29,827.894
1031.4,828.024
1031.5,827.87
1031.6,827.751
1031.7,827.936
1031.81,827.768
1031.91,827.701
1032.01,827.729
1032.11,827.746
1032.22,827.947
1032.32,827.969
1032.42,827.911
1032.52,827.955
1032.63,827.919
1032.73,827.718
1032.83,827.641
1032.94,827.735
1033.04,828.005
1033.14,828.065
1033.24,827.812
1033.35,827.779
1033.45,827.933
1033.55,828.027
1033.66,827.95
1033.76,827.757
1033.86,827.652
1033.96,827.666
1034.07,827.561
1034.17,827.404
1034.27,827.183
1034.38,827.34
1034.48,827.484
1034.58,827.58
1034.69,827.536
1034.79,827.241
1034.89,827.244
1035.0,827.304
1035.1,827.307
1035.2,827.379
1035.31,827.346
1035.41,827.249
1035.51,827.31
1035.62,827.288
1035.72,827.067
1035.82,826.935
1035.93,827.004
1036.03,826.985
1036.13,826.872
1036.24,827.189
1036.34,827.434
1036.44,827.208
1036.55,827.144
1036.65,827.136
1036.75,826.985
1036.86,826.872
1036.96,826.974
1037.07,826.998
1037.17,827.095
1037.27,827.034
1037.38,827.029
1037.48,827.117
1037.58,826.907
1037.69,826.662
1037.79,826.623
1037.9,826.767
1038.0,826.819
1038.1,826.618
1038.21,826.571
1038.31,826.554
1038.41,826.505
1038.52,826.406
1038.62,826.483
1038.73,826.596
1038.83,826.554
1038.93,826.43
1039.04,826.557
1039.14,826.607
1039.25,826.334
1039.35,826.193
1039.46,826.417
1039.56,826.395
1039.66,826.499
1039.77,826.626
1039.87,826.51
1039.98,826.262
1040.08,826.417
1040.18,826.477
1040.29,826.488
1040.39,826.565
1040.5,826.488
1040.6,826.334
1040.71,826.116
1040.81,826.133
1040.92,826.353
1041.02,826.552
1041.12,826.469
1041.23,826.133
1041.33,826.02
1041.44,826.042
1041.54,826.055
1041.65,825.964
1041.75,826.055
1041.86,826.32
1041.96,826.282
1042.07,825.995
1042.17,825.901
1042.27,825.868
1042.38,825.865
1042.48,825.868
1042.59,825.818
1042.69,825.755
1042.8,825.782
1042.9,825.714
1043.01,825.543
1043.11,825.78
1043.22,825.912
1043.32,825.308
1043.43,825.027
1043.53,825.341
1043.64,825.504
1043.74,825.504
1043.85,825.449
1043.95,825.435
1044.06,825.559
1044.16,825.521
1044.27,825.361
1044.37,825.308
1044.48,825.25
1044.58,825.317
1044.69,825.385
1044.79,825.168
1044.9,825.021
1045.0,825.168
1045.11,825.341
1045.21,825.33
1045.32,825.366
1045.43,825.328
1045.53,825.212
1045.64,825.201
1045.74,825.278
1045.85,824.972
1045.95,824.751
1046.06,824.851
1046.16,825.044
1046.27,825.157
1046.37,824.906
1046.48,824.82
1046.59,824.851
1046.69,824.856
1046.8,824.782
1046.9,824.87
1047.01,824.749
1047.11,824.487
1047.22,824.561
1047.33,824.713
1047.43,824.771
1047.54,824.707
1047.64,824.633
1047.75,824.558
1047.85,824.467
1047.96,824.434
1048.07,824.401
1048.17,824.467
1048.28,824.542
1048.38,824.23
1048.49,824.103
1048.6,824.164
1048.7,823.872
1048.81,823.833
1048.91,824.12
1049.02,824.354
1049.13,824.343
1049.23,824.31
1049.34,824.371
1049.44,824.316
1049.55,824.244
1049.66,824.161
1049.76,824.015
1049.87,823.924
1049.97,823.943
1050.08,823.982
1050.19,824.037
1050.29,824.04
1050.4,823.902
1050.51,823.715
1050.61,823.563
1050.72,823.646
1050.83,823.761
1050.93,823.624
1051.04,823.648
1051.15,823.764
1051.25,823.745
1051.36,823.604
1051.46,823.409
1051.57,823.58
1051.68,823.635
1051.78,823.756
1051.89,823.591
1052.0,823.387
1052.1,823.486
1052.21,823.643
1052.32,823.585
1052.42,823.318
1052.53,823.196
1052.64,823.196
1052.75,823.205
1052.85,823.29
1052.96,823.251
1053.07,823.147
1053.17,823.188
1053.28,823.238
1053.39,823.185
1053.49,823.18
1053.6,823.067
1053.71,823.017
1053.81,822.887
1053.92,823.023
1054.03,823.243
1054.14,823.125
1054.24,823.009
1054.35,822.747
1054.46,822.67
1054.56,822.819
1054.67,822.733
1054.78,822.703
1054.89,822.813
1054.99,823.02
1055.1,822.973
1055.21,822.879
1055.32,822.706
1055.42,822.504
1055.53,822.452
1055.64,822.664
1055.74,822.689
1055.85,822.501
1055.96,822.331
1056.07,822.278
1056.17,822.212
