Composition,
Date Added,1997-09-03
Formula,
Grain Size Description,<125.0um
Grain Size,0.0 - 125.0
Locality,
Minimum Wavelength,300
Sample Name,Lake Hoare core E-10
Maximum Wavelength,2600
Database of Origin,ReLab
Other Information,
References,
Resolution,5.0
Material Class,Sediment
Sample Description,
Sample ID,C1JB204
Original Sample ID,JB-JLB-204
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,118.61
305.0,126.65
310.0,133.89
315.0,140.87
320.0,146.38
325.0,154.6
330.0,161.08
335.0,168.26
340.0,174.08
345.0,181.91
350.0,187.36
355.0,195.12
360.0,202.04
365.0,209.35
370.0,216.68
375.0,224.85
380.0,233.87
385.0,241.75
390.0,250.87
395.0,259.39
400.0,265.98
405.0,272.98
410.0,281.09
415.0,287.5
420.0,293.95
425.0,301.58
430.0,308.7
435.0,316.89
440.0,324.7
445.0,330.77
450.0,336.77
455.0,341.85
460.0,346.72
465.0,350.73
470.0,354.78
475.0,358.62
480.0,362.55
485.0,367.62
490.0,371.93
495.0,377.31
500.0,382.47
505.0,387.76
510.0,393.74
515.0,399.68
520.0,405.32
525.0,409.98
530.0,415.13
535.0,417.54
540.0,422.07
545.0,425.45
550.0,429.09
555.0,432.76
560.0,436.93
565.0,439.96
570.0,442.56
575.0,445.25
580.0,447.85
585.0,449.52
590.0,451.72
595.0,453.64
600.0,455.34
605.0,456.99
610.0,457.44
615.0,458.44
620.0,459.96
625.0,460.21
630.0,461.39
635.0,463.21
640.0,463.47
645.0,464.39
650.0,465.48
655.0,466.13
660.0,467.25
665.0,467.83
670.0,467.79
675.0,469.76
680.0,469.96
685.0,471.24
690.0,471.72
695.0,473.26
700.0,473.18
705.0,474.58
710.0,475.72
715.0,476.73
720.0,478.56
725.0,478.65
730.0,480.45
735.0,481.87
740.0,483.29
745.0,483.62
750.0,484.07
755.0,485.09
760.0,484.93
765.0,483.91
770.0,485.11
775.0,485.72
780.0,486.42
785.0,488.44
790.0,488.53
795.0,488.37
800.0,489.02
805.0,487.28
810.0,487.34
815.0,486.22
820.0,485.37
825.0,484.64
830.0,483.45
835.0,482.14
840.0,480.56
845.0,478.77
850.0,478.09
855.0,475.79
860.0,472.57
865.0,471.26
870.0,470.48
875.0,468.83
880.0,468.15
885.0,465.91
890.0,465.79
895.0,464.59
900.0,462.51
905.0,461.45
910.0,460.67
915.0,460.34
920.0,460.52
925.0,460.45
930.0,460.2
935.0,459.98
940.0,459.67
945.0,460.82
950.0,461.15
955.0,462.1
960.0,462.86
965.0,463.62
970.0,464.23
975.0,465.18
980.0,466.34
985.0,467.08
990.0,469.34
995.0,470.12
1000.0,471.18
1005.0,472.05
1010.0,474.2
1015.0,474.89
1020.0,476.7
1025.0,477.7
1030.0,478.7
1035.0,479.89
1040.0,481.5
1045.0,483.57
1050.0,485.2
1055.0,486.0
1060.0,487.64
1065.0,489.2
1070.0,490.6
1075.0,492.03
1080.0,492.7
1085.0,495.04
1090.0,496.56
1095.0,498.44
1100.0,499.66
1105.0,502.14
1110.0,503.45
1115.0,503.88
1120.0,505.4
1125.0,506.71
1130.0,507.5
1135.0,509.24
1140.0,510.43
1145.0,510.66
1150.0,512.86
1155.0,513.03
1160.0,513.51
1165.0,514.46
1170.0,515.68
1175.0,516.06
1180.0,516.73
1185.0,518.17
1190.0,519.67
1195.0,520.92
1200.0,519.26
1205.0,519.29
1210.0,520.28
1215.0,520.59
1220.0,521.18
1225.0,521.8
1230.0,522.34
1235.0,523.35
1240.0,524.43
1245.0,524.82
1250.0,525.24
1255.0,526.52
1260.0,526.57
1265.0,527.83
1270.0,529.12
1275.0,529.01
1280.0,529.27
1285.0,529.97
1290.0,531.53
1295.0,532.69
1300.0,532.75
1305.0,533.77
1310.0,533.51
1315.0,534.76
1320.0,536.21
1325.0,536.71
1330.0,537.6
1335.0,538.07
1340.0,538.92
1345.0,539.35
1350.0,539.78
1355.0,540.61
1360.0,540.73
1365.0,541.75
1370.0,541.62
1375.0,541.76
1380.0,542.82
1385.0,542.21
1390.0,544.8
1395.0,543.67
1400.0,542.61
1405.0,543.96
1410.0,542.64
1415.0,543.3
1420.0,544.97
1425.0,546.44
1430.0,547.34
1435.0,546.98
1440.0,548.58
1445.0,548.48
1450.0,548.2
1455.0,549.45
1460.0,549.55
1465.0,550.02
1470.0,550.9
1475.0,550.91
1480.0,550.68
1485.0,551.57
1490.0,552.65
1495.0,552.46
1500.0,552.17
1505.0,554.13
1510.0,553.61
1515.0,553.7
1520.0,552.78
1525.0,553.37
1530.0,553.68
1535.0,554.7
1540.0,554.73
1545.0,555.07
1550.0,554.55
1555.0,554.17
1560.0,555.44
1565.0,555.75
1570.0,555.06
1575.0,554.76
1580.0,555.72
1585.0,554.57
1590.0,555.16
1595.0,554.08
1600.0,555.16
1605.0,554.8
1610.0,554.68
1615.0,554.09
1620.0,554.57
1625.0,553.78
1630.0,553.63
1635.0,553.27
1640.0,553.51
1645.0,553.03
1650.0,552.61
1655.0,552.27
1660.0,552.15
1665.0,552.11
1670.0,552.25
1675.0,552.53
1680.0,552.1
1685.0,551.73
1690.0,551.52
1695.0,551.39
1700.0,551.81
1705.0,551.01
1710.0,550.48
1715.0,550.5
1720.0,550.56
1725.0,549.84
1730.0,549.39
1735.0,548.94
1740.0,548.39
1745.0,548.34
1750.0,548.06
1755.0,547.01
1760.0,546.67
1765.0,546.61
1770.0,546.24
1775.0,545.96
1780.0,544.45
1785.0,545.61
1790.0,545.35
1795.0,544.78
1800.0,543.97
1805.0,543.18
1810.0,543.07
1815.0,543.12
1820.0,543.49
1825.0,542.99
1830.0,542.69
1835.0,542.57
1840.0,542.58
1845.0,542.23
1850.0,541.6
1855.0,541.74
1860.0,540.54
1865.0,541.2
1870.0,539.68
1875.0,541.36
1880.0,540.54
1885.0,539.19
1890.0,537.83
1895.0,536.41
1900.0,534.84
1905.0,532.86
1910.0,532.67
1915.0,531.64
1920.0,531.43
1925.0,532.22
1930.0,532.17
1935.0,532.17
1940.0,533.21
1945.0,533.69
1950.0,533.25
1955.0,534.12
1960.0,534.67
1965.0,534.45
1970.0,535.44
1975.0,536.12
