Composition,
Date Added,2015-12-12
Formula,
Grain Size Description,<10000.0um
Grain Size,1000.0 - 10000.0
Locality,
Minimum Wavelength,300
Sample Name,Dark-green fluorapatite crystals
Maximum Wavelength,2600
Database of Origin,ReLab
Other Information,
References,
Resolution,5.0
Material Class,Mineral
Sample Description,"Ward's #49-E-5855  Ca5(PO4)3F, some Ca repl. By Sr,Ba,Pb,Na,Ce,Y, some F repl. by OH,Cl (dark-green grains hand-picked from crystals)"
Sample ID,C1JB274D
Original Sample ID,JB-JLB-274-D
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,49.82
305.0,47.82
310.0,46.47
315.0,45.93
320.0,44.17
325.0,42.87
330.0,41.52
335.0,40.74
340.0,40.57
345.0,41.05
350.0,41.0
355.0,41.01
360.0,41.56
365.0,42.66
370.0,44.06
375.0,45.74
380.0,47.68
385.0,49.9
390.0,54.36
395.0,57.39
400.0,61.64
405.0,66.31
410.0,71.65
415.0,77.92
420.0,84.97
425.0,93.16
430.0,100.84
435.0,109.6
440.0,117.64
445.0,124.45
450.0,131.68
455.0,138.59
460.0,144.43
465.0,150.02
470.0,154.22
475.0,158.7
480.0,164.54
485.0,167.48
490.0,171.06
495.0,173.41
500.0,177.74
505.0,181.11
510.0,183.21
515.0,184.2
520.0,186.38
525.0,184.32
530.0,188.94
535.0,194.01
540.0,197.31
545.0,200.17
550.0,201.64
555.0,202.12
560.0,201.61
565.0,200.7
570.0,196.86
575.0,179.71
580.0,178.53
585.0,177.28
590.0,180.36
595.0,185.23
600.0,184.77
605.0,184.9
610.0,184.13
615.0,182.5
620.0,180.2
625.0,178.27
630.0,176.85
635.0,175.79
640.0,175.52
645.0,175.44
650.0,175.47
655.0,175.67
660.0,176.15
665.0,176.39
670.0,176.54
675.0,175.75
680.0,175.26
685.0,174.18
690.0,173.96
695.0,173.38
700.0,172.92
705.0,172.22
710.0,171.81
715.0,170.99
720.0,170.24
725.0,169.13
730.0,167.57
735.0,159.49
740.0,157.44
745.0,154.67
750.0,151.91
755.0,156.66
760.0,159.0
765.0,158.89
770.0,158.78
775.0,158.74
780.0,158.46
785.0,157.7
790.0,155.81
795.0,152.16
800.0,144.94
805.0,145.33
810.0,149.87
815.0,153.74
820.0,156.43
825.0,158.6
830.0,159.26
835.0,159.73
840.0,160.79
845.0,160.77
850.0,161.18
855.0,161.6
860.0,161.16
865.0,160.95
870.0,160.96
875.0,161.26
880.0,161.56
885.0,162.27
890.0,162.94
895.0,163.87
900.0,164.59
905.0,165.62
910.0,166.05
915.0,166.81
920.0,167.44
925.0,168.44
930.0,168.71
935.0,169.28
940.0,169.29
945.0,169.38
950.0,169.42
955.0,169.54
960.0,169.6
965.0,169.93
970.0,170.31
975.0,170.47
980.0,170.55
985.0,170.68
990.0,170.55
995.0,170.51
1000.0,171.68
1005.0,170.35
1010.0,170.08
1015.0,169.81
1020.0,169.87
1025.0,171.03
1030.0,170.33
1035.0,170.82
1040.0,171.31
1045.0,171.14
1050.0,172.16
1055.0,171.42
1060.0,171.73
1065.0,172.47
1070.0,172.15
1075.0,172.0
1080.0,172.23
1085.0,172.43
1090.0,172.49
1095.0,172.84
1100.0,173.54
1105.0,173.54
1110.0,173.67
1115.0,174.23
1120.0,174.15
1125.0,174.91
1130.0,174.79
1135.0,175.24
1140.0,175.8
1145.0,175.05
1150.0,175.63
1155.0,175.93
1160.0,176.03
1165.0,175.44
1170.0,176.32
1175.0,176.33
1180.0,176.91
1185.0,176.81
1190.0,176.36
1195.0,176.79
1200.0,177.23
1205.0,176.26
1210.0,175.63
1215.0,176.14
1220.0,175.54
1225.0,175.65
1230.0,174.84
1235.0,175.01
1240.0,175.13
1245.0,175.13
1250.0,175.35
1255.0,175.66
1260.0,175.79
1265.0,176.05
1270.0,176.69
1275.0,177.34
1280.0,176.82
1285.0,177.11
1290.0,177.0
1295.0,177.03
1300.0,177.61
1305.0,177.41
1310.0,177.73
1315.0,178.07
1320.0,178.26
1325.0,178.34
1330.0,178.33
1335.0,178.49
1340.0,178.54
1345.0,178.69
1350.0,178.52
1355.0,178.83
1360.0,179.05
1365.0,179.2
1370.0,179.18
1375.0,179.74
1380.0,179.36
1385.0,179.36
1390.0,179.9
1395.0,180.25
1400.0,180.49
1405.0,181.26
1410.0,182.0
1415.0,182.18
1420.0,182.83
1425.0,182.4
1430.0,182.47
1435.0,182.62
1440.0,183.26
1445.0,184.39
1450.0,185.33
1455.0,187.2
1460.0,188.62
1465.0,189.57
1470.0,190.56
1475.0,191.13
1480.0,192.95
1485.0,193.27
1490.0,194.28
1495.0,195.31
1500.0,196.86
1505.0,198.67
1510.0,199.52
1515.0,200.55
1520.0,202.5
1525.0,203.9
1530.0,205.0
1535.0,206.3
1540.0,207.73
1545.0,209.86
1550.0,211.28
1555.0,213.28
1560.0,214.47
1565.0,216.49
1570.0,218.0
1575.0,219.88
1580.0,220.25
1585.0,223.0
1590.0,223.76
1595.0,226.11
1600.0,227.65
1605.0,229.1
1610.0,230.64
1615.0,232.03
1620.0,232.97
1625.0,234.4
1630.0,234.99
1635.0,236.2
1640.0,237.05
1645.0,238.8
1650.0,239.58
1655.0,240.68
1660.0,241.22
1665.0,241.99
1670.0,242.81
1675.0,243.15
1680.0,244.14
1685.0,244.44
1690.0,245.03
1695.0,245.84
1700.0,246.63
1705.0,247.51
1710.0,248.49
1715.0,248.2
1720.0,249.03
1725.0,248.94
