Composition,
Date Added,2013-08-02
Formula,
Grain Size Description,<125.0um
Grain Size,90.0 - 125.0
Locality,
Minimum Wavelength,300
Sample Name,Mazada calcite 90-125 um
Maximum Wavelength,2550
Database of Origin,ReLab
Other Information,
References,
Resolution,5.0
Material Class,Mineral
Sample Description,
Sample ID,C1JBE57D
Original Sample ID,JB-JLB-E57-D
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,670.18
305.0,673.37
310.0,676.31
315.0,681.05
320.0,683.72
325.0,686.87
330.0,690.44
335.0,695.93
340.0,701.25
345.0,705.46
350.0,708.96
355.0,713.13
360.0,717.6
365.0,723.43
370.0,729.63
375.0,736.12
380.0,743.11
385.0,751.54
390.0,754.36
395.0,763.24
400.0,770.16
405.0,776.5
410.0,780.75
415.0,785.4
420.0,791.94
425.0,796.72
430.0,801.12
435.0,807.12
440.0,811.69
445.0,816.0
450.0,821.07
455.0,825.76
460.0,828.9
465.0,831.32
470.0,833.39
475.0,835.81
480.0,839.14
485.0,841.37
490.0,843.37
495.0,847.14
500.0,848.57
505.0,851.65
510.0,853.84
515.0,856.35
520.0,858.18
525.0,860.77
530.0,863.15
535.0,865.04
540.0,867.88
545.0,868.98
550.0,872.15
555.0,873.34
560.0,875.34
565.0,875.74
570.0,877.63
575.0,878.95
580.0,879.57
585.0,880.67
590.0,881.78
595.0,881.84
600.0,883.5
605.0,884.05
610.0,884.31
615.0,885.48
620.0,885.94
625.0,885.58
630.0,886.86
635.0,886.54
640.0,887.84
645.0,888.15
650.0,889.05
655.0,889.56
660.0,889.56
665.0,890.89
670.0,889.3
675.0,888.43
680.0,887.6
685.0,888.67
690.0,887.8
695.0,888.62
700.0,889.18
705.0,890.58
710.0,890.65
715.0,891.6
720.0,891.74
725.0,893.32
730.0,893.52
735.0,894.58
740.0,895.04
745.0,896.27
750.0,895.37
755.0,896.58
760.0,895.45
765.0,893.91
770.0,894.68
775.0,895.61
780.0,896.02
785.0,895.69
790.0,895.96
795.0,896.42
800.0,897.08
805.0,896.42
810.0,897.74
815.0,896.37
820.0,896.95
825.0,897.79
830.0,898.87
835.0,898.05
840.0,898.11
845.0,898.25
850.0,897.55
855.0,897.32
860.0,897.46
865.0,897.81
870.0,898.59
875.0,899.91
880.0,900.44
885.0,900.85
890.0,900.71
895.0,901.28
900.0,901.05
905.0,900.94
910.0,900.85
915.0,900.84
920.0,900.32
925.0,900.25
930.0,900.4
935.0,899.98
940.0,900.31
945.0,900.31
950.0,899.05
955.0,898.69
960.0,898.36
965.0,898.54
970.0,899.75
975.0,899.93
980.0,900.72
985.0,901.21
990.0,901.41
995.0,901.26
1000.0,900.8
1005.0,900.25
1010.0,900.31
1015.0,900.15
1020.0,899.58
1025.0,899.2
1030.0,900.31
1035.0,898.49
1040.0,898.33
1045.0,898.84
1050.0,898.68
1055.0,898.66
1060.0,901.4
1065.0,900.67
1070.0,901.83
1075.0,901.31
1080.0,901.86
1085.0,901.5
1090.0,903.67
1095.0,900.92
1100.0,902.64
1105.0,901.4
1110.0,901.18
1115.0,901.48
1120.0,903.14
1125.0,902.58
1130.0,903.23
1135.0,903.61
1140.0,903.37
1145.0,902.25
1150.0,903.26
1155.0,903.79
1160.0,904.36
1165.0,903.99
1170.0,902.9
1175.0,904.05
1180.0,904.75
1185.0,904.49
1190.0,904.8
1195.0,905.04
1200.0,904.85
1205.0,905.18
1210.0,905.38
1215.0,905.32
1220.0,905.48
1225.0,905.45
1230.0,905.33
1235.0,905.09
1240.0,905.08
1245.0,904.72
1250.0,904.72
1255.0,904.51
1260.0,904.81
1265.0,904.82
1270.0,904.79
1275.0,904.39
1280.0,904.35
1285.0,905.7
1290.0,904.38
1295.0,905.02
1300.0,903.95
1305.0,904.89
1310.0,905.6
1315.0,904.29
1320.0,905.36
1325.0,905.41
1330.0,905.54
1335.0,905.35
1340.0,904.68
1345.0,904.27
1350.0,902.93
1355.0,902.71
1360.0,902.71
1365.0,902.68
1370.0,902.15
1375.0,902.69
1380.0,902.19
1385.0,902.5
1390.0,903.52
1395.0,903.27
1400.0,902.86
1405.0,903.53
1410.0,904.1
1415.0,903.86
1420.0,903.7
1425.0,903.59
1430.0,901.83
1435.0,903.31
1440.0,902.25
1445.0,902.65
1450.0,902.34
1455.0,901.36
1460.0,902.73
1465.0,901.95
1470.0,902.15
1475.0,902.04
1480.0,902.48
1485.0,903.59
1490.0,903.3
1495.0,903.3
1500.0,904.21
1505.0,904.53
1510.0,904.97
1515.0,904.68
1520.0,905.22
1525.0,904.37
1530.0,905.34
1535.0,904.73
1540.0,904.2
1545.0,904.62
1550.0,904.37
1555.0,903.97
1560.0,904.64
1565.0,903.36
1570.0,903.08
1575.0,905.22
1580.0,906.13
1585.0,905.81
1590.0,905.19
1595.0,906.35
1600.0,905.85
1605.0,907.1
1610.0,907.76
1615.0,906.87
1620.0,905.41
1625.0,905.76
1630.0,904.74
1635.0,904.67
1640.0,904.22
1645.0,905.0
1650.0,903.85
1655.0,903.29
1660.0,904.77
1665.0,905.18
1670.0,906.22
1675.0,905.76
1680.0,905.68
1685.0,906.08
1690.0,904.0
1695.0,903.89
1700.0,903.96
1705.0,902.72
1710.0,901.43
1715.0,900.51
1720.0,898.85
1725.0,899.22
1730.0,898.04
1735.0,898.19
1740.0,898.08
1745.0,897.79
1750.0,896.99
1755.0,897.33
1760.0,896.66
1765.0,899.56
1770.0,902.49
1775.0,904.52
1780.0,905.03
1785.0,905.06
1790.0,904.06
1795.0,903.37
1800.0,901.87
1805.0,900.11
1810.0,898.86
1815.0,896.96
1820.0,894.63
1825.0,891.29
1830.0,889.9
1835.0,886.81
1840.0,884.77
1845.0,881.89
1850.0,880.32
1855.0,873.77
1860.0,867.76
1865.0,861.82
1870.0,856.83
1875.0,850.92
1880.0,849.3
1885.0,866.85
1890.0,878.22
1895.0,879.61
1900.0,883.52
1905.0,885.55
1910.0,887.04
1915.0,887.28
1920.0,887.28
1925.0,886.18
1930.0,886.0
1935.0,882.07
1940.0,882.76
1945.0,881.66
1950.0,876.77
1955.0,871.44
1960.0,867.84
1965.0,865.2
1970.0,863.0
1975.0,861.25
1980.0,858.33
1985.0,852.88
1990.0,843.55
1995.0,833.82
2000.0,835.82
2005.0,852.99
2010.0,865.23
2015.0,873.64
2020.0,879.32
2025.0,882.93
2030.0,884.2
2035.0,887.31
2040.0,888.47
2045.0,889.28
2050.0,889.39
2055.0,890.49
2060.0,890.47
2065.0,890.12
2070.0,889.49
2075.0,889.05
2080.0,887.94
2085.0,887.47
2090.0,885.94
2095.0,883.41
2100.0,882.35
2105.0,879.34
2110.0,876.1
2115.0,872.76
2120.0,870.7
2125.0,868.47
2130.0,865.14
2135.0,860.07
2140.0,850.76
2145.0,841.14
2150.0,832.55
2155.0,831.06
2160.0,832.55
2165.0,836.15
2170.0,843.31
2175.0,848.78
2180.0,853.2
2185.0,854.55
2190.0,856.08
2195.0,855.75
2200.0,851.58
2205.0,849.23
2210.0,845.85
2215.0,842.0
2220.0,836.74
2225.0,828.69
2230.0,820.89
2235.0,810.88
2240.0,802.23
2245.0,792.81
