Composition,
Date Added,2014-08-08
Formula,
Grain Size Description,<250.0um
Grain Size,150.0 - 250.0
Locality,
Minimum Wavelength,300
Sample Name,Loma Mar rock JB1487 150-250 um
Maximum Wavelength,2550
Database of Origin,ReLab
Other Information,
References,
Resolution,5.0
Material Class,Rock
Sample Description,
Sample ID,C1JBE87C
Original Sample ID,JB-JLB-E87-C
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,44.62
305.0,44.02
310.0,43.65
315.0,44.76
320.0,45.47
325.0,46.46
330.0,47.48
335.0,48.68
340.0,50.59
345.0,51.51
350.0,51.84
355.0,51.74
360.0,52.78
365.0,54.13
370.0,55.75
375.0,57.74
380.0,60.06
385.0,62.42
390.0,64.39
395.0,66.36
400.0,69.24
405.0,70.71
410.0,72.36
415.0,74.39
420.0,76.77
425.0,78.48
430.0,80.97
435.0,83.66
440.0,86.11
445.0,88.59
450.0,91.08
455.0,93.36
460.0,95.14
465.0,97.18
470.0,99.09
475.0,101.02
480.0,102.99
485.0,104.81
490.0,107.24
495.0,109.77
500.0,112.73
505.0,115.41
510.0,118.43
515.0,121.64
520.0,124.71
525.0,128.45
530.0,131.91
535.0,135.7
540.0,138.92
545.0,142.72
550.0,146.0
555.0,149.86
560.0,153.94
565.0,156.48
570.0,160.19
575.0,163.93
580.0,166.8
585.0,170.18
590.0,173.14
595.0,176.11
600.0,179.12
605.0,181.94
610.0,185.05
615.0,188.11
620.0,191.12
625.0,193.6
630.0,196.18
635.0,198.85
640.0,201.73
645.0,204.12
650.0,206.94
655.0,209.68
660.0,211.95
665.0,214.81
670.0,217.6
675.0,220.19
680.0,222.52
685.0,225.34
690.0,228.21
695.0,230.8
700.0,233.22
705.0,235.57
710.0,238.5
715.0,240.76
720.0,243.4
725.0,245.99
730.0,248.91
735.0,250.76
740.0,253.36
745.0,255.88
750.0,258.7
755.0,260.72
760.0,263.08
765.0,266.51
770.0,268.7
775.0,270.24
780.0,272.09
785.0,274.56
790.0,276.35
795.0,278.31
800.0,279.47
805.0,281.7
810.0,282.61
815.0,284.07
820.0,285.21
825.0,286.08
830.0,287.57
835.0,288.61
840.0,289.09
845.0,289.5
850.0,289.43
855.0,289.56
860.0,290.13
865.0,290.62
870.0,291.0
875.0,291.37
880.0,291.76
885.0,291.96
890.0,292.6
895.0,293.17
900.0,293.27
905.0,294.91
910.0,295.01
915.0,296.8
920.0,297.41
925.0,298.21
930.0,298.86
935.0,300.74
940.0,300.85
945.0,301.88
950.0,303.92
955.0,304.49
960.0,305.52
965.0,306.83
970.0,307.6
975.0,308.73
980.0,310.0
985.0,311.13
990.0,312.67
995.0,313.18
1000.0,314.49
1005.0,314.61
1010.0,316.31
1015.0,317.9
1020.0,318.39
1025.0,320.42
1030.0,321.85
1035.0,322.32
1040.0,322.46
1045.0,323.47
1050.0,325.2
1055.0,326.03
1060.0,326.66
1065.0,328.43
1070.0,329.69
1075.0,330.88
1080.0,331.1
1085.0,332.66
1090.0,333.87
1095.0,334.92
1100.0,336.75
1105.0,337.94
1110.0,338.07
1115.0,340.35
1120.0,340.19
1125.0,342.86
1130.0,343.77
1135.0,345.58
1140.0,346.25
1145.0,347.79
1150.0,349.47
1155.0,349.6
1160.0,351.3
1165.0,353.5
1170.0,354.99
1175.0,356.6
1180.0,358.71
1185.0,359.82
1190.0,361.41
1195.0,362.65
1200.0,363.71
1205.0,364.9
1210.0,367.17
1215.0,367.97
1220.0,369.62
1225.0,371.06
1230.0,372.4
1235.0,374.02
1240.0,375.47
1245.0,376.49
1250.0,378.12
1255.0,379.85
1260.0,380.6
1265.0,382.82
1270.0,383.89
1275.0,384.13
1280.0,385.97
1285.0,387.48
1290.0,388.36
1295.0,389.03
1300.0,391.01
1305.0,390.93
1310.0,392.84
1315.0,394.18
1320.0,395.01
1325.0,395.54
1330.0,396.23
1335.0,396.96
1340.0,397.28
1345.0,397.47
1350.0,397.89
1355.0,398.1
1360.0,398.68
1365.0,399.05
1370.0,398.42
1375.0,397.56
1380.0,393.51
1385.0,392.55
1390.0,387.66
1395.0,380.72
1400.0,373.88
1405.0,367.82
1410.0,364.21
1415.0,365.32
1420.0,368.91
1425.0,373.24
1430.0,377.71
1435.0,381.88
1440.0,384.4
1445.0,388.01
1450.0,388.3
1455.0,391.07
1460.0,392.01
1465.0,393.91
1470.0,396.01
1475.0,396.55
1480.0,400.11
1485.0,402.78
1490.0,404.27
1495.0,406.24
1500.0,407.49
1505.0,409.62
1510.0,410.81
1515.0,411.97
1520.0,412.77
1525.0,414.61
1530.0,415.89
1535.0,417.06
1540.0,418.15
1545.0,418.56
1550.0,419.21
1555.0,420.38
1560.0,421.45
1565.0,422.84
1570.0,423.1
1575.0,423.46
1580.0,424.67
1585.0,425.41
1590.0,425.33
1595.0,427.1
1600.0,427.26
1605.0,427.51
1610.0,428.28
1615.0,428.52
1620.0,429.56
1625.0,430.08
1630.0,429.79
1635.0,430.46
1640.0,430.47
1645.0,431.29
1650.0,431.51
1655.0,431.72
1660.0,432.0
1665.0,432.19
1670.0,432.45
1675.0,432.47
1680.0,432.41
1685.0,432.17
1690.0,431.82
1695.0,431.9
1700.0,432.56
1705.0,432.75
1710.0,433.13
1715.0,433.59
1720.0,433.08
1725.0,433.25
1730.0,432.66
1735.0,432.38
1740.0,432.44
1745.0,432.42
1750.0,432.69
1755.0,432.74
1760.0,432.71
1765.0,432.07
1770.0,432.9
1775.0,433.07
1780.0,432.83
1785.0,433.24
1790.0,433.09
1795.0,432.67
1800.0,432.1
1805.0,432.02
1810.0,431.5
1815.0,431.07
1820.0,430.78
1825.0,430.19
1830.0,430.34
1835.0,429.98
1840.0,429.59
1845.0,428.87
1850.0,427.91
1855.0,425.21
1860.0,421.64
1865.0,416.04
1870.0,411.25
1875.0,400.21
1880.0,383.96
1885.0,365.79
1890.0,341.07
1895.0,313.72
1900.0,289.24
1905.0,278.39
1910.0,280.09
1915.0,287.28
1920.0,296.96
1925.0,305.11
1930.0,311.81
1935.0,316.13
1940.0,321.62
1945.0,325.3
1950.0,328.36
1955.0,331.14
1960.0,334.3
1965.0,338.03
1970.0,340.42
1975.0,344.59
1980.0,349.24
1985.0,351.75
1990.0,355.56
1995.0,360.44
2000.0,363.62
2005.0,367.89
2010.0,371.69
2015.0,374.86
2020.0,378.39
2025.0,381.65
2030.0,382.73
2035.0,384.99
2040.0,387.62
2045.0,388.8
2050.0,390.28
2055.0,391.55
2060.0,392.23
2065.0,392.97
2070.0,392.76
2075.0,394.0
2080.0,395.82
2085.0,394.95
2090.0,395.86
2095.0,395.17
2100.0,395.78
2105.0,395.4
2110.0,397.52
2115.0,397.34
2120.0,398.47
2125.0,398.89
2130.0,398.21
2135.0,398.59
2140.0,397.73
2145.0,398.59
